start,end,word,alignment_score,probability,speaker
0.0,0.384,Si,0.4420,0.8856,SPEAKER_00
0.404,0.525,usted,0.4000,0.9371,SPEAKER_00
0.566,0.626,me,0.3900,0.9969,SPEAKER_00
0.707,0.99,"permite,",0.8810,0.9876,SPEAKER_00
1.03,1.313,quisiera,0.7710,0.9987,SPEAKER_00
1.374,1.697,leerle,0.9370,0.9983,SPEAKER_00
1.737,1.899,una,0.3170,0.9987,SPEAKER_00
1.939,2.404,declaración,0.7940,0.9998,SPEAKER_00
2.445,2.95,"reciente,",0.9310,0.9994,SPEAKER_00
3.212,3.313,muy,0.8290,0.9995,SPEAKER_00
3.394,3.717,reciente,0.8640,1.0000,SPEAKER_00
3.758,3.798,de,0.3560,0.9405,SPEAKER_00
3.818,4.0,Pinochet.,0.1110,0.9920,SPEAKER_00
4.2,4.83,¿De,0.6510,0.9713,SPEAKER_00
4.85,5.318,Pinochet?,0.7380,0.9998,SPEAKER_00
5.846,5.887,¿Y,0.4760,0.9991,SPEAKER_00
5.927,6.07,qué,0.4710,0.9970,SPEAKER_00
6.131,6.375,interés,0.4310,0.9967,SPEAKER_00
6.435,6.598,puede,0.7610,0.9999,SPEAKER_00
6.618,6.74,tener?,0.1660,0.9999,SPEAKER_00
7.0,7.745,"Bueno,",0.7080,0.9991,SPEAKER_00
7.765,7.806,no,0.4900,1.0000,SPEAKER_00
7.846,8.047,mucho,0.7530,0.9999,SPEAKER_00
8.108,8.148,en,0.8690,0.9176,SPEAKER_00
8.188,8.43,"verdad,",0.9330,0.9998,SPEAKER_00
9.115,9.316,salvo,0.8660,0.9989,SPEAKER_00
9.417,9.457,el,0.0960,0.9408,SPEAKER_00
9.477,9.799,mostrar,0.9200,0.9999,SPEAKER_00
9.86,9.94,una,0.9730,0.9998,SPEAKER_00
10.001,10.102,vez,0.9210,1.0000,SPEAKER_00
10.182,10.283,más,0.8830,1.0000,SPEAKER_00
10.323,10.585,el,0.3280,0.9995,SPEAKER_00
10.665,11.129,contraste,0.8680,0.9996,SPEAKER_00
11.169,11.854,entre,0.4150,0.9995,SPEAKER_00
11.874,12.015,sus,0.5680,0.9555,SPEAKER_00
12.055,12.357,palabras,0.7790,1.0000,SPEAKER_00
12.518,12.538,y,0.0010,0.9996,SPEAKER_00
12.559,12.619,los,0.0010,0.9905,SPEAKER_00
12.639,12.78,hechos.,0.1580,0.9977,SPEAKER_00
13.02,13.533,A,0.8170,0.9999,SPEAKER_00
13.574,13.881,"ver,",0.7360,1.0000,SPEAKER_00
13.902,14.107,a,0.6310,0.9999,SPEAKER_00
14.127,14.209,"ver,",0.0460,1.0000,SPEAKER_00
14.23,14.312,¿de,0.1910,1.0000,SPEAKER_00
14.332,14.455,qué,0.3890,1.0000,SPEAKER_00
14.476,14.517,se,0.0000,0.9927,SPEAKER_00
14.537,14.661,trata?,0.1670,0.9999,SPEAKER_00
15.14,15.787,En,0.6460,0.9983,SPEAKER_00
15.868,15.908,la,0.5780,0.6273,SPEAKER_00
15.949,16.333,comentada,0.7540,0.9899,SPEAKER_00
16.373,16.838,entrevista,0.7310,0.9884,SPEAKER_00
16.939,17.02,que,0.5480,0.9987,SPEAKER_00
17.06,17.424,concedió,0.6180,0.9977,SPEAKER_00
17.525,17.566,la,0.8810,0.8849,SPEAKER_00
17.647,17.909,revista,0.8970,0.9999,SPEAKER_00
17.95,18.637,norteamericana,0.7500,0.9997,SPEAKER_00
18.657,18.94,"Newsweek,",0.2080,0.8336,SPEAKER_00
19.1,19.926,Pinochet,0.4820,0.9999,SPEAKER_00
20.007,20.349,responde,0.9530,0.9735,SPEAKER_00
20.369,20.389,a,0.9980,1.0000,SPEAKER_00
20.49,20.591,una,0.9070,1.0000,SPEAKER_00
20.671,21.014,pregunta,0.8830,1.0000,SPEAKER_00
21.054,21.316,sobre,0.6230,1.0000,SPEAKER_00
21.376,21.457,los,0.8170,0.9999,SPEAKER_00
21.558,21.92,negocios,0.8790,0.9949,SPEAKER_00
22.222,22.323,de,0.7420,1.0000,SPEAKER_00
22.384,22.625,miembros,0.7680,0.9995,SPEAKER_00
22.646,22.686,de,0.4420,1.0000,SPEAKER_00
22.867,22.988,su,0.7740,0.9999,SPEAKER_00
23.008,23.371,"familia,",0.7520,1.0000,SPEAKER_00
23.874,24.056,diciendo,0.1970,0.9786,SPEAKER_00
24.136,24.68,"textualmente,",0.6330,0.9975,SPEAKER_00
25.28,25.93,Eso,0.7340,0.7219,SPEAKER_00
25.991,26.051,es,0.7060,1.0000,SPEAKER_00
26.153,26.376,parte,0.9220,1.0000,SPEAKER_00
26.417,26.478,de,0.7660,1.0000,SPEAKER_00
26.518,26.559,la,0.8390,1.0000,SPEAKER_00
26.64,27.026,campaña,0.9240,1.0000,SPEAKER_00
27.066,27.127,de,0.8420,1.0000,SPEAKER_00
27.188,27.29,la,0.4820,0.9999,SPEAKER_00
27.391,27.675,izquierda,0.5680,0.9998,SPEAKER_00
27.736,27.919,contra,0.3640,0.9999,SPEAKER_00
