start,end,word,alignment_score,probability,speaker
0.0,0.305,Y,0.8340,0.9882,SPEAKER_01
0.346,0.488,ahora,0.9440,0.9998,SPEAKER_01
0.57,0.651,una,0.9090,0.9985,SPEAKER_01
0.773,1.547,supersíntesis,0.6170,0.8947,SPEAKER_01
1.567,1.669,de,0.7670,0.9999,SPEAKER_01
1.709,2.137,noticias,0.3490,0.9428,SPEAKER_01
2.157,2.198,de,0.2370,0.9986,SPEAKER_01
2.218,2.34,Chile.,0.1630,0.9999,SPEAKER_01
2.64,3.288,En,0.8020,0.9998,SPEAKER_01
3.329,3.39,un,0.7790,0.9998,SPEAKER_01
3.43,3.612,vano,0.7030,0.9805,SPEAKER_01
3.653,3.957,intento,0.9010,0.9999,SPEAKER_01
4.018,4.119,por,0.9050,0.9999,SPEAKER_01
4.2,4.484,impedir,0.8410,0.9917,SPEAKER_01
4.504,4.524,o,0.9110,0.9971,SPEAKER_01
4.625,4.929,frenar,0.8490,0.9868,SPEAKER_01
5.031,5.091,la,0.8740,0.9999,SPEAKER_01
5.152,5.517,protesta,0.8580,0.9965,SPEAKER_01
5.557,5.618,de,0.2850,1.0000,SPEAKER_01
5.638,5.78,"mañana,",0.1430,0.9999,SPEAKER_01
5.98,6.323,la,0.2100,0.9999,SPEAKER_01
6.343,6.727,dictadura,0.5860,0.9534,SPEAKER_01
6.747,7.11,decretó,0.8580,0.9999,SPEAKER_01
7.13,7.171,el,0.4920,0.9999,SPEAKER_01
7.211,7.776,toque,0.5550,0.9998,SPEAKER_01
7.816,7.897,de,0.7320,1.0000,SPEAKER_01
7.937,8.22,queda,0.4180,0.9382,SPEAKER_01
8.24,8.28,en,0.4520,0.5205,SPEAKER_01
8.361,8.866,"Santiago,",0.6520,0.9993,SPEAKER_01
8.886,9.168,hoy,0.5140,1.0000,SPEAKER_01
9.188,9.41,lunes,0.7710,0.9998,SPEAKER_01
9.612,9.673,y,0.7820,0.9993,SPEAKER_01
9.753,10.076,mañana,0.9440,1.0000,SPEAKER_01
10.218,10.52,martes.,0.5250,0.9993,SPEAKER_01
11.0,11.586,Cuatro,0.8620,0.9998,SPEAKER_01
11.646,12.212,explosiones,0.7980,0.9996,SPEAKER_01
12.232,13.182,destruyeron,0.6910,0.9998,SPEAKER_01
13.202,13.465,tramos,0.7900,0.9976,SPEAKER_01
13.505,13.566,de,0.8100,1.0000,SPEAKER_01
13.626,13.667,la,0.9520,1.0000,SPEAKER_01
13.707,13.828,vía,0.9060,0.9964,SPEAKER_01
13.949,14.172,férrea,0.7790,0.7775,SPEAKER_01
14.232,14.353,del,0.5530,1.0000,SPEAKER_01
14.454,14.778,metro,0.6200,0.8659,SPEAKER_01
14.798,14.838,de,0.0010,1.0000,SPEAKER_01
14.858,15.04,"Santiago,",0.1110,1.0000,SPEAKER_01
15.3,15.988,dejando,0.6780,0.9999,SPEAKER_01
16.008,16.493,virtualmente,0.6700,0.8121,SPEAKER_01
16.554,17.06,paralizable,0.7200,0.7253,SPEAKER_01
17.08,17.242,este,0.6530,0.9965,SPEAKER_01
17.262,17.444,medio,0.8260,0.9999,SPEAKER_01
17.504,17.565,de,0.5300,1.0000,SPEAKER_01
17.646,18.091,transporte,0.7700,1.0000,SPEAKER_01
18.415,18.617,básico,0.3970,0.9970,SPEAKER_01
18.637,18.678,de,0.0830,1.0000,SPEAKER_01
18.698,18.738,la,0.0000,1.0000,SPEAKER_01
18.758,18.92,capital.,0.1250,0.9998,SPEAKER_01
19.5,20.126,El,0.7010,1.0000,SPEAKER_01
20.166,20.449,Partido,0.7980,0.9908,SPEAKER_01
20.509,20.994,"Comunista,",0.8730,0.9997,SPEAKER_01
21.418,21.498,en,0.7200,1.0000,SPEAKER_01
21.539,21.619,una,0.9870,1.0000,SPEAKER_01
21.68,22.104,declaración,0.9180,1.0000,SPEAKER_01
22.124,22.144,a,0.9920,1.0000,SPEAKER_01
22.185,22.306,las,0.6550,0.9999,SPEAKER_01
22.407,22.629,Fuerzas,0.6980,0.9952,SPEAKER_01
22.75,23.032,Armadas,0.8280,0.9999,SPEAKER_01
23.053,23.073,y,0.9950,0.9999,SPEAKER_01
23.295,23.315,a,0.9440,1.0000,SPEAKER_01
23.355,23.396,la,0.9430,1.0000,SPEAKER_01
23.456,23.699,opinión,0.8210,0.9991,SPEAKER_01
23.719,23.88,"pública,",0.1240,1.0000,SPEAKER_01
24.52,25.085,plantea,0.9040,0.9997,SPEAKER_01
25.186,25.227,la,0.9000,0.9999,SPEAKER_01
25.308,25.691,necesidad,0.8740,1.0000,SPEAKER_01
25.732,25.792,de,0.7220,1.0000,SPEAKER_01
25.812,25.893,que,0.8290,1.0000,SPEAKER_01
25.933,26.055,las,0.0850,1.0000,SPEAKER_01
26.075,26.297,Fuerzas,0.5420,0.9999,SPEAKER_01
26.418,26.721,Armadas,0.8450,1.0000,SPEAKER_01
27.286,27.609,dejen,0.7620,0.9996,SPEAKER_01
27.67,27.751,de,0.8060,0.9998,SPEAKER_01
27.811,28.114,prestar,0.8860,0.9738,SPEAKER_01
28.155,28.518,apoyo,0.8550,1.0000,SPEAKER_01
28.538,28.558,a,0.0000,1.0000,SPEAKER_01
28.579,28.74,Pinochet,0.1250,0.9958,SPEAKER_01
28.72,29.53,y,0.5610,0.2425,SPEAKER_01
29.55,29.833,busquen,0.7630,0.8939,SPEAKER_01
29.874,29.934,el,0.9090,0.9994,SPEAKER_01
29.995,30.623,acercamiento,0.9300,1.0000,SPEAKER_01
30.663,30.845,con,0.7900,0.9981,SPEAKER_01
30.886,30.947,el,0.9840,0.9999,SPEAKER_01
31.007,31.493,conjunto,0.8060,0.9998,SPEAKER_01
31.554,31.614,de,0.6300,0.9999,SPEAKER_01
31.635,31.675,la,0.6340,0.9999,SPEAKER_01
31.776,32.1,oposición.,0.3370,0.9999,SPEAKER_01
32.6,33.387,Señala,0.8970,0.9993,SPEAKER_01
33.448,33.508,que,0.8620,0.9999,SPEAKER_01
