start,end,word,alignment_score,probability,speaker
26.0,26.263,El,0.3680,0.3283,SPEAKER_02
28.203,28.688,mensaje,0.9090,0.9055,SPEAKER_02
28.769,29.193,de,0.9160,0.9997,SPEAKER_02
29.213,29.557,Manuel,0.8770,0.9983,SPEAKER_02
29.577,29.9,Guerrero,0.4120,0.9996,SPEAKER_02
30.0,31.173,Miembro,0.9140,0.7431,SPEAKER_02
31.416,31.476,de,0.9910,0.9995,SPEAKER_02
31.517,31.578,la,0.9890,0.9999,SPEAKER_02
31.638,32.083,Dirección,0.8100,0.9248,SPEAKER_02
32.103,32.144,de,0.5000,0.9933,SPEAKER_02
32.467,32.528,las,0.3760,0.9983,SPEAKER_02
32.649,33.236,Juventudes,0.8070,0.9997,SPEAKER_02
33.297,33.62,Comunistas,0.3150,0.9897,SPEAKER_02
33.6,34.386,Pero,0.7640,0.5082,SPEAKER_00
34.467,34.668,sobre,0.8890,0.9985,SPEAKER_00
34.729,34.91,"todo,",0.9960,1.0000,SPEAKER_00
34.93,35.898,esta,0.4460,0.9971,SPEAKER_00
36.019,36.14,hora,0.8740,0.9251,SPEAKER_00
36.18,36.281,es,0.2320,0.9959,SPEAKER_00
36.301,36.503,una,0.5340,0.9991,SPEAKER_00
36.523,36.664,hora,0.9950,0.9998,SPEAKER_00
36.684,36.725,en,0.4950,0.7805,SPEAKER_00
37.43,37.491,que,0.0640,0.9847,SPEAKER_00
37.511,37.793,unimos,0.7640,0.9993,SPEAKER_00
37.813,37.934,el,0.5190,0.9988,SPEAKER_00
37.994,38.498,recuerdo,0.8390,0.9984,SPEAKER_00
38.519,38.559,al,0.0000,0.9983,SPEAKER_00
38.579,38.72,combate,0.1430,0.9987,SPEAKER_00
38.7,40.058,A,0.8210,0.7480,SPEAKER_00
40.078,40.321,través,0.7490,1.0000,SPEAKER_00
40.361,40.422,de,0.9760,1.0000,SPEAKER_00
40.463,40.544,las,0.5180,0.9726,SPEAKER_00
40.605,41.253,movilizaciones,0.8160,0.9983,SPEAKER_00
41.273,41.314,de,0.4780,0.9995,SPEAKER_00
41.415,41.678,nuestro,0.6100,0.9999,SPEAKER_00
41.699,41.82,pueblo,0.1610,0.9998,SPEAKER_00
41.8,42.731,A,0.6980,0.7970,SPEAKER_00
42.751,42.994,través,0.2390,1.0000,SPEAKER_00
43.015,43.075,de,0.6210,1.0000,SPEAKER_00
43.116,43.177,la,0.5820,0.9999,SPEAKER_00
43.197,43.743,presencia,0.5190,0.9999,SPEAKER_00
43.784,43.824,de,0.5240,1.0000,SPEAKER_00
43.865,43.926,los,0.4810,0.9999,SPEAKER_00
43.986,44.513,trabajadores,0.8430,1.0000,SPEAKER_00
44.533,44.553,y,0.9920,0.9998,SPEAKER_00
44.756,44.897,de,0.7720,0.9971,SPEAKER_00
44.918,44.978,los,0.0040,0.9948,SPEAKER_00
44.999,45.14,jóvenes,0.1420,1.0000,SPEAKER_00
45.12,45.504,Se,0.6700,0.9851,SPEAKER_00
46.332,46.837,manifiesta,0.9140,0.9998,SPEAKER_00
46.918,46.979,la,0.8940,1.0000,SPEAKER_00
47.019,47.524,voluntad,0.8230,0.9999,SPEAKER_00
47.544,47.585,de,0.5000,0.9997,SPEAKER_00
48.494,48.938,aunar,0.6300,0.6585,SPEAKER_00
48.958,49.14,esfuerzos,0.1140,0.9981,SPEAKER_00
49.12,50.087,De,0.6410,0.9415,SPEAKER_00
50.147,50.45,sumar,0.8910,0.9982,SPEAKER_00
50.51,51.255,todas,0.8600,0.9998,SPEAKER_00
51.296,51.356,las,0.9730,1.0000,SPEAKER_00
51.416,52.283,potencialidades,0.7610,0.9998,SPEAKER_00
52.323,52.988,del,0.6490,0.9994,SPEAKER_00
53.109,53.511,pueblo,0.7210,0.9996,SPEAKER_00
53.935,53.955,y,0.7360,0.9932,SPEAKER_00
53.995,54.055,de,0.5890,0.9991,SPEAKER_00
54.076,54.176,la,0.5590,0.9995,SPEAKER_00
54.196,54.559,nación,0.8020,0.9651,SPEAKER_00
54.579,54.72,chilena,0.1430,0.9973,SPEAKER_00
54.7,55.677,Para,0.6170,0.9680,SPEAKER_00
55.697,56.022,exigir,0.5110,0.9995,SPEAKER_00
