start,end,word,alignment_score,probability,speaker
7.06,7.909,Buenas,0.7230,0.7849,SPEAKER_05
7.99,8.293,"tardes,",0.9810,1.0000,SPEAKER_05
8.9,9.405,bienvenidos,0.8610,0.9999,SPEAKER_05
9.426,9.466,al,0.4970,0.9998,SPEAKER_05
9.729,9.931,Centro,0.7850,0.9905,SPEAKER_05
9.951,9.992,de,0.9720,1.0000,SPEAKER_05
10.012,10.275,Estudios,0.5740,0.9995,SPEAKER_05
10.396,10.76,Públicos.,0.9010,0.9999,SPEAKER_05
11.02,11.888,La,0.6940,0.9999,SPEAKER_05
11.948,12.332,conferencia,0.9210,1.0000,SPEAKER_05
12.372,12.433,de,0.2480,0.9998,SPEAKER_05
12.453,12.574,esta,0.7240,1.0000,SPEAKER_05
12.655,12.957,tarde,0.9930,1.0000,SPEAKER_05
14.995,15.278,trata,0.8820,0.9969,SPEAKER_05
15.298,15.439,del,0.5730,0.9999,SPEAKER_05
15.459,15.54,tema,0.2500,1.0000,SPEAKER_05
15.52,16.309,Democracia,0.6460,0.7472,SPEAKER_05
16.329,16.349,y,0.9980,1.0000,SPEAKER_05
16.39,17.34,"Capitalismo,",0.8300,0.9986,SPEAKER_05
18.048,18.129,los,0.9610,0.9964,SPEAKER_05
18.25,18.533,puntos,0.9080,0.9941,SPEAKER_05
18.614,19.16,centrales.,0.9170,0.9999,SPEAKER_05
19.74,20.567,El,0.8240,0.9993,SPEAKER_05
20.607,21.898,"conferencista,",0.8720,0.9993,SPEAKER_05
21.918,23.169,el,0.7140,1.0000,SPEAKER_05
23.189,23.491,profesor,0.9050,0.9998,SPEAKER_05
23.632,24.338,Marcos,0.5060,0.9995,SPEAKER_05
24.358,24.56,"Mamalakis,",0.1070,0.9823,SPEAKER_05
25.34,25.744,sacó,0.7530,0.9996,SPEAKER_05
25.764,26.026,su,0.8820,1.0000,SPEAKER_05
26.915,27.319,grado,0.9510,0.9999,SPEAKER_05
27.379,27.46,de,0.7270,1.0000,SPEAKER_05
27.521,27.864,doctor,0.9820,0.9709,SPEAKER_05
27.884,27.965,en,0.7700,0.9985,SPEAKER_05
28.005,28.046,la,0.9990,1.0000,SPEAKER_05
28.086,28.409,Universidad,0.7410,0.9998,SPEAKER_05
28.449,28.49,de,0.9330,0.9997,SPEAKER_05
28.55,29.035,"Berkeley,",0.5130,0.9881,SPEAKER_05
29.378,29.6,"California,",0.0930,0.9973,SPEAKER_05
30.62,31.668,es,0.9190,0.4643,SPEAKER_05
31.91,32.212,profesor,0.9960,0.9991,SPEAKER_05
32.232,32.293,de,0.7480,0.9998,SPEAKER_05
32.313,32.776,economía,0.8440,0.8744,SPEAKER_05
32.796,32.837,en,0.5000,0.9992,SPEAKER_05
32.857,33.34,la,0.8800,0.9999,SPEAKER_05
33.401,33.965,Universidad,0.7880,0.9889,SPEAKER_05
34.026,34.529,de,0.8830,0.9997,SPEAKER_05
34.711,35.738,"Wisconsin,",0.7480,0.9987,SPEAKER_05
35.759,35.96,"Milwaukee,",0.1010,0.9995,SPEAKER_05
36.8,37.649,y,0.8010,0.9997,SPEAKER_05
37.69,38.013,autor,0.7730,0.9998,SPEAKER_05
38.033,38.094,de,0.9440,1.0000,SPEAKER_05
38.155,38.519,numerosos,0.8990,0.9998,SPEAKER_05
38.539,39.045,artículos,0.8210,0.9999,SPEAKER_05
39.065,39.085,y,0.9980,0.9998,SPEAKER_05
39.247,39.53,libros,0.6050,1.0000,SPEAKER_05
39.55,39.752,sobre,0.3640,0.9996,SPEAKER_05
39.772,40.116,economía,0.8660,0.9709,SPEAKER_05
40.217,40.48,"chilena,",0.2870,0.9998,SPEAKER_05
40.46,40.865,entre,0.6100,0.9999,SPEAKER_05
40.906,41.088,otros,0.8170,1.0000,SPEAKER_05
41.169,41.371,temas,0.9550,0.9999,SPEAKER_05
42.344,42.384,de,0.9000,0.9924,SPEAKER_05
42.425,42.688,historia,0.8300,0.9981,SPEAKER_05
42.729,43.053,económica,0.8940,1.0000,SPEAKER_05
43.093,43.235,que,0.5520,0.9998,SPEAKER_05
43.255,43.296,ha,0.3340,0.9931,SPEAKER_05
43.316,43.66,abordado.,0.5570,0.9999,SPEAKER_05
44.5,44.804,Entre,0.7110,0.9996,SPEAKER_05
44.865,45.047,"ellos,",0.9510,1.0000,SPEAKER_05
45.088,45.351,quisiera,0.5850,0.9998,SPEAKER_05
45.412,45.797,destacar,0.8330,1.0000,SPEAKER_05
45.838,46.973,Essays,0.4150,0.9870,SPEAKER_05
46.993,47.074,on,0.6730,1.0000,SPEAKER_05
47.155,47.378,Chilean,0.6380,0.9946,SPEAKER_05
47.398,47.56,"Economy,",0.1250,0.9993,SPEAKER_05
47.82,48.442,publicado,0.4560,0.9993,SPEAKER_05
48.463,48.525,en,0.7780,1.0000,SPEAKER_05
48.546,48.961,"1965,",0.8930,0.9992,SPEAKER_05
50.52,50.904,The,0.2530,0.9849,SPEAKER_05
50.924,51.046,Growth,0.1330,0.9995,SPEAKER_05
51.147,51.207,and,0.0260,1.0000,SPEAKER_05
51.228,51.652,Structure,0.4080,0.9995,SPEAKER_05
51.673,51.733,of,0.5480,1.0000,SPEAKER_05
51.753,51.814,the,0.3170,0.9813,SPEAKER_05
51.875,52.117,Chilean,0.5500,0.9995,SPEAKER_05
52.138,52.582,Economy,0.7910,0.9996,SPEAKER_05
52.764,52.967,from,0.4570,0.7676,SPEAKER_05
52.987,53.674,Independence,0.8300,0.9986,SPEAKER_05
53.695,53.937,to,0.6930,1.0000,SPEAKER_05
53.978,54.22,"Allende,",0.2110,0.9989,SPEAKER_05
55.04,55.588,publicado,0.6700,0.9996,SPEAKER_05
55.608,55.649,en,0.9410,1.0000,SPEAKER_05
55.669,56.481,1976,0.8340,0.9993,SPEAKER_05
56.907,57.151,por,0.2090,0.9988,SPEAKER_05
57.171,57.211,la,0.9930,1.0000,SPEAKER_05
57.252,57.638,Universidad,0.6370,0.9999,SPEAKER_05
57.658,57.699,de,0.0000,0.9998,SPEAKER_05
57.719,57.82,"Yale,",0.2000,0.9998,SPEAKER_05
58.0,58.679,que,0.7130,0.9551,SPEAKER_05
58.7,58.782,es,0.7110,0.9999,SPEAKER_05
58.824,58.906,una,0.6810,0.9994,SPEAKER_05
58.968,59.112,obra,0.7880,0.9993,SPEAKER_05
59.153,59.421,"considerable,",0.0740,0.9979,SPEAKER_05
59.4,59.813,sobre,0.1850,0.3049,SPEAKER_05
59.854,60.184,Historia,0.7340,0.6917,SPEAKER_05
60.205,60.535,Económica,0.8270,0.9939,SPEAKER_05
60.556,60.721,"Chilena,",0.1250,0.9661,SPEAKER_05
61.4,61.926,y,0.9250,0.9972,SPEAKER_05
61.966,62.31,sus,0.8460,0.9991,SPEAKER_05
62.653,63.179,volúmenes,0.9560,0.9971,SPEAKER_05
63.361,63.583,sobre,0.9090,0.9982,SPEAKER_05
63.705,64.271,Historical,0.7210,0.7227,SPEAKER_05
64.311,64.877,Statistics,0.4710,0.9947,SPEAKER_05
64.897,65.019,of,0.3270,0.9997,SPEAKER_05
65.039,65.16,"Chile,",0.1670,0.9984,SPEAKER_05
66.48,67.888,"que,",0.2380,0.7334,SPEAKER_05
67.909,67.97,¿en,0.0030,0.9787,SPEAKER_05
67.99,68.113,qué,0.3730,0.9991,SPEAKER_05
68.133,68.358,volumen,0.3530,0.9986,SPEAKER_05
68.378,68.5,vayan?,0.1660,0.5378,SPEAKER_05
69.18,69.925,Como,0.8620,0.9776,SPEAKER_05
69.946,70.008,6,0.3060,0.3750,SPEAKER_05
70.028,70.132,"ya,",0.2910,0.3828,SPEAKER_05
70.152,70.401,¿no?,0.7320,0.9982,SPEAKER_05
72.14,72.954,6,0.5610,0.9427,SPEAKER_05
72.975,73.382,volúmenes,0.9050,0.9999,SPEAKER_05
73.504,73.606,que,0.8220,0.9997,SPEAKER_05
73.708,73.85,son,0.9260,0.9999,SPEAKER_05
73.932,74.42,probablemente,0.7000,0.9968,SPEAKER_05
75.54,76.287,indispensables,0.6250,0.9996,SPEAKER_05
76.57,78.044,en,0.8350,0.9995,SPEAKER_05
78.105,78.368,materia,0.8620,0.9996,SPEAKER_05
78.388,78.448,de,0.3240,1.0000,SPEAKER_05
78.469,78.953,Estadísticas,0.8450,0.7019,SPEAKER_05
79.014,79.458,Históricas,0.7980,0.9995,SPEAKER_05
79.478,79.519,de,0.0000,0.9995,SPEAKER_05
79.539,79.66,Chile.,0.1670,0.9998,SPEAKER_05
82.96,83.93,El,0.7820,0.9789,SPEAKER_05
83.97,84.233,profesor,0.6740,0.9864,SPEAKER_05
84.293,84.698,Mamalakis,0.6300,0.9307,SPEAKER_05
84.718,84.758,va,0.9260,0.9994,SPEAKER_05
84.778,84.799,a,0.1850,0.9990,SPEAKER_05
84.839,85.021,hacer,0.6080,0.9953,SPEAKER_05
85.364,85.465,uso,0.7980,0.9999,SPEAKER_05
85.486,85.526,de,0.3080,0.9699,SPEAKER_05
85.587,85.627,la,1.0000,0.9997,SPEAKER_05
85.667,85.95,palabra,0.7550,0.9998,SPEAKER_05
86.031,86.112,por,0.8250,0.9994,SPEAKER_05
86.172,86.273,unos,0.8940,0.9985,SPEAKER_05
86.294,86.536,45,0.5450,0.9999,SPEAKER_05
86.657,86.94,"minutos,",0.5910,0.9999,SPEAKER_05
87.0,87.081,y,0.1790,0.9991,SPEAKER_05
87.203,87.651,después,0.6440,0.9992,SPEAKER_05
87.671,87.712,la,0.4190,0.9923,SPEAKER_05
87.753,88.688,idea,0.9350,0.9996,SPEAKER_05
88.77,88.912,es,0.5470,0.9792,SPEAKER_05
88.953,89.4,intercambiarla.,0.4650,0.9086,SPEAKER_05
89.6,89.685,para,0.0880,0.0022,SPEAKER_05
89.706,89.961,desarrollar,0.0400,0.0434,SPEAKER_05
89.982,90.301,opiniones.,0.7130,0.6660,SPEAKER_05
90.5,91.194,El,0.7390,0.4711,SPEAKER_05
91.255,91.48,trabajo,0.9810,0.2629,SPEAKER_05
91.52,91.602,que,0.7480,0.9902,SPEAKER_05
91.622,91.684,va,0.5720,0.0851,SPEAKER_05
91.704,91.724,a,0.6210,0.5104,SPEAKER_05
91.745,92.01,exponer,0.8650,0.7165,SPEAKER_05
92.051,92.398,esta,0.7500,0.8303,SPEAKER_05
92.418,92.52,tarde,0.2000,0.5213,SPEAKER_05
94.4,96.957,"marca,",0.1620,0.9909,SPEAKER_05
96.977,97.017,en,0.0490,0.9959,SPEAKER_05
97.037,97.259,cierto,0.5850,1.0000,SPEAKER_05
97.279,97.46,"modo,",0.6760,1.0000,SPEAKER_05
97.5,97.561,un,0.7840,0.9986,SPEAKER_05
97.661,98.124,tránsito,0.9280,1.0000,SPEAKER_05
98.164,98.285,en,0.7220,0.9975,SPEAKER_05
98.386,98.768,su,0.9920,0.9998,SPEAKER_05
99.835,100.097,carrera,0.8940,1.0000,SPEAKER_05
100.178,100.58,académica,0.5210,0.9520,SPEAKER_05
100.56,100.601,y,0.0990,0.9966,SPEAKER_05
100.622,100.664,en,0.1150,0.9978,SPEAKER_05
100.684,101.037,su,0.4760,0.9998,SPEAKER_05
101.099,101.306,campo,0.9380,0.9997,SPEAKER_05
101.327,101.368,de,0.7350,0.9999,SPEAKER_05
101.41,101.721,"inquietudes,",0.2650,0.9999,SPEAKER_05
