start,end,word,alignment_score,probability,speaker
5.84,7.088,"Bien,",0.8920,0.8359,SPEAKER_10
7.109,7.31,buenas,0.6600,0.9996,SPEAKER_10
7.39,7.672,tardes.,0.9190,0.9999,SPEAKER_10
8.136,8.256,Vamos,0.1710,0.9997,SPEAKER_10
8.276,8.297,a,0.1320,0.9764,SPEAKER_10
8.317,8.397,dar,0.8620,0.9970,SPEAKER_10
8.478,8.86,comienzo,0.9680,0.9990,SPEAKER_10
8.881,8.901,a,0.9980,1.0000,SPEAKER_10
9.021,9.102,la,0.9920,0.9955,SPEAKER_10
9.162,9.444,primera,0.9060,1.0000,SPEAKER_10
9.464,9.505,de,0.7060,0.9993,SPEAKER_10
9.565,9.646,las,0.9140,0.9999,SPEAKER_10
9.706,9.948,charlas,0.6730,0.9997,SPEAKER_10
9.988,10.069,de,0.9920,0.9999,SPEAKER_10
10.129,10.27,hoy.,0.9420,1.0000,SPEAKER_10
11.639,11.78,Primero,0.1420,0.9999,SPEAKER_10
11.76,11.84,que,0.1350,0.9990,SPEAKER_10
11.861,12.222,nada,0.0740,1.0000,SPEAKER_10
12.263,12.323,los,0.6550,0.6489,SPEAKER_10
12.363,12.604,invito,0.8430,1.0000,SPEAKER_10
12.685,12.765,a,0.9690,1.0000,SPEAKER_10
12.966,13.268,ponerse,0.9750,0.9999,SPEAKER_10
13.368,13.69,"cómodos,",0.5680,0.9412,SPEAKER_10
14.353,14.816,"chaquetas,",0.7890,0.9728,SPEAKER_10
14.976,15.539,"corbatas,",0.8820,0.9983,SPEAKER_10
15.58,15.62,no,0.7760,0.9998,SPEAKER_10
15.64,15.74,hay,0.7750,1.0000,SPEAKER_10
15.801,16.203,problema.,0.9050,0.9159,SPEAKER_10
16.444,18.977,El,0.9280,0.9991,SPEAKER_10
19.017,19.218,primer,0.8340,0.9995,SPEAKER_10
19.278,19.6,expositor,0.1880,0.9945,SPEAKER_10
19.58,20.023,es,0.6440,0.9999,SPEAKER_10
20.143,20.606,Francisco,0.8080,1.0000,SPEAKER_10
20.626,20.868,"Pérez,",0.7570,0.9998,SPEAKER_10
21.592,21.693,su,0.9860,0.9999,SPEAKER_10
21.773,21.954,tema,0.9170,1.0000,SPEAKER_10
21.994,22.035,es,0.4980,0.9999,SPEAKER_10
22.115,22.397,sobre,0.7010,0.9975,SPEAKER_10
22.417,23.0,endeudamiento,0.9000,0.9995,SPEAKER_10
23.061,23.664,"empresarial,",0.8340,1.0000,SPEAKER_10
24.087,24.348,causas,0.8070,0.8017,SPEAKER_10
24.409,24.429,y,0.6990,0.9993,SPEAKER_10
24.509,25.032,soluciones.,0.8980,0.9999,SPEAKER_10
25.918,26.119,La,0.8080,0.9990,SPEAKER_10
26.139,26.34,exposición,0.0990,1.0000,SPEAKER_10
26.32,26.38,va,0.2220,0.2345,SPEAKER_10
26.602,26.622,a,0.4070,0.9996,SPEAKER_10
26.662,26.864,durar,0.8210,0.9982,SPEAKER_10
26.944,27.246,alrededor,0.7950,0.9993,SPEAKER_10
27.287,27.347,de,0.4940,0.9999,SPEAKER_10
27.367,27.468,40,0.5000,0.9981,SPEAKER_10
27.488,27.77,a,0.6240,0.4006,SPEAKER_10
27.79,28.233,45,0.5700,0.9998,SPEAKER_10
28.334,28.898,minutos,0.7960,0.9999,SPEAKER_10
28.918,28.938,y,0.9960,0.8289,SPEAKER_10
29.623,29.905,luego,0.8960,0.9996,SPEAKER_10
29.925,29.965,va,0.4920,0.9945,SPEAKER_10
