start,end,word,alignment_score,probability,speaker
0.0,0.626,Miles,0.8650,0.9815,SPEAKER_00
0.646,0.666,y,0.9970,1.0000,SPEAKER_00
0.828,1.091,miles,0.9910,0.9997,SPEAKER_00
1.131,2.302,iniciaron,0.6300,0.9984,SPEAKER_00
2.323,2.444,el,0.5080,1.0000,SPEAKER_00
2.545,3.05,doloroso,0.9940,1.0000,SPEAKER_00
3.151,3.494,camino,0.9720,0.9999,SPEAKER_00
3.575,3.696,del,0.8650,1.0000,SPEAKER_00
3.736,4.14,exilio.,0.6750,0.9999,SPEAKER_00
30.0,30.378,¡Gracias,0.0960,0.6714,UNKNOWN
30.399,30.461,por,0.3040,0.1164,UNKNOWN
30.524,30.629,ver,0.2510,0.9861,UNKNOWN
30.65,30.734,el,0.3020,0.8485,UNKNOWN
30.755,30.881,video!,0.1860,0.9663,UNKNOWN
