start,end,word,alignment_score,probability,speaker
7.1,7.764,Muy,0.5970,0.8509,SPEAKER_09
7.804,7.985,buenas,0.6930,0.9926,SPEAKER_09
8.086,8.387,"tardes,",0.9240,0.9986,SPEAKER_09
8.407,8.991,el,0.7700,0.9938,SPEAKER_09
9.071,9.232,Centro,0.7690,0.8876,SPEAKER_09
9.272,9.313,de,0.6950,0.9945,SPEAKER_09
9.333,9.554,Estudios,0.5950,0.9942,SPEAKER_09
9.634,9.956,Públicos,0.5620,0.9985,SPEAKER_09
10.037,10.117,les,0.8440,0.9695,SPEAKER_09
10.178,10.338,da,0.6970,0.9958,SPEAKER_09
10.379,10.419,la,0.9870,0.9980,SPEAKER_09
10.459,10.922,bienvenida,0.8790,0.9998,SPEAKER_09
10.942,10.962,y,0.9800,0.9019,SPEAKER_09
11.002,12.632,los,0.6320,0.9341,SPEAKER_09
12.692,13.014,invito,0.9770,0.9998,SPEAKER_09
13.034,13.074,"a,",0.9650,0.8727,SPEAKER_09
13.939,13.979,si,0.0000,0.9998,SPEAKER_09
13.999,14.14,quieren,0.1430,0.9977,SPEAKER_09
14.12,14.402,sentarse,0.1030,0.9935,SPEAKER_09
14.624,14.766,más,0.6640,0.9974,SPEAKER_09
14.806,15.169,"adelante,",0.8640,0.9999,SPEAKER_09
15.23,15.371,aquí,0.7300,0.9970,SPEAKER_09
15.391,15.492,hay,0.8500,0.9999,SPEAKER_09
15.553,15.835,como,0.8800,0.9999,SPEAKER_09
15.997,16.178,seis,0.8750,0.7083,SPEAKER_09
16.198,16.602,asientos,0.8530,0.9996,SPEAKER_09
16.642,17.207,desocupados,0.8090,0.9997,SPEAKER_09
18.055,18.156,para,0.7940,0.9527,SPEAKER_09
18.236,18.418,mayor,0.8600,0.8965,SPEAKER_09
18.499,18.68,comodidad,0.1130,0.9998,SPEAKER_09
18.66,18.731,de,0.1590,0.8691,SPEAKER_09
18.755,18.944,ustedes.,0.1160,0.9989,SPEAKER_09
38.14,38.904,Tengo,0.7540,0.6617,SPEAKER_09
38.944,39.004,el,0.8300,0.9950,SPEAKER_09
39.045,39.406,agrado,0.9480,0.9956,SPEAKER_09
