start,end,word,alignment_score,probability,speaker
0.0,0.824,Tal,0.9530,0.9406,SPEAKER_00
0.884,1.125,como,0.6820,0.9992,SPEAKER_00
1.145,1.266,lo,0.7480,0.9998,SPEAKER_00
1.446,1.547,había,0.2960,0.9970,SPEAKER_00
1.627,2.109,"previsto,",0.9070,0.9998,SPEAKER_00
2.15,3.696,ya,0.9700,0.9991,SPEAKER_00
4.741,4.902,hay,0.7000,0.9996,SPEAKER_00
4.922,5.143,algunos,0.8000,0.9999,SPEAKER_00
5.183,5.665,sectores,0.8860,0.9989,SPEAKER_00
6.931,7.011,que,0.6340,0.9998,SPEAKER_00
7.092,7.313,hablan,0.3890,0.9999,SPEAKER_00
7.333,7.433,de,0.6760,1.0000,SPEAKER_00
7.453,7.554,la,0.6030,0.9999,SPEAKER_00
7.574,8.116,renuncia,0.1700,0.9999,SPEAKER_00
8.136,8.176,al,0.4860,0.8723,SPEAKER_00
8.237,8.679,Presidente,0.8850,0.8372,SPEAKER_00
8.699,8.739,de,0.0100,0.9962,SPEAKER_00
8.759,8.799,la,0.0000,0.9982,SPEAKER_00
8.819,9.02,República.,0.1020,0.9998,SPEAKER_00
12.88,13.726,Lo,0.7120,0.9999,SPEAKER_00
13.746,13.807,he,0.5360,0.9999,SPEAKER_00
13.847,14.19,dicho,0.8110,0.9999,SPEAKER_00
15.882,16.104,con,0.7280,0.9998,SPEAKER_00
16.124,16.205,la,0.9120,1.0000,SPEAKER_00
16.265,16.688,calma,0.6310,0.9999,SPEAKER_00
16.708,16.769,y,0.8440,1.0000,SPEAKER_00
16.809,16.85,la,0.9520,1.0000,SPEAKER_00
16.91,17.535,profundidad,0.6620,1.0000,SPEAKER_00
17.555,18.28,necesaria.,0.5360,0.9632,SPEAKER_00
20.3,21.416,Yo,0.5870,0.9905,SPEAKER_00
21.436,21.679,no,0.4860,0.9998,SPEAKER_00
21.7,21.842,estoy,0.2850,0.9999,SPEAKER_00
22.552,22.633,aquí,0.0470,0.9998,SPEAKER_00
22.653,22.775,de,0.6320,0.6942,SPEAKER_00
22.795,23.16,prestado.,0.2710,0.9713,SPEAKER_00
26.32,27.065,Yo,0.5000,0.1304,SPEAKER_00
27.085,27.387,tengo,0.6650,0.9644,SPEAKER_00
27.447,27.89,sentido,0.5770,0.9882,SPEAKER_00
27.91,28.111,la,0.5360,0.9035,SPEAKER_00
28.192,28.494,humildad,0.3070,0.8589,SPEAKER_00
28.514,28.574,del,0.2040,0.7216,SPEAKER_00
28.735,28.977,cargo,0.5250,0.9982,SPEAKER_00
28.997,29.017,y,0.5520,0.9859,SPEAKER_00
29.078,29.138,la,0.4540,0.9865,SPEAKER_00
29.218,30.245,responsabilidad,0.6830,0.9994,SPEAKER_00
30.446,30.507,que,0.0050,0.9967,SPEAKER_00
30.527,30.808,tengo,0.8850,0.9987,SPEAKER_00
30.869,31.131,frente,0.9700,0.9938,SPEAKER_00
31.171,31.251,al,0.9260,0.9979,SPEAKER_00
31.372,31.614,pueblo,0.6100,0.9739,SPEAKER_00
31.634,31.654,y,0.5700,0.9669,SPEAKER_00
31.895,31.916,a,0.0020,0.9793,SPEAKER_00
31.936,31.976,la,0.0350,0.9989,SPEAKER_00
31.996,32.358,historia,0.2760,0.9943,SPEAKER_00
32.378,32.419,de,0.0000,0.5969,SPEAKER_00
32.439,32.479,mi,0.0050,0.7161,SPEAKER_00
32.499,32.64,país.,0.3820,0.9410,SPEAKER_00
36.4,37.232,Lentamente,0.3070,0.9414,SPEAKER_00
37.252,37.435,gané,0.5490,0.9860,SPEAKER_00
37.536,37.617,las,0.9680,0.8756,SPEAKER_00
37.678,38.023,elecciones,0.8250,0.9998,SPEAKER_00
38.043,38.064,y,0.9380,0.6554,SPEAKER_00
38.084,38.124,me,0.4840,0.9630,SPEAKER_00
38.327,38.774,ratificó,0.5170,0.8670,SPEAKER_00
38.814,38.855,el,0.5230,0.9914,SPEAKER_00
38.936,39.24,Congreso.,0.4330,0.9842,SPEAKER_00
42.56,43.444,He,0.4000,0.9935,SPEAKER_00
43.464,43.706,dirigido,0.4460,0.9987,SPEAKER_00
43.726,43.766,un,0.4450,0.9996,SPEAKER_00
43.907,44.288,proceso,0.9120,0.9995,SPEAKER_00
44.349,44.449,de,0.7620,0.9999,SPEAKER_00
44.53,45.133,transformaciones,0.5480,0.9963,SPEAKER_00
45.153,45.173,y,0.7900,0.9997,SPEAKER_00
45.293,45.394,de,0.7520,0.9994,SPEAKER_00
45.434,45.856,cambio,0.4630,0.8381,SPEAKER_00
46.821,46.962,que,0.4840,0.9854,SPEAKER_00
46.982,47.203,causa,0.5190,0.9990,SPEAKER_00
47.444,47.725,admiración,0.5350,0.9660,SPEAKER_00
47.745,47.786,en,0.4320,0.9995,SPEAKER_00
47.886,47.967,el,0.9650,0.9998,SPEAKER_00
48.027,48.228,mundo,0.9700,0.9997,SPEAKER_00
48.268,48.489,más,0.7870,0.9730,SPEAKER_00
48.549,48.791,allá,0.4120,0.9944,SPEAKER_00
48.811,48.911,de,0.5280,0.9946,SPEAKER_00
48.992,49.112,lo,0.4420,0.9979,SPEAKER_00
49.172,49.635,personal,0.8940,0.9998,SPEAKER_00
50.117,50.197,de,0.6880,0.9845,SPEAKER_00
50.218,50.318,los,0.4750,0.9984,SPEAKER_00
50.338,50.539,que,0.4040,0.9997,SPEAKER_00
50.559,50.74,"actuamos,",0.1190,0.9991,SPEAKER_00
51.42,52.158,porque,0.8720,0.9956,SPEAKER_00
52.22,52.405,se,0.8490,0.9891,SPEAKER_00
52.753,52.835,hace,0.0020,0.8289,SPEAKER_00
52.856,52.897,un,0.0000,0.9428,SPEAKER_00
52.917,53.041,marco.,0.2050,0.9837,SPEAKER_00
53.14,53.542,Yo,0.3300,0.0430,SPEAKER_00
53.562,53.723,tengo,0.1960,0.3365,SPEAKER_00
53.743,53.783,un,0.0670,0.6233,SPEAKER_00
53.803,53.984,marco,0.2940,0.4993,SPEAKER_00
55.05,55.09,de,0.0060,0.9976,SPEAKER_00
55.11,55.251,respeto,0.0470,0.9992,SPEAKER_00
55.271,55.291,a,0.0550,0.9710,SPEAKER_00
55.311,55.412,todas,0.2480,0.9980,SPEAKER_00
55.432,55.512,las,0.6240,0.8564,SPEAKER_00
55.773,55.914,"ideas,",0.6710,0.9974,SPEAKER_00
55.974,56.015,a,0.7930,0.9986,SPEAKER_00
56.095,56.356,todos,0.7190,0.9985,SPEAKER_00
56.376,56.437,los,0.5790,0.9951,SPEAKER_00
56.497,56.919,"principios,",0.6550,0.9998,SPEAKER_00
56.959,57.0,a,0.8660,0.9993,SPEAKER_00
57.06,57.221,todas,0.7720,0.5555,SPEAKER_00
57.361,57.522,las,0.2220,0.9505,SPEAKER_00
57.542,57.824,rutinas,0.2660,0.9433,SPEAKER_00
59.693,59.955,dentro,0.8450,0.7854,SPEAKER_00
59.995,60.035,de,0.9400,0.9994,SPEAKER_00
60.075,60.115,la,0.8590,0.9996,SPEAKER_00
60.196,60.839,Constitución,0.8670,0.7988,SPEAKER_00
60.859,60.879,y,0.0000,0.9996,SPEAKER_00
60.899,60.94,la,0.0000,0.8593,SPEAKER_00
60.96,61.04,ley.,0.2500,0.9448,SPEAKER_00
61.18,61.745,Por,0.4810,0.9988,SPEAKER_00
61.826,61.987,eso,0.6700,0.9998,SPEAKER_00
62.028,62.128,las,0.5970,0.9772,SPEAKER_00
62.169,62.532,Fuerzas,0.4460,0.9965,SPEAKER_00
62.552,62.956,Armadas,0.4840,0.9995,SPEAKER_00
64.409,64.49,han,0.6150,0.9986,SPEAKER_00
64.53,64.833,estado,0.7360,0.9989,SPEAKER_00
64.893,64.913,y,0.0130,0.9185,SPEAKER_00
64.934,65.196,estarán,0.2160,0.9984,SPEAKER_00
65.216,65.277,con,0.3790,0.9993,SPEAKER_00
65.357,65.438,este,0.1980,0.9993,SPEAKER_00
65.458,65.68,gobierno.,0.2490,0.9576,SPEAKER_00
70.62,71.163,No,0.7800,0.9979,SPEAKER_00
71.263,71.323,me,0.5860,0.9996,SPEAKER_00
71.424,71.605,van,0.3010,0.9998,SPEAKER_00
71.625,71.645,a,0.1010,0.9999,SPEAKER_00
71.665,71.986,exigir,0.4410,0.9995,SPEAKER_00
72.067,72.167,que,0.6600,0.9998,SPEAKER_00
72.308,72.81,renuncie,0.9370,0.9979,SPEAKER_00
76.849,76.97,los,0.8950,0.9846,SPEAKER_00
77.09,77.291,que,0.5180,0.9998,SPEAKER_00
77.311,77.492,siempre,0.3090,0.9981,SPEAKER_00
77.573,78.115,estuvieron,0.6080,0.9965,SPEAKER_00
78.135,78.356,contra,0.5610,0.9781,SPEAKER_00
78.376,78.417,el,0.5220,0.9998,SPEAKER_00
78.457,78.979,movimiento,0.8560,0.9877,SPEAKER_00
78.999,79.16,popular.,0.1250,0.9991,SPEAKER_00
80.28,80.635,No,0.7240,0.9753,SPEAKER_00
80.761,81.221,renunciaría.,0.6330,0.9982,SPEAKER_00
81.64,82.22,Y,0.9290,0.9808,SPEAKER_00
82.282,82.385,por,0.9140,0.9893,SPEAKER_00
82.427,82.489,el,0.5080,0.9998,SPEAKER_00
82.551,82.841,"contrario,",0.3840,0.9997,SPEAKER_00
83.14,83.836,hacía,0.7010,0.8336,SPEAKER_00
83.918,84.307,planes,0.9920,0.9991,SPEAKER_00
84.47,84.593,para,0.9910,0.9974,SPEAKER_00
84.654,84.757,el,0.8720,0.9995,SPEAKER_00
84.777,84.92,futuro.,0.1430,0.9997,SPEAKER_00
85.46,85.983,Sería,0.2130,0.6740,SPEAKER_00
86.003,88.357,entonces,0.6400,0.9367,SPEAKER_00
88.377,88.458,que,0.4380,0.9437,SPEAKER_00
88.478,88.699,sea,0.6260,0.6484,SPEAKER_00
88.86,89.363,indispensable,0.3950,0.9864,SPEAKER_00
89.423,89.745,también,0.5220,0.9953,SPEAKER_00
89.765,90.047,trazar,0.5620,0.7684,SPEAKER_00
90.087,90.329,como,0.5330,0.9950,SPEAKER_00
90.389,90.872,perspectiva,0.9050,0.9977,SPEAKER_00
90.932,90.973,de,0.5900,0.5785,SPEAKER_00
91.053,91.375,futuro,0.7160,0.9993,SPEAKER_00
91.476,91.536,las,0.6600,0.9918,SPEAKER_00
91.576,91.938,grandes,0.6310,0.9995,SPEAKER_00
91.958,92.24,tareas,0.5780,0.9999,SPEAKER_00
93.42,94.144,que,0.2810,0.9865,SPEAKER_00
94.164,94.486,inciden,0.3340,0.9982,SPEAKER_00
94.547,95.935,esencialmente,0.4380,0.9987,SPEAKER_00
95.955,95.995,en,0.7600,0.9982,SPEAKER_00
96.035,96.096,el,0.6240,0.9996,SPEAKER_00
96.176,96.317,caso,0.9220,0.9987,SPEAKER_00
96.357,97.061,concreto,0.5620,0.9997,SPEAKER_00
97.786,97.846,de,0.5480,0.9988,SPEAKER_00
97.866,97.947,los,0.7360,0.9980,SPEAKER_00
98.087,98.188,días,0.5970,0.9985,SPEAKER_00
98.228,98.309,que,0.9140,0.9994,SPEAKER_00
98.369,98.611,tenemos,0.8230,0.9998,SPEAKER_00
98.711,98.812,por,0.9390,0.9997,SPEAKER_00
98.872,99.174,delante,0.8680,0.9997,SPEAKER_00
99.194,99.234,en,0.4500,0.9566,SPEAKER_00
99.274,99.335,las,0.6270,0.7654,SPEAKER_00
99.415,99.657,siembras,0.5930,0.9806,SPEAKER_00
99.677,99.737,de,0.4760,0.9997,SPEAKER_00
99.818,100.24,primavera.,0.6210,0.9991,SPEAKER_00
100.28,100.971,Ya,0.4250,0.9621,SPEAKER_00
100.992,101.034,he,0.0760,0.9912,SPEAKER_00
101.055,101.181,dicho.,0.1690,0.9993,SPEAKER_00
103.42,104.165,Transportaremos,0.8240,0.9986,SPEAKER_00
104.185,104.225,en,0.4860,0.9998,SPEAKER_00
104.426,104.869,septiembre,0.8170,0.9972,SPEAKER_00
104.889,105.513,100.000,0.6670,0.9622,SPEAKER_00
105.533,108.632,toneladas,0.5440,0.9964,SPEAKER_00
108.652,108.733,de,0.4540,0.9996,SPEAKER_00
108.753,109.578,"abono,",0.3440,0.5347,SPEAKER_00
109.598,109.699,de,0.4720,0.7844,SPEAKER_00
109.719,109.94,salita.,0.4080,0.9947,SPEAKER_00
110.24,111.024,¿Cómo,0.2230,0.7028,SPEAKER_00
111.045,111.148,lo,0.5440,0.9896,SPEAKER_00
111.169,111.375,vamos,0.2420,0.9937,SPEAKER_00
111.396,111.416,a,0.0000,0.9029,SPEAKER_00
111.437,111.561,hacer?,0.1640,0.9999,SPEAKER_00
113.14,113.623,No,0.4150,0.9962,SPEAKER_00
113.643,114.729,"sé,",0.7950,0.9096,SPEAKER_00
114.749,114.91,pero,0.6310,0.9977,SPEAKER_00
114.97,115.473,confío,0.4080,0.9994,SPEAKER_00
117.323,117.384,en,0.5400,0.9990,SPEAKER_00
117.404,117.484,los,0.8820,0.9758,SPEAKER_00
117.544,118.027,"trabajadores,",0.7330,0.9998,SPEAKER_00
118.067,118.108,en,0.5360,0.9999,SPEAKER_00
118.168,118.449,el,0.3820,0.9999,SPEAKER_00
118.47,119.153,"pueblo,",0.4810,0.9999,SPEAKER_00
119.415,119.475,en,0.8200,0.9997,SPEAKER_00
119.495,119.596,los,0.5510,0.9998,SPEAKER_00
119.616,119.918,servicios,0.8660,0.9998,SPEAKER_00
120.038,120.38,públicos.,0.1710,0.9992,SPEAKER_00
