start,end,word,alignment_score,probability,speaker
0.0,0.68,Nuestro,0.7940,0.9806,SPEAKER_00
0.762,1.257,pequeño,0.8660,0.9988,SPEAKER_00
1.278,1.381,país.,0.2000,0.9997,SPEAKER_00
2.98,3.121,En,0.7460,0.9998,SPEAKER_00
3.162,3.222,el,0.8690,1.0000,SPEAKER_00
3.263,3.646,Estadio,0.9570,0.9982,SPEAKER_00
3.686,4.171,"Nacional,",0.8910,1.0000,SPEAKER_00
4.857,4.918,en,0.9640,0.9999,SPEAKER_00
4.958,5.019,el,0.7960,1.0000,SPEAKER_00
5.059,5.382,Estadio,0.9270,0.9999,SPEAKER_00
5.523,5.846,"Chile,",0.8860,0.9999,SPEAKER_00
6.431,6.492,en,0.7250,1.0000,SPEAKER_00
6.532,6.613,el,0.7780,1.0000,SPEAKER_00
6.674,7.259,Regimiento,0.9270,0.9764,SPEAKER_00
7.279,7.4,"Tacna,",0.1670,0.9630,SPEAKER_00
7.54,8.326,en,0.6190,1.0000,SPEAKER_00
8.367,8.427,la,0.9500,1.0000,SPEAKER_00
8.508,8.71,Isla,0.8110,0.9653,SPEAKER_00
8.77,9.274,"Quiriquina,",0.8940,0.9912,SPEAKER_00
9.315,9.355,en,0.5000,1.0000,SPEAKER_00
9.879,9.96,la,0.9740,1.0000,SPEAKER_00
10.061,10.384,Academia,0.9640,0.9999,SPEAKER_00
10.464,10.504,de,0.8620,1.0000,SPEAKER_00
10.605,10.847,Guerra,0.6970,0.9998,SPEAKER_00
10.888,11.271,"Aérea,",0.9320,0.9997,SPEAKER_00
11.694,11.755,en,0.9640,1.0000,SPEAKER_00
11.795,11.856,la,0.9100,1.0000,SPEAKER_00
11.936,12.239,Isla,0.9380,0.9996,SPEAKER_00
12.259,12.4,"Dawson,",0.1420,0.9935,SPEAKER_00
12.58,13.125,en,0.8560,1.0000,SPEAKER_00
13.165,13.266,los,0.6080,0.9997,SPEAKER_00
13.326,13.689,barcos,0.8740,0.9999,SPEAKER_00
13.71,13.75,en,0.4980,0.9999,SPEAKER_00
13.932,14.174,alta,0.8870,0.8927,SPEAKER_00
14.194,14.375,"mar,",0.9860,0.9999,SPEAKER_00
14.416,15.485,miles,0.8350,0.9998,SPEAKER_00
15.666,15.687,y,0.9010,1.0000,SPEAKER_00
