start,end,word,alignment_score,probability,speaker
7.66,8.825,Muy,0.5700,0.5911,SPEAKER_03
8.866,9.067,buenas,0.7930,0.9990,SPEAKER_03
9.187,9.549,"tardes,",0.9080,0.9999,SPEAKER_03
11.136,11.518,daremos,0.9230,0.9960,SPEAKER_03
12.081,12.583,comienzo,0.8520,1.0000,SPEAKER_03
12.603,12.623,a,0.9970,1.0000,SPEAKER_03
12.664,12.905,la,0.4440,1.0000,SPEAKER_03
13.086,13.467,ceremonia,0.9540,0.9999,SPEAKER_03
13.508,13.588,de,0.6060,1.0000,SPEAKER_03
13.668,14.331,presentación,0.9430,0.9999,SPEAKER_03
14.352,14.412,del,0.3340,0.9998,SPEAKER_03
15.135,15.457,libro,0.7490,0.9999,SPEAKER_03
15.517,15.618,de,0.7310,0.9936,SPEAKER_03
15.698,15.899,Nan,0.7620,0.3978,SPEAKER_03
15.919,16.16,"Cheire,",0.4210,0.7781,SPEAKER_03
16.3,16.682,La,0.6660,0.6873,SPEAKER_03
16.763,17.225,previsión,0.7000,0.9206,SPEAKER_03
17.266,17.386,en,0.4720,1.0000,SPEAKER_03
17.507,17.789,Chile,0.7980,1.0000,SPEAKER_03
17.829,18.252,ayer,0.6030,0.9630,SPEAKER_03
18.312,18.352,y,0.7880,1.0000,SPEAKER_03
18.473,18.694,"hoy,",0.8760,1.0000,SPEAKER_03
19.137,19.539,impacto,0.9720,0.9963,SPEAKER_03
19.6,19.64,de,0.9940,1.0000,SPEAKER_03
19.7,19.801,una,0.8100,1.0000,SPEAKER_03
19.901,20.344,"reforma,",0.9810,1.0000,SPEAKER_03
21.129,21.43,con,0.8620,0.9999,SPEAKER_03
21.712,21.793,la,0.7120,1.0000,SPEAKER_03
21.853,22.477,intervención,0.9510,1.0000,SPEAKER_03
22.497,22.557,del,0.3320,1.0000,SPEAKER_03
22.597,23.06,presidente,0.3290,0.8018,SPEAKER_03
23.04,23.121,del,0.1980,0.9994,SPEAKER_03
23.141,23.73,Centro,0.3970,0.9443,SPEAKER_03
23.75,23.811,de,0.5700,1.0000,SPEAKER_03
23.831,24.115,Estudios,0.5630,0.9947,SPEAKER_03
24.237,24.663,"Públicos,",0.9030,0.9998,SPEAKER_03
24.683,24.744,don,0.3260,0.6935,SPEAKER_03
25.454,25.799,Eleodoro,0.5590,0.9821,SPEAKER_03
25.819,25.92,Mate.,0.1970,0.3599,SPEAKER_03
37.2,38.145,Señor,0.7520,0.3138,SPEAKER_01
38.186,38.467,Ministro,0.6990,0.9631,SPEAKER_01
38.507,38.608,del,0.7610,0.9911,SPEAKER_01
38.688,38.95,Trabajo,0.9630,0.9998,SPEAKER_01
38.99,39.01,y,0.6280,0.9981,SPEAKER_01
39.07,39.473,Previsión,0.7940,0.9871,SPEAKER_01
39.533,39.875,"Social,",0.8880,0.9998,SPEAKER_01
39.915,41.363,señoras,0.9510,0.9342,SPEAKER_01
41.383,41.404,y,0.9690,0.9999,SPEAKER_01
41.665,42.047,"señores,",0.9490,1.0000,SPEAKER_01
43.354,43.515,fiel,0.5810,0.9860,SPEAKER_01
43.535,43.556,a,0.6430,0.9996,SPEAKER_01
43.596,43.717,sus,0.8850,0.9998,SPEAKER_01
43.777,44.36,"principios,",0.7810,0.9999,SPEAKER_01
45.02,45.202,el,0.4900,0.9996,SPEAKER_01
45.282,45.464,Centro,0.6590,0.9946,SPEAKER_01
45.484,45.524,de,0.9520,0.9998,SPEAKER_01
45.545,45.847,Estudios,0.5790,0.9998,SPEAKER_01
