start,end,word,alignment_score,probability,speaker
12.04,13.048,Buenas,0.4840,0.6642,SPEAKER_10
13.108,13.37,"tardes,",0.8950,1.0000,SPEAKER_10
14.075,14.156,les,0.9000,0.9978,SPEAKER_10
14.196,14.337,damos,0.9390,1.0000,SPEAKER_10
14.398,14.458,la,0.9300,0.9999,SPEAKER_10
14.498,14.901,bienvenida,0.7950,1.0000,SPEAKER_10
14.942,14.962,a,0.0000,0.9999,SPEAKER_10
14.982,15.224,todos,0.5470,0.9989,SPEAKER_10
15.647,15.707,a,0.8720,0.9970,SPEAKER_10
15.768,15.929,este,0.9880,0.9999,SPEAKER_10
16.01,16.413,seminario,0.9320,0.9910,SPEAKER_10
16.473,16.534,de,0.7640,0.9999,SPEAKER_10
16.614,17.158,formación,0.8530,0.9548,SPEAKER_10
17.178,17.4,democrática,0.0880,0.9999,SPEAKER_10
18.6,20.893,y,0.9830,0.4861,SPEAKER_10
20.913,21.034,para,0.9240,0.9911,SPEAKER_10
21.094,21.516,empezar,0.9790,0.9999,SPEAKER_10
21.557,22.442,los,0.9070,0.9921,SPEAKER_10
22.502,22.723,dejo,0.9020,0.9999,SPEAKER_10
22.763,22.864,con,0.9050,1.0000,SPEAKER_10
22.904,22.944,el,0.8070,1.0000,SPEAKER_10
23.005,23.467,director,0.9520,0.9996,SPEAKER_10
23.487,23.749,del,0.6500,1.0000,SPEAKER_10
23.809,24.212,"seminario,",0.9140,1.0000,SPEAKER_10
24.232,24.272,el,0.4980,0.9990,SPEAKER_10
24.694,24.895,señor,0.8640,0.9997,SPEAKER_10
25.197,25.418,Andrés,0.5090,0.9993,SPEAKER_10
25.438,25.74,Benavente.,0.2520,0.9901,SPEAKER_10
28.82,29.664,En,0.8070,0.3689,SPEAKER_07
29.705,29.966,verdad,0.9060,0.9935,SPEAKER_07
30.127,30.187,es,0.9300,0.8249,SPEAKER_07
30.288,30.408,muy,0.9380,0.9997,SPEAKER_07
30.489,30.75,breve,0.9410,0.9992,SPEAKER_07
30.831,30.871,lo,0.8880,0.9983,SPEAKER_07
30.931,31.032,que,0.6530,1.0000,SPEAKER_07
31.092,31.173,les,0.9590,0.9970,SPEAKER_07
31.233,31.414,quiero,0.6580,0.9999,SPEAKER_07
31.434,31.796,"decir,",0.7690,0.9999,SPEAKER_07
33.244,33.284,a,0.7890,0.9894,SPEAKER_07
33.324,33.565,nombre,0.7590,0.9993,SPEAKER_07
33.605,33.706,del,0.7990,0.9821,SPEAKER_07
33.807,34.068,"CEP,",0.5700,0.8653,SPEAKER_07
34.088,34.168,del,0.7240,0.7543,SPEAKER_07
