start,end,word,alignment_score,probability,speaker
10.18,11.985,El,0.8620,0.7345,SPEAKER_01
12.065,12.226,tema,0.9360,0.9907,SPEAKER_01
12.286,12.346,de,0.9000,0.9998,SPEAKER_01
12.386,12.547,hoy,0.9550,0.9999,SPEAKER_01
16.639,16.759,es,0.9050,0.9954,SPEAKER_01
17.0,17.08,los,0.9870,0.9988,SPEAKER_01
17.14,17.421,partidos,0.9100,0.9999,SPEAKER_01
17.501,17.902,políticos,0.8890,1.0000,SPEAKER_01
17.942,17.983,en,0.4980,0.9740,SPEAKER_01
18.003,18.644,la,0.8410,1.0000,SPEAKER_01
19.246,19.647,democracia,0.8640,0.9999,SPEAKER_01
19.748,20.229,"moderna,",0.9220,0.9999,SPEAKER_01
23.338,23.599,sistema,0.9310,0.9863,SPEAKER_01
23.619,24.02,alternativo.,0.1860,1.0000,SPEAKER_01
27.46,28.463,Les,0.5950,0.6950,SPEAKER_01
28.543,28.803,recuerdo,0.8770,0.9997,SPEAKER_01
28.964,29.024,que,0.2210,0.3540,SPEAKER_01
30.307,30.368,el,0.9960,0.9997,SPEAKER_01
30.408,30.668,próximo,0.9330,0.9999,SPEAKER_01
30.748,31.27,miércoles,0.8780,0.9996,SPEAKER_01
32.453,32.894,expone,0.9870,0.9854,SPEAKER_01
33.095,33.155,el,0.9910,0.9996,SPEAKER_01
33.195,33.636,profesor,0.9520,0.9934,SPEAKER_01
33.656,34.057,Andrés,0.4140,0.9998,SPEAKER_01
34.077,34.679,Benavente,0.8220,0.9989,SPEAKER_01
36.343,36.804,sobre,0.8740,0.9873,SPEAKER_01
37.265,37.606,visión,0.9680,0.9981,SPEAKER_01
37.666,37.706,de,0.5690,1.0000,SPEAKER_01
37.767,37.807,la,1.0000,1.0000,SPEAKER_01
37.847,38.148,izquierda,0.8540,0.9998,SPEAKER_01
38.248,38.649,chilena,0.8210,0.9998,SPEAKER_01
38.689,40.133,entre,0.5330,0.9996,SPEAKER_01
40.153,40.794,1973,0.7570,0.9992,SPEAKER_01
40.815,40.835,y,1.0000,0.9999,SPEAKER_01
40.855,42.96,1983.,0.9220,0.9997,SPEAKER_01
44.1,44.603,O,0.6640,0.9824,SPEAKER_01
44.623,44.944,"sea,",0.4180,1.0000,SPEAKER_01
44.964,45.507,fundamentalmente,0.9060,0.9988,SPEAKER_01
45.567,45.608,va,0.9800,0.9997,SPEAKER_01
45.628,45.648,a,0.1090,1.0000,SPEAKER_01
45.668,45.949,exponer,0.8380,0.9993,SPEAKER_01
46.05,46.351,sobre,0.9710,0.9998,SPEAKER_01
47.497,47.598,los,0.8300,0.9998,SPEAKER_01
47.658,47.919,partidos,0.9880,0.9999,SPEAKER_01
48.0,48.442,políticos,0.8960,1.0000,SPEAKER_01
48.502,48.964,de,0.8740,0.9999,SPEAKER_01
49.005,49.507,izquierda,0.8540,0.9997,SPEAKER_01
51.638,51.698,en,0.9140,0.9967,SPEAKER_01
51.738,51.939,ese,0.5460,0.9970,SPEAKER_01
51.959,52.1,perigo.,0.1420,0.9678,SPEAKER_01
52.08,52.588,"Digo,",0.5910,0.5116,SPEAKER_01
53.747,53.788,en,0.8850,0.9984,SPEAKER_01
53.828,53.91,los,0.8650,0.9999,SPEAKER_01
53.971,54.174,últimos,0.8550,1.0000,SPEAKER_01
54.235,54.438,diez,0.8190,0.4147,SPEAKER_01
54.459,54.56,años.,0.2010,1.0000,SPEAKER_01
55.84,56.428,El,0.8830,0.8783,SPEAKER_01
56.468,56.874,miércoles,0.8810,0.9988,SPEAKER_01
57.279,57.684,próximo,0.9940,0.9994,SPEAKER_01
57.705,57.725,a,0.9990,0.9732,SPEAKER_01
57.948,58.029,las,0.6330,0.9999,SPEAKER_01
58.232,58.414,siete,0.8400,0.8303,SPEAKER_01
58.475,58.617,también,0.1360,0.9501,SPEAKER_01
58.637,58.678,de,0.0000,0.9936,SPEAKER_01
58.698,58.738,la,0.0060,1.0000,SPEAKER_01
58.759,58.88,tarde.,0.1680,1.0000,SPEAKER_01
65.06,65.824,El,0.9320,0.9811,SPEAKER_01
65.924,66.125,tema,0.9860,0.9996,SPEAKER_01
66.306,66.386,lo,0.8480,0.9998,SPEAKER_01
66.446,66.587,voy,0.9680,1.0000,SPEAKER_01
66.647,66.688,a,0.0920,0.9999,SPEAKER_01
66.728,68.054,abordar,0.9820,0.9999,SPEAKER_01
68.094,71.771,de,0.9770,0.9614,SPEAKER_01
71.812,71.912,una,0.8440,0.9999,SPEAKER_01
71.992,72.334,manera,0.9830,0.9999,SPEAKER_01
73.298,73.439,más,0.7370,0.9990,SPEAKER_01
73.459,73.64,completa.,0.1110,0.9989,SPEAKER_01
73.64,73.722,Es,0.1580,0.8724,SPEAKER_01
73.928,74.154,"decir,",0.6240,1.0000,SPEAKER_01
74.195,74.38,quiero,0.7250,0.9999,SPEAKER_01
74.482,74.688,tratar,0.7750,0.9951,SPEAKER_01
74.77,74.996,varios,0.9030,0.9999,SPEAKER_01
75.017,75.161,puntos.,0.1210,1.0000,SPEAKER_01
75.86,76.445,Los,0.5620,0.9990,SPEAKER_01
76.506,76.668,puntos,0.6660,1.0000,SPEAKER_01
76.708,76.789,que,0.8270,1.0000,SPEAKER_01
76.809,76.95,quiero,0.7750,1.0000,SPEAKER_01
77.011,77.273,"tratar,",0.7970,0.9999,SPEAKER_01
77.334,77.475,así,0.9930,0.9997,SPEAKER_01
77.536,77.939,como,0.8430,0.9999,SPEAKER_01
77.96,78.02,el,0.7240,0.9966,SPEAKER_01
78.081,78.424,resumen,0.7860,0.9999,SPEAKER_01
78.464,78.505,de,0.9800,0.9997,SPEAKER_01
78.525,78.565,lo,0.6720,0.9990,SPEAKER_01
78.585,78.666,que,0.6090,1.0000,SPEAKER_01
78.707,78.808,voy,0.8050,0.9994,SPEAKER_01
78.828,78.848,a,0.8860,1.0000,SPEAKER_01
