start,end,word,alignment_score,probability,speaker
7.7,8.766,4,0.8560,0.5266,SPEAKER_00
8.826,8.967,de,0.6030,0.9972,SPEAKER_00
8.987,9.571,septiembre,0.6780,0.9961,SPEAKER_00
9.591,9.711,de,0.7940,0.9995,SPEAKER_00
9.732,10.395,"1973,",0.8500,0.9995,SPEAKER_00
10.476,10.798,se,0.7480,0.9997,SPEAKER_00
12.185,12.547,cumplen,0.8620,0.9998,SPEAKER_00
12.789,13.191,tres,0.9180,0.6758,SPEAKER_00
13.231,13.312,años,0.3750,0.9999,SPEAKER_00
13.352,13.412,del,0.7280,0.9882,SPEAKER_00
13.513,13.895,gobierno,0.8730,0.9999,SPEAKER_00
13.955,14.056,del,0.8810,0.9999,SPEAKER_00
14.136,14.579,presidente,0.6830,0.9926,SPEAKER_00
14.599,14.78,Allende.,0.1880,0.9941,SPEAKER_00
14.98,15.725,Por,0.8490,0.9997,SPEAKER_00
15.866,16.31,largas,0.9220,0.9998,SPEAKER_00
16.37,16.612,"horas,",0.8650,1.0000,SPEAKER_00
17.135,17.538,grandes,0.9080,1.0000,SPEAKER_00
17.639,18.002,columnas,0.8850,0.9251,SPEAKER_00
18.062,18.102,de,0.8890,0.9997,SPEAKER_00
18.163,18.868,manifestantes,0.8880,0.9999,SPEAKER_00
19.049,19.714,convergieron,0.5940,0.9992,SPEAKER_00
19.734,19.915,hacia,0.8320,0.9997,SPEAKER_00
19.996,20.157,la,0.9580,0.9935,SPEAKER_00
20.238,20.58,"Alameda,",0.7410,0.9921,SPEAKER_00
21.2,21.77,expresando,0.8280,0.9973,SPEAKER_00
21.811,21.953,su,0.7500,1.0000,SPEAKER_00
21.994,22.381,adhesión,0.8500,0.9986,SPEAKER_00
22.401,22.442,al,0.4940,0.9998,SPEAKER_00
22.482,23.276,primer,0.6080,0.9997,SPEAKER_00
23.296,23.52,mandatario.,0.0910,0.9859,SPEAKER_00
30.02,33.474,El,0.4440,0.6715,UNKNOWN
33.494,33.614,pueblo,0.0020,0.9879,UNKNOWN
33.634,33.855,unido,0.3420,0.9870,UNKNOWN
34.598,34.699,jamás,0.1530,0.9846,UNKNOWN
34.719,34.859,será,0.2080,0.9839,UNKNOWN
34.879,35.883,"vencido,",0.5670,0.9999,UNKNOWN
35.903,36.606,el,0.7580,0.8301,UNKNOWN
36.626,37.188,pueblo,0.2040,1.0000,UNKNOWN
37.209,37.851,unido,0.7720,0.9999,UNKNOWN
38.453,39.156,jamás,0.4820,0.9999,UNKNOWN
39.176,39.678,será,0.3440,0.9999,UNKNOWN
39.698,40.12,vencido.,0.4980,1.0000,UNKNOWN
40.32,41.103,De,0.7860,0.9487,SPEAKER_01
41.143,42.871,pie,0.6530,0.9986,SPEAKER_01
42.891,43.393,"cantar,",0.2010,0.9332,SPEAKER_01
43.413,43.674,que,0.4920,0.9857,SPEAKER_01
43.714,44.819,vamos,0.4850,0.9996,SPEAKER_01
44.839,44.859,a,0.0030,0.9999,SPEAKER_01
44.879,46.225,"triunfar,",0.3060,0.9993,SPEAKER_01
46.245,47.57,avanzan,0.7540,0.9917,SPEAKER_01
47.59,48.052,ya,0.7390,0.9998,SPEAKER_01
48.454,49.619,banderas,0.5220,0.9930,SPEAKER_01
49.639,49.679,de,0.0180,0.9991,SPEAKER_01
49.699,49.96,unidad.,0.3130,0.9984,SPEAKER_01
50.06,51.968,Y,0.8690,0.9968,SPEAKER_01
51.988,52.028,tú,0.4030,0.9549,SPEAKER_01
52.148,52.992,"vendrás,",0.4790,0.9985,SPEAKER_01
53.394,54.137,marchando,0.6700,0.9957,SPEAKER_01
54.357,54.759,junto,0.7300,0.9993,SPEAKER_01
54.779,55.261,a,0.8290,0.9999,SPEAKER_01
55.281,55.341,"mí,",0.5810,0.9940,SPEAKER_01
56.888,56.908,y,0.0020,0.9775,SPEAKER_01
56.928,56.988,así,0.1990,0.9991,SPEAKER_01
57.711,57.832,"verás,",0.2360,0.9982,SPEAKER_01
57.992,58.534,tu,0.7520,0.9695,SPEAKER_01
58.555,58.996,canto,0.4710,0.9917,SPEAKER_01
59.137,59.157,y,0.9660,0.9942,SPEAKER_01
59.217,59.378,tu,0.6380,0.7698,SPEAKER_01
59.559,59.92,bandera.,0.4570,0.9296,SPEAKER_01
60.0,63.293,Quiera,0.2960,0.0534,SPEAKER_01
63.313,63.474,florecer,0.0930,0.9974,SPEAKER_01
63.494,63.534,la,0.0090,0.9919,SPEAKER_01
63.554,63.615,luz,0.0000,0.9990,SPEAKER_01
63.635,63.675,de,0.3280,0.9666,SPEAKER_01
63.715,63.755,un,0.0010,0.9997,SPEAKER_01
63.775,63.996,rojo,0.4160,0.9974,SPEAKER_01
64.016,65.703,"amanecer,",0.7670,0.9993,SPEAKER_01
65.723,67.149,anuncia,0.7640,0.9965,SPEAKER_01
67.169,67.39,ya,0.4500,0.9890,SPEAKER_01
67.41,68.695,la,0.7830,0.9686,SPEAKER_01
68.715,68.936,vida,0.3850,0.9751,SPEAKER_01
68.956,69.277,que,0.6640,0.9996,SPEAKER_01
69.297,69.98,vendrá.,0.6600,0.9989,SPEAKER_01
70.1,70.703,De,0.6210,0.3730,SPEAKER_01
70.783,71.566,pie,0.4670,0.5575,SPEAKER_01
71.968,74.177,"cantar,",0.6860,0.4893,SPEAKER_01
74.197,74.458,que,0.3920,0.1704,SPEAKER_01
74.478,74.579,vamos,0.0010,0.0020,SPEAKER_01
74.599,75.041,a,0.9440,0.9973,SPEAKER_01
75.442,76.165,"triunfar,",0.4340,0.9982,SPEAKER_01
76.185,76.266,será,0.2220,0.8747,SPEAKER_01
76.728,77.531,mejor,0.8730,0.9413,SPEAKER_01
77.933,78.113,la,0.9680,0.9543,SPEAKER_01
78.234,78.575,vida,0.6610,0.9998,SPEAKER_01
78.796,79.138,que,0.6010,0.9996,SPEAKER_01
79.158,79.72,vendrá.,0.4990,0.9994,SPEAKER_01
79.76,80.765,A,0.7440,0.9863,SPEAKER_01
80.785,82.334,conquistar,0.6920,0.9998,SPEAKER_01
82.816,83.761,nuestra,0.5290,0.9972,SPEAKER_01
83.782,84.847,"felicidad,",0.6510,0.9995,SPEAKER_01
85.43,85.631,en,0.3260,0.6404,SPEAKER_01
85.652,86.195,un,0.8850,0.9981,SPEAKER_01
86.597,87.24,clamor.,0.6100,0.9553,SPEAKER_01
87.26,87.91,Mil,0.6650,0.9464,SPEAKER_01
88.052,88.661,voces,0.7900,0.9982,SPEAKER_01
88.742,88.864,de,0.7550,0.9826,SPEAKER_01
88.884,89.33,combate,0.6560,0.9650,SPEAKER_01
89.351,89.391,se,0.4380,0.9434,SPEAKER_01
89.574,90.0,alzaron.,0.4610,0.6622,SPEAKER_01
90.0,91.453,Empezarán,0.1960,0.6543,SPEAKER_01
91.473,91.493,a,0.0060,0.8127,SPEAKER_01
91.513,92.563,"mirar,",0.6370,0.9176,SPEAKER_01
92.583,93.047,canción,0.8420,0.9754,SPEAKER_01
93.168,93.309,de,0.9180,0.9992,SPEAKER_01
93.592,94.56,libertad.,0.7250,0.9995,SPEAKER_01
94.54,95.125,Con,0.7130,0.9461,SPEAKER_01
95.246,97.365,"decisión,",0.5620,0.9985,SPEAKER_01
97.386,97.466,la,0.8800,0.9982,SPEAKER_01
97.688,98.233,patria,0.5960,0.9971,SPEAKER_01
98.253,99.02,vencerá.,0.5210,0.9966,SPEAKER_01
99.14,99.805,Y,0.7910,0.9975,SPEAKER_01
99.825,101.156,"ahora,",0.6020,0.9992,SPEAKER_01
101.297,101.337,el,0.0220,0.9963,SPEAKER_01
101.357,101.519,pueblo,0.4210,0.9997,SPEAKER_01
101.559,101.821,que,0.7230,0.8927,SPEAKER_01
102.506,102.667,se,0.6600,0.9849,SPEAKER_01
102.728,103.232,alza,0.6430,0.9976,SPEAKER_01
103.393,103.595,en,0.3320,0.9990,SPEAKER_01
103.615,103.796,la,0.7800,0.9995,SPEAKER_01
103.917,104.3,"lucha,",0.3800,0.9994,SPEAKER_01
104.38,105.187,con,0.2760,0.9832,UNKNOWN
105.207,105.369,voz,0.6780,0.9659,UNKNOWN
105.591,106.498,de,0.7920,0.9927,UNKNOWN
106.519,107.205,"gigante,",0.4810,0.9916,UNKNOWN
107.628,108.718,gritando,0.7610,0.9993,UNKNOWN
108.738,109.0,adelante.,0.1910,0.9502,UNKNOWN
110.14,110.523,El,0.5970,0.6665,UNKNOWN
110.544,111.028,pueblo,0.5340,0.9992,UNKNOWN
111.997,112.501,unido,0.5360,0.7909,UNKNOWN
113.248,114.318,jamás,0.3030,0.8060,UNKNOWN
114.338,114.419,será,0.0020,0.9916,UNKNOWN
114.439,114.6,vencido.,0.1250,0.9991,UNKNOWN
