start,end,word,alignment_score,probability,speaker
11.78,12.584,...y,0.5930,0.9303,SPEAKER_09
12.604,13.046,previsión,0.8290,0.9803,SPEAKER_09
13.126,13.568,"social,",0.9610,1.0000,SPEAKER_09
13.588,13.628,en,0.5000,0.9995,SPEAKER_09
15.959,16.341,el,0.8180,1.0000,SPEAKER_09
16.401,16.542,día,0.9380,1.0000,SPEAKER_09
16.602,16.682,de,0.8520,1.0000,SPEAKER_09
16.783,17.004,hoy,0.8350,1.0000,SPEAKER_09
17.044,18.35,expone,0.9760,0.9852,SPEAKER_09
18.611,19.033,don,0.8890,0.9392,SPEAKER_09
19.334,19.475,Juan,0.7540,0.9999,SPEAKER_09
19.515,20.439,Alfredo,0.8040,0.9998,SPEAKER_09
20.46,20.58,García,0.1670,0.9998,SPEAKER_09
21.28,22.126,sobre,0.7830,0.9866,SPEAKER_09
22.166,22.247,el,0.4980,1.0000,SPEAKER_09
22.327,22.488,tema,0.8720,0.9999,SPEAKER_09
22.67,22.75,del,0.9670,0.4778,SPEAKER_09
22.831,23.113,seguro,0.8960,0.9984,SPEAKER_09
23.173,23.234,de,0.9140,0.9999,SPEAKER_09
23.274,23.314,la,0.9460,1.0000,SPEAKER_09
23.395,23.576,renta,0.9670,0.9997,SPEAKER_09
23.657,24.241,vitalicia,0.8960,0.9994,SPEAKER_09
24.261,24.281,y,0.9970,0.9998,SPEAKER_09
24.321,24.603,su,0.7830,1.0000,SPEAKER_09
24.664,25.127,impacto,0.8720,1.0000,SPEAKER_09
25.167,25.469,en,0.8160,1.0000,SPEAKER_09
25.51,25.55,la,0.9990,1.0000,SPEAKER_09
25.61,26.053,industria,0.7740,0.9999,SPEAKER_09
26.577,27.02,aseguradora.,0.6300,0.9999,SPEAKER_09
27.0,27.382,El,0.6120,0.7747,SPEAKER_09
28.288,28.428,señor,0.9840,0.9852,SPEAKER_09
28.469,28.891,García,0.8930,0.9954,SPEAKER_09
29.012,29.112,es,0.7290,0.9987,SPEAKER_09
29.555,29.897,ingeniero,0.8130,0.9959,SPEAKER_09
29.977,30.299,civil,0.8220,0.9995,SPEAKER_09
30.34,32.714,matemático,0.9380,0.9441,SPEAKER_09
32.754,33.096,de,0.8250,0.9987,SPEAKER_09
33.116,33.156,la,0.9770,0.9999,SPEAKER_09
33.196,33.518,Universidad,0.6890,0.9981,SPEAKER_09
33.538,33.699,de,0.8980,0.9999,SPEAKER_09
33.719,33.84,"Chile,",0.1670,0.9999,SPEAKER_09
35.22,35.943,tiene,0.7290,0.9998,SPEAKER_09
35.983,36.043,un,0.7260,0.9999,SPEAKER_09
36.104,36.646,máster,0.6730,0.9970,SPEAKER_09
38.413,38.594,en,0.8190,1.0000,SPEAKER_09
38.695,38.735,la,0.7400,1.0000,SPEAKER_09
38.795,39.177,Universidad,0.7630,1.0000,SPEAKER_09
39.217,39.277,de,0.8560,0.9999,SPEAKER_09
39.337,39.859,Michigan,0.7920,0.9993,SPEAKER_09
39.879,39.9,y,0.9960,0.8242,SPEAKER_09
41.185,41.225,es,0.4760,0.9943,SPEAKER_09
41.346,41.607,gerente,0.8590,0.9989,SPEAKER_09
41.687,41.968,general,0.9860,0.9999,SPEAKER_09
42.049,42.109,de,0.9410,1.0000,SPEAKER_09
42.129,42.189,la,0.4780,1.0000,SPEAKER_09
42.37,42.711,compañía,0.8720,0.9305,SPEAKER_09
42.752,42.792,de,0.4430,0.9999,SPEAKER_09
42.832,43.113,seguros,0.7830,0.9753,SPEAKER_09
43.153,43.234,de,0.8420,0.9999,SPEAKER_09
43.314,43.475,vida,0.7770,0.9947,SPEAKER_09
43.515,44.017,Etna,0.4100,0.7561,SPEAKER_09
44.599,44.659,Ban,0.0450,0.2988,SPEAKER_09
44.68,44.8,Chile.,0.1640,0.8206,SPEAKER_09
45.92,46.061,Hará,0.5290,0.9968,SPEAKER_09
46.101,46.142,el,0.6410,0.9995,SPEAKER_09
46.202,46.625,comentario,0.8430,0.9999,SPEAKER_09
46.645,46.686,de,0.3190,0.9957,SPEAKER_09
46.706,46.927,este,0.4300,0.9997,SPEAKER_09
46.947,47.29,trabajo,0.7810,0.9999,SPEAKER_09
47.33,47.37,el,0.4940,0.9980,SPEAKER_09
47.572,47.693,señor,0.8530,0.9990,SPEAKER_09
47.794,48.116,Félix,0.6640,0.9997,SPEAKER_09
48.881,49.526,"Basigalupo,",0.8100,0.9820,SPEAKER_09
49.707,49.768,que,0.6200,0.9927,SPEAKER_09
49.808,49.848,es,0.7010,1.0000,SPEAKER_09
49.889,50.211,ingeniero,0.7730,0.9999,SPEAKER_09
50.292,50.654,comercial,0.7870,0.9997,SPEAKER_09
50.715,50.775,de,0.4980,0.9999,SPEAKER_09
50.795,50.835,la,0.9860,1.0000,SPEAKER_09
50.876,51.279,Universidad,0.7840,0.9998,SPEAKER_09
51.299,51.48,"Católica,",0.1120,0.9996,SPEAKER_09
51.68,52.103,tiene,0.4990,0.9993,SPEAKER_09
52.123,52.224,un,0.3210,1.0000,SPEAKER_09
52.244,52.607,máster,0.7930,0.9998,SPEAKER_09
53.413,53.454,en,0.9290,0.9998,SPEAKER_09
53.474,53.857,economía,0.6520,0.8710,SPEAKER_09
53.897,53.937,en,0.6020,0.9603,SPEAKER_09
