start,end,word,alignment_score,probability,speaker
0.0,0.446,Ya,0.8620,0.7985,SPEAKER_00
0.547,0.851,habían,0.8480,0.9999,SPEAKER_00
0.912,1.236,logrado,0.9540,1.0000,SPEAKER_00
1.358,1.418,la,0.9790,0.9999,SPEAKER_00
1.52,1.945,renuncia,0.9480,1.0000,SPEAKER_00
2.006,2.107,del,0.8680,0.9996,SPEAKER_00
2.168,2.472,general,0.8120,0.9262,SPEAKER_00
2.573,2.958,Carlos,0.9120,0.9998,SPEAKER_00
2.979,3.1,"Prats,",0.1670,0.9887,SPEAKER_00
4.0,4.505,buscaron,0.7540,0.9983,SPEAKER_00
4.586,5.051,entonces,0.8040,0.9995,SPEAKER_00
5.091,6.041,obtener,0.8270,0.8638,SPEAKER_00
6.061,6.101,la,0.4940,0.9999,SPEAKER_00
6.404,6.849,renuncia,0.9920,1.0000,SPEAKER_00
6.93,7.071,del,0.9190,0.9998,SPEAKER_00
7.213,7.698,presidente,0.9000,0.9981,SPEAKER_00
7.738,7.96,Allende.,0.1790,0.9962,SPEAKER_00
30.68,31.604,Aprieta,0.5210,0.5904,SPEAKER_01
32.005,32.045,mi,0.0540,0.6825,SPEAKER_01
32.065,34.113,"garganta,",0.1580,0.9910,SPEAKER_01
34.133,34.274,pero,0.8000,0.9766,SPEAKER_01
34.314,34.474,me,0.5520,0.9981,SPEAKER_01
34.494,36.422,tiembla,0.4640,0.9725,SPEAKER_01
36.442,36.482,la,0.0000,0.9650,SPEAKER_01
36.502,36.602,lucha,0.0000,0.9946,SPEAKER_01
36.623,36.703,de,0.4340,0.9964,SPEAKER_01
36.723,36.884,"ustedes,",0.1720,0.9896,SPEAKER_01
38.329,38.369,el,0.0060,0.9955,SPEAKER_01
38.389,38.992,coraje,0.6930,0.9951,SPEAKER_01
39.975,40.015,de,0.0120,0.9993,SPEAKER_01
40.036,40.296,"ustedes,",0.2620,0.9998,SPEAKER_01
40.317,40.397,la,0.4370,0.9976,SPEAKER_01
40.698,40.859,decisión,0.0090,0.9991,SPEAKER_01
40.879,41.059,de,0.3860,0.9993,SPEAKER_01
41.079,41.24,ustedes.,0.1360,0.9998,SPEAKER_01
42.18,42.683,Son,0.3690,0.2544,SPEAKER_01
42.703,43.126,podrías,0.4620,0.2194,SPEAKER_01
43.247,43.509,mis,0.3960,0.7935,SPEAKER_01
43.569,43.972,"camaradas,",0.5410,0.9986,SPEAKER_01
46.508,46.589,pero,0.0090,0.9980,SPEAKER_01
46.609,46.649,no,0.1500,0.9924,SPEAKER_01
46.67,46.73,lo,0.4240,0.9972,SPEAKER_01
46.81,47.032,hago,0.3370,0.9996,SPEAKER_01
47.052,47.193,por,0.3150,0.4616,SPEAKER_01
47.213,47.253,la,0.0340,0.9793,SPEAKER_01
47.274,47.414,pobreza,0.0290,0.6228,SPEAKER_01
47.435,47.636,mujer,0.2620,0.8971,SPEAKER_01
47.797,47.918,que,0.4230,0.9392,SPEAKER_01
47.938,48.059,hay,0.1760,0.3375,SPEAKER_01
48.079,48.2,en,0.3300,0.9527,SPEAKER_01
48.22,48.28,"mí,",0.3330,0.9507,SPEAKER_01
48.52,49.53,por,0.5460,0.9854,SPEAKER_01
49.551,49.591,el,0.0060,0.9940,SPEAKER_01
49.611,49.712,niño,0.2960,0.7437,SPEAKER_01
49.732,49.793,de,0.7220,0.9994,SPEAKER_01
49.894,49.934,mi,0.1580,0.9994,SPEAKER_01
49.995,50.925,"patria,",0.6030,0.9991,SPEAKER_01
50.945,51.187,por,0.3470,0.9984,SPEAKER_01
51.207,51.288,los,0.9050,0.9981,SPEAKER_01
51.349,51.854,obreros,0.5870,0.8131,SPEAKER_01
52.278,52.46,chilenos.,0.1120,0.9867,SPEAKER_01
53.06,53.568,Seguiré,0.0850,0.9905,SPEAKER_01
53.588,54.035,luchando,0.4160,0.9995,SPEAKER_01
54.076,54.218,con,0.5430,0.9587,SPEAKER_01
54.239,54.3,el,0.6570,0.6432,SPEAKER_01
54.34,54.706,apoyo,0.9250,0.9972,SPEAKER_01
54.726,54.767,de,0.4260,0.9947,SPEAKER_01
55.214,55.377,"ustedes,",0.0320,0.9903,SPEAKER_01
55.397,55.6,camaradas.,0.1600,0.9776,SPEAKER_01
60.0,60.303,Gracias.,0.2090,0.0943,UNKNOWN
