start,end,word,alignment_score,probability,speaker
7.42,8.185,Buenas,0.7650,0.9061,SPEAKER_10
8.266,8.608,tardes.,0.8660,1.0000,SPEAKER_10
9.434,9.555,Para,0.7770,0.9985,SPEAKER_10
9.575,9.615,el,0.1620,0.9965,SPEAKER_10
9.635,9.836,Centro,0.5760,0.9984,SPEAKER_10
9.857,9.897,de,0.3900,0.9967,SPEAKER_10
9.917,10.139,Estudios,0.8920,0.9998,SPEAKER_10
10.259,10.582,Públicos,0.7690,0.9995,SPEAKER_10
10.622,10.662,es,0.4880,0.9557,SPEAKER_10
10.743,10.803,un,0.7900,1.0000,SPEAKER_10
10.843,11.105,honor,0.9480,0.9998,SPEAKER_10
11.286,11.729,tener,0.5020,0.9996,SPEAKER_10
11.75,11.79,al,0.0070,0.9973,SPEAKER_10
11.81,12.414,profesor,0.2180,0.9708,SPEAKER_10
12.434,13.119,Ernst,0.2400,0.9827,SPEAKER_10
13.139,13.22,Derr,0.0150,0.8713,SPEAKER_10
13.24,13.3,hoy,0.2620,0.9226,SPEAKER_10
13.28,13.642,día,0.7820,0.9998,SPEAKER_10
13.683,13.783,con,0.7600,0.9999,SPEAKER_10
13.844,14.226,"nosotros,",0.8710,1.0000,SPEAKER_10
14.247,14.347,quien,0.1310,0.9991,SPEAKER_10
14.528,14.81,nos,0.8050,1.0000,SPEAKER_10
16.139,16.3,dará,0.9910,0.9952,SPEAKER_10
16.341,16.421,la,0.4890,0.8648,SPEAKER_10
16.482,17.025,"conferencia,",0.9090,1.0000,SPEAKER_10
17.549,17.649,una,0.9340,0.9997,SPEAKER_10
17.71,18.052,conferencia,0.8500,1.0000,SPEAKER_10
18.092,18.394,sobre,0.8540,1.0000,SPEAKER_10
18.455,18.556,la,0.5590,0.9999,SPEAKER_10
18.616,18.817,crisis,0.7510,0.9992,SPEAKER_10
18.898,19.24,económica,0.3110,1.0000,SPEAKER_10
19.22,19.421,de,0.2620,0.9777,SPEAKER_10
19.542,19.864,Chile.,0.5400,0.9997,SPEAKER_10
21.11,21.191,Su,0.6660,0.9826,SPEAKER_10
21.271,21.513,título,0.9360,0.9999,SPEAKER_10
21.533,21.794,es,0.2700,0.9988,SPEAKER_10
21.814,22.156,Existe,0.7510,0.9319,SPEAKER_10
22.196,22.257,un,0.8750,0.9999,SPEAKER_10
22.277,22.538,tercer,0.9620,0.9884,SPEAKER_10
22.599,22.9,camino,0.9650,1.0000,SPEAKER_10
22.94,23.302,entre,0.8790,1.0000,SPEAKER_10
24.046,24.75,intervencionismo,0.9770,0.9996,SPEAKER_10
24.77,24.811,y,0.4990,0.9999,SPEAKER_10
24.871,26.198,monetarismo.,0.9480,0.9960,SPEAKER_10
26.218,26.359,El,0.3580,0.9997,SPEAKER_10
26.379,26.54,profesor,0.1250,0.9999,SPEAKER_10
26.52,26.943,Derr,0.3120,0.2749,SPEAKER_10
27.004,27.084,es,0.9600,0.8549,SPEAKER_10
27.145,27.749,"economista,",0.8510,0.9847,SPEAKER_10
27.77,28.132,doctor,0.5950,0.9973,SPEAKER_10
28.152,28.213,en,0.8320,0.9353,SPEAKER_10
28.233,28.475,ciencia,0.9040,0.9483,SPEAKER_10
28.535,28.938,"política,",0.9490,0.9989,SPEAKER_10
28.979,29.966,catedrático,0.5170,0.9984,SPEAKER_10
29.986,30.027,en,0.0990,0.6515,SPEAKER_10
30.047,30.127,la,0.5360,0.9996,SPEAKER_10
30.148,30.631,Universidad,0.8500,0.9524,SPEAKER_10
30.672,30.752,de,0.9080,0.9552,SPEAKER_10
30.893,31.8,Erlangen-Müttemberg,0.4230,0.9758,SPEAKER_10
31.78,32.144,y,0.8060,0.7598,SPEAKER_10
32.164,32.366,miembro,0.8500,0.9259,SPEAKER_10
32.406,32.487,del,0.8540,0.9998,SPEAKER_10
32.528,32.77,Consejo,0.9220,0.9996,SPEAKER_10
32.811,33.356,Científico,0.8530,0.9800,SPEAKER_10
33.397,33.478,del,0.2840,0.9995,SPEAKER_10
33.538,33.922,Ministerio,0.8750,0.9995,SPEAKER_10
33.963,34.003,de,0.9090,0.9997,SPEAKER_10
34.023,34.367,Economía,0.7000,0.9995,SPEAKER_10
34.407,34.448,de,0.5280,0.9998,SPEAKER_10
34.488,34.528,la,0.2070,0.8800,SPEAKER_10
34.569,34.933,República,0.7940,0.9995,SPEAKER_10
35.034,35.397,Federal,0.7660,0.9957,SPEAKER_10
35.418,35.458,de,0.0000,0.9995,SPEAKER_10
35.478,35.66,Alemania.,0.1110,0.9995,SPEAKER_10
36.5,37.324,El,0.8310,0.9998,SPEAKER_10
37.484,37.906,profesor,0.8010,0.9953,SPEAKER_10
37.926,38.147,Derr,0.7590,0.9501,SPEAKER_10
38.83,39.011,va,0.9790,0.9980,SPEAKER_10
39.975,39.996,a,0.0040,0.9993,SPEAKER_10
40.016,40.377,tomar,0.8750,0.9997,SPEAKER_10
40.478,40.578,unos,0.6120,0.9296,SPEAKER_10
40.618,41.201,45,0.6620,0.6332,SPEAKER_10
41.301,41.723,minutos,0.7990,0.9825,SPEAKER_10
41.743,41.783,su,0.4840,1.0000,SPEAKER_10
41.804,42.929,intervención,0.8680,0.4389,SPEAKER_10
42.949,42.969,y,0.9900,1.0000,SPEAKER_10
43.692,43.993,después,0.9300,0.9826,SPEAKER_10
44.074,44.435,podemos,0.9370,0.9995,SPEAKER_10
45.42,45.52,tener,0.1880,0.9945,SPEAKER_10
45.5,46.024,unos,0.4670,0.9994,SPEAKER_10
46.104,46.427,minutos,0.8560,0.9993,SPEAKER_10
46.548,46.648,de,0.9480,0.9994,SPEAKER_10
46.91,47.474,"conversación,",0.9710,0.9999,SPEAKER_10
47.635,48.159,"preguntas,",0.8640,0.9924,SPEAKER_10
48.199,49.408,opiniones.,0.3910,0.9977,SPEAKER_10
49.428,49.569,Dejo,0.2000,0.9991,SPEAKER_10
49.589,49.992,entonces,0.5930,0.7813,SPEAKER_10
50.073,50.254,con,0.8090,0.9989,SPEAKER_10
50.274,50.436,usted,0.4400,0.9866,SPEAKER_10
50.456,50.496,al,0.4440,0.9951,SPEAKER_10
50.556,50.959,profesor,0.4340,0.9823,SPEAKER_10
50.979,51.08,Derr.,0.3920,0.9993,SPEAKER_10
51.72,52.529,Muchas,0.7960,0.9990,SPEAKER_09
52.631,52.894,gracias,0.7820,0.9925,SPEAKER_09
52.934,53.319,señora,0.5930,0.9999,SPEAKER_09
53.379,53.48,por,0.7880,0.8146,SPEAKER_09
53.561,53.845,su,0.4160,0.9965,SPEAKER_09
54.007,54.512,amable,0.5140,0.9999,SPEAKER_09
54.533,55.18,introducción.,0.2370,0.9998,SPEAKER_09
56.52,57.384,Señoras,0.4800,0.9938,SPEAKER_09
57.404,57.424,y,0.0130,0.5867,SPEAKER_09
57.444,58.67,"señores,",0.9270,0.9992,SPEAKER_09
58.69,60.96,"bueno,",0.8530,0.9970,SPEAKER_09
61.02,61.181,los,0.9570,0.5274,SPEAKER_09
61.402,61.623,tres,0.8820,0.9984,SPEAKER_09
62.366,63.13,objetivos,0.6700,0.9944,SPEAKER_09
63.29,63.451,más,0.8310,0.9992,SPEAKER_09
63.531,64.154,importantes,0.9300,0.9993,SPEAKER_09
64.174,64.214,de,0.4960,0.9999,SPEAKER_09
64.235,64.275,la,0.4980,0.9976,SPEAKER_09
64.656,65.038,política,0.5430,0.9998,SPEAKER_09
65.139,65.48,económica,0.5310,0.9984,SPEAKER_09
65.46,66.543,son,0.7490,0.9999,SPEAKER_09
67.024,67.224,la,0.9840,0.9973,SPEAKER_09
67.605,68.427,"estabilidad,",0.8840,0.9968,SPEAKER_09
72.478,72.618,el,0.7970,0.9995,SPEAKER_09
72.638,72.899,nivel,0.8540,0.9970,SPEAKER_09
72.939,73.039,de,0.1280,0.9989,SPEAKER_09
73.059,73.42,"precios,",0.8030,0.9999,SPEAKER_09
74.362,74.523,el,0.6330,0.9779,SPEAKER_09
74.663,74.863,pleno,0.7730,0.9999,SPEAKER_09
74.924,75.365,empleo,0.8170,0.9947,SPEAKER_09
79.776,79.936,y,0.9970,0.9785,SPEAKER_09
80.197,80.317,el,0.8000,0.9277,SPEAKER_09
80.397,80.959,crecimiento,0.8580,0.9997,SPEAKER_09
80.999,81.5,económico.,0.4120,0.9998,SPEAKER_09
84.72,86.193,"Bueno,",0.5690,0.9999,SPEAKER_09
86.214,86.52,generalmente...,0.0720,0.9860,SPEAKER_09
86.52,86.982,Generalmente,0.3310,0.7271,SPEAKER_09
87.062,87.222,hay,0.8070,0.5010,SPEAKER_09
87.303,87.544,una,0.7840,0.8132,SPEAKER_09
88.025,88.507,armonía,0.6270,0.9940,SPEAKER_09
88.547,89.511,entre,0.4630,0.9891,SPEAKER_09
89.952,90.374,ambos,0.9160,0.9911,SPEAKER_09
91.096,91.678,"objetivos,",0.9200,0.9964,SPEAKER_09
95.291,95.713,porque,0.7810,0.9945,SPEAKER_09
95.733,95.793,lo,0.9280,0.9760,SPEAKER_09
95.833,95.933,más,0.7050,0.9681,SPEAKER_09
96.014,96.255,alto,0.9220,0.9791,SPEAKER_09
