start,end,word,alignment_score,probability,speaker
6.16,6.903,Buenas,0.8810,0.9790,SPEAKER_01
7.004,7.346,"tardes,",0.9390,1.0000,SPEAKER_01
10.319,10.721,bienvenidos,0.7790,0.7634,SPEAKER_01
10.761,10.822,al,0.5860,0.9997,SPEAKER_01
10.902,11.083,Centro,0.5530,0.9946,SPEAKER_01
11.103,11.143,de,0.5040,0.9926,SPEAKER_01
11.163,11.384,Estudios,0.6720,0.9997,SPEAKER_01
11.485,11.907,Públicos,0.8200,0.9998,SPEAKER_01
13.233,13.273,a,0.8400,0.9596,SPEAKER_01
13.313,13.494,esta,0.9940,1.0000,SPEAKER_01
13.575,13.916,tercera,0.9310,0.9999,SPEAKER_01
13.997,14.338,reunión,0.9040,1.0000,SPEAKER_01
14.378,14.64,del,0.2050,1.0000,SPEAKER_01
14.66,14.76,curso,0.2000,0.9975,SPEAKER_01
14.74,14.78,de,0.3590,1.0000,SPEAKER_01
15.043,15.447,formación,0.6370,0.7844,SPEAKER_01
15.568,15.87,política,0.8540,0.9995,SPEAKER_01
15.971,16.496,democrática,0.8830,0.9945,SPEAKER_01
16.617,16.698,que,0.9180,1.0000,SPEAKER_01
16.759,16.92,hemos,0.8200,1.0000,SPEAKER_01
17.001,17.465,organizado,0.9130,1.0000,SPEAKER_01
17.546,17.647,para,0.8610,1.0000,SPEAKER_01
17.707,17.768,los,0.9010,0.9998,SPEAKER_01
17.808,18.273,suscriptores,0.7200,0.9973,SPEAKER_01
18.313,19.08,estudiantes,0.1680,0.9959,SPEAKER_01
19.06,19.422,de,0.5680,1.0000,SPEAKER_01
20.208,20.268,la,0.5840,1.0000,SPEAKER_01
20.329,20.631,revista,0.6020,0.9988,SPEAKER_01
20.671,21.033,Estudios,0.3870,0.9512,SPEAKER_01
21.114,21.476,Públicos.,0.8500,0.9999,SPEAKER_01
22.564,22.705,Esta,0.5560,0.9998,SPEAKER_01
22.765,22.987,tarde,0.8700,0.9999,SPEAKER_01
23.027,23.128,es,0.5950,1.0000,SPEAKER_01
23.188,23.269,un,0.5080,0.9993,SPEAKER_01
23.309,23.692,agrado,0.7160,0.9985,SPEAKER_01
23.712,23.752,y,0.8860,0.9997,SPEAKER_01
23.792,23.853,un,0.8040,0.9980,SPEAKER_01
23.873,24.094,honor,0.7880,0.9999,SPEAKER_01
24.215,24.658,presentar,0.9140,1.0000,SPEAKER_01
24.678,24.799,a,0.7970,1.0000,SPEAKER_01
24.819,24.94,Joseph,0.1670,0.9731,SPEAKER_01
