start,end,word,alignment_score,probability,speaker
2.48,3.043,El,0.5870,0.6811,SPEAKER_06
3.063,3.465,"pastor,",0.8460,0.7377,SPEAKER_06
4.61,4.711,por,0.8110,0.9972,SPEAKER_06
4.771,4.851,su,0.9490,1.0000,SPEAKER_06
4.912,5.354,"oficio,",0.9070,1.0000,SPEAKER_06
5.896,5.977,él,0.9690,0.9294,SPEAKER_06
5.997,6.158,está,0.7650,1.0000,SPEAKER_06
6.198,6.278,en,0.7440,1.0000,SPEAKER_06
6.338,6.841,contacto,0.8460,1.0000,SPEAKER_06
7.524,7.645,con,0.9210,1.0000,SPEAKER_06
7.705,7.745,la,0.7910,1.0000,SPEAKER_06
7.826,8.348,"miseria,",0.9740,1.0000,SPEAKER_06
8.368,8.408,la,0.4980,1.0000,SPEAKER_06
8.891,9.614,"marginación,",0.9660,0.9946,SPEAKER_06
9.634,9.674,la,0.4940,1.0000,SPEAKER_06
10.318,10.86,"frustración,",0.6500,1.0000,SPEAKER_06
11.52,11.902,con,0.8600,1.0000,SPEAKER_06
11.942,12.023,el,0.9580,1.0000,SPEAKER_06
12.103,12.364,"odio,",0.9950,1.0000,SPEAKER_06
13.651,13.791,con,0.9710,1.0000,SPEAKER_06
13.832,13.932,el,0.8280,1.0000,SPEAKER_06
14.013,14.234,nada,0.9130,1.0000,SPEAKER_06
14.314,14.415,que,0.7810,0.9985,SPEAKER_06
14.495,14.837,perder,0.9490,1.0000,SPEAKER_06
14.857,14.877,y,0.9990,1.0000,SPEAKER_06
15.158,15.339,el,0.7590,0.9999,SPEAKER_06
15.4,15.56,algo,0.7960,1.0000,SPEAKER_06
15.641,15.761,que,0.7210,1.0000,SPEAKER_06
15.822,16.083,"ganar,",0.9530,1.0000,SPEAKER_06
17.631,17.751,con,0.9940,1.0000,SPEAKER_06
17.792,17.852,la,0.9840,1.0000,SPEAKER_06
17.932,18.475,juventud,0.9070,1.0000,SPEAKER_06
18.797,18.937,sin,0.8410,0.9998,SPEAKER_06
19.018,19.4,presente,0.3240,0.9999,SPEAKER_06
