start,end,word,alignment_score,probability,speaker
3.34,4.265,En,0.4600,0.0231,SPEAKER_00
4.285,4.345,las,0.0000,0.9396,SPEAKER_00
4.365,4.426,dos,0.7690,0.7032,SPEAKER_00
4.526,4.788,últimas,0.8360,0.9988,SPEAKER_00
4.928,5.23,charlas,0.6730,0.9597,SPEAKER_00
5.351,5.511,hemos,0.6770,0.9844,SPEAKER_00
5.612,5.914,notado,0.8120,0.9999,SPEAKER_00
5.954,6.014,una,0.3830,0.9997,SPEAKER_00
6.316,6.617,baja,0.9770,0.9996,SPEAKER_00
6.658,7.22,en,0.7660,0.9935,SPEAKER_00
7.241,7.281,la,0.7460,0.9998,SPEAKER_00
7.301,7.824,asistencia,0.8720,0.9990,SPEAKER_00
9.271,9.332,de,0.9330,0.9998,SPEAKER_00
9.392,9.794,personas,0.8460,0.9981,SPEAKER_00
9.895,10.116,hoy,0.8120,0.8038,SPEAKER_00
10.136,10.458,día,0.7440,0.6663,SPEAKER_00
10.478,10.94,ostensibles.,0.4260,0.7472,SPEAKER_00
11.38,12.083,Yo,0.6330,0.9740,SPEAKER_00
12.103,12.223,creo,0.7110,1.0000,SPEAKER_00
12.304,12.404,que,0.8180,1.0000,SPEAKER_00
12.464,12.826,mientras,0.9320,1.0000,SPEAKER_00
13.007,13.147,eso,0.5560,0.9998,SPEAKER_00
13.228,13.609,suceda,0.8380,0.9912,SPEAKER_00
14.091,14.151,con,0.0480,0.9999,SPEAKER_00
14.172,14.252,las,0.9960,1.0000,SPEAKER_00
14.312,14.694,personas,0.9290,1.0000,SPEAKER_00
14.774,14.854,de,0.9020,0.9998,SPEAKER_00
14.895,14.955,la,0.9470,0.9999,SPEAKER_00
15.035,15.377,"casa,",0.7770,0.9989,SPEAKER_00
15.397,15.778,"digamos,",0.5200,0.4743,SPEAKER_00
15.798,15.979,como,0.8430,0.9885,SPEAKER_00
16.501,16.602,es,0.8280,0.9768,SPEAKER_00
17.505,17.566,el,0.6420,1.0000,SPEAKER_00
17.686,17.887,caso,0.9190,1.0000,SPEAKER_00
17.907,17.947,de,0.5010,0.8619,SPEAKER_00
17.987,18.329,quien,0.7070,0.9200,SPEAKER_00
18.349,18.449,hoy,0.7340,0.9996,SPEAKER_00
18.489,18.63,día,0.5680,0.9998,SPEAKER_00
18.65,19.032,"expone,",0.7920,0.9959,SPEAKER_00
20.016,20.116,no,0.9600,1.0000,SPEAKER_00
20.217,20.297,es,0.8270,1.0000,SPEAKER_00
20.478,20.638,tan,0.9060,0.9999,SPEAKER_00
20.859,21.08,importante.,0.0870,1.0000,SPEAKER_00
21.82,22.502,Yo,0.6980,0.6763,SPEAKER_00
22.562,22.642,les,0.7980,0.9847,SPEAKER_00
22.702,22.963,recuerdo,0.8980,0.9995,SPEAKER_00
22.983,23.043,que,0.3700,0.9982,SPEAKER_00
23.163,24.306,el,0.8730,0.9986,SPEAKER_00
25.268,25.609,miércoles,0.5920,0.9721,SPEAKER_00
25.649,26.29,subsiguiente,0.8490,0.9920,SPEAKER_00
26.31,27.212,hay,0.5110,0.9590,SPEAKER_00
27.272,27.393,un,0.9540,1.0000,SPEAKER_00
27.593,27.994,panel,0.9260,1.0000,SPEAKER_00
29.778,29.939,entre,0.8200,0.9982,SPEAKER_00
30.019,30.319,Sergio,0.6450,0.9992,SPEAKER_00
30.359,30.68,"Merlin,",0.8140,0.6153,SPEAKER_00
30.72,30.76,el,0.8080,0.9811,SPEAKER_00
30.78,31.121,decano,0.5180,0.7796,SPEAKER_00
31.141,31.181,de,0.4110,0.9996,SPEAKER_00
31.221,31.262,la,0.7940,0.9997,SPEAKER_00
31.302,31.642,Facultad,0.8750,0.9566,SPEAKER_00
31.662,31.703,de,0.2040,1.0000,SPEAKER_00
31.743,32.123,Economía,0.5810,0.9998,SPEAKER_00
32.144,32.184,de,0.2680,0.7123,SPEAKER_00
32.204,32.244,la,0.3180,0.9908,SPEAKER_00
32.264,32.504,Universidad,0.2060,0.9987,SPEAKER_00
32.565,32.625,de,0.4280,0.9979,SPEAKER_00
32.645,33.607,"Chile,",0.6840,0.9739,SPEAKER_00
33.627,33.667,y,0.9070,0.8738,SPEAKER_00
33.687,33.867,Igor,0.5920,0.3740,SPEAKER_00
33.888,34.369,"Saavedra,",0.6980,0.9857,SPEAKER_00
36.493,37.095,catedrático,0.7800,0.9943,SPEAKER_00
37.135,37.175,de,0.5200,0.9997,SPEAKER_00
37.215,37.275,la,0.7580,0.9942,SPEAKER_00
37.315,37.917,Facultad,0.8230,0.9995,SPEAKER_00
37.937,37.977,de,0.4880,1.0000,SPEAKER_00
38.157,38.418,Ciencias,0.3880,0.8092,SPEAKER_00
38.438,38.819,Físicas,0.8030,0.9955,SPEAKER_00
38.959,38.999,y,0.7150,0.9999,SPEAKER_00
39.039,39.38,Matemáticas.,0.2790,0.9942,SPEAKER_00
42.3,42.984,Ambos,0.8610,0.9906,SPEAKER_00
43.045,43.226,son,0.8780,0.9994,SPEAKER_00
43.306,44.051,"invitados,",0.9390,0.9999,SPEAKER_00
44.937,44.997,de,0.8890,0.9963,SPEAKER_00
45.078,45.379,manera,0.9380,0.9997,SPEAKER_00
45.4,45.46,que,0.3370,0.9998,SPEAKER_00
45.661,45.822,yo,0.8740,0.9999,SPEAKER_00
45.842,46.305,apelo,0.7270,0.9993,SPEAKER_00
46.325,46.346,a,0.9850,1.0000,SPEAKER_00
47.171,47.412,vuestra,0.8940,0.9987,SPEAKER_00
47.473,48.036,capacidad,0.9110,0.9994,SPEAKER_00
48.137,48.197,de,0.9920,0.9999,SPEAKER_00
48.278,48.64,movilización.,0.1960,0.9953,SPEAKER_00
50.22,50.577,Usando,0.1350,0.9312,SPEAKER_00
50.598,50.872,un,0.3310,0.7556,SPEAKER_00
50.893,51.061,término.,0.1260,0.6217,SPEAKER_00
51.06,51.1,Un,0.0440,0.0013,SPEAKER_00
51.141,51.282,término,0.0550,0.5438,SPEAKER_00
51.302,51.423,medio,0.0750,0.9892,SPEAKER_00
51.564,51.926,"político,",0.8590,0.9349,SPEAKER_00
53.316,53.638,para,0.9600,0.9932,SPEAKER_00
53.82,54.082,que,0.8050,0.9994,SPEAKER_00
55.975,56.257,haya,0.6840,0.9833,SPEAKER_00
56.277,56.539,más,0.5380,0.9976,SPEAKER_00
56.559,56.68,gente.,0.1670,0.9975,SPEAKER_00
60.44,61.743,En,0.7930,0.3067,SPEAKER_00
61.783,62.625,"verdad,",0.8400,0.9970,SPEAKER_00
62.646,62.746,más,0.9510,0.9982,SPEAKER_00
62.806,62.986,que,0.4120,0.9969,SPEAKER_00
63.006,63.708,"charla,",0.5410,0.9535,SPEAKER_00
63.728,64.209,quisiera,0.7670,0.9998,SPEAKER_00
65.212,65.493,dar,0.8450,0.8416,SPEAKER_00
66.936,66.956,a,0.0140,0.9526,SPEAKER_00
66.976,67.037,los,0.6010,0.9737,SPEAKER_00
67.097,67.618,"asistentes,",0.8500,0.9993,SPEAKER_00
69.082,69.402,esforzar,0.9100,0.9249,SPEAKER_00
69.443,69.783,algunas,0.7100,0.9998,SPEAKER_00
69.823,70.124,ideas,0.7670,0.9999,SPEAKER_00
70.164,70.686,generales,0.9070,0.9999,SPEAKER_00
70.726,71.026,sobre,0.6660,0.9967,SPEAKER_00
71.207,71.267,el,0.9820,0.9912,SPEAKER_00
71.407,71.708,"tema,",0.8410,1.0000,SPEAKER_00
72.129,72.189,las,0.9830,0.9974,SPEAKER_00
72.25,72.59,vertientes,0.7250,0.9834,SPEAKER_00
72.711,73.212,ordinarias,0.9040,0.6504,SPEAKER_00
