start,end,word,alignment_score,probability,speaker
3.4,3.842,Buenas,0.7280,0.9953,SPEAKER_03
3.905,4.221,noches.,0.6310,1.0000,SPEAKER_03
10.16,10.755,Bienvenidos,0.7650,0.9994,SPEAKER_03
10.776,10.817,al,0.4930,0.9996,SPEAKER_03
10.981,11.125,Centro,0.6970,0.9938,SPEAKER_03
11.146,11.187,de,0.3920,0.9479,SPEAKER_03
11.207,11.515,Estudios,0.8650,0.9994,SPEAKER_03
11.536,11.721,Públicos.,0.1110,0.9994,SPEAKER_03
11.7,11.761,Les,0.1260,0.9996,SPEAKER_03
12.043,12.225,invito,0.4640,1.0000,SPEAKER_03
12.245,12.265,a,0.0270,1.0000,SPEAKER_03
12.286,12.568,ocupar,0.9810,1.0000,SPEAKER_03
12.71,12.851,las,0.9610,1.0000,SPEAKER_03
13.497,13.881,sillas,0.9070,0.9992,SPEAKER_03
15.476,15.9,cercanas.,0.5730,0.9994,SPEAKER_03
17.08,17.633,Aunque,0.8690,0.9995,SPEAKER_03
17.694,17.755,sé,0.7840,0.9996,SPEAKER_03
17.817,17.899,que,0.6800,1.0000,SPEAKER_03
17.919,17.98,no,0.7400,1.0000,SPEAKER_03
18.021,18.062,lo,0.8300,1.0000,SPEAKER_03
18.103,18.185,van,0.7260,1.0000,SPEAKER_03
18.206,18.226,a,0.9120,1.0000,SPEAKER_03
18.287,18.676,"hacer,",0.4890,0.9997,SPEAKER_03
18.697,18.779,pero,0.0220,0.9991,SPEAKER_03
18.799,18.86,sí.,0.3300,0.9262,SPEAKER_03
20.14,20.66,Están,0.7630,0.9997,SPEAKER_03
20.722,20.868,ahí,0.8160,0.9999,SPEAKER_03
20.951,21.201,para...,0.6370,0.9960,SPEAKER_03
24.36,24.96,Por,0.7500,0.6136,SPEAKER_03
25.001,25.063,si,0.5020,0.9999,SPEAKER_03
25.104,25.291,alguien,0.9260,1.0000,SPEAKER_03
25.311,25.435,se,0.5290,1.0000,SPEAKER_03
25.456,25.601,atreve.,0.1550,0.9999,SPEAKER_03
32.44,33.285,Como,0.7680,0.5351,SPEAKER_03
33.346,33.567,ustedes,0.7690,0.9975,SPEAKER_03
33.667,34.03,"saben,",0.7960,1.0000,SPEAKER_03
34.251,34.332,el,0.9100,0.9999,SPEAKER_03
34.432,34.774,doctor,0.9640,0.9468,SPEAKER_03
36.706,37.149,Álvarez,0.9000,0.9960,SPEAKER_03
38.155,38.215,es,0.9260,0.9973,SPEAKER_03
38.255,38.557,director,0.9400,0.9691,SPEAKER_03
38.598,39.02,ejecutivo,0.2750,0.9998,SPEAKER_03
39.0,39.263,de,0.5090,0.9979,SPEAKER_03
39.323,39.364,la,0.9910,1.0000,SPEAKER_03
39.404,39.829,Fundación,0.8840,0.9681,SPEAKER_03
39.849,40.415,General,0.1990,0.9997,SPEAKER_03
40.516,40.759,José,0.7980,0.9999,SPEAKER_03
40.799,41.122,Dolores,0.7470,0.9996,SPEAKER_03
41.163,41.203,de,0.6800,0.9832,SPEAKER_03
41.224,41.769,"Estrada,",0.8300,0.9977,SPEAKER_03
42.012,42.194,con,0.9210,0.9997,SPEAKER_03
42.214,42.416,sede,0.7960,0.9999,SPEAKER_03
42.436,42.618,en,0.7910,1.0000,SPEAKER_03
42.639,42.8,Managua.,0.1260,0.9991,SPEAKER_03
43.2,43.949,Es,0.8560,0.9989,SPEAKER_03
44.11,44.191,una,0.9550,0.9999,SPEAKER_03
44.252,44.657,fundación,0.8180,0.9996,SPEAKER_03
44.697,45.162,dedicada,0.6450,0.9999,SPEAKER_03
45.203,45.264,al,0.7140,0.9998,SPEAKER_03
45.304,45.729,"estudio,",0.7910,1.0000,SPEAKER_03
45.769,46.235,análisis,0.7880,1.0000,SPEAKER_03
46.255,46.275,y,0.9520,0.9998,SPEAKER_03
46.498,46.72,divulgación,0.0910,1.0000,SPEAKER_03
46.7,46.74,de,0.0620,0.9999,SPEAKER_03
47.125,47.206,los,0.2850,0.9996,SPEAKER_03
47.226,47.549,principios,0.6490,0.9996,SPEAKER_03
47.59,47.651,de,0.6700,0.9999,SPEAKER_03
47.691,47.731,la,1.0000,0.9999,SPEAKER_03
47.792,48.156,democracia,0.9170,0.9999,SPEAKER_03
48.197,49.026,representativa,0.9040,0.9995,SPEAKER_03
49.046,49.066,y,0.9980,0.9991,SPEAKER_03
49.107,49.814,la,0.9110,0.9998,SPEAKER_03
49.855,50.219,economía,0.7980,0.9998,SPEAKER_03
50.239,50.34,libre,0.2000,0.9998,SPEAKER_03
50.32,50.685,que,0.1880,0.7630,SPEAKER_03
51.253,51.699,funciona,0.9550,0.9996,SPEAKER_03
51.739,52.165,en,0.9580,0.9959,SPEAKER_03
52.205,52.347,estos,0.9000,0.9846,SPEAKER_03
52.388,52.692,momentos,0.9110,0.9998,SPEAKER_03
52.935,53.118,en,0.8420,0.9999,SPEAKER_03
53.138,53.3,Managua.,0.1150,0.9999,SPEAKER_03
54.16,55.087,Don,0.6150,0.9521,SPEAKER_03
55.107,55.45,Emilio,0.9680,0.9997,SPEAKER_03
55.973,56.135,está,0.6020,0.9970,SPEAKER_03
56.175,56.719,radicado,0.9040,0.9992,SPEAKER_03
56.799,57.061,ahí,0.8700,0.9992,SPEAKER_03
58.391,58.512,y,0.9350,0.9674,SPEAKER_03
58.593,58.673,es,0.8810,0.9999,SPEAKER_03
58.774,58.875,una,0.9980,0.9988,SPEAKER_03
58.895,58.935,de,0.6760,0.9999,SPEAKER_03
58.976,59.036,las,0.6830,0.9999,SPEAKER_03
59.076,59.479,figuras,0.7300,0.9994,SPEAKER_03
59.499,59.6,clave,0.1980,0.9180,SPEAKER_03
59.58,59.691,en,0.2430,0.9851,SPEAKER_03
59.713,59.802,este,0.0200,0.9946,SPEAKER_03
59.824,60.002,momento.,0.1940,0.4803,SPEAKER_03
60.0,60.041,En,0.0130,0.0618,SPEAKER_03
60.061,60.142,este,0.2850,0.6203,SPEAKER_03
60.162,60.446,momento,0.6410,0.9979,SPEAKER_03
60.567,60.649,en,0.7380,0.8808,SPEAKER_03
60.689,60.73,la,0.9860,0.9992,SPEAKER_03
60.811,61.135,lucha,0.8980,0.9999,SPEAKER_03
61.966,62.452,política,0.9420,0.9990,SPEAKER_03
62.473,62.493,e,0.9960,0.9948,SPEAKER_03
62.594,63.06,intelectual,0.4040,1.0000,SPEAKER_03
63.04,63.101,que,0.1240,0.9802,SPEAKER_03
63.386,63.426,se,0.2920,0.9999,SPEAKER_03
