start,end,word,alignment_score,probability,speaker
8.74,9.826,"Bien,",0.2960,0.8110,SPEAKER_07
9.846,10.429,continuando,0.9470,0.9998,SPEAKER_07
10.59,10.811,con,0.9430,1.0000,SPEAKER_07
11.253,11.394,el,0.6600,0.9999,SPEAKER_07
11.575,12.017,ciclo,0.8200,0.9999,SPEAKER_07
12.118,12.258,de,0.9940,1.0000,SPEAKER_07
12.62,13.304,conferencias,0.8740,0.9985,SPEAKER_07
13.324,13.384,que,0.3210,0.9998,SPEAKER_07
13.485,13.786,el,0.8300,1.0000,SPEAKER_07
13.867,14.108,Centro,0.9020,0.9985,SPEAKER_07
14.128,14.168,de,0.6530,0.9997,SPEAKER_07
14.188,14.47,Estudios,0.6470,0.9997,SPEAKER_07
14.61,15.113,Públicos,0.8330,0.9998,SPEAKER_07
16.219,16.46,ofrece,0.3090,0.9998,SPEAKER_07
16.44,17.104,dentro,0.7710,0.9998,SPEAKER_07
17.345,17.466,del,0.7990,1.0000,SPEAKER_07
17.546,18.17,Seminario,0.9520,0.9532,SPEAKER_07
18.21,18.27,de,0.7740,1.0000,SPEAKER_07
18.351,18.733,Formación,0.9360,0.9972,SPEAKER_07
18.793,19.457,"Democrática,",0.9680,0.9999,SPEAKER_07
19.497,21.227,nos,0.9020,0.9999,SPEAKER_07
21.287,21.911,corresponde,0.8970,0.9998,SPEAKER_07
21.931,22.072,hoy,0.4920,0.9997,SPEAKER_07
22.152,22.393,día,0.9340,0.9999,SPEAKER_07
22.997,23.359,escuchar,0.6240,0.9999,SPEAKER_07
23.379,23.419,al,0.0020,0.7593,SPEAKER_07
23.439,23.6,profesor,0.1250,0.9223,SPEAKER_07
23.58,24.002,Fernando,0.0980,0.8426,SPEAKER_07
24.063,24.385,"Moreno,",0.8420,0.9985,SPEAKER_07
26.497,26.96,experto,0.8100,0.9996,SPEAKER_07
27.04,27.101,en,0.3140,0.9993,SPEAKER_07
27.121,27.463,Teología,0.8370,0.7209,SPEAKER_07
27.483,27.523,de,0.5070,0.9332,SPEAKER_07
27.563,27.604,la,0.9960,0.9987,SPEAKER_07
27.644,28.147,"Liberación,",0.8720,0.9955,SPEAKER_07
28.167,28.207,un,0.4860,0.5440,SPEAKER_07
28.247,28.589,tema,0.6080,0.9995,SPEAKER_07
28.73,28.891,muy,0.7740,0.9995,SPEAKER_07
29.314,29.635,vigente,0.8190,0.9996,SPEAKER_07
30.078,30.279,hoy,0.5560,0.9991,SPEAKER_07
30.299,30.34,en,0.0000,0.9989,SPEAKER_07
30.36,30.44,día.,0.2500,0.9995,SPEAKER_07
32.6,33.385,¿Quién,0.7740,0.9926,SPEAKER_07
33.445,33.546,nos,0.9430,0.9994,SPEAKER_07
33.566,33.606,va,0.9740,0.9998,SPEAKER_07
33.626,33.646,a,0.0300,0.9998,SPEAKER_07
33.707,34.029,exponer,0.9330,0.9985,SPEAKER_07
34.069,34.793,precisamente,0.8820,0.9528,SPEAKER_07
34.813,34.854,la,0.4960,0.8281,SPEAKER_07
35.035,35.457,relación,0.9030,0.9998,SPEAKER_07
35.659,35.88,entre,0.7690,0.9997,SPEAKER_07
36.866,37.027,esas,0.9290,0.6534,SPEAKER_07
37.107,37.611,teologías,0.7360,0.9857,SPEAKER_07
37.651,37.671,y,1.0000,0.9995,SPEAKER_07
38.858,38.919,el,0.9460,0.9978,SPEAKER_07
38.999,39.18,marxismo?,0.1110,0.8004,SPEAKER_07
40.98,41.786,Dejo,0.7700,0.8107,SPEAKER_07
41.807,41.828,a,0.3260,0.7458,SPEAKER_07
41.848,42.117,Fernando,0.2550,0.9993,SPEAKER_07
42.138,42.221,acá.,0.2340,0.8061,SPEAKER_07
48.62,48.966,Yo,0.6870,0.9332,SPEAKER_02
49.982,50.145,voy,0.7750,0.9999,SPEAKER_02
50.185,50.206,a,0.0450,0.9999,SPEAKER_02
50.287,50.897,partir,0.9600,0.9991,SPEAKER_02
50.917,51.12,de...,0.5100,0.9430,SPEAKER_02
53.58,54.122,Dos,0.9450,0.7974,SPEAKER_02
54.283,54.825,preguntas,0.7850,0.9999,SPEAKER_02
54.845,54.905,que,0.3330,0.9894,SPEAKER_02
55.247,55.448,se,0.9960,0.9995,SPEAKER_02
56.151,56.271,ha,0.7960,0.9813,SPEAKER_02
56.331,56.552,hecho,0.8500,0.9999,SPEAKER_02
56.673,57.476,recientemente,0.8990,0.9999,SPEAKER_02
57.516,57.737,el,0.6260,0.9981,SPEAKER_02
57.978,58.641,prefecto,0.9360,0.9940,SPEAKER_02
58.681,59.966,de,0.9770,0.9983,SPEAKER_02
60.027,60.067,la,0.9110,1.0000,SPEAKER_02
60.167,60.87,Congregación,0.9210,0.9022,SPEAKER_02
60.89,61.372,para,0.6250,0.9996,SPEAKER_02
61.453,61.714,la,0.9660,0.9999,SPEAKER_02
62.457,62.899,Doctrina,0.7770,0.9990,SPEAKER_02
62.959,62.979,y,0.7930,0.9998,SPEAKER_02
63.059,63.2,la,0.8640,1.0000,SPEAKER_02
63.22,63.26,Fe,0.5000,0.9968,SPEAKER_02
63.24,63.984,del,0.5710,0.9990,SPEAKER_02
64.024,64.467,"Vaticano,",0.9420,1.0000,SPEAKER_02
64.507,64.568,el,0.8700,0.9994,SPEAKER_02
64.608,65.01,Cardenal,0.8840,0.9371,SPEAKER_02
65.111,65.453,Joseph,0.5640,0.8168,SPEAKER_02
65.593,66.197,"Ratzinger,",0.7970,0.9946,SPEAKER_02
67.424,67.484,en,0.9270,0.9997,SPEAKER_02
67.544,67.605,un,0.9960,0.9999,SPEAKER_02
67.665,68.148,documento,0.8840,1.0000,SPEAKER_02
68.188,68.57,primero,0.9040,0.9837,SPEAKER_02
68.671,69.133,privado,0.9080,1.0000,SPEAKER_02
69.154,69.174,y,0.9880,0.9864,SPEAKER_02
69.415,69.516,que,0.8210,1.0000,SPEAKER_02
69.596,69.677,fue,0.7340,0.9998,SPEAKER_02
69.717,69.998,dado,0.7680,1.0000,SPEAKER_02
70.019,70.039,a,0.0010,0.9998,SPEAKER_02
70.059,70.3,conocer,0.3600,0.9998,SPEAKER_02
70.28,70.702,en,0.5800,0.9999,SPEAKER_02
70.822,71.164,Chile,0.7460,0.9996,SPEAKER_02
72.108,72.51,hacia,0.9870,0.9827,SPEAKER_02
72.55,73.233,diciembre,0.7400,1.0000,SPEAKER_02
73.313,73.434,del,0.8470,0.9999,SPEAKER_02
73.474,73.615,año,0.8730,1.0000,SPEAKER_02
73.715,74.077,"pasado,",0.9510,1.0000,SPEAKER_02
76.166,76.287,que,0.9150,0.9989,SPEAKER_02
76.347,76.447,no,0.9940,0.9997,SPEAKER_02
76.568,76.709,es,0.9750,0.9999,SPEAKER_02
76.809,76.889,el,0.5820,0.9998,SPEAKER_02
76.97,77.512,documento,0.9470,0.9999,SPEAKER_02
77.532,77.572,de,0.4980,0.6286,SPEAKER_02
77.592,77.653,que,0.3320,0.9891,SPEAKER_02
78.034,78.115,se,0.9760,0.9996,SPEAKER_02
78.155,78.215,ha,0.9050,1.0000,SPEAKER_02
78.255,78.697,hablado,0.8300,0.9966,SPEAKER_02
78.717,78.738,y,0.9780,0.9992,SPEAKER_02
79.079,79.139,que,0.0020,0.9999,SPEAKER_02
79.159,79.2,ha,0.0000,0.9997,SPEAKER_02
79.22,79.32,hecho,0.2000,0.9997,SPEAKER_02
79.3,79.361,no,0.2620,0.6356,SPEAKER_02
79.401,79.846,cierto,0.5930,0.9809,SPEAKER_02
79.926,80.29,tanto,0.9960,0.9965,SPEAKER_02
80.391,80.856,revuelo,0.9440,0.9998,SPEAKER_02
81.907,82.534,en,0.8080,0.9971,SPEAKER_02
82.574,82.715,este,0.9560,0.9980,SPEAKER_02
82.776,83.019,último,0.6810,0.9998,SPEAKER_02
83.039,83.18,tiempo.,0.1430,0.9977,SPEAKER_02
83.58,83.841,Sino,0.8210,0.4945,SPEAKER_02
83.861,83.902,un,0.4980,0.9905,SPEAKER_02
84.103,84.505,documento,0.9300,0.9999,SPEAKER_02
84.565,84.927,"anterior,",0.9830,0.9998,SPEAKER_02
84.947,85.108,del,0.2290,0.9979,SPEAKER_02
85.168,85.289,año,0.9420,1.0000,SPEAKER_02
85.389,85.731,"pasado,",0.9330,1.0000,SPEAKER_02
86.636,86.797,que,0.8500,0.9706,SPEAKER_02
87.058,87.882,anunciaba,0.8400,0.9999,SPEAKER_02
87.902,87.922,y,0.9960,0.9997,SPEAKER_02
87.963,88.988,preparaba,0.8340,1.0000,SPEAKER_02
89.008,89.189,ya,0.9920,0.9983,SPEAKER_02
89.229,90.214,este,0.9710,0.9967,SPEAKER_02
90.335,90.596,último,0.9020,0.9997,SPEAKER_02
90.637,91.32,documento.,0.8120,1.0000,SPEAKER_02
91.8,92.525,En,0.7530,0.9988,SPEAKER_02
92.585,93.028,este,0.8130,0.9998,SPEAKER_02
93.41,93.732,primer,0.9620,0.9999,SPEAKER_02
94.055,94.578,documento,0.9960,1.0000,SPEAKER_02
94.598,94.638,de,0.3540,0.9198,SPEAKER_02
94.819,95.383,"Ratzinger,",0.5900,0.9882,SPEAKER_02
95.403,95.524,del,0.8360,0.9991,SPEAKER_02
95.564,95.906,Cardenal,0.8640,0.8755,SPEAKER_02
96.027,96.45,"Ratzinger,",0.5030,0.9999,SPEAKER_02
96.47,96.551,que,0.7800,0.9985,SPEAKER_02
96.591,96.692,fue,0.6140,0.9998,SPEAKER_02
96.752,96.832,una,0.8760,0.9997,SPEAKER_02
96.893,97.436,comunicación,0.9010,0.9998,SPEAKER_02
97.658,98.02,"privada,",0.8140,0.9999,SPEAKER_02
99.48,100.268,hay,0.7860,0.9925,SPEAKER_02
100.632,100.753,dos,0.9980,0.9998,SPEAKER_02
100.854,101.278,cuestiones,0.9290,0.9999,SPEAKER_02
101.298,101.359,que,0.3370,0.9998,SPEAKER_02
101.379,101.419,él,0.4380,0.9996,SPEAKER_02
102.975,103.48,planteaba.,0.6740,0.9996,SPEAKER_02
103.58,104.124,"Digamos,",0.8620,0.8595,SPEAKER_02
104.971,105.092,una,0.9320,0.9995,SPEAKER_02
105.314,105.394,a,0.6460,1.0000,SPEAKER_02
105.415,105.697,título,0.9280,0.9999,SPEAKER_02
105.777,105.838,de,0.8660,1.0000,SPEAKER_02
105.898,106.281,"pregunta,",0.8950,0.9999,SPEAKER_02
106.362,106.422,la,0.5340,0.9974,SPEAKER_02
106.523,106.745,otra,0.5690,1.0000,SPEAKER_02
106.765,106.886,más,0.7790,0.9977,SPEAKER_02
106.947,107.128,bien,0.9620,1.0000,SPEAKER_02
107.773,107.934,como,0.9820,0.9983,SPEAKER_02
108.015,108.136,una,0.9240,1.0000,SPEAKER_02
108.217,108.66,afirmación.,0.6010,1.0000,SPEAKER_02
109.8,110.489,La,0.7100,0.9993,SPEAKER_02
110.55,110.894,primera,0.9190,1.0000,SPEAKER_02
111.117,111.765,"es,",0.7350,0.9727,SPEAKER_02
111.785,112.109,"dice,",0.8790,0.9965,SPEAKER_02
112.251,112.271,a,0.0060,0.9968,SPEAKER_02
112.292,112.413,través,0.1660,1.0000,SPEAKER_02
112.434,112.494,del,0.0000,0.9978,SPEAKER_02
