start,end,word,alignment_score,probability,speaker
0.0,0.703,Camioneros,0.8650,0.9947,SPEAKER_01
0.764,0.824,en,0.7280,0.9998,SPEAKER_01
0.925,1.668,"paro,",0.9730,0.9989,SPEAKER_01
1.688,2.09,comercio,0.9540,0.9976,SPEAKER_01
2.151,2.211,en,0.8880,1.0000,SPEAKER_01
2.271,2.533,"paro,",0.8190,1.0000,SPEAKER_01
3.497,3.879,médicos,0.9100,0.9999,SPEAKER_01
3.98,4.06,en,0.9240,1.0000,SPEAKER_01
4.141,4.382,"paro,",0.9850,1.0000,SPEAKER_01
4.844,5.387,incidentes,0.9460,0.9988,SPEAKER_01
5.447,5.507,en,0.9910,1.0000,SPEAKER_01
5.548,5.628,las,0.9480,1.0000,SPEAKER_01
5.688,6.372,"universidades,",0.8890,1.0000,SPEAKER_01
6.412,7.196,"bombas,",0.8970,0.9999,SPEAKER_01
7.638,8.06,"sabotaje,",0.4960,0.9998,SPEAKER_01
8.18,8.925,la,0.6240,0.9999,SPEAKER_01
9.005,9.529,Confederación,0.8580,0.6488,SPEAKER_01
9.569,9.69,de,0.1000,1.0000,SPEAKER_01
9.71,10.112,Colegios,0.7050,0.9993,SPEAKER_01
10.173,10.797,Profesionales,0.8020,0.9999,SPEAKER_01
10.837,10.877,en,0.4920,1.0000,SPEAKER_01
11.139,11.34,paro,0.9530,0.9988,SPEAKER_01
11.38,12.085,indefinido,0.9560,0.9999,SPEAKER_01
12.105,12.87,hasta,0.5670,0.8970,SPEAKER_01
12.93,12.991,que,0.7930,1.0000,SPEAKER_01
13.051,13.594,renuncie,0.9410,0.9878,SPEAKER_01
13.675,13.755,el,0.5890,1.0000,SPEAKER_01
13.816,14.218,presidente,0.9010,0.9820,SPEAKER_01
14.299,14.5,"Allende,",0.2030,0.9956,SPEAKER_01
15.28,15.441,la,0.8400,0.9999,SPEAKER_01
15.522,15.764,Corte,0.9610,0.9999,SPEAKER_01
15.845,16.248,Suprema,0.9030,0.9999,SPEAKER_01
16.289,17.237,ordenando,0.7030,0.9873,SPEAKER_01
17.257,17.277,a,0.8050,1.0000,SPEAKER_01
17.338,17.418,los,0.9510,1.0000,SPEAKER_01
17.479,18.104,profesionales,0.9100,1.0000,SPEAKER_01
18.124,18.871,acatar,0.2790,0.9708,SPEAKER_01
19.012,19.072,la,0.9810,1.0000,SPEAKER_01
19.193,19.415,orden,0.9890,0.9862,SPEAKER_01
19.476,19.536,de,0.8120,1.0000,SPEAKER_01
19.657,19.98,"paralización,",0.2790,0.9998,SPEAKER_01
21.12,21.322,en,0.7440,0.9988,SPEAKER_01
21.363,21.403,la,0.9960,1.0000,SPEAKER_01
21.464,21.928,Universidad,0.9190,0.9999,SPEAKER_01
21.949,22.494,Católica,0.7570,0.9999,SPEAKER_01
22.515,22.555,el,0.4980,0.7483,SPEAKER_01
23.06,23.404,líder,0.9030,1.0000,SPEAKER_01
23.444,24.051,gremialista,0.9100,0.9998,SPEAKER_01
24.394,24.819,Jaime,0.6920,0.9584,SPEAKER_01
24.839,24.98,"Guzmán,",0.1420,0.9998,SPEAKER_01
24.96,25.847,junto,0.8850,0.9852,SPEAKER_01
25.907,25.988,al,0.9860,0.9995,SPEAKER_01
26.068,26.592,presidente,0.9430,0.9964,SPEAKER_01
26.632,26.733,de,0.1350,0.9998,SPEAKER_01
26.794,26.874,los,0.8730,0.9985,SPEAKER_01
26.935,27.418,"camioneros,",0.9130,0.9989,SPEAKER_01
27.438,28.043,León,0.4090,0.9983,SPEAKER_01
28.063,28.486,"Vilarín,",0.9480,0.9498,SPEAKER_01
28.93,29.494,exigiendo,0.8920,0.9998,SPEAKER_01
29.595,29.655,la,0.8870,0.9998,SPEAKER_01
29.736,30.098,renuncia,0.9180,0.9999,SPEAKER_01
30.118,30.159,de,0.0000,0.9985,SPEAKER_01
30.179,30.34,Allende.,0.1250,0.9990,SPEAKER_01
31.54,32.388,El,0.6670,0.9996,SPEAKER_01
32.469,32.731,rumor,0.8510,0.9989,SPEAKER_01
32.812,33.155,general,0.9530,0.9998,SPEAKER_01
33.317,33.539,tiene,0.9940,0.9998,SPEAKER_01
33.619,33.72,un,0.9880,0.9999,SPEAKER_01
33.841,34.185,"nombre,",0.8670,0.9999,SPEAKER_01
35.214,35.618,golpe,0.9010,0.6756,SPEAKER_01
35.638,35.699,de,0.7170,0.9999,SPEAKER_01
35.719,35.86,Estado.,0.1960,0.4470,SPEAKER_01
39.58,40.405,Golpe,0.8400,0.9996,SPEAKER_01
40.465,40.526,de,0.9350,1.0000,SPEAKER_01
40.566,40.948,Estado,0.8850,0.9999,SPEAKER_01
41.532,41.673,que,0.6660,0.9740,SPEAKER_01
41.733,41.814,el,0.9140,0.9996,SPEAKER_01
41.894,42.337,presidente,0.9300,0.9997,SPEAKER_01
42.397,42.759,Allende,0.8840,0.9998,SPEAKER_01
42.84,43.242,intentó,0.9970,0.9995,SPEAKER_01
43.303,43.685,detener,0.8900,0.9999,SPEAKER_01
43.786,43.886,con,0.9900,0.9993,SPEAKER_01
43.947,44.027,su,0.9800,0.9988,SPEAKER_01
44.087,44.49,decisión,0.9240,0.9999,SPEAKER_01
44.51,44.55,de,0.4990,0.9998,SPEAKER_01
44.812,45.335,convocar,0.9820,0.9993,SPEAKER_01
45.355,45.375,a,0.9290,0.9986,SPEAKER_01
45.496,45.576,un,0.7800,0.9996,SPEAKER_01
45.737,46.18,"plebiscito,",0.4670,0.9997,SPEAKER_01
46.28,47.148,solución,0.9370,0.9984,SPEAKER_01
47.169,47.229,que,0.3330,0.9999,SPEAKER_01
47.411,47.552,ya,0.8690,0.9998,SPEAKER_01
47.572,47.613,en,0.4990,0.9995,SPEAKER_01
47.673,47.956,otro,0.7870,0.9998,SPEAKER_01
48.037,48.34,momento,0.8470,0.9999,SPEAKER_01
48.38,48.865,crítico,0.8000,0.9999,SPEAKER_01
48.885,49.632,había,0.7540,0.9636,SPEAKER_01
49.693,50.178,anunciado,0.8890,0.9999,SPEAKER_01
50.218,50.319,al,0.8180,0.9992,SPEAKER_01
50.339,50.44,país.,0.2000,1.0000,SPEAKER_01
50.78,51.346,Si,0.7300,0.7399,SPEAKER_00
51.447,51.589,es,0.8940,1.0000,SPEAKER_00
51.649,52.438,"necesario,",0.9230,0.9999,SPEAKER_00
53.772,53.974,si,0.6680,0.9976,SPEAKER_00
53.994,54.338,es,0.6760,1.0000,SPEAKER_00
54.358,54.56,"necesario,",0.0980,0.9994,SPEAKER_00
54.96,56.787,enviaré,0.7480,0.7115,SPEAKER_00
58.274,58.414,un,0.8560,0.9919,SPEAKER_00
58.535,59.097,proyecto,0.9060,0.9996,SPEAKER_00
59.157,59.238,de,0.8580,0.9994,SPEAKER_00
59.298,59.639,ley,0.8120,0.9996,SPEAKER_00
60.442,60.603,para,0.9350,0.9897,SPEAKER_00
60.683,61.125,llamar,0.9170,0.9993,SPEAKER_00
61.888,61.949,a,0.9050,0.9976,SPEAKER_00
62.049,62.149,un,0.9400,0.9988,SPEAKER_00
62.23,62.953,plebiscito,0.8680,0.9637,SPEAKER_00
63.294,63.435,para,0.8400,0.9723,SPEAKER_00
63.475,63.555,que,0.8820,0.9998,SPEAKER_00
63.575,63.656,el,0.3940,0.9993,SPEAKER_00
63.756,64.057,pueblo,0.7590,0.9995,SPEAKER_00
64.178,64.359,se,0.7960,0.9969,SPEAKER_00
64.379,64.74,renuncie.,0.2360,0.7044,SPEAKER_00
