start,end,word,alignment_score,probability,speaker
3.46,3.925,El,0.6630,0.3180,SPEAKER_02
4.168,5.382,Centro,0.5980,0.8238,SPEAKER_02
5.422,5.463,de,0.5600,0.9997,SPEAKER_02
5.544,6.332,Estudios,0.5720,0.9994,SPEAKER_02
6.474,7.02,Públicos,0.9460,0.9999,SPEAKER_02
30.3,30.802,4,0.8980,0.0436,SPEAKER_02
30.822,31.605,"presentaciones,",0.9410,0.9911,SPEAKER_02
31.645,32.93,la,0.9510,0.9978,SPEAKER_02
32.99,33.371,primera,0.8930,0.9986,SPEAKER_02
34.074,34.134,en,0.9680,0.9969,SPEAKER_02
34.174,34.255,el,0.9680,0.9997,SPEAKER_02
34.315,34.455,día,0.9600,0.9996,SPEAKER_02
34.495,34.576,de,0.9200,0.9999,SPEAKER_02
34.656,34.837,hoy,0.9280,1.0000,SPEAKER_02
34.877,34.897,y,0.9970,0.8140,SPEAKER_02
35.961,36.041,la,0.8880,0.9770,SPEAKER_02
36.101,36.523,siguiente,0.8110,0.9999,SPEAKER_02
36.563,36.724,los,0.6560,0.9885,SPEAKER_02
36.804,37.085,martes,0.6190,0.9996,SPEAKER_02
37.105,37.486,5,0.6670,0.9996,SPEAKER_02
37.547,37.607,de,0.9740,0.9993,SPEAKER_02
37.727,38.048,"julio,",0.9520,0.9949,SPEAKER_02
38.069,38.109,12,0.9860,0.9999,SPEAKER_02
38.57,38.851,de,0.8870,0.9998,SPEAKER_02
39.052,39.393,julio,0.8950,0.9999,SPEAKER_02
39.414,39.434,y,0.9790,0.9992,SPEAKER_02
39.454,40.116,19,0.9040,0.9999,SPEAKER_02
40.156,41.06,de,0.5760,1.0000,SPEAKER_02
41.08,41.2,julio.,0.1670,0.9999,SPEAKER_02
43.56,44.166,Serán,0.9260,0.9972,SPEAKER_02
44.509,44.589,las,0.7100,0.9999,SPEAKER_02
44.65,45.134,siguientes,0.7670,0.9999,SPEAKER_02
45.175,45.195,a,0.9920,0.9988,SPEAKER_02
45.215,46.083,esta,0.9180,0.6405,SPEAKER_02
46.103,46.124,a,0.9950,0.9806,SPEAKER_02
46.366,46.446,las,0.5930,0.9999,SPEAKER_02
46.467,46.891,7,0.7090,0.9990,SPEAKER_02
47.072,47.153,en,0.7690,0.9938,SPEAKER_02
47.274,47.557,punto,0.8860,0.9970,SPEAKER_02
47.597,47.738,de,0.7680,1.0000,SPEAKER_02
47.759,47.799,la,0.0000,1.0000,SPEAKER_02
47.819,47.94,tarde.,0.1660,1.0000,SPEAKER_02
49.4,50.111,Y,0.9510,0.9933,SPEAKER_02
50.151,50.314,desde,0.8340,0.9902,SPEAKER_02
50.375,50.537,luego,0.9290,1.0000,SPEAKER_02
50.578,50.903,están,0.8080,0.9995,SPEAKER_02
51.675,52.04,invitados.,0.5580,0.9998,SPEAKER_02
54.22,54.886,Las,0.7920,0.9958,SPEAKER_02
54.946,55.572,presentaciones,0.9330,0.9997,SPEAKER_02
55.612,55.733,las,0.4000,0.9995,SPEAKER_02
55.774,56.016,harán,0.8240,0.9998,SPEAKER_02
56.298,56.379,en,0.8740,0.9999,SPEAKER_02
56.439,56.581,el,0.9300,0.9998,SPEAKER_02
57.045,57.327,orden,0.9500,0.9999,SPEAKER_02
57.347,57.388,en,0.2880,0.9973,SPEAKER_02
58.235,58.316,que,0.7600,0.9906,SPEAKER_02
58.356,58.437,se,0.8850,0.9999,SPEAKER_02
58.498,58.578,van,0.7330,0.9998,SPEAKER_02
58.619,58.679,a,0.5560,1.0000,SPEAKER_02
58.699,58.8,leer.,0.1770,0.9998,SPEAKER_02
60.0,60.502,El,0.7050,0.2392,SPEAKER_02
60.542,60.702,señor,0.8790,0.9698,SPEAKER_02
60.783,61.124,Daniel,0.8180,0.9978,SPEAKER_02
61.465,62.067,"Weiss-Carver,",0.7430,0.6853,SPEAKER_02
65.539,65.699,Don,0.5850,0.8844,SPEAKER_02
65.72,65.88,Juan,0.7050,0.5079,SPEAKER_02
65.9,66.181,Andrés,0.7730,1.0000,SPEAKER_02
66.241,66.783,"Fontaine,",0.6760,0.9954,SPEAKER_02
68.047,68.208,Don,0.8490,0.7300,SPEAKER_02
68.268,68.75,Ricardo,0.8770,0.9992,SPEAKER_02
