start,end,word,alignment_score,probability,speaker
7.84,8.725,Antes,0.6290,0.9495,SPEAKER_00
8.785,8.825,de,0.6620,1.0000,SPEAKER_00
8.926,9.006,dar,0.9720,0.9910,SPEAKER_00
9.047,9.167,por,0.8810,0.9956,SPEAKER_00
9.228,9.75,iniciada,0.9070,0.9980,SPEAKER_00
9.851,9.952,la,0.8860,0.9998,SPEAKER_00
10.233,10.555,segunda,0.9910,0.9994,SPEAKER_00
10.615,10.957,sesión,0.8430,0.9994,SPEAKER_00
10.977,12.365,del,0.6060,0.9999,SPEAKER_00
12.505,13.149,Seminario,0.9720,0.7662,SPEAKER_00
14.396,14.577,sobre,0.4260,0.9964,SPEAKER_00
14.597,14.838,Función,0.4960,0.7022,SPEAKER_00
14.858,15.18,"Democrática,",0.1990,0.9997,SPEAKER_00
16.06,16.321,quiero,0.6350,0.9999,SPEAKER_00
16.382,17.025,comunicarles,0.8820,0.9551,SPEAKER_00
18.192,18.352,que,0.9080,1.0000,SPEAKER_00
18.513,18.594,el,0.8510,1.0000,SPEAKER_00
18.674,18.855,día,0.9600,0.9993,SPEAKER_00
19.117,19.418,viernes,0.6230,0.9997,SPEAKER_00
19.499,19.639,3,0.5720,0.9957,SPEAKER_00
19.68,19.74,de,0.9380,1.0000,SPEAKER_00
19.82,20.102,mayo,0.9300,0.9999,SPEAKER_00
20.142,20.444,y,0.8790,0.9723,SPEAKER_00
20.504,20.564,el,0.9410,0.9999,SPEAKER_00
20.625,21.449,sábado,0.7040,1.0000,SPEAKER_00
21.469,22.696,"4,",0.5050,1.0000,SPEAKER_00
22.716,22.797,se,0.7860,1.0000,SPEAKER_00
22.857,22.897,va,0.8830,1.0000,SPEAKER_00
22.917,22.937,a,0.2990,1.0000,SPEAKER_00
22.957,23.38,realizar,0.3090,0.9995,SPEAKER_00
23.4,23.46,acá,0.3230,0.9994,SPEAKER_00
23.44,23.822,un,0.4830,0.0794,SPEAKER_00
24.646,25.229,seminario,0.9500,0.9943,SPEAKER_00
26.456,26.737,sobre,0.9380,0.9944,SPEAKER_00
26.798,26.858,el,0.7120,0.9949,SPEAKER_00
26.959,27.28,futuro,0.7810,0.9958,SPEAKER_00
27.321,27.401,de,0.6250,0.9823,SPEAKER_00
27.421,27.481,la,0.7480,0.9975,SPEAKER_00
27.522,27.944,Universidad,0.7990,0.7675,SPEAKER_00
28.044,28.467,"Chilena,",0.9050,0.8425,SPEAKER_00
29.512,29.572,el,0.9330,0.9909,SPEAKER_00
29.653,29.975,papel,0.9110,0.9982,SPEAKER_00
30.397,30.457,de,0.8820,0.9549,SPEAKER_00
30.477,30.517,la,0.9290,0.9995,SPEAKER_00
30.578,30.819,formación,0.4160,0.9812,SPEAKER_00
30.839,31.02,superior.,0.1110,0.9996,SPEAKER_00
32.6,32.801,El,0.8230,0.9989,SPEAKER_00
32.902,33.143,tema,0.9480,0.9999,SPEAKER_00
35.015,35.277,cae,0.9000,0.9477,SPEAKER_00
35.338,35.74,dentro,0.8000,0.9997,SPEAKER_00
35.76,35.801,de,0.4940,0.9150,SPEAKER_00
35.861,35.941,lo,0.5800,0.9978,SPEAKER_00
35.982,36.082,que,0.7770,1.0000,SPEAKER_00
36.163,36.364,muchos,0.8350,0.9995,SPEAKER_00
36.384,36.425,de,0.6280,0.9992,SPEAKER_00
36.485,36.847,ustedes,0.7590,0.9980,SPEAKER_00
36.948,37.552,pidieron,0.7390,0.9998,SPEAKER_00
37.592,37.652,el,0.8750,0.9737,SPEAKER_00
37.693,37.894,año,0.3240,0.9996,SPEAKER_00
37.914,38.156,pasado,0.7450,0.9999,SPEAKER_00
38.256,38.337,que,0.5960,0.9968,SPEAKER_00
38.437,38.538,se,0.7500,0.9999,SPEAKER_00
38.699,38.86,"hiciera,",0.1270,0.9999,SPEAKER_00
39.7,39.882,de,0.5480,0.9997,SPEAKER_00
39.922,40.104,modo,0.6130,0.9999,SPEAKER_00
40.144,40.205,que,0.7880,1.0000,SPEAKER_00
40.265,40.426,aquí,0.5620,0.3582,SPEAKER_00
40.447,40.527,han,0.8250,0.9614,SPEAKER_00
40.608,41.698,invitado.,0.9610,0.9984,SPEAKER_00
41.718,42.162,Brevemente,0.7480,0.9772,SPEAKER_00
42.202,42.465,voy,0.5220,0.9973,SPEAKER_00
42.788,43.01,a,0.9990,1.0000,SPEAKER_00
43.11,43.393,decirles,0.9210,0.9998,SPEAKER_00
43.433,43.655,quiénes,0.5130,0.8138,SPEAKER_00
43.716,44.2,"participan,",0.7780,0.9998,SPEAKER_00
45.08,45.425,siendo,0.5800,0.9997,SPEAKER_00
45.466,45.934,moderador,0.8960,0.9982,SPEAKER_00
46.421,46.482,de,0.7660,0.9997,SPEAKER_00
46.543,46.706,este,0.9600,0.9993,SPEAKER_00
46.807,47.072,"foro,",0.8520,0.9969,SPEAKER_00
47.133,47.275,don,0.3780,0.9420,SPEAKER_00
47.295,47.478,Jorge,0.3260,0.9992,SPEAKER_00
47.498,47.62,Cagua.,0.1690,0.8469,SPEAKER_00
48.7,49.508,El,0.9290,0.9950,SPEAKER_00
49.588,49.831,viernes,0.7700,0.9980,SPEAKER_00
49.851,50.093,3,0.6610,0.9947,SPEAKER_00
50.113,50.174,de,0.6560,0.9997,SPEAKER_00
50.234,50.557,mayo,0.9380,0.9995,SPEAKER_00
52.152,52.233,hay,0.7460,0.6751,SPEAKER_00
52.273,52.354,dos,0.9300,0.9941,SPEAKER_00
52.394,53.02,conferencistas.,0.6940,0.9917,SPEAKER_00
53.0,53.585,Hernán,0.6390,0.2883,SPEAKER_00
53.605,54.069,"Larraín,",0.7610,0.9653,SPEAKER_00
54.614,54.775,con,0.9580,0.9969,SPEAKER_00
54.836,54.896,el,0.9440,0.9999,SPEAKER_00
55.038,55.239,tema,0.9480,0.9988,SPEAKER_00
55.259,55.3,de,0.4990,0.5115,SPEAKER_00
55.36,55.663,nivel,0.6370,0.9727,SPEAKER_00
55.764,56.187,académico,0.8460,1.0000,SPEAKER_00
56.288,56.349,en,0.8800,0.9992,SPEAKER_00
56.45,56.712,"Chile,",0.8040,0.9994,SPEAKER_00
56.732,57.075,evaluación,0.8660,0.9808,SPEAKER_00
57.136,57.156,y,0.3670,0.9698,SPEAKER_00
57.176,57.66,perspectiva.,0.4970,0.9909,SPEAKER_00
58.3,58.925,Y,0.8710,0.9765,SPEAKER_00
58.945,59.147,José,0.5630,0.9995,SPEAKER_00
59.167,59.51,Joaquín,0.6370,0.9998,SPEAKER_00
59.591,59.974,"Briner,",0.8950,0.9706,SPEAKER_00
60.499,60.559,la,0.8980,0.9966,SPEAKER_00
60.62,61.205,participación,0.8680,0.9998,SPEAKER_00
61.245,61.346,de,0.3420,0.9997,SPEAKER_00
61.406,61.487,los,0.8840,0.9999,SPEAKER_00
61.568,61.79,centros,0.8320,0.9996,SPEAKER_00
61.83,62.334,académicos,0.7120,1.0000,SPEAKER_00
62.435,62.838,privados,0.8500,0.9997,SPEAKER_00
62.859,62.899,en,0.0010,0.9998,SPEAKER_00
62.919,63.04,Chile.,0.1660,0.9999,SPEAKER_00
64.62,65.248,El,0.9600,0.9934,SPEAKER_00
65.328,65.531,día,0.8700,0.9716,SPEAKER_00
65.996,66.3,"sábado,",0.3930,0.9984,SPEAKER_00
66.32,66.705,esto,0.8740,0.8004,SPEAKER_00
66.725,66.766,es,0.0000,0.9999,SPEAKER_00
66.786,66.887,el,0.8850,0.9999,SPEAKER_00
66.907,67.13,3,0.5020,0.6831,SPEAKER_00
67.15,67.211,de,0.8060,0.9999,SPEAKER_00
67.252,67.393,mayo,0.9440,0.9999,SPEAKER_00
67.454,67.494,a,0.7470,0.9912,SPEAKER_00
67.515,67.596,las,0.5580,0.9997,SPEAKER_00
67.778,67.798,6,0.0010,0.9432,SPEAKER_00
67.818,67.839,y,0.0000,0.8191,SPEAKER_00
67.859,67.98,media.,0.1790,0.9987,SPEAKER_00
68.74,69.364,El,0.9620,0.9995,SPEAKER_00
69.445,69.566,día,0.7510,1.0000,SPEAKER_00
69.666,69.888,sábado,0.4330,0.9999,SPEAKER_00
69.908,70.291,4,0.3750,0.6904,SPEAKER_00
70.331,70.412,de,0.9580,1.0000,SPEAKER_00
70.472,70.754,"mayo,",0.9120,1.0000,SPEAKER_00
70.915,70.955,a,0.9570,0.9999,SPEAKER_00
70.996,71.096,las,0.8200,1.0000,SPEAKER_00
71.117,71.358,9,0.4080,0.9999,SPEAKER_00
71.419,71.479,de,0.8120,0.9999,SPEAKER_00
71.519,71.56,la,0.8990,0.9999,SPEAKER_00
71.6,72.003,"mañana,",0.8970,1.0000,SPEAKER_00
74.037,74.138,hay,0.7510,0.9994,SPEAKER_00
74.158,74.218,dos,0.0000,0.9941,SPEAKER_00
74.238,74.5,conferencias.,0.0770,0.9994,SPEAKER_00
74.66,76.012,Tres.,0.6480,0.5724,SPEAKER_00
76.032,76.193,Juan,0.6790,0.9977,SPEAKER_00
76.213,76.859,"Paulillane,",0.7650,0.7113,SPEAKER_00
77.04,77.161,con,0.9110,0.9998,SPEAKER_00
77.222,77.262,el,0.9500,1.0000,SPEAKER_00
77.343,77.504,tema,0.9370,0.9999,SPEAKER_00
77.585,77.968,formación,0.9580,0.9410,SPEAKER_00
78.008,78.412,"básica,",0.9220,1.0000,SPEAKER_00
78.452,78.977,una,0.5980,0.9992,SPEAKER_00
79.037,79.38,perspectiva.,0.4310,0.9995,SPEAKER_00
80.32,81.011,Jorge,0.7610,0.9771,SPEAKER_00
81.072,81.397,"Soto,",0.9260,0.9992,SPEAKER_00
82.088,82.576,formación,0.5770,0.9988,SPEAKER_00
82.596,82.86,básica.,0.2460,0.9999,SPEAKER_00
83.0,83.206,El,0.4080,0.0559,SPEAKER_00
83.226,83.432,caso,0.7310,0.9379,SPEAKER_00
83.802,83.885,de,0.6880,0.9913,SPEAKER_00
83.905,83.967,las,0.8790,0.9905,SPEAKER_00
84.008,84.461,matemáticas.,0.5170,0.9891,SPEAKER_00
84.96,85.788,Y,0.8870,0.9489,SPEAKER_00
85.829,86.212,Enrique,0.7150,0.9789,SPEAKER_00
86.233,86.596,"Barros,",0.8780,0.9896,SPEAKER_00
86.899,86.94,la,0.8060,0.9111,SPEAKER_00
87.0,87.404,formación,0.8770,0.9941,SPEAKER_00
87.465,87.97,"profesional,",0.9090,0.9974,SPEAKER_00
87.99,88.03,el,0.4050,0.9025,SPEAKER_00
88.051,88.475,caso,0.5950,0.9999,SPEAKER_00
88.535,88.677,del,0.6540,0.9986,SPEAKER_00
88.859,89.02,abogado.,0.1520,0.9999,SPEAKER_00
90.46,91.126,Culmina,0.8240,0.9931,SPEAKER_00
91.187,91.328,este,0.6340,0.9998,SPEAKER_00
91.348,91.893,seminario,0.9250,0.9998,SPEAKER_00
91.913,91.933,a,0.9980,0.9868,SPEAKER_00
93.245,93.406,las,0.9630,1.0000,SPEAKER_00
93.427,93.891,11,0.8400,0.8997,SPEAKER_00
93.992,94.193,horas,0.7850,0.9948,SPEAKER_00
94.335,94.436,del,0.6390,0.9993,SPEAKER_00
94.476,94.779,mismo,0.8630,0.9995,SPEAKER_00
94.799,94.94,"sábado,",0.1400,0.9997,SPEAKER_00
95.74,96.426,con,0.5930,0.9949,SPEAKER_00
96.487,96.568,los,0.8630,0.9999,SPEAKER_00
96.689,96.87,temas,0.8040,0.9999,SPEAKER_00
96.911,96.951,la,0.4920,0.6854,SPEAKER_00
97.314,97.637,formación,0.9670,0.9997,SPEAKER_00
97.859,98.324,científica,0.9290,0.9996,SPEAKER_00
98.364,98.404,en,0.7780,0.9336,SPEAKER_00
98.425,98.465,la,0.8700,0.9999,SPEAKER_00
98.505,99.01,universidad,0.8640,0.9636,SPEAKER_00
99.03,99.05,a,0.9720,0.7727,SPEAKER_00
99.07,99.514,cargo,0.5240,0.9992,SPEAKER_00
99.535,99.595,de,0.3050,0.9999,SPEAKER_00
99.656,99.959,Jorge,0.6690,0.9997,SPEAKER_00
99.979,100.14,Mardones,0.1260,0.9359,SPEAKER_00
100.12,101.591,y,0.7120,0.4830,SPEAKER_00
101.652,101.692,la,0.9970,0.9998,SPEAKER_00
101.732,102.035,formación,0.9290,0.9999,SPEAKER_00
102.095,102.538,humanista,0.9260,0.9991,SPEAKER_00
102.559,102.599,en,0.5240,0.9985,SPEAKER_00
102.619,102.659,la,0.9880,1.0000,SPEAKER_00
102.68,103.204,universidad,0.6770,0.9999,SPEAKER_00
103.224,103.244,a,0.9910,0.9997,SPEAKER_00
103.264,103.768,cargo,0.8730,0.9996,SPEAKER_00
103.828,103.909,de,0.8120,0.9999,SPEAKER_00
103.969,104.191,Juan,0.7480,0.9994,SPEAKER_00
104.493,104.574,de,0.8460,0.9834,SPEAKER_00
104.634,104.816,Dios,0.8560,0.9994,SPEAKER_00
104.876,105.199,Vial,0.8700,0.9539,SPEAKER_00
105.219,105.38,Larraín.,0.1230,0.9888,SPEAKER_00
106.32,106.969,Quedamos,0.6060,0.9710,SPEAKER_00
107.07,107.233,pues,0.8660,0.7389,SPEAKER_00
107.314,107.74,invitados,0.9230,0.9996,SPEAKER_00
107.943,107.963,a,0.0050,0.9998,SPEAKER_00
107.983,108.876,este,0.3680,0.9998,SPEAKER_00
108.896,109.2,seminario.,0.2620,0.9997,SPEAKER_00
113.0,113.281,A,0.9260,0.0021,SPEAKER_00
113.301,113.563,"continuación,",0.0060,0.0237,SPEAKER_00
113.583,114.206,corresponde,0.9060,0.6331,SPEAKER_00
114.366,114.487,hoy,0.8310,0.9608,SPEAKER_00
114.607,114.849,día,0.9620,0.9832,SPEAKER_00
117.36,117.501,ver,0.9480,0.9996,SPEAKER_00
117.561,117.622,el,0.7090,0.9981,SPEAKER_00
117.742,118.003,"tema,",0.9500,1.0000,SPEAKER_00
118.325,120.113,el,0.7860,0.9996,SPEAKER_00
120.173,120.455,núcleo,0.9590,0.9847,SPEAKER_00
120.475,120.515,de,0.4940,0.9969,SPEAKER_00
120.696,121.319,pensamiento,0.8150,0.9952,SPEAKER_00
121.339,121.5,de,0.8450,0.9997,SPEAKER_00
121.52,121.6,Marx,0.2500,1.0000,SPEAKER_00
121.58,122.043,y,0.5460,0.9997,SPEAKER_00
122.104,122.386,algunos,0.8080,0.9693,SPEAKER_00
122.426,122.486,de,0.6720,0.9884,SPEAKER_00
122.527,122.627,sus,0.8820,0.9962,SPEAKER_00
122.647,123.131,"derivados,",0.9300,0.9999,SPEAKER_00
124.097,124.218,que,0.7430,0.9999,SPEAKER_00
124.259,124.299,va,0.3220,0.9990,SPEAKER_00
124.319,124.339,a,0.4060,0.9994,SPEAKER_00
124.359,124.621,estar,0.8890,1.0000,SPEAKER_00
124.681,124.702,a,0.8760,1.0000,SPEAKER_00
124.802,125.145,cargo,0.9930,1.0000,SPEAKER_00
125.568,125.709,del,0.8150,0.9999,SPEAKER_00
125.89,126.373,director,0.9610,0.9999,SPEAKER_00
126.413,126.494,del,0.5860,0.8947,SPEAKER_00
126.534,126.695,Centro,0.7300,0.9730,SPEAKER_00
126.716,126.756,de,0.0060,0.9889,SPEAKER_00
126.776,126.957,Estudios,0.2770,0.9958,SPEAKER_00
127.058,127.38,"Públicos,",0.6620,0.9581,SPEAKER_00
127.38,127.883,Arturo,0.5120,0.9996,SPEAKER_00
127.944,128.165,Fuentes,0.3250,0.9989,SPEAKER_00
128.185,128.588,"Talavera,",0.8730,0.5632,SPEAKER_00
128.628,129.172,licenciado,0.6240,0.9486,SPEAKER_00
129.192,129.233,en,0.4920,0.9965,SPEAKER_00
129.253,129.736,"filosofía,",0.7440,0.9994,SPEAKER_00
132.011,132.132,máster,0.0000,0.9538,SPEAKER_00
132.152,132.273,en,0.6640,0.9886,SPEAKER_00
132.293,132.636,filosofía,0.3710,0.9862,SPEAKER_00
132.656,132.696,de,0.3980,0.9999,SPEAKER_00
132.716,132.756,la,0.1400,0.9635,SPEAKER_00
132.777,133.038,Universidad,0.3440,0.9967,SPEAKER_00
133.058,133.099,de,0.0000,0.9999,SPEAKER_00
133.119,133.3,"Colombia,",0.1110,1.0000,SPEAKER_00
133.56,134.045,profesor,0.2220,0.9752,SPEAKER_00
134.065,134.206,de,0.7260,0.9957,SPEAKER_00
134.408,134.731,filosofía,0.2930,0.9903,SPEAKER_00
134.751,134.791,de,0.4080,0.9994,SPEAKER_00
134.812,134.852,la,0.3950,0.9925,SPEAKER_00
134.892,135.195,Universidad,0.4460,1.0000,SPEAKER_00
135.215,135.296,de,0.7180,1.0000,SPEAKER_00
135.377,135.639,Chile,0.8370,1.0000,SPEAKER_00
136.911,137.012,y,0.9710,0.9995,SPEAKER_00
137.355,137.638,director,0.6380,0.6241,SPEAKER_00
137.658,137.719,del,0.0050,0.9976,SPEAKER_00
137.739,137.88,centro.,0.1430,0.9985,SPEAKER_00
139.08,139.662,Arturo.,0.1820,0.6587,SPEAKER_00
140.82,141.505,Quisiera,0.4580,0.9431,SPEAKER_02
141.568,141.921,invitar...,0.6820,0.9486,SPEAKER_02
143.5,144.186,a,0.9410,0.8371,SPEAKER_02
144.226,144.528,algunas,0.7800,0.1304,SPEAKER_02
144.569,144.609,de,0.8560,0.8626,SPEAKER_02
144.67,144.73,las,0.9940,0.9910,SPEAKER_02
144.77,144.992,personas,0.9170,0.9999,SPEAKER_02
145.033,145.093,que,0.8050,0.9997,SPEAKER_02
145.113,145.274,están,0.7780,0.9996,SPEAKER_02
145.335,145.456,de,0.8930,0.9990,SPEAKER_02
145.476,145.779,pie,0.9120,0.9963,SPEAKER_02
145.799,145.819,a,0.9630,0.9961,SPEAKER_02
146.706,146.908,tomar,0.9610,0.9632,SPEAKER_02
146.928,147.291,"asiento,",0.7620,0.9996,SPEAKER_02
147.311,147.392,hay,0.9360,0.9973,SPEAKER_02
147.452,147.634,varios,0.9030,0.9982,SPEAKER_02
147.714,147.936,huecos,0.9030,0.9998,SPEAKER_02
148.017,148.098,por,0.9010,0.9996,SPEAKER_02
148.138,148.219,acá,0.1310,0.9993,SPEAKER_02
148.239,148.42,adelante.,0.1120,0.9994,SPEAKER_02
168.28,168.967,El,0.9280,0.9971,SPEAKER_02
169.048,169.169,tema,0.9860,0.5918,SPEAKER_02
169.21,169.25,de,0.8270,0.9995,SPEAKER_02
169.27,169.432,esta,0.8470,0.9660,SPEAKER_02
169.493,169.735,tarde,0.9990,0.9997,SPEAKER_02
169.755,169.796,es,0.5000,0.9999,SPEAKER_02
169.978,170.422,el,0.8680,0.9999,SPEAKER_02
170.543,170.927,núcleo,0.9170,0.9924,SPEAKER_02
171.15,171.271,del,0.8470,0.9994,SPEAKER_02
171.352,171.837,pensamiento,0.9360,0.9998,SPEAKER_02
171.857,172.039,de,0.7820,0.9999,SPEAKER_02
172.059,172.16,"Marx,",0.2000,0.9999,SPEAKER_02
173.0,173.145,y,0.3140,0.9999,SPEAKER_02
173.186,173.497,algunos,0.7680,0.4651,SPEAKER_02
173.539,173.601,de,0.8640,0.9884,SPEAKER_02
173.642,173.746,sus,0.8970,0.9996,SPEAKER_02
173.787,174.181,derivados.,0.5560,0.9997,SPEAKER_02
177.36,178.045,El,0.7360,0.9999,SPEAKER_02
178.105,178.428,criterio,0.9490,0.9907,SPEAKER_02
178.528,178.649,con,0.8800,0.9999,SPEAKER_02
178.73,178.871,que,0.7580,0.9998,SPEAKER_02
179.092,179.193,he,0.8490,0.9588,SPEAKER_02
179.233,179.878,seleccionado,0.9340,0.9968,SPEAKER_02
180.402,180.482,las,0.9850,1.0000,SPEAKER_02
180.583,180.805,tesis,0.9810,0.9987,SPEAKER_02
180.825,180.885,que,0.3340,0.9997,SPEAKER_02
181.026,181.087,me,0.7420,0.9980,SPEAKER_02
181.147,181.348,parece,0.9040,0.9997,SPEAKER_02
181.429,181.51,que,0.9170,0.9980,SPEAKER_02
181.59,181.812,forman,0.8490,0.9991,SPEAKER_02
181.933,182.215,parte,0.9960,0.9997,SPEAKER_02
182.295,182.376,de,0.9780,0.9998,SPEAKER_02
182.416,182.597,este,0.9090,0.9995,SPEAKER_02
182.678,182.98,"núcleo,",0.5290,0.9993,SPEAKER_02
182.96,183.648,centro,0.4950,0.9999,SPEAKER_02
183.689,183.79,del,0.8490,0.9055,SPEAKER_02
183.851,184.256,pensamiento,0.8900,0.9406,SPEAKER_02
184.276,184.398,de,0.7820,0.9999,SPEAKER_02
184.458,185.835,"Marx,",0.9120,0.9998,SPEAKER_02
185.856,186.099,es,0.8000,0.9999,SPEAKER_02
186.119,186.24,doble.,0.1660,0.9998,SPEAKER_02
186.22,186.301,Por,0.1330,0.9996,SPEAKER_02
186.542,186.663,una,0.5200,0.9988,SPEAKER_02
186.724,187.006,"parte,",0.9450,0.9997,SPEAKER_02
187.731,188.033,criterios,0.9040,1.0000,SPEAKER_02
188.073,188.154,que,0.5030,0.9993,SPEAKER_02
188.214,188.396,dicen,0.9040,0.9999,SPEAKER_02
188.436,188.839,relación,0.7680,0.9987,SPEAKER_02
188.94,189.04,con,0.8250,0.9877,SPEAKER_02
189.081,189.141,el,0.7940,1.0000,SPEAKER_02
189.202,189.645,aporte,0.9520,0.9998,SPEAKER_02
189.705,189.786,que,0.7750,0.9999,SPEAKER_02
189.826,189.987,hace,0.9140,0.9997,SPEAKER_02
190.088,190.33,Marx,0.8050,0.9997,SPEAKER_02
190.451,190.672,dentro,0.8500,0.9999,SPEAKER_02
190.713,190.753,de,0.8220,0.9975,SPEAKER_02
190.813,190.854,la,0.9980,1.0000,SPEAKER_02
190.914,191.236,tradición,0.8600,0.9999,SPEAKER_02
191.277,191.76,"socialista,",0.7470,0.9997,SPEAKER_02
192.94,193.592,combinado,0.9380,0.9998,SPEAKER_02
193.674,193.776,con,0.9960,0.9991,SPEAKER_02
193.817,193.878,un,0.5480,1.0000,SPEAKER_02
193.939,194.224,criterio,0.8330,0.9999,SPEAKER_02
194.265,194.306,de,1.0000,1.0000,SPEAKER_02
194.347,194.857,relevancia,0.7070,1.0000,SPEAKER_02
194.877,195.06,política.,0.1110,0.9997,SPEAKER_02
195.46,196.043,Hay,0.4300,0.9998,SPEAKER_02
196.124,196.305,muchas,0.9850,0.9975,SPEAKER_02
196.405,196.646,tesis,0.7170,0.9999,SPEAKER_02
196.687,196.747,de,0.9280,0.9996,SPEAKER_02
196.827,197.129,Marx,0.8320,1.0000,SPEAKER_02
197.29,197.37,que,0.7520,0.9999,SPEAKER_02
197.471,197.712,siendo,0.8980,0.9794,SPEAKER_02
198.014,198.516,originales,0.9240,0.5188,SPEAKER_02
198.577,198.677,de,0.7040,0.9994,SPEAKER_02
198.697,198.798,"él,",0.9170,0.9982,SPEAKER_02
199.301,199.381,no,0.9580,1.0000,SPEAKER_02
199.482,199.582,han,0.9330,0.9998,SPEAKER_02
199.683,200.105,tenido,0.9320,1.0000,SPEAKER_02
201.975,202.075,una,0.9140,1.0000,SPEAKER_02
202.116,202.699,expresión,0.8200,0.9994,SPEAKER_02
202.719,202.94,"importante,",0.0910,0.9999,SPEAKER_02
203.0,203.626,en,0.7780,0.9206,SPEAKER_02
203.747,203.909,el,0.3960,0.8560,SPEAKER_02
203.929,204.131,sentido,0.8350,0.9998,SPEAKER_02
204.151,204.191,de,0.0100,1.0000,SPEAKER_02
204.212,204.272,que,0.9620,0.1896,SPEAKER_02
204.292,204.333,no,0.4170,1.0000,SPEAKER_02
204.393,204.514,han,0.4170,0.9738,SPEAKER_02
204.595,204.959,servido,0.9270,0.9990,SPEAKER_02
205.039,205.161,para,0.9480,1.0000,SPEAKER_02
205.463,205.625,hacer,0.9180,0.9998,SPEAKER_02
205.726,206.049,cuajar,0.9810,0.9493,SPEAKER_02
206.089,206.635,movimientos,0.8030,0.9998,SPEAKER_02
206.756,207.22,políticos.,0.8560,0.9999,SPEAKER_02
208.16,208.724,Y,0.9630,1.0000,SPEAKER_02
208.764,208.945,sobre,0.9540,0.9999,SPEAKER_02
209.005,209.126,"todo,",0.9980,0.9884,SPEAKER_02
209.146,209.207,hay,0.6860,1.0000,SPEAKER_02
209.267,209.428,muchas,0.7130,0.9999,SPEAKER_02
209.468,210.213,interpretaciones,0.8610,1.0000,SPEAKER_02
210.253,210.938,interesantes,0.8040,1.0000,SPEAKER_02
211.058,211.179,del,0.9260,0.9999,SPEAKER_02
211.24,211.843,marxismo,0.9250,0.9999,SPEAKER_02
211.884,211.904,o,0.9850,0.9988,SPEAKER_02
213.232,213.595,versiones,0.9200,0.2669,SPEAKER_02
213.675,213.776,del,0.9570,0.9998,SPEAKER_02
213.896,214.48,"neomarxismo,",0.2350,1.0000,SPEAKER_02
214.66,215.766,que,0.8220,0.9882,SPEAKER_02
216.449,216.63,siendo,0.7890,0.9988,SPEAKER_02
216.65,216.69,de,0.9400,0.8379,SPEAKER_02
216.73,216.771,un,0.8380,0.7427,SPEAKER_02
216.831,216.951,punto,0.8970,1.0000,SPEAKER_02
216.992,217.032,de,0.9980,1.0000,SPEAKER_02
217.072,217.213,vista,0.7100,1.0000,SPEAKER_02
217.253,217.997,estrictamente,0.8250,1.0000,SPEAKER_02
218.017,218.66,"académico,",0.8910,0.9999,SPEAKER_02
220.107,220.248,muy,0.8210,1.0000,SPEAKER_02
220.389,221.072,desafiantes,0.9510,0.9907,SPEAKER_02
221.092,221.112,y,0.9680,0.9998,SPEAKER_02
221.153,221.816,dignas,0.8400,0.9999,SPEAKER_02
221.856,221.916,de,0.2860,0.9999,SPEAKER_02
221.977,222.057,ser,0.8320,1.0000,SPEAKER_02
222.158,222.66,"consideradas,",0.6960,1.0000,SPEAKER_02
223.2,223.823,por,0.9420,1.0000,SPEAKER_02
223.864,223.984,esa,0.7230,0.9999,SPEAKER_02
224.024,224.205,misma,0.9530,1.0000,SPEAKER_02
224.286,224.668,"razón,",0.9470,1.0000,SPEAKER_02
224.768,224.889,por,0.8260,1.0000,SPEAKER_02
224.929,224.97,no,0.9440,1.0000,SPEAKER_02
225.01,225.191,haber,0.7420,1.0000,SPEAKER_02
225.271,225.814,servido,0.9790,1.0000,SPEAKER_02
225.935,226.257,de,0.8720,1.0000,SPEAKER_02
227.322,227.664,base,0.9250,1.0000,SPEAKER_02
227.765,227.885,para,0.7770,0.9998,SPEAKER_02
227.946,228.006,la,0.4600,0.9997,SPEAKER_02
228.046,228.609,organización,0.8940,0.9999,SPEAKER_02
228.629,228.67,de,0.4990,1.0000,SPEAKER_02
228.79,229.454,movimientos,0.6250,0.9996,SPEAKER_02
230.037,230.419,políticos,0.8830,0.9999,SPEAKER_02
230.439,230.62,"sociales,",0.1110,0.9999,SPEAKER_02
230.68,231.397,las,0.6290,0.9878,SPEAKER_02
231.438,231.561,voy,0.7380,0.9829,SPEAKER_02
231.581,231.602,a,0.3360,0.9999,SPEAKER_02
231.643,231.868,dejar,0.7730,1.0000,SPEAKER_02
231.909,231.97,en,0.7060,0.9998,SPEAKER_02
232.011,232.134,esta,0.3320,0.9997,SPEAKER_02
232.155,232.4,oportunidad.,0.0830,0.9997,SPEAKER_02
233.12,233.803,Un,0.8270,1.0000,SPEAKER_02
233.886,234.093,poco,0.8830,0.0671,SPEAKER_02
