start,end,word,alignment_score,probability,speaker
0.0,0.133,...,0.4970,0.6640,UNKNOWN
13.78,14.326,"...públicos,",0.9300,0.7703,SPEAKER_03
14.386,14.589,quiero,0.4570,0.7119,SPEAKER_03
14.609,14.791,darles,0.7730,0.9541,SPEAKER_03
14.851,14.912,la,0.9380,0.6927,SPEAKER_03
14.973,15.357,bienvenida,0.8590,1.0000,SPEAKER_03
15.397,15.417,a,0.0420,1.0000,SPEAKER_03
15.518,15.68,todos,0.8050,1.0000,SPEAKER_03
15.7,15.72,y,0.9570,0.9884,SPEAKER_03
15.761,16.408,agradecerles,0.7160,0.9919,SPEAKER_03
16.448,16.529,su,0.7460,0.9998,SPEAKER_03
16.569,16.893,presencia,0.9210,1.0000,SPEAKER_03
16.933,16.994,en,0.8440,0.9996,SPEAKER_03
17.034,17.156,este,0.7390,1.0000,SPEAKER_03
17.216,17.6,seminario.,0.3560,0.9998,SPEAKER_03
17.96,18.564,El,0.7070,1.0000,SPEAKER_03
18.665,18.846,tema,0.9880,1.0000,SPEAKER_03
18.906,18.987,de,0.6420,0.9123,SPEAKER_03
19.007,19.067,hoy,0.2830,1.0000,SPEAKER_03
19.128,19.329,día,0.9700,0.9998,SPEAKER_03
19.41,19.49,es,0.7300,1.0000,SPEAKER_03
19.772,20.376,modernización,0.8950,0.9718,SPEAKER_03
20.437,20.497,de,0.7670,1.0000,SPEAKER_03
20.557,20.598,la,0.9940,1.0000,SPEAKER_03
20.658,21.121,educación,0.7660,0.9997,SPEAKER_03
21.141,21.161,y,0.9950,0.6743,SPEAKER_03
21.202,23.034,en,0.9640,0.9997,SPEAKER_03
23.094,23.276,este,0.9920,1.0000,SPEAKER_03
23.336,23.759,"seminario,",0.4640,1.0000,SPEAKER_03
23.779,23.94,"digamos,",0.1250,0.9102,SPEAKER_03
23.98,24.425,el,0.6320,0.9998,SPEAKER_03
24.445,24.829,economista,0.7890,0.9993,SPEAKER_03
24.91,25.254,Gerardo,0.6880,0.9993,SPEAKER_03
25.274,25.719,"Jofrea,",0.7560,0.6808,SPEAKER_03
25.74,25.982,asesor,0.6940,0.9939,SPEAKER_03
26.023,26.083,del,0.5640,0.9981,SPEAKER_03
26.144,26.447,Ministerio,0.8450,0.9990,SPEAKER_03
26.468,26.508,de,0.4500,1.0000,SPEAKER_03
26.528,26.913,"Hacienda,",0.6660,0.9999,SPEAKER_03
26.933,27.317,expondrá,0.7100,0.9826,SPEAKER_03
27.337,27.438,el,0.6670,0.9992,SPEAKER_03
27.459,27.6,trabajo,0.1430,0.9981,SPEAKER_03
28.8,29.714,"Modernización,",0.5170,0.5133,SPEAKER_03
29.734,29.978,"perdón,",0.4590,0.9855,SPEAKER_03
29.998,30.039,el,0.6350,0.8381,SPEAKER_03
30.1,30.323,Sistema,0.8950,0.8172,SPEAKER_03
30.384,30.425,de,0.8300,0.9979,SPEAKER_03
30.465,30.953,Subvenciones,0.7180,0.9906,SPEAKER_03
30.973,31.014,en,0.3630,0.9423,SPEAKER_03
31.074,31.46,Educación.,0.1770,0.9343,SPEAKER_03
31.8,32.486,Este,0.8870,0.9978,SPEAKER_03
32.547,32.91,trabajo,0.4530,0.9997,SPEAKER_03
32.991,33.253,será,0.8820,0.9969,SPEAKER_03
