start,end,word,alignment_score,probability,speaker
0.0,2.171,buenas,0.6480,0.0003,SPEAKER_15
2.231,2.452,tardes,0.8790,0.9998,SPEAKER_15
2.493,2.513,a,0.0240,0.9963,SPEAKER_15
2.573,2.694,todos,0.9680,0.9886,SPEAKER_15
2.714,2.794,los,0.8050,0.9779,SPEAKER_15
2.854,3.437,asistentes,0.8450,0.9969,SPEAKER_15
3.477,4.462,continuando,0.9620,0.9730,SPEAKER_15
4.503,4.603,con,0.9280,0.9985,SPEAKER_15
4.663,4.804,el,0.6320,0.9917,SPEAKER_15
5.025,5.367,seminario,0.9290,0.9936,SPEAKER_15
5.387,5.447,de,0.7040,0.9942,SPEAKER_15
5.508,5.89,formación,0.8820,0.9911,SPEAKER_15
5.99,6.573,democrática,0.9230,0.9975,SPEAKER_15
7.88,7.98,vamos,0.1900,0.9782,SPEAKER_15
7.96,8.282,a,0.2030,0.9977,SPEAKER_15
8.382,8.644,tener,0.7300,0.9968,SPEAKER_15
8.704,8.765,hoy,0.0080,0.8362,SPEAKER_15
8.785,8.885,día,0.5180,0.9704,SPEAKER_15
8.966,9.006,la,0.8960,0.9383,SPEAKER_15
9.026,9.509,exposición,0.8530,0.9984,SPEAKER_15
9.529,9.59,del,0.3340,0.9738,SPEAKER_15
11.038,11.4,profesor,0.9550,0.9957,SPEAKER_15
11.44,12.124,enrique,0.6350,0.8280,SPEAKER_15
12.165,12.406,barros,0.9340,0.9465,SPEAKER_15
12.426,12.466,él,0.4860,0.6161,SPEAKER_15
13.231,13.392,es,0.5350,0.9970,SPEAKER_15
13.452,13.895,abogado,0.8920,0.9989,SPEAKER_15
14.538,14.78,profesor,0.1990,0.9856,SPEAKER_15
14.8,14.84,de,0.4940,0.9991,SPEAKER_15
14.82,14.961,derecho,0.0940,0.9458,SPEAKER_15
15.001,15.142,de,0.0020,0.8428,SPEAKER_15
15.344,15.384,la,0.3040,0.9993,SPEAKER_15
15.424,15.807,universidad,0.7570,0.9969,SPEAKER_15
15.827,15.888,de,0.7040,0.9960,SPEAKER_15
15.988,16.25,chile,0.8680,0.9981,SPEAKER_15
16.27,16.291,y,1.0000,0.8131,SPEAKER_15
16.774,17.076,doctor,0.8230,0.9940,SPEAKER_15
17.096,17.157,en,0.7580,0.9968,SPEAKER_15
17.237,17.62,derecho,0.8680,0.9761,SPEAKER_15
17.66,18.043,de,0.8070,0.9992,SPEAKER_15
18.083,18.124,la,0.8690,0.9993,SPEAKER_15
18.164,18.527,universidad,0.5220,0.9985,SPEAKER_15
18.547,18.587,de,0.7540,0.9846,SPEAKER_15
18.647,19.091,munich,0.6190,0.6963,SPEAKER_15
20.017,20.36,además,0.8580,0.9892,SPEAKER_15
20.38,20.42,él,0.5000,0.9030,SPEAKER_15
20.4,20.46,es,0.1320,0.9919,SPEAKER_15
20.581,21.649,integrante,0.8590,0.9981,SPEAKER_15
21.689,21.81,del,0.5260,0.9978,SPEAKER_15
21.89,22.172,consejo,0.9090,0.9989,SPEAKER_15
22.253,22.696,directivo,0.9510,0.9995,SPEAKER_15
22.716,22.837,del,0.4940,0.9845,SPEAKER_15
22.877,23.058,centro,0.8070,0.9975,SPEAKER_15
23.079,23.119,de,0.9320,0.9894,SPEAKER_15
23.139,23.421,estudios,0.8420,0.9986,SPEAKER_15
23.522,23.884,públicos,0.6380,0.9837,SPEAKER_15
24.911,24.992,él,0.7160,0.9528,SPEAKER_15
25.012,25.052,va,0.9900,0.9949,SPEAKER_15
25.072,25.093,a,0.1570,0.9677,SPEAKER_15
25.113,25.435,abordar,0.8610,0.9975,SPEAKER_15
25.475,25.516,el,0.4680,0.9996,SPEAKER_15
26.1,26.18,tema,0.2500,0.9999,SPEAKER_15
26.16,27.306,democracia,0.7930,0.5929,SPEAKER_15
27.347,28.211,representativa,0.8350,0.9973,SPEAKER_15
28.231,28.252,y,0.9990,0.9827,SPEAKER_15
28.553,29.116,democracia,0.7040,0.9985,SPEAKER_15
29.157,29.961,orgánica,0.9210,0.9987,SPEAKER_15
30.645,30.826,sobre,0.9430,0.8719,SPEAKER_15
30.886,30.946,lo,0.4500,0.9982,SPEAKER_15
31.027,31.691,inevitable,0.8410,0.9992,SPEAKER_15
32.012,32.073,de,0.8580,0.9978,SPEAKER_15
32.113,32.173,la,0.9020,0.9994,SPEAKER_15
32.234,32.676,política,0.9530,0.9943,SPEAKER_15
32.716,32.756,en,0.5000,0.9968,SPEAKER_15
33.038,33.259,un,0.9320,0.9992,SPEAKER_15
33.279,33.42,régimen,0.0650,0.9985,SPEAKER_15
33.4,34.946,democrático,0.7400,0.9983,SPEAKER_15
34.986,35.628,representativo,0.8920,0.9557,SPEAKER_15
38.559,38.619,la,0.9260,0.4121,SPEAKER_15
38.719,39.141,charla,0.7520,0.9644,SPEAKER_15
41.329,41.389,se,0.9130,0.9248,SPEAKER_15
41.49,41.831,extenderá,0.7450,0.9312,SPEAKER_15
41.871,42.694,aproximadamente,0.8440,0.9910,SPEAKER_15
42.714,42.754,de,0.4940,0.5286,SPEAKER_15
42.774,43.055,45,0.6000,0.9948,SPEAKER_15
43.075,43.116,a,0.4180,0.9924,SPEAKER_15
43.136,43.437,60,0.6420,0.9994,SPEAKER_15
43.698,43.918,minutos,0.5480,0.9988,SPEAKER_15
44.019,44.039,y,0.0000,0.9906,SPEAKER_15
44.059,44.36,luego,0.5400,0.9994,SPEAKER_15
44.34,44.956,tendremos,0.2340,0.9979,SPEAKER_15
44.997,45.161,una,0.8780,0.9991,SPEAKER_15
45.243,45.49,ronda,0.7770,0.9997,SPEAKER_15
45.654,45.695,de,0.0070,0.9885,SPEAKER_15
45.716,45.901,preguntas,0.1120,0.6723,SPEAKER_15
53.76,55.412,ante,0.9340,0.1408,SPEAKER_03
55.453,55.595,todo,0.8770,0.9852,SPEAKER_03
55.697,55.86,quisiera,0.1220,0.9838,SPEAKER_03
55.84,56.163,contestar,0.1750,0.6294,SPEAKER_03
56.14,56.502,por,0.3310,0.0160,SPEAKER_03
58.45,58.51,mi,0.8280,0.6878,SPEAKER_03
58.57,59.012,profesión,0.9450,0.9909,SPEAKER_03
59.032,60.639,el,0.9170,0.3511,SPEAKER_03
60.679,61.061,enfoque,0.9240,0.9989,SPEAKER_03
61.382,61.503,del,0.5180,0.9905,SPEAKER_03
61.563,61.683,tema,0.9570,0.9998,SPEAKER_03
61.724,61.784,de,0.7300,0.9910,SPEAKER_03
61.824,61.864,la,0.9980,0.9996,SPEAKER_03
61.884,62.406,democracia,0.7530,0.9993,SPEAKER_03
62.447,62.487,es,0.4980,0.9968,SPEAKER_03
63.812,64.576,principalmente,0.9580,0.9982,SPEAKER_03
65.198,65.62,institucional,0.5050,0.9985,SPEAKER_03
65.6,67.456,sin,0.7510,0.8522,SPEAKER_05
67.496,67.698,embargo,0.8370,0.9996,SPEAKER_05
67.759,67.839,yo,0.4460,0.9594,SPEAKER_05
67.88,68.142,quisiera,0.7440,0.9994,SPEAKER_05
68.223,68.586,advertirles,0.5590,0.9944,SPEAKER_05
68.626,68.828,desde,0.8140,0.9858,SPEAKER_05
68.868,69.03,ya,0.8950,0.9985,SPEAKER_05
69.111,69.151,y,0.6930,0.1179,SPEAKER_05
69.171,69.252,que,0.5710,0.9499,SPEAKER_05
69.272,69.554,entiendo,0.7480,0.9992,SPEAKER_05
69.595,69.675,yo,0.5860,0.9976,SPEAKER_05
69.736,69.796,por,0.6790,0.9992,SPEAKER_05
69.857,70.22,institucional,0.4120,0.9996,SPEAKER_05
72.16,72.926,por,0.7130,0.9656,SPEAKER_05
72.946,73.47,institucional,0.9080,0.9995,SPEAKER_05
73.511,73.974,entiendo,0.9190,0.9965,SPEAKER_05
74.035,74.116,yo,0.6380,0.9716,SPEAKER_05
74.156,74.277,creo,0.6680,0.9992,SPEAKER_05
74.317,74.378,que,0.9820,0.9997,SPEAKER_05
74.438,74.499,las,0.7400,0.9982,SPEAKER_05
74.539,75.083,instituciones,0.8340,0.9999,SPEAKER_05
75.103,75.144,es,0.4940,0.9652,SPEAKER_05
75.849,75.95,una,0.9430,0.9995,SPEAKER_05
75.991,76.273,palabra,0.9670,0.9997,SPEAKER_05
76.353,76.535,tan,0.8660,0.9992,SPEAKER_05
77.12,77.2,este,0.1980,0.2715,SPEAKER_05
79.74,80.547,tan,0.8870,0.9505,SPEAKER_05
80.588,81.052,manejada,0.7850,0.9961,SPEAKER_05
81.153,81.274,tan,0.8220,0.6546,SPEAKER_05
81.314,81.879,manoseada,0.7630,0.9917,SPEAKER_05
81.94,82.0,que,0.9880,0.9967,SPEAKER_05
82.021,82.061,ha,0.8550,0.9981,SPEAKER_05
82.121,82.202,ido,0.8240,0.9982,SPEAKER_05
82.263,82.565,perdiendo,0.8110,0.9999,SPEAKER_05
82.646,82.808,buena,0.7770,0.9967,SPEAKER_05
82.868,83.009,parte,0.9340,0.9994,SPEAKER_05
83.07,83.11,de,0.9800,0.9986,SPEAKER_05
83.171,83.272,su,0.7960,0.9939,SPEAKER_05
83.312,83.877,significado,0.9400,0.9992,SPEAKER_05
83.897,83.938,de,0.1800,0.8925,SPEAKER_05
83.958,83.998,su,0.0000,0.9977,SPEAKER_05
84.019,84.2,contenido,0.1230,0.9986,SPEAKER_05
84.18,84.364,semántico,0.0580,0.9989,SPEAKER_05
84.385,84.426,yo,0.0400,0.9552,SPEAKER_05
84.446,85.98,por,0.5560,0.7638,SPEAKER_05
86.14,86.363,en,0.3330,0.1293,SPEAKER_05
86.404,86.748,definitiva,0.6820,0.9983,SPEAKER_05
86.789,87.093,entiendo,0.8080,0.9305,SPEAKER_05
87.154,87.215,por,0.6680,0.9858,SPEAKER_05
87.255,87.762,instituciones,0.6930,0.9949,SPEAKER_05
87.863,88.046,formas,0.6940,0.6552,SPEAKER_05
88.127,88.654,generalizadas,0.8560,0.9980,SPEAKER_05
88.674,88.715,de,0.4280,0.9978,SPEAKER_05
88.755,89.12,comunicación,0.2880,0.9988,SPEAKER_05
89.1,90.526,vale,0.8740,0.0688,SPEAKER_05
90.566,90.847,decir,0.6500,0.9696,SPEAKER_05
91.028,91.129,por,0.9880,0.3595,SPEAKER_05
91.169,91.751,instituciones,0.8710,0.9965,SPEAKER_05
91.792,92.314,entiendo,0.6690,0.9913,SPEAKER_05
92.856,93.017,más,0.9280,0.9065,SPEAKER_05
93.137,93.499,que,0.8430,0.9626,SPEAKER_05
94.262,94.684,regulaciones,0.9230,0.9614,SPEAKER_05
94.764,95.186,formales,0.9300,0.9984,SPEAKER_05
95.206,95.969,entiendo,0.6840,0.9696,SPEAKER_05
96.17,96.23,la,0.5960,0.9969,SPEAKER_05
96.291,96.532,manera,0.8720,0.9994,SPEAKER_05
96.672,96.893,como,0.9070,0.9594,SPEAKER_05
97.074,97.134,el,0.9080,0.9925,SPEAKER_05
97.536,97.878,público,0.8590,0.9726,SPEAKER_05
97.898,98.179,entiende,0.8650,0.9901,SPEAKER_05
98.239,98.36,las,0.8990,0.9966,SPEAKER_05
98.38,98.48,cosas,0.1810,0.9985,SPEAKER_05
98.46,99.763,en,0.4220,0.8072,SPEAKER_05
99.783,99.843,el,0.7620,0.8598,SPEAKER_05
99.883,100.024,fondo,0.9160,0.9991,SPEAKER_05
100.926,101.227,existen,0.7270,0.8772,SPEAKER_05
101.267,101.868,instituciones,0.8430,0.9966,SPEAKER_05
101.908,101.948,en,0.5050,0.9908,SPEAKER_05
102.009,102.069,la,0.9670,0.9973,SPEAKER_05
102.109,102.369,medida,0.8710,0.9989,SPEAKER_05
102.43,102.49,en,0.8970,0.9878,SPEAKER_05
102.59,102.77,que,0.8560,0.9898,SPEAKER_05
103.813,103.873,en,0.9900,0.9869,SPEAKER_05
103.913,103.973,un,0.9390,0.9994,SPEAKER_05
104.013,104.154,grupo,0.8060,0.9996,SPEAKER_05
104.194,104.815,cualquiera,0.6330,0.9984,SPEAKER_05
105.798,105.838,un,0.9620,0.9197,SPEAKER_05
105.878,106.058,centro,0.6900,0.9822,SPEAKER_05
106.118,106.259,como,0.9900,0.9993,SPEAKER_05
106.399,106.7,este,0.9890,0.9244,SPEAKER_05
106.74,106.76,o,0.9600,0.9911,SPEAKER_05
107.181,107.682,una,0.9630,0.9987,SPEAKER_05
108.203,108.965,universidad,0.8370,0.9984,SPEAKER_05
