start,end,word,alignment_score,probability,speaker
0.0,0.503,"Así,",0.9160,0.9971,SPEAKER_09
1.126,1.206,en,0.9780,1.0000,SPEAKER_09
1.246,1.387,ese,0.9700,0.9999,SPEAKER_09
1.447,1.729,verano,0.9700,1.0000,SPEAKER_09
1.789,1.849,de,0.7600,0.9999,SPEAKER_09
1.87,2.593,"1973,",0.8060,0.9992,SPEAKER_09
2.855,2.975,no,0.6740,0.9999,SPEAKER_09
3.337,4.402,hubo,0.9470,1.0000,SPEAKER_09
4.443,4.845,espacio,0.7520,0.9999,SPEAKER_09
4.925,5.046,para,0.9720,1.0000,SPEAKER_09
5.106,5.186,el,0.9860,0.9998,SPEAKER_09
5.247,5.79,descanso,0.9010,0.9999,SPEAKER_09
5.81,5.83,y,0.9930,0.9982,SPEAKER_09
6.433,6.493,la,0.9830,1.0000,SPEAKER_09
6.574,7.096,tradicional,0.8770,1.0000,SPEAKER_09
7.358,7.659,tregua,0.8080,0.9995,SPEAKER_09
7.679,7.86,política.,0.1110,1.0000,SPEAKER_09
9.28,9.607,Fue,0.6100,1.0000,SPEAKER_09
10.24,10.322,un,0.9760,0.9998,SPEAKER_09
10.363,10.649,verano,0.8820,1.0000,SPEAKER_09
10.71,11.2,distinto.,0.7130,1.0000,SPEAKER_09
12.24,12.361,La,0.3900,1.0000,SPEAKER_09
12.441,12.803,división,0.9310,0.9999,SPEAKER_09
12.843,13.023,del,0.6540,1.0000,SPEAKER_09
13.104,13.285,país,0.7220,1.0000,SPEAKER_09
13.305,13.345,se,0.5000,0.9999,SPEAKER_09
13.887,14.309,agudizó,0.9360,0.9999,SPEAKER_09
14.329,14.731,día,0.7330,1.0000,SPEAKER_09
14.751,14.771,a,1.0000,1.0000,SPEAKER_09
14.791,14.852,día,0.1390,1.0000,SPEAKER_09
15.756,15.816,y,0.9850,0.7505,SPEAKER_09
15.876,15.957,en,0.9220,0.9973,SPEAKER_09
15.997,16.137,ese,0.8910,1.0000,SPEAKER_09
16.218,16.479,clima,0.9980,1.0000,SPEAKER_09
16.519,16.941,se,0.8680,0.9882,SPEAKER_09
17.001,17.142,dio,0.8110,0.9999,SPEAKER_09
17.202,17.242,la,0.7900,1.0000,SPEAKER_09
17.343,17.684,campaña,0.9550,1.0000,SPEAKER_09
17.745,18.227,electoral,0.9460,0.9999,SPEAKER_09
18.729,18.89,para,0.9630,0.9995,SPEAKER_09
18.97,19.07,las,0.9070,1.0000,SPEAKER_09
19.131,19.573,elecciones,0.9200,1.0000,SPEAKER_09
19.754,20.477,parlamentarias,0.9290,1.0000,SPEAKER_09
20.879,20.959,de,0.8740,1.0000,SPEAKER_09
21.079,21.22,marzo.,0.3100,0.9999,SPEAKER_09
26.22,26.985,Avanzar,0.8200,0.8402,SPEAKER_08
27.005,27.489,sin,0.8200,0.9973,SPEAKER_08
27.509,28.053,tranzar,0.9600,0.7884,SPEAKER_08
28.073,28.113,es,0.5000,0.9821,SPEAKER_08
28.959,29.059,no,0.9240,0.9998,SPEAKER_08
29.18,29.704,devolver,0.8690,1.0000,SPEAKER_08
29.805,29.905,las,0.9520,0.9996,SPEAKER_08
30.046,30.53,"empresas,",0.8790,0.9999,SPEAKER_08
30.912,31.013,los,0.7860,0.9999,SPEAKER_08
31.214,31.536,fundos,0.8350,0.9203,SPEAKER_08
31.597,31.677,ni,0.8450,0.9959,SPEAKER_08
31.718,31.939,las,0.5380,0.9999,SPEAKER_08
31.959,32.08,minas.,0.1660,0.9980,SPEAKER_08
32.14,32.564,Por,0.9190,0.9996,SPEAKER_08
32.624,32.887,"eso,",0.8920,0.9999,SPEAKER_08
33.432,33.492,la,0.9910,0.9987,SPEAKER_08
33.533,33.896,batalla,0.9110,0.9474,SPEAKER_08
33.936,33.997,de,0.9000,0.9999,SPEAKER_08
34.078,34.421,marzo,0.9580,0.9877,SPEAKER_08
34.481,34.542,es,0.6480,0.9999,SPEAKER_08
34.562,35.329,continuación,0.8330,0.9999,SPEAKER_08
35.349,35.39,de,0.4990,0.9999,SPEAKER_08
35.592,35.632,la,0.9960,1.0000,SPEAKER_08
35.692,36.076,batalla,0.9550,1.0000,SPEAKER_08
36.116,36.157,de,0.7440,1.0000,SPEAKER_08
36.237,36.54,octubre.,0.2260,1.0000,SPEAKER_08
36.68,37.471,"Marzo,",0.8440,0.9969,SPEAKER_08
37.532,38.546,comienzo,0.8880,0.9999,SPEAKER_08
38.587,38.668,de,0.8990,0.9999,SPEAKER_08
38.708,38.749,la,0.9690,1.0000,SPEAKER_08
38.83,39.418,victoria,0.9140,0.9999,SPEAKER_08
39.439,39.56,final.,0.1660,0.9999,SPEAKER_08
41.2,42.151,Alcanzar,0.3070,0.5997,SPEAKER_02
42.171,42.232,no,0.8470,0.8053,SPEAKER_02
42.333,42.434,es,0.7280,0.9998,SPEAKER_02
43.425,44.133,decisión,0.1220,0.9993,SPEAKER_02
44.153,44.8,revolucionaria.,0.4400,0.9998,SPEAKER_02
