start,end,word,alignment_score,probability,speaker
0.0,0.489,Se,0.4250,0.9912,SPEAKER_00
0.509,0.815,insta,0.8180,0.8523,SPEAKER_00
0.835,0.856,a,0.3100,0.9887,SPEAKER_00
0.876,1.304,renunciar,0.6740,0.9974,SPEAKER_00
1.324,1.365,al,0.4760,0.9971,SPEAKER_00
1.446,1.793,Presidente,0.2560,0.9162,SPEAKER_00
1.813,1.854,de,0.0000,0.9988,SPEAKER_00
1.874,1.956,la,0.6820,0.9997,SPEAKER_00
1.976,2.22,República.,0.1640,0.9996,SPEAKER_00
2.56,3.186,No,0.8450,0.9967,SPEAKER_00
3.27,3.332,lo,0.4870,1.0000,SPEAKER_00
3.374,3.541,haré.,0.4180,1.0000,SPEAKER_00
5.06,5.964,Notifico,0.5890,0.9993,SPEAKER_00
6.047,6.252,ante,0.8490,0.9999,SPEAKER_00
6.273,6.458,el,0.8520,1.0000,SPEAKER_00
6.478,6.561,país,0.2470,0.9978,SPEAKER_00
6.54,6.966,la,0.7110,0.9985,SPEAKER_00
7.982,8.509,actitud,0.2670,0.9998,SPEAKER_00
8.53,9.24,increíble,0.7550,0.9998,SPEAKER_00
9.22,9.654,de,0.6940,0.9995,SPEAKER_00
10.066,10.521,soldados,0.5830,0.9997,SPEAKER_00
10.5,11.614,que,0.7000,0.9999,SPEAKER_00
11.695,12.06,faltan,0.8630,1.0000,SPEAKER_00
12.141,12.182,a,0.8800,1.0000,SPEAKER_00
12.263,12.384,su,0.6430,1.0000,SPEAKER_00
12.404,12.789,palabra,0.9900,1.0000,SPEAKER_00
12.81,12.83,y,0.7380,0.9994,SPEAKER_00
12.85,12.87,a,0.9890,0.9951,SPEAKER_00
13.093,13.134,su,0.0600,0.9987,SPEAKER_00
13.154,13.64,compromiso.,0.4880,0.9999,SPEAKER_00
15.96,16.305,Hago,0.3940,0.9997,SPEAKER_00
16.346,16.772,presente,0.7860,0.9997,SPEAKER_00
16.833,16.935,mi,0.4940,0.9981,SPEAKER_00
16.976,17.524,distinción,0.6530,0.6961,SPEAKER_00
17.564,18.6,irrevocable,0.5620,0.9994,SPEAKER_00
18.58,19.772,de,0.3880,0.9944,SPEAKER_00
19.792,20.156,seguir,0.5150,1.0000,SPEAKER_00
20.217,21.066,defendiendo,0.8140,0.9994,SPEAKER_00
21.248,21.308,a,0.6480,1.0000,SPEAKER_00
21.328,21.672,Chile,0.4130,1.0000,SPEAKER_00
