start,end,word,alignment_score,probability,speaker
0.0,0.323,A,0.7720,0.9997,SPEAKER_01
0.343,1.15,"continuación,",0.9650,1.0000,SPEAKER_01
1.17,1.211,la,0.4960,1.0000,SPEAKER_01
2.26,2.522,voz,0.7810,0.9996,SPEAKER_01
2.764,2.865,de,0.9780,1.0000,SPEAKER_01
2.925,3.026,los,0.8860,1.0000,SPEAKER_01
3.168,3.874,trabajadores,0.7700,1.0000,SPEAKER_01
3.914,4.62,"chilenos,",0.7350,0.9997,SPEAKER_01
5.58,6.046,la,0.3690,1.0000,SPEAKER_01
6.066,6.147,voz,0.5670,0.9999,SPEAKER_01
6.532,6.613,de,0.9320,1.0000,SPEAKER_01
6.653,6.714,la,0.8320,1.0000,SPEAKER_01
6.876,7.362,Central,0.8040,0.9853,SPEAKER_01
7.827,8.131,Única,0.8760,0.9992,SPEAKER_01
8.151,8.293,de,0.7310,1.0000,SPEAKER_01
8.374,8.9,"Trabajadores,",0.5360,0.9999,SPEAKER_01
9.76,10.629,firmada,0.6070,1.0000,SPEAKER_01
11.296,11.498,por,0.6980,1.0000,SPEAKER_01
11.518,11.721,su,0.6160,1.0000,SPEAKER_01
11.741,12.711,Consejo,0.5690,0.9996,SPEAKER_01
13.095,13.277,Directivo,0.0490,0.9991,SPEAKER_01
13.297,13.6,Nacional.,0.4510,1.0000,SPEAKER_01
14.88,16.333,El,0.3900,0.9995,SPEAKER_01
16.354,16.495,Consejo,0.0040,1.0000,SPEAKER_01
16.515,17.101,Directivo,0.4180,0.9997,SPEAKER_01
17.121,17.625,Nacional,0.5520,1.0000,SPEAKER_01
17.646,17.747,de,0.6700,1.0000,SPEAKER_01
17.767,17.847,la,0.6760,1.0000,SPEAKER_01
17.908,18.332,Central,0.5310,0.9991,SPEAKER_01
18.352,18.635,Única,0.7880,1.0000,SPEAKER_01
18.675,18.736,de,0.6820,1.0000,SPEAKER_01
18.796,19.22,"Trabajadores,",0.5220,1.0000,SPEAKER_01
20.46,20.966,ante,0.7170,0.9995,SPEAKER_00
20.986,21.026,el,0.3600,0.9999,SPEAKER_00
