start,end,word,alignment_score,probability,speaker
0.0,0.423,La,0.8740,0.9979,SPEAKER_01
0.464,0.826,amenaza,0.8060,0.9998,SPEAKER_01
0.846,0.907,que,0.3310,0.9999,SPEAKER_01
1.068,1.149,se,0.9190,0.9986,SPEAKER_01
1.209,1.632,cernía,0.9130,0.9996,SPEAKER_01
1.673,1.935,sobre,0.9100,1.0000,SPEAKER_01
2.035,2.277,Chile,0.8810,1.0000,SPEAKER_01
2.902,3.023,era,0.8030,0.9124,SPEAKER_01
3.083,3.224,ya,0.9840,0.9995,SPEAKER_01
3.285,3.809,entonces,0.9330,0.9995,SPEAKER_01
4.534,4.675,más,0.9420,0.9969,SPEAKER_01
4.736,4.837,que,0.6330,1.0000,SPEAKER_01
4.917,4.978,un,0.9400,1.0000,SPEAKER_01
5.018,5.3,peligro.,0.5330,1.0000,SPEAKER_01
5.76,6.557,La,0.9480,1.0000,SPEAKER_01
6.598,6.945,decisión,0.8860,1.0000,SPEAKER_01
6.986,7.354,estaba,0.6990,0.9999,SPEAKER_01
7.456,7.68,tomada.,0.5090,1.0000,SPEAKER_01
7.98,8.767,La,0.5960,1.0000,SPEAKER_01
8.808,9.252,comunicó,0.9010,1.0000,SPEAKER_01
9.292,9.373,al,0.9680,1.0000,SPEAKER_01
9.454,9.635,país,0.7750,0.9997,SPEAKER_01
9.656,9.696,el,0.4920,0.9990,SPEAKER_01
10.281,10.645,senador,0.9950,0.9997,SPEAKER_01
10.705,11.25,derechista,0.9120,0.9991,SPEAKER_01
11.291,12.139,Francisco,0.8690,1.0000,SPEAKER_01
12.159,12.3,Bulnes.,0.1860,0.9262,SPEAKER_01
12.52,13.225,El,0.6700,0.9984,SPEAKER_00
13.306,13.628,gobierno,0.9200,0.9991,SPEAKER_00
13.649,14.132,atenta,0.8290,0.9997,SPEAKER_00
14.273,14.555,contra,0.8610,0.9987,SPEAKER_00
14.676,14.737,las,0.6030,0.9999,SPEAKER_00
14.837,15.301,garantías,0.7450,1.0000,SPEAKER_00
15.341,16.087,individuales,0.6220,1.0000,SPEAKER_00
16.168,16.772,consagradas,0.8000,0.9997,SPEAKER_00
16.873,16.913,en,0.6380,1.0000,SPEAKER_00
16.953,17.014,la,0.8840,1.0000,SPEAKER_00
17.095,17.336,Carta,0.9280,0.9927,SPEAKER_00
17.417,17.84,"Fundamental,",0.3890,1.0000,SPEAKER_00
18.58,18.943,entre,0.7090,1.0000,SPEAKER_00
19.004,19.185,ellas,0.4800,0.9978,SPEAKER_00
19.266,19.326,la,0.2070,0.9999,SPEAKER_00
19.407,19.75,libertad,0.8080,1.0000,SPEAKER_00
19.79,19.851,de,0.5850,1.0000,SPEAKER_00
19.871,20.516,"educación,",0.8220,0.9995,SPEAKER_00
20.556,20.597,la,0.4860,1.0000,SPEAKER_00
21.02,21.484,libertad,0.7170,1.0000,SPEAKER_00
