start,end,word,alignment_score,probability,speaker
0.0,0.307,Los,0.7370,0.9987,SPEAKER_01
0.368,1.083,acontecimientos,0.8480,1.0000,SPEAKER_01
1.124,1.247,se,0.7380,0.9999,SPEAKER_01
1.308,1.88,precipitaron.,0.8820,0.9999,SPEAKER_01
2.62,2.761,Al,0.5300,1.0000,SPEAKER_01
2.781,3.104,llamado,0.9270,1.0000,SPEAKER_01
3.165,3.286,del,0.7030,1.0000,SPEAKER_01
3.347,3.69,senador,0.8720,0.9978,SPEAKER_01
3.811,4.174,"Bulnes,",0.9620,0.9605,SPEAKER_01
4.618,4.699,se,0.8680,1.0000,SPEAKER_01
4.78,5.042,sumó,0.8720,1.0000,SPEAKER_01
5.102,5.163,la,0.9820,0.9999,SPEAKER_01
5.203,5.546,acción,0.7180,0.9999,SPEAKER_01
5.587,5.748,del,0.5240,0.9999,SPEAKER_01
5.809,6.031,brazo,0.9330,0.9993,SPEAKER_01
6.091,6.475,armado,0.8500,1.0000,SPEAKER_01
6.556,6.616,de,0.8640,0.9999,SPEAKER_01
6.657,6.717,la,0.8320,1.0000,SPEAKER_01
6.778,7.06,"derecha,",0.5050,0.9999,SPEAKER_01
7.06,7.826,Patria,0.9470,0.9196,SPEAKER_01
7.888,7.929,y,0.8610,1.0000,SPEAKER_01
7.991,8.281,Libertad.,0.7170,0.9996,SPEAKER_01
9.04,9.242,Las,0.8240,0.9999,SPEAKER_01
9.303,9.848,declaraciones,0.9300,1.0000,SPEAKER_01
9.868,10.413,subversivas,0.8630,0.9994,SPEAKER_01
10.494,10.554,de,0.8240,1.0000,SPEAKER_01
10.635,10.736,uno,0.9900,1.0000,SPEAKER_01
10.797,10.857,de,0.7900,1.0000,SPEAKER_01
10.938,11.059,sus,0.9420,1.0000,SPEAKER_01
11.18,11.544,máximos,0.7970,0.9999,SPEAKER_01
11.605,12.109,"dirigentes,",0.9000,0.9999,SPEAKER_01
12.17,13.119,Roberto,0.8590,0.9999,SPEAKER_01
13.139,13.24,"Time,",0.2000,0.8151,SPEAKER_01
13.38,14.196,fueron,0.8230,1.0000,SPEAKER_01
14.38,14.992,denunciadas,0.9780,1.0000,SPEAKER_01
15.073,15.175,por,0.8350,1.0000,SPEAKER_01
15.196,15.236,el,0.0000,1.0000,SPEAKER_01
15.257,15.44,gobierno.,0.1110,0.9966,SPEAKER_01
15.88,16.545,Tengo,0.9550,0.9990,SPEAKER_00
16.606,16.646,en,0.9700,0.9999,SPEAKER_00
16.707,16.767,mi,0.9180,0.9998,SPEAKER_00
16.868,17.09,mano,0.9820,1.0000,SPEAKER_00
17.997,18.098,el,0.7400,0.9927,SPEAKER_00
18.279,18.562,texto,0.9250,0.9764,SPEAKER_00
18.602,19.025,"oficial,",0.8990,1.0000,SPEAKER_00
19.066,19.086,y,0.9960,1.0000,SPEAKER_00
19.973,20.033,no,0.9180,1.0000,SPEAKER_00
20.175,20.86,"desmentido,",0.8260,0.9995,SPEAKER_00
21.56,21.804,de,0.6900,1.0000,SPEAKER_00
21.845,21.906,la,0.9540,1.0000,SPEAKER_00
21.967,22.455,declaración,0.9740,1.0000,SPEAKER_00
22.496,23.207,formulada,0.8690,0.9998,SPEAKER_00
23.329,23.431,por,0.9350,1.0000,SPEAKER_00
23.513,23.797,dicha,0.7820,1.0000,SPEAKER_00
23.818,23.98,"persona,",0.1250,1.0000,SPEAKER_00
24.14,25.249,y,0.7820,0.9991,SPEAKER_00
25.269,25.895,reproducida,0.8510,0.9994,SPEAKER_00
25.915,25.955,en,0.7310,1.0000,SPEAKER_00
26.036,26.137,una,0.7280,0.9992,SPEAKER_00
26.217,26.842,transmisión,0.8230,0.9999,SPEAKER_00
26.883,26.923,de,0.4980,1.0000,SPEAKER_00
26.943,27.145,la,0.6080,1.0000,SPEAKER_00
27.246,27.447,Radio,0.5100,0.9340,SPEAKER_00
27.568,27.871,Sociedad,0.5980,0.9995,SPEAKER_00
27.931,28.315,Nacional,0.7970,1.0000,SPEAKER_00
28.395,28.436,de,0.5500,1.0000,SPEAKER_00
28.496,28.98,"Agricultura,",0.4580,0.9997,SPEAKER_00
28.96,29.263,en,0.6530,0.9007,SPEAKER_00
30.03,30.151,uno,0.9760,0.9917,SPEAKER_00
30.191,30.252,de,0.7440,0.9999,SPEAKER_00
30.353,30.555,cuyos,0.8270,0.9968,SPEAKER_00
30.696,30.979,párrafos,0.5510,0.9977,SPEAKER_00
31.725,31.847,más,0.9660,0.9906,SPEAKER_00
31.927,32.593,significativos,0.9550,0.8956,SPEAKER_00
32.614,32.654,se,0.5000,0.9987,SPEAKER_00
32.836,33.038,lee,0.6410,0.9996,SPEAKER_00
33.058,33.098,lo,0.0000,0.9987,SPEAKER_00
33.118,33.32,siguiente.,0.1000,0.9999,SPEAKER_00
34.48,34.701,Los,0.6560,0.9491,SPEAKER_00
34.822,35.285,partidos,0.9020,0.9998,SPEAKER_00
35.507,36.05,políticos,0.7790,1.0000,SPEAKER_00
36.09,36.795,se,0.8850,0.9994,SPEAKER_00
