start,end,word,alignment_score,probability,speaker
0.0,0.484,Los,0.9030,0.9630,SPEAKER_00
0.564,0.927,problemas,0.8250,0.9878,SPEAKER_00
1.008,1.088,de,0.8080,0.9986,SPEAKER_00
1.169,1.652,Chile,0.5030,0.9976,SPEAKER_00
1.673,1.914,existen,0.4510,0.9995,SPEAKER_00
2.116,2.136,y,0.1240,0.9950,SPEAKER_00
2.156,2.257,no,0.8440,0.6033,SPEAKER_00
2.317,2.438,son,0.8190,0.9826,SPEAKER_00
2.458,2.801,creados,0.8310,0.9740,SPEAKER_00
2.922,3.043,por,0.7700,0.9999,SPEAKER_00
3.123,3.224,los,0.8920,0.9999,SPEAKER_00
3.305,3.829,"periodistas,",0.9730,0.9999,SPEAKER_00
4.312,4.675,declaró,0.8620,0.9996,SPEAKER_00
4.695,4.816,el,0.3800,1.0000,SPEAKER_00
4.877,5.179,Consejo,0.6530,0.9978,SPEAKER_00
5.199,5.36,Nacional,0.1250,0.9998,SPEAKER_00
5.34,6.728,del,0.6110,0.9328,SPEAKER_00
6.788,7.15,Colegio,0.7190,0.9994,SPEAKER_00
7.21,7.271,de,0.9140,0.9999,SPEAKER_00
7.331,7.753,Periodistas,0.7570,0.9998,SPEAKER_00
7.874,7.934,de,0.7740,0.9996,SPEAKER_00
8.015,8.296,Chile,0.5160,1.0000,SPEAKER_00
8.417,8.497,en,0.8300,0.9567,SPEAKER_00
8.558,8.94,respuesta,0.8500,0.9999,SPEAKER_00
8.96,8.98,a,0.9660,0.9998,SPEAKER_00
9.0,9.744,irresponsables,0.4320,0.9907,SPEAKER_00
9.805,10.408,acusaciones,0.3550,0.9995,SPEAKER_00
10.428,10.609,del,0.3280,0.9996,SPEAKER_00
10.629,10.891,nazi,0.7510,0.8342,SPEAKER_00
10.931,11.333,ministro,0.4940,0.9796,SPEAKER_00
11.353,11.454,del,0.7390,0.9977,SPEAKER_00
11.514,11.836,"interior,",0.9220,0.8526,SPEAKER_00
11.856,12.459,Onofre,0.2540,0.7518,SPEAKER_00
12.479,12.6,Jarta.,0.1660,0.6970,SPEAKER_00
13.28,14.066,Jarta,0.6460,0.9998,SPEAKER_00
14.106,14.468,acusó,0.6010,0.9996,SPEAKER_00
14.509,14.569,al,0.8100,1.0000,SPEAKER_00
14.589,14.992,periodismo,0.7980,0.9854,SPEAKER_00
15.073,15.435,nacional,0.6590,0.9999,SPEAKER_00
15.455,15.496,de,0.4870,0.9999,SPEAKER_00
15.516,16.342,destacar,0.7740,0.9988,SPEAKER_00
16.422,16.825,solamente,0.7920,0.9999,SPEAKER_00
16.906,17.308,aspectos,0.9660,0.9992,SPEAKER_00
17.349,17.973,negativos,0.7360,0.9999,SPEAKER_00
17.993,18.033,de,0.4960,0.9992,SPEAKER_00
18.215,18.255,la,0.7860,1.0000,SPEAKER_00
18.336,18.698,situación,0.9370,0.9999,SPEAKER_00
18.718,18.879,del,0.4170,0.9999,SPEAKER_00
18.9,18.98,país,0.2500,1.0000,SPEAKER_00
18.96,19.604,y,0.7280,0.4562,SPEAKER_00
19.665,20.168,haciéndose,0.3280,0.8215,SPEAKER_00
20.269,21.175,"gracioso,",0.6700,0.9263,SPEAKER_00
21.195,21.477,sostuvo,0.7990,0.9736,SPEAKER_00
21.537,21.598,que,0.4090,0.9990,SPEAKER_00
21.658,22.141,ofrecían,0.7580,0.9678,SPEAKER_00
22.181,22.524,tribuna,0.7700,0.8706,SPEAKER_00
22.544,22.564,a,0.9830,1.0000,SPEAKER_00
22.886,23.349,personas,0.5520,1.0000,SPEAKER_00
23.369,23.45,que,0.2060,1.0000,SPEAKER_00
23.47,23.53,no,0.8740,1.0000,SPEAKER_00
23.651,23.953,tienen,0.6700,0.9946,SPEAKER_00
23.973,24.014,ni,0.3060,0.5497,SPEAKER_00
24.074,24.134,el,0.8100,0.9987,SPEAKER_00
24.175,24.457,apoyo,0.9620,1.0000,SPEAKER_00
24.517,24.598,de,0.8320,1.0000,SPEAKER_00
24.698,24.799,sus,0.3230,0.9999,SPEAKER_00
24.819,24.98,mujeres.,0.1250,0.9996,SPEAKER_00
24.96,25.162,El,0.0960,0.6790,SPEAKER_00
25.908,26.251,Consejo,0.8900,0.9353,SPEAKER_00
26.595,26.817,Nacional,0.2930,0.9948,SPEAKER_00
26.837,26.897,del,0.6580,0.9015,SPEAKER_00
26.958,27.281,Colegio,0.7910,0.9978,SPEAKER_00
27.341,27.402,de,0.8050,0.9970,SPEAKER_00
27.482,27.947,Periodistas,0.9490,0.9977,SPEAKER_00
27.987,28.673,manifiesta,0.8460,0.9969,SPEAKER_00
28.734,28.794,en,0.8710,0.9980,SPEAKER_00
28.855,28.935,su,0.9050,0.9998,SPEAKER_00
28.996,29.48,declaración,0.4410,0.9997,SPEAKER_00
29.46,29.945,su,0.4370,0.7238,SPEAKER_00
29.965,30.207,más,0.5180,0.2105,SPEAKER_00
30.389,30.752,absoluta,0.3390,0.9603,SPEAKER_00
30.773,31.419,discrepancia,0.4700,0.9924,SPEAKER_00
31.5,31.6,con,0.8680,0.9960,SPEAKER_00
31.641,31.701,los,0.6620,0.9887,SPEAKER_00
31.722,32.348,conceptos,0.3980,0.8079,SPEAKER_00
32.368,32.63,emitidos,0.5350,0.9974,SPEAKER_00
32.751,32.852,por,0.9390,0.9999,SPEAKER_00
32.913,33.115,el,0.6500,0.9999,SPEAKER_00
33.135,33.337,ministro,0.3190,0.7805,SPEAKER_00
33.357,33.438,del,0.4890,0.9855,SPEAKER_00
33.458,33.66,interior.,0.1510,0.1172,SPEAKER_00
34.44,35.368,Rechazamos,0.1870,0.9677,SPEAKER_00
35.389,35.469,toda,0.0340,0.7953,SPEAKER_00
35.49,36.055,exportación,0.4910,0.9789,SPEAKER_00
36.095,36.236,que,0.5670,0.9998,SPEAKER_00
36.257,36.519,implique,0.8330,0.9984,SPEAKER_00
36.579,36.801,algún,0.6970,0.9995,SPEAKER_00
36.822,37.104,tipo,0.6630,0.9987,SPEAKER_00
37.145,37.185,de,0.3800,1.0000,SPEAKER_00
37.246,37.609,censura,0.5840,0.9775,SPEAKER_00
37.649,37.69,en,0.6760,0.9998,SPEAKER_00
37.73,37.831,los,0.8720,1.0000,SPEAKER_00
37.871,38.093,medios,0.7850,1.0000,SPEAKER_00
38.154,38.234,de,0.6670,0.9901,SPEAKER_00
38.295,38.86,"comunicación,",0.5680,1.0000,SPEAKER_00
38.9,39.705,dice,0.5600,0.9953,SPEAKER_00
39.725,39.805,la,0.7040,0.9997,SPEAKER_00
39.825,40.308,declaración,0.6230,0.9960,SPEAKER_00
40.328,40.429,del,0.7060,0.9993,SPEAKER_00
40.489,40.831,"colegio,",0.7550,0.7766,SPEAKER_00
41.254,41.415,pues,0.4610,0.9962,SPEAKER_00
41.455,41.596,son,0.6990,0.9998,SPEAKER_00
41.656,41.736,los,0.9210,0.9999,SPEAKER_00
41.817,42.078,propios,0.9310,0.9913,SPEAKER_00
42.159,42.682,periodistas,0.7560,1.0000,SPEAKER_00
42.722,43.225,los,0.2890,0.9995,SPEAKER_00
43.245,43.346,que,0.7810,0.9999,SPEAKER_00
43.446,43.607,sobre,0.4820,0.8654,SPEAKER_00
43.627,43.748,la,0.2560,0.9912,SPEAKER_00
43.768,43.949,base,0.8440,0.9999,SPEAKER_00
44.01,44.07,de,0.4990,1.0000,SPEAKER_00
44.11,44.573,criterios,0.7740,0.9996,SPEAKER_00
44.613,45.277,profesionales,0.7600,0.9998,SPEAKER_00
45.317,45.337,y,0.7050,0.9893,SPEAKER_00
45.679,45.8,éticos,0.1310,0.9946,SPEAKER_00
45.78,46.689,deben,0.5830,0.9750,SPEAKER_00
46.81,47.214,decidir,0.7830,0.9989,SPEAKER_00
47.537,47.638,a,0.7320,0.9958,SPEAKER_00
47.658,48.002,quiénes,0.3360,0.6764,SPEAKER_00
48.022,48.628,entrevistar,0.6590,0.9955,SPEAKER_00
48.81,48.87,o,0.7280,0.9996,SPEAKER_00
49.032,49.092,qué,0.2650,0.9998,SPEAKER_00
49.153,49.718,información,0.8980,0.9999,SPEAKER_00
49.739,49.9,recoger.,0.1250,0.7859,SPEAKER_00
50.06,50.627,Por,0.7850,0.9923,SPEAKER_00
50.687,50.789,su,0.7420,0.9995,SPEAKER_00
50.809,51.031,"parte,",0.9020,0.9998,SPEAKER_00
51.072,51.153,el,0.6890,0.9990,SPEAKER_00
51.214,51.537,Consejo,0.7860,0.8754,SPEAKER_00
51.578,52.327,Metropolitano,0.7560,0.9996,SPEAKER_00
52.388,52.489,del,0.7470,0.9982,SPEAKER_00
52.549,52.914,Colegio,0.8800,0.9998,SPEAKER_00
52.974,53.035,de,0.6900,0.9996,SPEAKER_00
53.096,53.46,"Periodistas,",0.4300,0.9999,SPEAKER_00
53.54,54.034,que,0.8730,0.9990,SPEAKER_00
54.075,54.261,también,0.8210,0.9979,SPEAKER_00
54.302,54.487,replicó,0.0080,0.9388,SPEAKER_00
54.508,54.528,a,0.0000,0.9576,SPEAKER_00
54.549,54.693,la,0.3330,0.9689,SPEAKER_00
54.714,54.961,"declaración,",0.0880,0.5265,SPEAKER_00
56.26,57.127,señaló,0.7630,0.6630,SPEAKER_00
57.874,57.954,que,0.6210,0.0886,SPEAKER_00
57.974,58.015,la,0.9660,0.5393,SPEAKER_00
58.075,58.398,comunidad,0.5560,0.9722,SPEAKER_00
58.64,58.822,debe,0.8920,0.9954,SPEAKER_00
58.922,59.265,confiar,0.9390,0.9994,SPEAKER_00
59.306,59.346,en,0.4660,0.9993,SPEAKER_00
59.407,59.487,los,0.9560,0.9993,SPEAKER_00
59.568,60.032,periodistas,0.7790,0.9999,SPEAKER_00
60.254,60.375,para,0.8500,0.9980,SPEAKER_00
60.455,60.859,entregar,0.7770,0.9996,SPEAKER_00
60.879,60.899,a,0.0000,0.9990,SPEAKER_00
60.919,61.02,ellos,0.1990,0.9999,SPEAKER_00
61.0,61.689,todo,0.4440,0.8836,SPEAKER_00
61.709,61.81,su,0.7300,0.9997,SPEAKER_00
61.83,62.235,caudal,0.7370,0.9998,SPEAKER_00
62.256,62.418,de,0.6910,0.9992,SPEAKER_00
62.438,63.147,"inquietudes,",0.6160,0.9994,SPEAKER_00
63.167,63.633,información,0.8160,0.9752,SPEAKER_00
63.673,63.694,y,0.8410,0.9959,SPEAKER_00
63.795,64.22,"opiniones,",0.3730,0.9993,SPEAKER_00
64.82,65.104,única,0.3960,0.9904,SPEAKER_00
65.165,65.387,manera,0.8190,0.9999,SPEAKER_00
65.408,65.509,de,0.0220,0.9999,SPEAKER_00
65.631,65.691,ir,0.9640,0.9996,SPEAKER_00
65.793,66.137,creando,0.9520,0.9999,SPEAKER_00
66.178,66.218,un,0.4960,0.9989,SPEAKER_00
66.644,67.171,diálogo,0.2780,0.9965,SPEAKER_00
67.191,67.374,nacional,0.1700,0.8835,SPEAKER_00
67.576,67.597,y,0.0000,0.8178,SPEAKER_00
67.617,67.88,racional,0.3200,0.9890,SPEAKER_00
67.86,68.832,que,0.4940,0.7843,SPEAKER_00
68.873,69.44,postergue,0.5790,0.9638,SPEAKER_00
69.764,69.845,los,0.5690,0.9977,SPEAKER_00
70.068,70.555,intereses,0.3300,0.9938,SPEAKER_00
70.575,71.0,violentistas.,0.2590,0.8051,SPEAKER_00
71.14,72.061,Noticias,0.6330,0.9840,SPEAKER_00
72.347,72.47,en,0.4990,0.9387,SPEAKER_00
72.49,72.797,Escucha,0.3890,0.7347,SPEAKER_00
72.818,72.94,Chile.,0.1660,0.8566,SPEAKER_00
