start,end,word,alignment_score,probability,speaker
1.02,2.694,"Patricio,",0.1160,0.6840,SPEAKER_03
2.714,2.896,"F-1,",0.7310,0.0236,SPEAKER_03
2.916,3.239,"F-1,",0.7100,0.5897,SPEAKER_03
3.259,3.4,"F-1,",0.7150,0.9841,SPEAKER_03
3.44,3.602,"F-5,",0.7880,0.9906,SPEAKER_03
3.622,3.844,"F-5,",0.6970,0.9988,SPEAKER_03
3.924,4.207,adelante,0.6320,0.9665,SPEAKER_03
4.368,5.8,cambio.,0.2780,0.9883,SPEAKER_03
6.72,7.778,"Patricio,",0.3640,0.8758,SPEAKER_03
7.819,8.022,necesito,0.1180,0.5982,SPEAKER_03
8.043,8.266,hablar,0.4660,0.7907,SPEAKER_03
8.287,8.348,con,0.3380,0.8436,SPEAKER_03
8.47,8.734,"Augusto,",0.3330,0.8314,SPEAKER_03
8.755,8.918,adelante,0.0510,0.9755,SPEAKER_03
8.938,9.08,cambio.,0.1470,0.9649,SPEAKER_03
9.34,10.11,Por,0.2630,0.9972,SPEAKER_03
10.131,10.256,"favor,",0.0050,0.9997,SPEAKER_03
10.277,10.381,mi...,0.2010,0.9989,SPEAKER_03
13.4,14.052,"Augusto,",0.0890,0.9994,SPEAKER_03
14.072,14.439,"Augusto,",0.1640,0.9999,SPEAKER_03
14.459,14.825,"escuchando,",0.2140,0.2896,SPEAKER_03
14.846,15.212,"Augusto,",0.1300,0.9857,SPEAKER_03
15.233,15.66,escuchando.,0.2850,0.5956,SPEAKER_03
17.7,18.405,Comunicación,0.7260,0.9881,SPEAKER_00
18.506,18.929,interna,0.9300,0.6342,SPEAKER_00
19.131,19.393,entre,0.8950,0.7825,SPEAKER_00
19.453,19.514,el,0.9660,0.9965,SPEAKER_00
19.574,19.897,general,0.9060,0.9920,SPEAKER_00
19.937,20.34,Augusto,0.8680,0.9918,SPEAKER_00
20.421,20.864,Pinochet,0.8230,1.0000,SPEAKER_00
21.066,21.106,y,0.9450,1.0000,SPEAKER_00
21.187,21.247,el,0.7420,1.0000,SPEAKER_00
21.287,21.811,almirante,0.8890,0.7661,SPEAKER_00
22.073,22.577,Patricio,0.8010,1.0000,SPEAKER_00
22.638,22.98,Carvajal.,0.5160,0.9993,SPEAKER_00
23.62,24.623,Alguien,0.3760,0.9987,SPEAKER_02
24.664,24.992,que,0.3590,1.0000,SPEAKER_02
25.012,25.094,está,0.0040,0.9997,SPEAKER_02
25.114,25.155,en,0.0030,0.9999,SPEAKER_02
25.176,25.217,la,0.0010,0.9909,SPEAKER_02
25.237,25.38,moneda.,0.1380,0.9426,SPEAKER_02
25.52,26.313,Entonces,0.2670,0.4498,SPEAKER_02
26.333,26.414,hay,0.5380,0.9214,SPEAKER_02
26.435,26.536,que,0.7580,0.9981,SPEAKER_02
26.597,26.821,estar,0.3290,0.9889,SPEAKER_02
26.841,27.004,listo,0.2130,0.9808,SPEAKER_02
27.024,27.207,para,0.5000,0.9816,SPEAKER_02
27.349,27.857,actuar,0.4440,0.4434,SPEAKER_02
27.877,27.979,sobre,0.0050,0.9994,SPEAKER_02
27.999,28.06,él.,0.3340,0.9840,SPEAKER_02
28.04,28.366,No,0.3860,0.8988,SPEAKER_02
28.387,28.468,vale,0.0070,0.9956,SPEAKER_02
28.489,28.59,matar,0.1470,0.8008,SPEAKER_02
28.937,28.978,a,0.6850,0.9932,SPEAKER_02
29.059,29.141,la,0.7060,0.9436,SPEAKER_02
29.161,29.345,"perra,",0.1700,0.0958,SPEAKER_02
29.365,29.488,sacar,0.2170,0.3426,SPEAKER_02
29.508,29.528,a,0.1920,0.4789,SPEAKER_02
29.549,29.63,la,0.5350,0.2856,SPEAKER_02
29.651,30.16,perra.,0.6020,0.3758,SPEAKER_02
31.16,31.821,Exacto.,0.2300,0.8988,UNKNOWN
31.84,32.535,Está,0.3500,0.7655,SPEAKER_02
32.617,32.965,ofreciendo,0.4340,0.9119,SPEAKER_02
33.108,33.68,parlamentar.,0.2760,0.9276,SPEAKER_02
33.8,34.977,Oficial,0.5330,0.5564,SPEAKER_02
34.997,35.951,"incondicional,",0.2480,0.6539,SPEAKER_02
35.971,36.012,no,0.0020,0.6365,SPEAKER_02
36.032,36.6,parlamentar.,0.5560,0.8158,SPEAKER_02
36.72,37.731,Oficial,0.2470,0.8513,UNKNOWN
37.752,38.041,incondicional.,0.0760,0.5967,UNKNOWN
38.62,40.055,"Bien,",0.6480,0.9435,UNKNOWN
40.076,40.261,conforme.,0.1280,0.9957,UNKNOWN
40.24,40.763,La,0.7120,0.9916,SPEAKER_01
40.984,41.446,oficial,0.2950,0.9914,SPEAKER_01
41.647,42.331,incondicional,0.3920,0.9929,SPEAKER_01
42.733,42.854,se,0.5630,0.9847,SPEAKER_01
42.874,42.974,le,0.4620,0.9930,SPEAKER_01
42.995,43.457,toma,0.5020,0.6301,SPEAKER_01
43.598,44.02,preso,0.5320,0.6249,SPEAKER_01
44.724,45.628,ofreciéndole,0.2250,0.9998,SPEAKER_01
45.649,45.829,nada,0.7880,0.9822,SPEAKER_01
45.93,46.392,más,0.5410,0.4825,SPEAKER_01
46.774,46.855,que,0.4290,0.9975,SPEAKER_01
46.895,47.197,respetar,0.3640,0.9522,SPEAKER_01
47.257,47.277,a,0.6690,0.9866,SPEAKER_01
47.398,47.458,la,0.4870,0.9996,SPEAKER_01
47.478,47.579,"vida,",0.0340,0.9999,SPEAKER_01
47.599,47.84,digamos.,0.2500,0.9999,SPEAKER_01
48.14,49.249,La,0.6110,0.9823,SPEAKER_01
49.652,49.773,vida,0.2150,0.4000,SPEAKER_01
49.793,49.813,y,0.0000,0.9996,SPEAKER_01
49.833,49.873,la,0.3510,0.9783,SPEAKER_01
50.317,51.345,integridad,0.2900,0.8977,SPEAKER_01
51.365,51.486,física,0.1020,0.1137,SPEAKER_01
51.566,51.587,y,0.3000,0.8724,SPEAKER_01
51.607,51.667,la,0.5600,0.8078,SPEAKER_01
51.828,52.171,integridad,0.1700,0.3308,SPEAKER_01
52.191,52.514,"social,",0.2840,0.7153,SPEAKER_01
52.534,53.139,"pausa,",0.2050,0.9639,SPEAKER_01
53.159,53.34,pausa.,0.3470,0.8938,SPEAKER_01
54.06,54.783,Con,0.3030,0.8979,SPEAKER_01
54.804,55.341,informe.,0.4040,0.8116,SPEAKER_01
56.0,56.971,O,0.6650,0.7574,SPEAKER_01
57.013,57.095,sea,0.2760,0.4897,SPEAKER_01
57.116,57.178,que,0.0050,0.8063,SPEAKER_01
57.199,57.261,sí.,0.3280,0.7208,SPEAKER_01
57.34,58.001,Mantiene.,0.1430,0.7440,SPEAKER_01
58.04,58.588,Mantiene,0.1700,0.9116,SPEAKER_01
58.629,58.812,el,0.5350,0.9777,SPEAKER_01
58.832,59.299,ofrecimiento,0.3590,0.9225,SPEAKER_01
59.989,60.091,de,0.8040,0.2099,SPEAKER_01
60.111,60.537,sacarla,0.5010,0.6913,SPEAKER_01
60.558,60.618,del,0.0020,0.4594,SPEAKER_01
60.639,60.74,país.,0.1760,0.9334,SPEAKER_01
61.24,61.772,Mantiene,0.2640,0.8718,SPEAKER_01
61.833,62.017,el,0.2220,0.9714,SPEAKER_01
62.038,62.386,ofrecimiento,0.3600,0.5849,SPEAKER_01
62.447,62.57,de,0.5680,0.5373,SPEAKER_01
62.59,62.836,sacarla,0.2660,0.9824,SPEAKER_01
