start,end,word,alignment_score,probability,speaker
0.0,0.311,El,0.8710,0.9933,SPEAKER_00
0.374,1.121,enfrentamiento.,0.8650,0.9953,SPEAKER_00
1.28,2.408,Un,0.7710,0.9998,SPEAKER_00
2.469,3.154,enfrentamiento,0.9720,1.0000,SPEAKER_00
3.174,3.234,que,0.3330,0.9999,SPEAKER_00
3.355,3.718,el,0.8310,1.0000,SPEAKER_00
3.799,4.242,secretario,0.8790,0.8851,SPEAKER_00
4.343,4.665,general,0.8890,0.9999,SPEAKER_00
4.766,4.887,del,0.8080,0.9998,SPEAKER_00
4.947,5.411,Movimiento,0.9290,0.8668,SPEAKER_00
5.491,5.531,de,0.5320,1.0000,SPEAKER_00
5.592,6.015,Izquierda,0.8250,0.9997,SPEAKER_00
6.035,6.7,"Revolucionaria,",0.3680,0.9998,SPEAKER_00
7.42,7.805,Miguel,0.7330,0.9999,SPEAKER_00
7.825,8.351,"Enríquez,",0.8550,0.9959,SPEAKER_00
9.04,9.343,veía,0.9540,0.9999,SPEAKER_00
9.364,9.586,en,0.8100,0.9999,SPEAKER_00
9.647,9.728,los,0.9870,1.0000,SPEAKER_00
9.768,10.173,siguientes,0.7260,0.9999,SPEAKER_00
10.275,10.74,términos.,0.8680,1.0000,SPEAKER_00
10.96,12.805,¡Para,0.7180,0.3132,UNKNOWN
13.11,13.252,los,0.4220,0.8830,UNKNOWN
13.272,13.556,"gobiernos,",0.1300,0.7224,UNKNOWN
13.576,13.738,"unir,",0.1850,0.5670,UNKNOWN
13.759,13.88,vivir!,0.1680,0.3200,UNKNOWN
15.54,16.547,Vivimos,0.6510,0.9937,SPEAKER_00
16.647,17.231,momentos,0.8110,0.9999,SPEAKER_00
18.198,18.238,de,0.0280,1.0000,SPEAKER_00
18.258,18.963,extraordinaria,0.8390,0.9999,SPEAKER_00
19.083,19.506,gravedad,0.9060,0.9999,SPEAKER_00
19.526,19.547,y,0.9900,0.9999,SPEAKER_00
20.251,20.352,de,0.6050,1.0000,SPEAKER_00
20.372,20.976,decisiones,0.5920,0.9999,SPEAKER_00
21.057,21.6,fundamentales.,0.7170,1.0000,SPEAKER_00
21.9,23.026,Los,0.7390,0.9995,SPEAKER_00
