start,end,word,alignment_score,probability,speaker
0.0,1.29,"Atención,",0.3970,0.8407,SPEAKER_16
1.31,1.512,puesto,0.1440,0.2062,SPEAKER_16
1.532,1.855,"1,",0.5450,0.7960,SPEAKER_16
1.875,2.54,puesto,0.5070,0.9086,SPEAKER_16
2.56,2.782,"1,",0.2750,0.9910,SPEAKER_16
2.802,3.205,puesto,0.2370,0.9526,SPEAKER_16
3.225,3.266,"1,",0.0580,0.9750,SPEAKER_16
3.286,3.528,puesto,0.4420,0.5966,SPEAKER_16
4.012,4.395,"5,",0.3220,0.8513,SPEAKER_16
4.415,4.556,delante,0.0840,0.5616,SPEAKER_16
4.576,5.1,cambio.,0.2240,0.7724,SPEAKER_16
7.28,7.989,Puesto,0.2620,0.8922,SPEAKER_16
8.029,8.151,"1,",0.5280,0.9980,SPEAKER_16
8.272,8.657,puesto,0.6110,0.9865,SPEAKER_16
8.758,8.839,"1,",0.2850,0.9991,SPEAKER_16
8.859,9.224,puesto,0.5920,0.9957,SPEAKER_16
9.244,9.487,"1,",0.5210,0.9974,SPEAKER_16
9.507,9.771,puesto,0.4280,0.9493,SPEAKER_16
9.791,10.135,"5,",0.5370,0.9996,SPEAKER_16
10.155,10.398,delante,0.5100,0.9984,SPEAKER_16
10.419,10.56,cambio.,0.1420,0.9998,SPEAKER_16
12.0,13.073,Puesto,0.2840,0.5618,SPEAKER_05
13.093,13.296,"1,",0.7600,0.6609,SPEAKER_05
13.438,14.369,"ministerio,",0.5210,0.6305,SPEAKER_05
14.389,14.491,"2,",0.5950,0.3005,SPEAKER_05
14.511,14.693,"4,",0.6550,0.2424,SPEAKER_05
14.713,15.139,"5,",0.7310,0.4535,SPEAKER_05
15.159,15.28,claro.,0.1720,0.6492,SPEAKER_05
16.96,17.355,¿Quién,0.1230,0.7943,SPEAKER_12
17.376,17.418,es,0.0020,0.3875,SPEAKER_12
17.438,17.48,el,0.2240,0.7170,SPEAKER_12
17.501,18.021,presidente?,0.3580,0.1679,SPEAKER_12
18.74,19.335,¿No,0.3540,0.5898,SPEAKER_12
19.355,19.54,están,0.6430,0.9928,SPEAKER_12
19.602,19.807,hablando,0.8040,0.9859,SPEAKER_12
19.848,19.93,los,0.5670,0.9993,SPEAKER_12
19.991,20.361,generales?,0.3710,0.9988,SPEAKER_12
23.26,23.889,Puesto,0.1530,0.7035,SPEAKER_12
23.91,23.993,"1,",0.6010,0.9280,SPEAKER_12
24.014,24.161,cambio.,0.1430,0.9925,SPEAKER_12
25.6,26.231,"Patricio,",0.4070,0.7299,SPEAKER_16
26.272,26.761,necesito,0.5500,0.8179,SPEAKER_16
26.781,26.903,hablar,0.1220,0.9993,SPEAKER_16
26.923,27.107,con,0.3850,0.9999,SPEAKER_16
27.127,27.555,"Augusto,",0.3780,0.9982,SPEAKER_16
27.575,27.717,delante,0.0740,0.9948,SPEAKER_16
27.738,27.88,cambio.,0.1430,0.9995,SPEAKER_16
28.18,28.753,Por,0.1500,0.5344,SPEAKER_16
28.774,28.901,favor.,0.1670,0.9916,SPEAKER_16
31.18,32.395,A,0.8460,0.0468,SPEAKER_16
32.415,32.557,"gusto,",0.1540,0.9899,SPEAKER_16
32.577,33.124,"dale,",0.5850,0.1433,SPEAKER_16
33.145,33.266,a,0.5310,0.9917,SPEAKER_16
33.347,33.469,gusto,0.1620,0.9998,SPEAKER_16
33.489,33.833,"escuchar,",0.4290,0.7016,SPEAKER_16
33.914,33.975,a,0.4870,0.9972,SPEAKER_16
33.995,34.198,gusto,0.4630,0.9997,SPEAKER_16
34.218,34.4,escuchar.,0.1130,0.9999,SPEAKER_16
34.42,35.187,Yo,0.5660,0.0966,SPEAKER_16
36.034,36.115,creo,0.0910,0.9538,SPEAKER_16
36.135,36.236,que,0.4150,0.9998,SPEAKER_16
36.438,36.7,lo,0.6800,0.9248,SPEAKER_16
36.72,36.902,del,0.8010,0.9996,SPEAKER_16
37.406,37.931,suicidio,0.5200,0.9995,SPEAKER_16
38.173,38.435,era,0.7660,0.9993,SPEAKER_16
38.698,38.98,falso.,0.5520,0.9998,SPEAKER_16
39.82,40.345,"Ahora,",0.8140,0.9992,SPEAKER_16
40.991,41.375,acabo,0.7480,0.9996,SPEAKER_16
41.415,41.456,de,0.7910,1.0000,SPEAKER_16
41.496,41.86,hablar,0.7290,0.9999,SPEAKER_16
42.062,42.203,con,0.8530,0.9998,SPEAKER_16
42.244,42.284,el,0.7420,0.9997,SPEAKER_16
42.486,42.728,edecán,0.2360,0.7770,SPEAKER_16
42.769,43.112,naval,0.7840,0.9135,SPEAKER_16
43.334,43.839,Comandante,0.5750,0.8831,SPEAKER_16
43.859,43.96,"Gris,",0.1740,0.7971,SPEAKER_16
44.04,44.685,quien,0.2480,0.9979,SPEAKER_16
44.705,44.947,me,0.3960,0.9667,SPEAKER_16
44.967,45.149,dice,0.2910,0.9998,SPEAKER_16
45.169,45.31,que,0.4940,1.0000,SPEAKER_16
45.35,45.734,"ellos,",0.5060,0.9992,SPEAKER_16
46.54,46.621,los,0.5020,0.9996,SPEAKER_16
46.701,47.145,tres,0.6200,0.9907,SPEAKER_16
47.165,47.709,"edecanes,",0.6320,0.9889,SPEAKER_16
47.77,47.891,se,0.3910,0.9997,SPEAKER_16
47.911,48.012,van,0.9020,0.9999,SPEAKER_16
48.052,48.072,a,0.3900,1.0000,SPEAKER_16
48.234,48.596,retirar,0.5290,0.9998,SPEAKER_16
48.617,48.677,de,0.7050,0.9997,SPEAKER_16
48.717,48.919,la,0.3620,0.7096,SPEAKER_16
48.939,49.06,moneda,0.1620,0.9951,SPEAKER_16
49.04,49.993,y,0.6930,0.9494,SPEAKER_16
50.013,50.074,se,0.6670,0.9998,SPEAKER_16
50.176,50.399,vienen,0.6060,0.9997,SPEAKER_16
50.662,51.109,hacia,0.5900,0.9996,SPEAKER_16
51.129,51.169,el,0.1280,0.9998,SPEAKER_16
51.19,51.494,ministerio,0.4310,0.5719,SPEAKER_16
51.555,51.636,de,0.5570,0.9998,SPEAKER_16
51.656,51.96,defensa.,0.2940,0.9935,SPEAKER_16
52.06,52.766,Le,0.5930,0.9877,SPEAKER_16
52.887,53.451,encargué,0.4650,0.9836,SPEAKER_16
54.298,54.358,que,0.1700,0.9636,SPEAKER_16
54.741,55.205,instara,0.6340,0.9988,SPEAKER_16
55.447,55.528,al,0.9550,0.9996,SPEAKER_16
56.173,56.354,jefe,0.6170,0.9988,SPEAKER_16
56.394,56.475,de,0.9540,0.9999,SPEAKER_16
56.536,57.12,carabineros,0.7220,0.9971,SPEAKER_16
57.1,57.96,que,0.5270,0.9910,SPEAKER_16
58.226,58.492,rindiera,0.3090,0.8755,SPEAKER_16
58.512,58.717,sus,0.2270,0.9852,SPEAKER_16
58.737,58.88,tropas.,0.1420,0.9563,SPEAKER_16
58.88,59.329,Porque,0.8380,0.0443,SPEAKER_16
59.493,59.636,iban,0.4400,0.9111,SPEAKER_16
59.656,59.779,a,0.6770,0.9971,SPEAKER_16
59.799,59.983,ser,0.7430,0.9738,SPEAKER_16
60.167,60.8,bombardeados.,0.3130,0.9911,SPEAKER_16
61.02,61.828,Así,0.5470,0.9918,SPEAKER_16
61.848,61.908,que,0.5800,0.9986,SPEAKER_16
61.929,62.009,los,0.6670,0.9891,SPEAKER_16
62.05,62.595,carabineros,0.6280,0.9720,SPEAKER_16
62.615,63.746,deben,0.4110,0.8767,SPEAKER_16
63.867,64.21,salir,0.4810,0.9979,SPEAKER_16
64.23,64.291,de,0.6350,0.9961,SPEAKER_16
64.352,64.392,la,0.7780,0.9407,SPEAKER_16
64.432,64.836,moneda,0.4760,0.9914,SPEAKER_16
64.856,64.937,en,0.2580,0.9888,SPEAKER_16
64.957,65.078,este,0.1450,0.9966,SPEAKER_16
65.099,65.26,momento.,0.1410,0.9999,SPEAKER_16
65.72,66.829,El,0.8240,0.9665,SPEAKER_16
67.676,67.897,general,0.3710,0.8961,SPEAKER_16
67.958,68.281,Brady,0.4720,0.9565,SPEAKER_16
68.321,68.482,está,0.7800,0.9946,SPEAKER_16
68.563,69.127,informado,0.8540,0.9998,SPEAKER_16
69.248,69.349,para,0.9700,0.9785,SPEAKER_16
69.43,69.49,que,0.7130,0.9995,SPEAKER_16
69.531,69.591,no,0.8760,0.9993,SPEAKER_16
69.652,69.712,se,0.6120,0.9994,SPEAKER_16
69.752,69.853,lo,0.3840,0.7256,SPEAKER_16
69.894,70.216,disparen,0.6430,0.7035,SPEAKER_16
70.236,70.256,a,0.7380,0.9782,SPEAKER_16
70.297,70.519,los,0.4680,0.9997,SPEAKER_16
70.539,70.72,militares,0.1080,0.9999,SPEAKER_16
70.7,70.867,que,0.2020,0.9703,SPEAKER_16
70.888,71.076,evacúen,0.1200,0.9952,SPEAKER_16
71.097,71.138,la,0.4580,0.9992,SPEAKER_16
71.347,71.681,moneda.,0.5010,0.9999,SPEAKER_16
72.26,72.842,Cambio.,0.3330,0.9877,SPEAKER_16
74.12,74.742,"Conforme,",0.3400,0.9801,SPEAKER_16
74.763,75.261,conforme.,0.2830,0.9992,SPEAKER_16
76.26,77.108,En,0.4420,0.9936,SPEAKER_16
77.128,77.391,este,0.4940,0.9948,SPEAKER_16
77.411,77.795,momento,0.5730,1.0000,SPEAKER_16
77.815,78.118,me,0.5620,0.9977,SPEAKER_16
78.138,78.36,llamó,0.4440,0.9987,SPEAKER_16
79.067,79.633,"Domínguez,",0.4030,0.9372,SPEAKER_16
79.673,80.137,secretario,0.6700,0.6803,SPEAKER_16
80.198,80.259,de,0.6820,0.9999,SPEAKER_16
80.279,80.42,"Marina,",0.1420,0.9912,SPEAKER_16
80.66,81.35,y,0.9070,0.9982,SPEAKER_16
81.37,81.431,me,0.7700,0.9999,SPEAKER_16
81.471,81.836,decía,0.4130,0.9963,SPEAKER_16
81.897,81.978,que,0.5210,0.9997,SPEAKER_16
82.059,82.343,fueran,0.5410,0.8968,SPEAKER_16
82.364,82.425,los,0.3600,0.9988,SPEAKER_16
82.506,82.688,tres,0.7860,0.9877,SPEAKER_16
82.729,83.134,comandantes,0.4610,0.9995,SPEAKER_16
83.276,83.439,sin,0.5670,0.3325,SPEAKER_16
83.459,83.56,jefe,0.5540,0.9636,SPEAKER_16
83.54,84.174,a,0.5650,0.9955,SPEAKER_16
84.236,84.543,pedir,0.4280,0.9307,SPEAKER_16
84.604,85.013,noticias,0.5500,0.7004,SPEAKER_16
85.034,85.095,al,0.4210,0.8173,SPEAKER_16
85.115,85.34,presidente.,0.0920,0.9844,SPEAKER_16
85.68,85.869,¿Ustedes,0.0840,0.7225,SPEAKER_16
85.932,85.995,qué,0.0660,0.4221,SPEAKER_16
86.037,86.079,te,0.1220,0.2110,SPEAKER_16
86.414,86.561,callan?,0.1470,0.8104,SPEAKER_16
86.74,87.322,¡Echueco!,0.3070,0.6121,SPEAKER_16
88.2,88.782,¡Echueco!,0.2030,0.6315,SPEAKER_16
88.88,89.131,¡Que,0.2220,0.1817,SPEAKER_16
89.152,89.194,se,0.1690,0.7612,SPEAKER_16
89.215,89.592,barbadee,0.4480,0.4393,SPEAKER_16
89.613,89.655,la,0.4180,0.9841,SPEAKER_16
89.676,89.781,cosa!,0.1990,0.9456,SPEAKER_16
89.94,90.525,¿Quién,0.5590,0.8300,SPEAKER_16
90.686,90.807,quiere,0.0010,0.7259,SPEAKER_16
90.827,90.988,va,0.8900,0.5882,SPEAKER_16
91.412,91.492,al,0.6940,0.9546,SPEAKER_16
91.613,91.956,ministerio,0.4800,0.5491,SPEAKER_16
92.017,92.077,de,0.5760,0.9883,SPEAKER_16
92.178,92.44,defensa,0.1940,0.7277,SPEAKER_16
92.46,92.48,a,0.1030,0.7576,SPEAKER_16
92.501,92.863,entregar,0.4730,0.9494,SPEAKER_16
93.468,93.509,a,0.6770,0.6202,SPEAKER_16
