start,end,word,alignment_score,probability,speaker
1.2,2.046,Algún,0.9170,0.6847,SPEAKER_00
2.127,2.328,día,0.9700,0.9893,SPEAKER_00
2.388,2.529,voy,0.8480,0.9213,SPEAKER_00
2.61,2.63,a,0.6070,0.9945,SPEAKER_00
2.69,3.738,ordenarme,0.9250,0.9839,SPEAKER_00
3.839,4.261,porque,0.8940,0.5704,SPEAKER_00
4.543,4.785,cuando,0.9520,0.9039,SPEAKER_00
4.846,5.269,me,0.9040,0.9813,SPEAKER_00
5.349,5.812,cambié,0.8530,0.9825,SPEAKER_00
5.973,6.094,yo,0.7290,0.5722,SPEAKER_00
6.255,6.517,vivía,0.4580,0.9876,SPEAKER_00
6.537,6.699,con,0.4220,0.9984,SPEAKER_00
6.719,6.759,mi,0.0000,0.9983,SPEAKER_00
6.779,6.92,hermana,0.1400,0.9976,SPEAKER_00
8.0,8.463,y,0.8220,0.8720,SPEAKER_00
8.483,8.544,me,0.9240,0.9981,SPEAKER_00
8.604,8.826,vine,0.6190,0.9987,SPEAKER_00
8.886,9.087,para,0.7260,0.9945,SPEAKER_00
9.107,9.289,acá,0.7820,0.9893,SPEAKER_00
10.718,10.779,y,0.8760,0.9307,SPEAKER_00
10.839,11.02,quedó,0.5800,0.9868,SPEAKER_00
11.081,11.201,el,0.6340,0.9971,SPEAKER_00
11.302,11.664,closet,0.7710,0.9222,SPEAKER_00
11.926,12.671,atiborrado,0.9060,0.9363,SPEAKER_00
13.013,13.195,de,0.9450,0.9979,SPEAKER_00
13.537,13.718,cuadernos,0.0010,0.9959,SPEAKER_00
13.738,14.02,universitarios,0.0760,0.9981,SPEAKER_00
15.3,16.205,todos,0.8150,0.7190,SPEAKER_00
16.326,16.487,con,0.9080,0.9978,SPEAKER_00
16.97,17.231,"tres,",0.9130,0.4196,SPEAKER_00
17.372,17.774,"cuatro,",0.8640,0.9990,SPEAKER_00
18.619,18.8,hasta,0.9650,0.9990,SPEAKER_00
18.901,19.303,quince,0.7110,0.9644,SPEAKER_00
19.344,19.706,páginas,0.7290,0.9983,SPEAKER_00
20.028,20.49,escritas,0.8020,0.9977,SPEAKER_00
21.979,21.999,y,0.0000,0.8995,SPEAKER_00
22.019,22.1,nada,0.0100,0.9993,SPEAKER_00
22.12,22.18,más,0.3170,0.9959,SPEAKER_00
23.22,23.951,Así,0.3840,0.1773,SPEAKER_01
23.972,24.181,es,0.8770,0.9259,SPEAKER_01
28.3,28.972,Pero,0.9250,0.6721,SPEAKER_00
29.034,29.074,un,0.6920,0.9939,SPEAKER_00
29.095,29.258,día,0.7930,0.9996,SPEAKER_00
29.298,29.36,me,0.4870,0.9979,SPEAKER_00
29.4,29.482,voy,0.9650,0.9997,SPEAKER_00
29.523,29.543,a,0.0110,0.9998,SPEAKER_00
29.625,29.849,poner,0.9200,0.9997,SPEAKER_00
29.889,29.91,a,0.0020,0.9916,SPEAKER_00
29.93,30.277,escribir,0.6020,0.9996,SPEAKER_00
30.297,30.338,en,0.0000,0.9345,SPEAKER_00
30.358,30.48,serio,0.3000,0.9987,SPEAKER_00
32.98,33.683,Es,0.8180,0.2513,SPEAKER_00
33.743,33.884,que,0.8720,0.9937,SPEAKER_00
34.024,38.583,es,0.7320,0.9580,SPEAKER_00
38.603,38.764,tan,0.6380,0.9813,SPEAKER_00
38.844,39.406,triste,0.9410,0.0483,SPEAKER_00
40.25,40.792,escribir,0.7410,0.8574,SPEAKER_00
40.832,40.852,y,0.7940,0.9682,SPEAKER_00
40.892,40.973,que,0.8360,0.9985,SPEAKER_00
41.013,41.093,uno,0.6780,0.9996,SPEAKER_00
41.174,41.495,encuentre,0.7550,0.8189,SPEAKER_00
42.057,42.178,que,0.8810,0.9996,SPEAKER_00
42.218,42.278,lo,0.7600,0.9994,SPEAKER_00
42.378,42.68,hizo,0.9130,0.9989,SPEAKER_00
42.7,42.78,bien,0.2500,0.9998,SPEAKER_00
45.5,46.229,y,0.8770,0.2595,SPEAKER_00
46.249,46.472,tratas,0.6550,0.8712,SPEAKER_00
46.492,46.553,de,0.9260,0.9998,SPEAKER_00
46.654,47.262,publicarlo,0.9170,0.9989,SPEAKER_00
47.869,47.91,y,0.5740,0.9963,SPEAKER_00
47.95,48.011,no,0.8490,0.9990,SPEAKER_00
48.072,48.153,te,0.7840,0.9988,SPEAKER_00
48.193,48.254,lo,0.9530,0.9999,SPEAKER_00
48.315,48.639,publica,0.8840,0.9984,SPEAKER_00
48.659,48.76,nadie,0.2000,0.9994,SPEAKER_00
49.92,50.467,y,0.6880,0.7957,SPEAKER_00
50.548,50.629,no,0.5140,0.9996,SPEAKER_00
50.71,50.791,te,0.7340,0.9988,SPEAKER_00
50.811,50.912,lo,0.7410,0.9999,SPEAKER_00
50.973,51.317,publican,0.5420,0.9986,SPEAKER_00
51.358,51.459,por,0.9050,0.9985,SPEAKER_00
51.52,51.884,razones,0.9290,0.9994,SPEAKER_00
51.904,52.532,ajenas,0.6300,0.9173,SPEAKER_00
52.552,52.613,a,0.6000,0.9977,SPEAKER_00
52.633,52.714,la,0.4880,0.9997,SPEAKER_00
52.856,53.2,literatura,0.3280,0.9997,SPEAKER_00
54.5,55.31,que,0.5560,0.6298,SPEAKER_00
55.412,55.554,tú,0.5850,0.7566,SPEAKER_00
55.635,55.918,sabes,0.8880,0.9953,SPEAKER_00
56.891,56.972,que,0.6960,0.9921,SPEAKER_00
56.992,57.174,está,0.8020,0.7798,SPEAKER_00
57.255,57.478,bien,0.8360,0.9979,SPEAKER_00
57.498,57.64,escrito,0.1420,0.9982,SPEAKER_00
59.02,59.967,que,0.8130,0.5498,SPEAKER_00
59.987,60.148,está,0.8650,0.9818,SPEAKER_00
60.188,60.45,mejor,0.7450,0.9993,SPEAKER_00
60.51,60.571,que,0.8470,0.9974,SPEAKER_00
60.712,60.933,muchos,0.8100,0.9943,SPEAKER_00
61.034,61.236,otros,0.6150,0.9966,SPEAKER_00
61.336,62.746,que,0.6410,0.9894,SPEAKER_00
62.766,62.968,andan,0.9350,0.8110,SPEAKER_00
