start,end,word,alignment_score,probability,speaker
0.62,1.353,Yo,0.8440,0.6641,SPEAKER_01
1.394,1.455,no,0.9660,0.9900,SPEAKER_01
1.516,1.699,tengo,0.9090,0.9962,SPEAKER_01
1.74,2.025,pareja,0.7860,0.8954,SPEAKER_01
2.046,2.148,desde,0.4120,0.9757,SPEAKER_01
2.168,2.229,el,0.4560,0.9929,SPEAKER_01
2.27,2.392,año,0.3580,0.9936,SPEAKER_01
2.412,2.86,78,0.9000,0.8897,SPEAKER_01
4.86,5.573,Pareja,0.1350,0.7625,SPEAKER_00
5.594,5.741,estable,0.1430,0.9921,SPEAKER_00
7.02,7.649,Pareja,0.2220,0.7014,SPEAKER_01
7.67,7.901,estable,0.2290,0.9943,SPEAKER_01
11.18,12.09,Y,0.8170,0.8539,SPEAKER_01
12.151,12.211,no,0.9820,0.9964,SPEAKER_01
12.252,12.717,estable,0.5680,0.9795,SPEAKER_01
12.737,12.919,desde,0.3930,0.9949,SPEAKER_01
12.939,12.98,el,0.4180,0.9970,SPEAKER_01
13.0,13.324,año,0.5380,0.9981,SPEAKER_01
14.618,14.82,90,0.8340,0.7059,SPEAKER_01
16.42,17.487,También,0.1550,0.3788,SPEAKER_01
17.508,17.713,hace,0.3890,0.9281,SPEAKER_01
17.734,18.001,tiempo,0.4470,0.6960,SPEAKER_01
20.66,21.417,¿Y,0.6000,0.9007,SPEAKER_00
21.519,21.846,de,0.6900,0.3647,SPEAKER_00
21.867,22.133,pena,0.6610,0.7412,SPEAKER_00
22.153,22.235,te,0.4540,0.9701,SPEAKER_00
22.255,22.337,hace,0.0020,0.9722,SPEAKER_00
22.358,22.48,falta?,0.1580,0.9997,SPEAKER_00
23.44,24.193,De,0.4620,0.9922,SPEAKER_01
24.214,24.361,repente,0.1390,0.9997,SPEAKER_01
25.28,26.418,De,0.5480,0.9185,SPEAKER_01
26.438,26.743,repente,0.4760,0.9996,SPEAKER_01
26.763,26.824,me,0.5050,0.9879,SPEAKER_01
26.865,27.21,sucede,0.5720,0.9984,SPEAKER_01
27.23,27.311,algo,0.3640,0.9983,SPEAKER_01
27.372,27.718,bien,0.2820,0.9911,SPEAKER_01
27.738,27.88,extraño,0.1360,0.9968,SPEAKER_01
27.86,29.26,Estoy,0.7960,0.6097,SPEAKER_01
29.949,30.416,quedándome,0.6490,0.9784,SPEAKER_01
30.477,30.72,dormida,0.3650,0.8421,SPEAKER_01
31.56,32.436,Y,0.9260,0.2013,SPEAKER_01
32.456,32.68,estoy,0.7690,0.9976,SPEAKER_01
32.721,33.129,esperando,0.8620,0.9973,SPEAKER_01
33.169,33.271,que,0.6630,0.8251,SPEAKER_01
33.414,33.617,llegue,0.3160,0.9998,SPEAKER_01
33.638,33.78,alguien,0.1530,0.9954,SPEAKER_01
34.84,35.477,Y,0.9570,0.8700,SPEAKER_01
35.498,35.662,sé,0.6020,0.9655,SPEAKER_01
35.703,35.827,que,0.7080,0.9998,SPEAKER_01
35.847,36.094,alguien,0.2050,0.9992,SPEAKER_01
36.114,36.156,va,0.0000,0.9979,SPEAKER_01
36.176,36.197,a,0.0000,0.9998,SPEAKER_01
36.217,36.341,llegar,0.1670,0.9997,SPEAKER_01
37.12,37.752,Y,0.9110,0.9969,SPEAKER_01
37.793,38.038,estoy,0.7600,0.9996,SPEAKER_01
38.099,38.486,esperando,0.8870,0.9995,SPEAKER_01
38.527,38.67,que,0.1360,0.9540,SPEAKER_01
38.69,38.772,se,0.6100,0.9994,SPEAKER_01
38.792,38.955,abra,0.5090,0.8902,SPEAKER_01
38.976,39.078,la,0.3710,0.9988,SPEAKER_01
39.098,39.22,puerta,0.1660,0.9999,SPEAKER_01
39.2,39.586,Por,0.3490,0.9940,SPEAKER_01
40.338,40.663,supuesto,0.6880,0.9999,SPEAKER_01
40.683,40.744,que,0.0810,0.9997,SPEAKER_01
40.764,40.968,estoy,0.4970,0.9995,SPEAKER_01
41.049,41.293,"sola,",0.5100,0.9970,SPEAKER_01
41.476,41.516,no,0.0180,0.9996,SPEAKER_01
