start,end,word,alignment_score,probability,speaker
0.8,1.402,La,0.8180,0.9147,SPEAKER_02
1.523,1.784,última,0.7230,0.9323,SPEAKER_02
1.804,1.884,vez,0.8040,0.9981,SPEAKER_02
1.924,1.984,que,0.9260,0.9971,SPEAKER_02
2.065,2.165,fui,0.6960,0.9934,SPEAKER_02
2.185,2.205,a,0.1970,0.9936,SPEAKER_02
2.245,2.587,Estados,0.6430,0.8740,SPEAKER_02
2.667,2.928,"Unidos,",0.8610,0.9984,SPEAKER_02
4.012,5.839,estuve,0.6460,0.9974,SPEAKER_02
5.879,6.02,casi,0.7230,0.9254,SPEAKER_02
6.1,6.261,dos,0.9080,0.9357,SPEAKER_02
6.341,6.522,años,0.6660,0.9989,SPEAKER_02
6.542,6.582,en,0.4950,0.9887,SPEAKER_02
6.722,7.465,el,0.8830,0.9896,SPEAKER_02
7.525,7.826,estado,0.8200,0.9702,SPEAKER_02
7.867,7.927,de,0.8450,0.9995,SPEAKER_02
7.987,8.529,"Minnesota,",0.7490,0.9941,SPEAKER_02
11.159,11.199,en,0.0000,0.9965,SPEAKER_02
11.219,11.46,Minneapolis.,0.0830,0.9945,SPEAKER_02
13.82,14.705,Y,0.8320,0.7265,SPEAKER_02
14.745,14.785,lo,0.2500,0.4775,SPEAKER_02
14.906,15.469,revolví,0.5220,0.9913,SPEAKER_02
15.489,16.676,"harto,",0.3940,0.9805,SPEAKER_02
16.696,16.757,lo,0.8440,0.9968,SPEAKER_02
16.817,19.472,"pasé,",0.8630,0.9998,SPEAKER_02
19.492,19.653,digamos,0.2170,0.9990,SPEAKER_02
19.673,19.733,que,0.9630,0.9993,SPEAKER_02
19.774,19.814,lo,0.6380,0.9998,SPEAKER_02
19.854,20.095,pasé,0.7010,1.0000,SPEAKER_02
20.136,20.357,"bien,",0.9310,0.9999,SPEAKER_02
20.397,20.457,lo,0.7280,0.9986,SPEAKER_02
20.498,20.779,pasé,0.6380,1.0000,SPEAKER_02
20.799,20.94,nomás.,0.2500,0.7577,SPEAKER_02
24.84,25.891,Pero,0.3000,0.9982,SPEAKER_02
25.911,25.992,me,0.7160,0.9557,SPEAKER_02
26.012,26.154,di,0.5010,0.9943,SPEAKER_02
26.174,26.396,cuenta,0.8080,0.9999,SPEAKER_02
26.457,26.983,perfectamente,0.9180,0.9998,SPEAKER_02
27.023,27.144,que,0.2780,0.9838,SPEAKER_02
27.165,27.225,yo,0.5750,0.9115,SPEAKER_02
27.266,27.306,no,0.9640,1.0000,SPEAKER_02
27.347,27.488,puedo,0.6490,0.9936,SPEAKER_02
27.549,27.71,vivir,0.5310,0.9994,SPEAKER_02
27.731,27.791,en,0.4080,1.0000,SPEAKER_02
27.892,27.993,otra,0.6080,0.9997,SPEAKER_02
28.034,28.236,parte,0.6690,0.9999,SPEAKER_02
28.256,28.317,que,0.0180,0.9136,SPEAKER_02
28.337,28.438,no,0.2510,0.9921,SPEAKER_02
28.458,28.519,sea,0.0040,0.9128,SPEAKER_02
28.539,28.64,aquí.,0.2000,0.9984,SPEAKER_02
30.54,31.307,Me,0.6800,0.0671,SPEAKER_02
31.348,31.55,podría,0.8410,0.9270,SPEAKER_02
31.59,31.731,haber,0.7120,0.9936,SPEAKER_02
31.772,32.034,quedado,0.7980,0.9962,SPEAKER_02
32.155,32.297,"allá,",0.3770,0.7148,SPEAKER_02
33.205,33.286,no,0.8410,0.8058,SPEAKER_02
33.347,33.468,habría,0.1790,0.9671,SPEAKER_02
33.528,33.751,pasado,0.7050,0.9807,SPEAKER_02
33.852,33.912,las,0.6290,0.4816,SPEAKER_02
33.952,34.175,rabias,0.3070,0.9645,SPEAKER_02
34.215,34.296,que,0.6370,0.9889,SPEAKER_02
34.336,34.377,he,0.0440,0.8929,SPEAKER_02
34.397,34.578,pasado,0.2690,0.9974,SPEAKER_02
34.599,34.76,ahora.,0.3620,0.9965,SPEAKER_02
37.14,37.723,Pero,0.1910,0.9259,SPEAKER_02
37.743,43.014,"no,",0.5310,0.9376,SPEAKER_02
43.034,43.134,"no,",0.6510,0.8308,SPEAKER_02
43.154,43.396,prefiero,0.8640,0.9146,SPEAKER_02
43.496,43.838,afrontar,0.6200,0.8675,SPEAKER_02
43.858,43.939,lo,0.3620,0.9808,SPEAKER_02
43.959,44.019,que,0.0050,0.9983,SPEAKER_02
44.039,44.16,venga.,0.1660,0.8836,SPEAKER_02
49.6,50.286,Contra,0.4120,0.5038,SPEAKER_02
50.306,50.932,terriblemente,0.9440,0.9304,SPEAKER_02
50.952,51.537,aburrida,0.7640,0.9943,SPEAKER_02
51.92,52.001,la,0.9250,0.9835,SPEAKER_02
52.082,52.384,vida,0.8570,0.9902,SPEAKER_02
53.857,53.897,en,0.0030,0.5970,SPEAKER_02
53.918,54.22,Minnesota.,0.3330,0.7929,SPEAKER_02
57.82,58.594,Y,0.8180,0.9763,SPEAKER_02
58.615,58.757,sé,0.7280,0.9727,SPEAKER_02
58.798,58.88,que,0.6860,0.9972,SPEAKER_02
59.002,59.634,es,0.4730,0.6202,SPEAKER_02
59.654,59.735,mal,0.1670,0.5499,SPEAKER_02
59.756,60.0,considerado.,0.0850,0.3412,SPEAKER_02
60.0,60.523,Seguramente,0.7330,0.8090,SPEAKER_02
60.584,60.785,vive,0.4430,0.2503,SPEAKER_02
61.369,61.429,en,0.9840,0.9950,SPEAKER_02
