start,end,word,alignment_score,probability,speaker
0.0,0.384,El,0.3720,0.7548,SPEAKER_02
0.404,0.708,pobre,0.8230,0.9865,SPEAKER_02
1.82,2.245,trataba,0.5110,0.7511,SPEAKER_02
2.305,2.71,siempre,0.8790,0.9871,SPEAKER_02
2.73,2.79,de,0.3420,0.9828,SPEAKER_02
2.851,3.053,hacer,0.8360,0.9939,SPEAKER_02
3.094,3.154,lo,0.9620,0.9957,SPEAKER_02
3.195,3.276,que,0.7820,0.9986,SPEAKER_02
3.316,3.559,yo,0.4040,0.9973,SPEAKER_02
3.579,3.68,hacía,0.2000,0.9899,SPEAKER_02
3.66,5.1,Entonces,0.6580,0.1617,SPEAKER_02
5.141,5.202,de,0.7840,0.7195,SPEAKER_02
5.262,5.587,repente,0.7000,0.9989,SPEAKER_02
5.648,5.709,se,0.8140,0.9788,SPEAKER_02
5.77,5.993,ponía,0.6940,0.9928,SPEAKER_02
6.013,6.033,a,0.9100,0.9895,SPEAKER_02
6.074,6.54,escribir,0.4380,0.9981,SPEAKER_02
7.98,9.022,Y,0.8410,0.4264,SPEAKER_02
9.042,9.574,escribía,0.5280,0.9629,SPEAKER_02
9.594,9.757,lo,0.5960,0.3002,SPEAKER_02
9.778,9.9,tomaba,0.1650,0.5207,SPEAKER_02
9.88,12.903,Con,0.3160,0.3808,SPEAKER_02
12.923,13.104,su,0.8920,0.9956,SPEAKER_02
14.454,14.676,mal,0.8900,0.8596,SPEAKER_02
14.696,15.22,castellano,0.6150,0.9961,SPEAKER_02
18.42,19.227,Todavía,0.8190,0.9113,SPEAKER_02
19.369,19.631,tengo,0.1120,0.9945,SPEAKER_02
19.651,20.035,guardadas,0.5270,0.8091,SPEAKER_02
21.771,22.094,algunas,0.7790,0.8009,SPEAKER_02
22.154,22.376,cosas,0.4660,0.9970,SPEAKER_02
22.396,22.477,que,0.2370,0.9973,SPEAKER_02
22.497,22.538,me,0.0000,0.8885,SPEAKER_02
22.558,22.8,escribió,0.3410,0.9515,SPEAKER_02
32.94,34.445,¿Pero,0.8340,0.6702,SPEAKER_00
34.466,34.547,se,0.6220,0.5437,SPEAKER_00
34.567,34.75,ponía,0.4960,0.6783,SPEAKER_00
34.771,34.791,a,0.2980,0.9896,SPEAKER_00
34.811,35.076,escribir,0.1850,0.9970,SPEAKER_00
35.096,35.34,ficción?,0.2440,0.9983,SPEAKER_00
36.42,36.626,No,0.7780,0.8732,SPEAKER_02
38.1,39.261,Romances,0.5040,0.4866,SPEAKER_02
39.24,41.134,Cartas,0.6930,0.7261,SPEAKER_02
41.154,41.5,amorosas,0.6190,0.9954,SPEAKER_02
43.06,44.221,Poemas,0.3240,0.4155,SPEAKER_02
44.2,46.087,O,0.9660,0.8660,SPEAKER_02
46.107,46.533,copiaba,0.8580,0.9918,SPEAKER_02
46.635,47.02,poemas,0.6350,0.9964,SPEAKER_02
47.82,52.993,O,0.9940,0.9625,SPEAKER_02
53.053,53.677,escuchaba,0.7860,0.9962,SPEAKER_02
53.738,54.14,poemas,0.5950,0.9985,SPEAKER_02
59.0,59.424,Tú,0.4270,0.2930,SPEAKER_00
59.445,59.509,me,0.4160,0.9732,SPEAKER_00
59.53,59.636,dices,0.0630,0.9847,SPEAKER_00
59.658,59.721,que,0.3310,0.9864,SPEAKER_00
59.7,61.224,Igual,0.9040,0.5701,SPEAKER_00
61.245,61.285,él,0.0090,0.7908,SPEAKER_00
61.306,61.367,no,0.9810,0.9925,SPEAKER_00
61.428,61.611,tenía,0.8560,0.9744,SPEAKER_00
61.712,62.139,relación,0.6940,0.9923,SPEAKER_00
62.159,62.22,con,0.3330,0.9766,SPEAKER_00
62.2,62.586,Con,0.6300,0.0214,SPEAKER_00
63.073,63.357,tu,0.5480,0.8849,SPEAKER_00
63.398,63.662,amigo,0.9050,0.9978,SPEAKER_00
63.682,64.291,vinculado,0.4080,0.9736,SPEAKER_00
64.312,64.352,a,0.3490,0.2536,SPEAKER_00
64.373,64.657,temas,0.6280,0.9801,SPEAKER_00
64.677,64.88,literarios,0.1000,0.9993,SPEAKER_00
66.76,67.145,"No,",0.8240,0.9288,SPEAKER_02
67.571,68.179,conocí,0.8750,0.9944,SPEAKER_02
68.199,68.22,a,0.9270,0.9475,SPEAKER_02
68.24,68.463,algunos,0.4980,0.9983,SPEAKER_02
68.524,68.726,porque,0.8240,0.5234,SPEAKER_02
68.747,68.909,eran,0.7910,0.9902,SPEAKER_02
68.97,69.071,más,0.9430,0.9792,SPEAKER_02
69.112,69.436,amigos,0.9250,0.9921,SPEAKER_02
69.537,69.76,míos,0.4780,0.9985,SPEAKER_02
69.74,70.885,A,0.8680,0.9902,SPEAKER_02
70.925,71.314,"Iturra,",0.3340,0.8356,SPEAKER_02
71.334,71.396,por,0.0260,0.9997,SPEAKER_02
71.416,71.62,ejemplo,0.2180,0.9998,SPEAKER_02
72.8,73.534,Pero,0.6330,0.9489,SPEAKER_02
73.902,74.106,porque,0.8340,0.7282,SPEAKER_02
74.126,74.269,era,0.5160,0.9621,SPEAKER_02
74.289,74.371,más,0.8120,0.9990,SPEAKER_02
74.432,74.779,amigo,0.7300,0.9997,SPEAKER_02
74.799,74.86,mío,0.3310,0.9999,SPEAKER_02
74.84,76.075,A,0.7930,0.9969,SPEAKER_02
76.136,76.237,los,0.9060,0.9991,SPEAKER_02
76.359,76.562,"tres,",0.8730,0.9898,SPEAKER_02
76.622,76.663,a,0.4790,0.9860,SPEAKER_02
76.724,77.23,"Iturra,",0.4720,0.9998,SPEAKER_02
77.372,77.392,a,0.3770,0.9987,SPEAKER_02
77.493,77.979,Gonzalo,0.8460,0.9979,SPEAKER_02
77.999,78.02,y,0.0000,0.9568,SPEAKER_02
78.04,78.06,a,0.9770,0.9989,SPEAKER_02
78.92,79.857,Y,0.8290,0.9313,SPEAKER_02
79.918,80.0,a,0.6830,0.9984,SPEAKER_02
80.02,80.672,"Carlos,",0.7530,0.9367,SPEAKER_02
80.692,80.774,a,0.4890,0.9994,SPEAKER_02
80.794,81.018,Carlos,0.3680,0.9998,SPEAKER_02
81.039,81.14,Franz,0.1980,0.8199,SPEAKER_02
85.62,86.499,Pero,0.5300,0.9772,SPEAKER_02
86.54,86.724,creo,0.8860,0.9988,SPEAKER_02
86.827,86.99,que,0.4100,0.9999,SPEAKER_02
87.113,87.379,ninguno,0.3430,0.7976,SPEAKER_02
87.399,87.46,más,0.3320,0.9989,SPEAKER_02
97.48,98.232,Y,0.7690,0.0651,SPEAKER_00
98.252,98.313,en,0.7180,0.8733,SPEAKER_00
98.354,98.536,cuanto,0.9070,0.9918,SPEAKER_00
99.085,99.126,a,0.6830,0.9857,SPEAKER_00
99.146,99.207,la,0.9420,0.8534,SPEAKER_00
99.247,99.491,actividad,0.7450,0.9929,SPEAKER_00
99.532,99.979,literaria,0.4650,0.9452,SPEAKER_00
99.999,100.08,tuya,0.2480,0.9444,SPEAKER_00
100.06,100.62,¿Cómo,0.7070,0.2706,SPEAKER_00
100.849,100.932,la,0.7400,0.9769,SPEAKER_00
100.952,101.181,veías?,0.4430,0.9179,SPEAKER_00
101.48,102.207,O,0.7390,0.2176,SPEAKER_00
102.247,102.288,la,0.1720,0.9397,SPEAKER_00
102.328,102.591,actividad,0.5320,0.9980,SPEAKER_00
102.651,102.974,social,0.9070,0.9954,SPEAKER_00
103.015,103.156,que,0.7000,0.9218,SPEAKER_00
103.217,103.621,tenías,0.7590,0.7833,SPEAKER_00
103.681,103.782,en,0.7300,0.6291,SPEAKER_00
104.63,105.115,términos,0.3060,0.9412,SPEAKER_00
105.135,105.64,literarios,0.3090,0.8408,SPEAKER_00
105.62,106.008,¿Le,0.3590,0.5700,SPEAKER_00
106.029,106.202,gustaba?,0.1280,0.9883,SPEAKER_00
106.38,106.444,Me,0.1110,0.6362,SPEAKER_00
106.571,107.081,encantaba,0.5270,0.9860,SPEAKER_00
107.06,107.462,¿Sí?,0.4400,0.6130,SPEAKER_00
107.52,108.002,Sí,0.7920,0.8856,SPEAKER_02
107.98,108.267,Se,0.6440,0.8669,SPEAKER_00
108.902,109.127,sentía,0.6230,0.9775,SPEAKER_00
109.168,109.578,"orgulloso,",0.6340,0.9242,SPEAKER_00
109.599,109.68,¿no?,0.2500,0.9852,SPEAKER_00
112.16,113.188,Me,0.6460,0.5780,SPEAKER_02
113.209,113.497,gustaba,0.5600,0.9984,SPEAKER_02
113.517,113.641,harto,0.4540,0.9781,SPEAKER_02
115.22,116.053,Estaba,0.4080,0.9353,SPEAKER_02
116.074,116.241,siempre,0.3390,0.9984,SPEAKER_02
117.7,118.476,Siempre,0.6360,0.5340,SPEAKER_02
118.496,119.006,pidiéndome,0.7520,0.9893,SPEAKER_02
119.027,119.211,que,0.6780,0.9712,SPEAKER_02
119.231,119.7,escribiera,0.1850,0.8882,SPEAKER_02
119.68,119.745,Que,0.0840,0.0043,SPEAKER_02
119.767,119.984,escribiera,0.0440,0.4231,SPEAKER_02
120.006,120.05,en,0.0520,0.9631,SPEAKER_02
120.071,120.202,inglés,0.1800,0.6480,SPEAKER_02
121.54,122.308,Para,0.2260,0.0516,SPEAKER_02
122.329,122.619,mandar,0.6620,0.6350,SPEAKER_02
122.64,122.661,a,0.9870,0.6532,SPEAKER_02
123.48,123.962,Tarsenet,0.1710,0.3690,SPEAKER_02
131.76,132.269,¿Cuándo,0.1400,0.8042,SPEAKER_00
132.29,132.333,es,0.0020,0.8429,SPEAKER_00
132.354,132.418,que,0.0020,0.9913,SPEAKER_00
132.439,132.481,la,0.5050,0.9610,SPEAKER_00
