start,end,word,alignment_score,probability,speaker
3.62,4.485,La,0.9490,0.9676,SPEAKER_05
4.667,4.989,sesión,0.8890,0.9991,SPEAKER_05
5.069,5.129,de,0.9800,0.9999,SPEAKER_05
5.23,5.391,hoy,0.9320,0.9999,SPEAKER_05
6.458,6.659,que,0.6660,0.4944,SPEAKER_05
6.719,6.981,cuenta,0.9100,0.9999,SPEAKER_05
7.021,7.102,con,0.9150,0.9999,SPEAKER_05
7.142,7.203,el,0.7520,0.9994,SPEAKER_05
7.223,7.645,auspicio,0.8760,0.9997,SPEAKER_05
7.686,7.746,de,0.7750,0.9999,SPEAKER_05
7.786,7.826,la,0.9980,1.0000,SPEAKER_05
7.867,8.35,Embajada,0.8240,0.9883,SPEAKER_05
9.296,9.356,de,0.8760,0.9995,SPEAKER_05
9.396,9.477,los,0.8320,0.9994,SPEAKER_05
9.537,9.859,Estados,0.7320,0.9997,SPEAKER_05
9.879,10.0,Unidos,0.1420,1.0000,SPEAKER_05
11.84,12.827,versa,0.9340,0.4657,SPEAKER_05
13.028,13.471,sobre,0.8680,0.9998,SPEAKER_05
14.196,14.277,el,0.7300,0.9999,SPEAKER_05
14.357,14.881,movimiento,0.9130,0.9990,SPEAKER_05
14.921,16.049,neoconservador,0.6840,0.9997,SPEAKER_05
16.09,16.613,actual,0.7120,0.9999,SPEAKER_05
16.653,17.62,norteamericano.,0.6580,0.9999,SPEAKER_05
20.3,20.623,Quisiera,0.1580,0.9996,SPEAKER_05
20.643,21.006,destacar,0.7250,1.0000,SPEAKER_05
21.047,21.41,la,0.9280,0.9991,SPEAKER_05
21.491,21.935,presencia,0.8350,1.0000,SPEAKER_05
21.995,22.278,aquí,0.6870,0.9994,SPEAKER_05
22.338,22.439,del,0.4750,0.9997,SPEAKER_05
22.459,22.762,agregado,0.8890,0.9897,SPEAKER_05
22.843,23.267,"cultural,",0.7750,0.9999,SPEAKER_05
23.287,23.347,del,0.3280,0.9682,SPEAKER_05
23.388,23.872,agregado,0.7120,0.9998,SPEAKER_05
23.933,24.195,cultural,0.8200,0.9997,SPEAKER_05
24.235,24.76,"adjunto,",0.6600,0.9996,SPEAKER_05
24.76,25.063,de,0.6720,0.4387,SPEAKER_05
