start,end,word,alignment_score,probability,speaker
9.72,10.535,Bienvenidos,0.9780,0.9647,SPEAKER_00
10.555,10.84,al,0.7630,0.9988,SPEAKER_00
10.921,11.105,Centro,0.7080,0.9968,SPEAKER_00
11.145,11.186,de,0.7510,0.9995,SPEAKER_00
11.207,11.451,Estudios,0.7080,0.9996,SPEAKER_00
11.532,11.98,Públicos.,0.9440,0.9999,SPEAKER_00
12.02,12.603,El,0.6800,0.9993,SPEAKER_00
13.707,13.828,tema,0.7640,1.0000,SPEAKER_00
13.848,13.988,que,0.6580,1.0000,SPEAKER_00
14.029,14.109,nos,0.8370,1.0000,SPEAKER_00
14.189,14.43,reúne,0.7320,0.9998,SPEAKER_00
14.471,14.591,hoy,0.8470,1.0000,SPEAKER_00
14.651,14.872,día,0.9800,0.9998,SPEAKER_00
16.459,16.62,tiene,0.9070,0.9981,SPEAKER_00
16.66,16.72,que,0.8540,1.0000,SPEAKER_00
16.78,16.901,ver,0.9750,1.0000,SPEAKER_00
17.042,17.283,con,0.8310,1.0000,SPEAKER_00
18.187,18.247,la,0.8660,0.9999,SPEAKER_00
18.327,18.528,vida,0.9050,0.9999,SPEAKER_00
18.548,18.568,y,0.9840,0.9999,SPEAKER_00
18.749,19.03,obra,0.8920,0.9999,SPEAKER_00
19.07,19.331,de,0.8320,1.0000,SPEAKER_00
19.412,19.492,dos,0.9960,0.9999,SPEAKER_00
19.552,19.954,destacados,0.8650,0.9997,SPEAKER_00
20.115,20.476,poetas,0.8970,0.9997,SPEAKER_00
20.979,21.039,de,0.9700,0.9993,SPEAKER_00
21.059,21.159,este,0.1700,0.9999,SPEAKER_00
21.179,21.34,momento.,0.1250,1.0000,SPEAKER_00
21.32,21.742,Se,0.2480,0.1543,SPEAKER_00
23.188,23.408,trata,0.9630,0.9989,SPEAKER_00
23.449,23.509,de,0.8320,0.9995,SPEAKER_00
23.569,23.81,hacer,0.9100,0.9976,SPEAKER_00
24.151,24.533,una,0.8700,0.9979,SPEAKER_00
24.653,25.276,conversación,0.9100,0.9983,SPEAKER_00
25.296,25.336,en,0.4980,0.9244,SPEAKER_00
26.922,26.963,la,0.9780,0.9994,SPEAKER_00
27.063,27.284,cual,0.9290,0.9915,SPEAKER_00
28.469,28.89,esperamos,0.7970,0.9920,SPEAKER_00
29.031,29.151,que,0.6960,0.9982,SPEAKER_00
29.212,29.312,los,0.8350,0.9990,SPEAKER_00
29.352,29.694,poetas,0.7710,0.9991,SPEAKER_00
29.734,30.417,adopten,0.8360,0.9976,SPEAKER_00
30.477,30.537,un,0.7740,0.9977,SPEAKER_00
30.597,30.758,tono,0.9030,0.9996,SPEAKER_00
30.798,31.3,testimonial,0.6910,0.9997,SPEAKER_00
31.28,32.224,y,0.5660,0.4548,SPEAKER_00
32.245,32.566,cuenten,0.9110,0.9944,SPEAKER_00
32.646,32.707,un,0.9920,0.9911,SPEAKER_00
32.807,33.028,poco,0.8890,0.9996,SPEAKER_00
33.048,33.109,sus,0.3320,0.9946,SPEAKER_00
34.575,35.018,experiencias,0.9470,0.9995,SPEAKER_00
35.058,35.118,de,0.3500,0.9991,SPEAKER_00
35.198,35.721,formación,0.9310,0.9994,SPEAKER_00
35.761,36.545,literaria,0.4570,0.9993,SPEAKER_00
36.605,36.645,en,0.9540,0.9993,SPEAKER_00
36.746,37.027,"Chile,",0.8320,0.9934,SPEAKER_00
38.012,38.092,las,0.8560,0.9979,SPEAKER_00
38.152,38.695,"personas,",0.9290,0.9997,SPEAKER_00
39.318,39.418,los,0.7920,0.9996,SPEAKER_00
39.498,39.84,autores,0.3600,0.9997,SPEAKER_00
39.82,42.252,que,0.8020,0.9109,SPEAKER_00
42.292,42.453,fueron,0.7210,0.9666,SPEAKER_00
42.513,42.975,importantes,0.9400,0.9986,SPEAKER_00
42.995,43.015,o,0.9790,0.9923,SPEAKER_00
43.116,43.176,que,0.8960,0.9973,SPEAKER_00
43.216,43.297,han,0.7380,0.9995,SPEAKER_00
43.337,43.437,sido,0.7760,0.9999,SPEAKER_00
43.518,44.08,importantes,0.9370,0.9997,SPEAKER_00
44.623,44.945,en,0.8530,0.9992,SPEAKER_00
44.965,45.105,este,0.9690,0.9990,SPEAKER_00
45.166,45.527,"período,",0.9040,0.6633,SPEAKER_00
46.532,46.613,las,0.9010,0.9940,SPEAKER_00
46.673,46.994,influencias,0.8980,0.9985,SPEAKER_00
47.075,47.557,extranjeras,0.8040,0.9983,SPEAKER_00
47.617,47.718,que,0.7490,0.9991,SPEAKER_00
47.758,48.019,haya,0.6590,0.9920,SPEAKER_00
48.04,48.16,habido,0.1640,0.9993,SPEAKER_00
49.08,49.935,y,0.9480,0.4154,SPEAKER_00
49.956,50.017,en,0.6530,0.7827,SPEAKER_00
50.058,50.322,general,0.7900,0.9995,SPEAKER_00
50.363,50.567,tratar,0.9570,0.9902,SPEAKER_00
50.608,50.648,de,0.8530,0.9996,SPEAKER_00
50.709,50.954,formarnos,0.2740,0.9877,SPEAKER_00
50.974,51.035,una,0.0000,0.1718,SPEAKER_00
51.056,51.32,conversación.,0.1500,0.7812,SPEAKER_00
51.3,51.4,Esta,0.1040,0.0020,SPEAKER_00
