start,end,word,alignment_score,probability,speaker
9.4,10.821,Gracias.,0.2470,0.5575,UNKNOWN
30.08,31.501,Gracias.,0.2550,0.2160,SPEAKER_04
60.76,61.371,Dejo,0.7830,0.5884,SPEAKER_04
61.412,61.514,con,0.8270,0.9999,SPEAKER_04
61.595,61.942,ustedes,0.8470,0.9996,SPEAKER_04
61.962,61.983,a,0.9790,0.9846,SPEAKER_04
62.023,62.574,don,0.7200,0.9096,SPEAKER_04
62.594,62.818,Carlos,0.5330,1.0000,SPEAKER_04
62.838,62.94,Ruiz.,0.2000,0.9998,SPEAKER_04
90.0,90.422,Gracias.,0.1840,0.0182,SPEAKER_06
120.0,121.321,Gracias.,0.6700,0.0008,SPEAKER_06
150.0,150.343,Gracias.,0.1560,0.0000,SPEAKER_06
180.0,180.601,Gracias.,0.2130,0.0000,SPEAKER_06
210.0,210.323,Gracias.,0.2050,0.0002,SPEAKER_06
240.0,241.281,Gracias.,0.7060,0.0001,SPEAKER_06
271.02,272.441,Gracias.,0.4370,0.0000,SPEAKER_06
300.0,300.422,Gracias.,0.1510,0.0001,SPEAKER_06
330.0,330.821,Gracias.,0.2940,0.0011,SPEAKER_06
360.0,361.141,Gracias.,0.3600,0.0001,SPEAKER_06
390.0,390.462,Gracias.,0.2080,0.0000,SPEAKER_06
420.0,420.801,Gracias.,0.2940,0.0000,SPEAKER_06
450.0,450.402,Gracias.,0.2780,0.0000,SPEAKER_06
480.0,480.761,Gracias.,0.4260,0.0001,SPEAKER_06
510.0,510.781,Gracias.,0.4110,0.0001,SPEAKER_06
540.0,541.181,Gracias.,0.3750,0.0010,SPEAKER_06
600.0,600.701,Gracias.,0.3950,0.0002,SPEAKER_06
630.42,631.021,Gracias.,0.2300,0.0000,SPEAKER_06
660.1,661.521,Gracias.,0.3460,0.0000,SPEAKER_06
690.16,691.021,Gracias.,0.2320,0.0002,UNKNOWN
737.54,738.961,Gracias.,0.3110,0.0000,SPEAKER_06
750.0,750.422,Gracias.,0.1500,0.0000,SPEAKER_06
780.0,780.343,Gracias.,0.2090,0.0003,SPEAKER_06
810.0,810.741,Gracias.,0.4530,0.0000,SPEAKER_06
840.0,840.821,Gracias.,0.4350,0.0000,SPEAKER_06
870.4,871.021,Gracias.,0.4860,0.0007,SPEAKER_06
900.0,900.821,Gracias.,0.4390,0.0001,SPEAKER_06
930.64,932.061,Gracias.,0.5330,0.0001,SPEAKER_06
960.0,960.881,Gracias.,0.3740,0.0010,SPEAKER_06
990.0,991.041,Gracias.,0.5980,0.0006,SPEAKER_06
1020.0,1020.821,Gracias.,0.2460,0.0000,SPEAKER_06
1060.84,1062.261,Gracias.,0.6260,0.0000,SPEAKER_06
1080.0,1080.343,Gracias.,0.1490,0.0001,SPEAKER_06
1110.0,1110.801,Gracias.,0.2100,0.0000,SPEAKER_06
1140.0,1140.641,Gracias.,0.1870,0.0001,SPEAKER_06
1170.0,1170.761,Gracias.,0.4000,0.0000,SPEAKER_06
