start,end,word,alignment_score,probability,speaker
6.3,7.224,Buenas,0.7670,0.9690,SPEAKER_06
7.344,7.726,"tardes,",0.9480,0.9999,SPEAKER_06
9.252,9.352,hay,0.7820,0.9987,SPEAKER_06
9.412,9.633,varias,0.8310,0.9998,SPEAKER_06
9.714,9.975,sillas,0.9620,0.9997,SPEAKER_06
9.995,10.256,acá,0.5500,0.9678,SPEAKER_06
10.276,10.778,desocupadas,0.5580,0.9996,SPEAKER_06
10.818,15.697,"adelante,",0.9040,0.9933,SPEAKER_06
15.717,15.778,en,0.8700,0.9999,SPEAKER_06
15.858,16.099,primera,0.9380,1.0000,SPEAKER_06
16.179,16.4,fila.,0.5230,1.0000,SPEAKER_06
40.82,41.834,Bienvenidos,0.8990,0.9627,SPEAKER_06
41.855,41.895,al,0.4980,0.9962,SPEAKER_06
42.463,42.707,Centro,0.7910,0.9555,SPEAKER_06
42.727,42.768,de,0.8430,0.9994,SPEAKER_06
42.788,43.092,Estudios,0.6440,0.9996,SPEAKER_06
43.234,43.66,Públicos.,0.8860,0.9997,SPEAKER_06
44.9,45.947,El,0.8980,0.9976,SPEAKER_06
46.108,46.329,tema,0.9840,0.9998,SPEAKER_06
46.41,46.45,de,0.5400,0.9997,SPEAKER_06
46.49,46.671,esta,0.7720,0.9994,SPEAKER_06
46.772,47.134,tarde,0.8910,0.9999,SPEAKER_06
47.154,47.174,y,1.0000,0.9947,SPEAKER_06
47.657,47.718,de,0.9550,0.9998,SPEAKER_06
47.758,47.798,la,0.9600,0.9999,SPEAKER_06
47.879,48.181,sesión,0.8510,0.9999,SPEAKER_06
48.221,48.281,de,0.8870,0.9999,SPEAKER_06
48.362,48.785,mañana,0.9300,0.9996,SPEAKER_06
49.63,49.771,es,0.9380,0.9968,SPEAKER_06
49.932,49.992,el,0.9720,0.9834,SPEAKER_06
50.073,50.556,sentido,0.9910,0.9996,SPEAKER_06
50.576,50.616,de,0.5000,0.9999,SPEAKER_06
50.717,50.777,la,0.6040,0.9999,SPEAKER_06
50.858,51.26,utopía.,0.7590,0.9981,SPEAKER_06
52.52,53.341,Bienvenidos.,0.3900,0.7519,UNKNOWN
55.2,56.021,Bienvenidos.,0.1800,0.8920,UNKNOWN
62.18,63.105,La,0.5610,0.8337,SPEAKER_06
63.186,63.447,idea,0.9780,0.9984,SPEAKER_06
63.468,63.789,es,0.8600,0.9995,SPEAKER_06
63.89,64.111,que,0.8040,0.9999,SPEAKER_06
64.413,64.494,las,0.8270,0.9993,SPEAKER_06
