start,end,word,alignment_score,probability,speaker
9.74,11.049,A,0.8030,0.4768,SPEAKER_06
11.11,11.331,nombre,0.9680,0.9958,SPEAKER_06
11.371,11.472,del,0.6430,1.0000,SPEAKER_06
11.573,11.814,Centro,0.8810,0.9990,SPEAKER_06
11.835,11.875,de,0.6380,0.9999,SPEAKER_06
11.895,12.197,Estudios,0.5930,0.9999,SPEAKER_06
12.338,12.721,Públicos,0.8710,0.9973,SPEAKER_06
12.761,13.224,les,0.8340,0.7880,SPEAKER_06
13.345,13.567,doy,0.9630,1.0000,SPEAKER_06
13.828,13.869,a,0.7490,0.9996,SPEAKER_06
13.929,14.13,todos,0.8420,0.9999,SPEAKER_06
14.211,14.271,la,0.9650,0.9998,SPEAKER_06
14.312,14.835,bienvenida,0.8070,1.0000,SPEAKER_06
14.876,14.916,al,0.4900,0.9993,SPEAKER_06
14.936,15.52,seminario,0.3630,0.9118,SPEAKER_06
15.5,16.59,Futuro,0.8710,0.9732,SPEAKER_06
16.671,16.711,de,0.7880,0.9999,SPEAKER_06
16.772,16.832,la,0.7420,1.0000,SPEAKER_06
16.893,17.317,Universidad,0.8750,1.0000,SPEAKER_06
17.438,17.862,"Chilena,",0.8760,0.9935,SPEAKER_06
17.902,18.367,su,0.9440,0.9874,SPEAKER_06
18.447,18.71,papel,0.8790,0.9997,SPEAKER_06
18.75,19.013,en,0.8060,1.0000,SPEAKER_06
19.053,19.093,la,0.5520,1.0000,SPEAKER_06
19.194,19.638,formación,0.8830,0.9974,SPEAKER_06
19.659,19.84,superior.,0.1110,1.0000,SPEAKER_06
21.0,21.201,Hoy,0.5940,0.9999,SPEAKER_06
21.242,21.423,día,0.9280,0.9998,SPEAKER_06
21.746,22.048,tenemos,0.9890,1.0000,SPEAKER_06
22.068,22.35,dos,0.5680,0.9999,SPEAKER_06
22.652,23.458,"conferencistas,",0.9200,0.9996,SPEAKER_06
24.325,24.425,don,0.4330,0.9490,SPEAKER_06
24.446,24.687,Hernán,0.6070,0.9857,SPEAKER_06
24.708,25.111,Larraín,0.7500,0.9976,SPEAKER_06
25.131,25.151,y,0.9900,1.0000,SPEAKER_06
25.252,25.393,don,0.3670,0.9993,SPEAKER_06
25.433,25.675,José,0.6110,0.9999,SPEAKER_06
25.695,26.239,Joaquín,0.5790,0.9999,SPEAKER_06
26.259,26.4,Bruner.,0.1420,0.7903,SPEAKER_06
27.14,27.966,Hernán,0.4680,0.9836,SPEAKER_06
27.986,28.388,Larraín,0.7760,0.9975,SPEAKER_06
29.295,29.415,va,0.9740,0.9916,SPEAKER_06
29.456,29.476,a,0.9380,0.9997,SPEAKER_06
29.516,30.201,hacer,0.7140,0.9233,SPEAKER_06
30.281,30.362,uso,0.9140,1.0000,SPEAKER_06
30.402,30.463,de,0.8260,0.9999,SPEAKER_06
30.503,30.543,la,1.0000,0.9999,SPEAKER_06
30.603,30.825,palabra,0.7600,0.9998,SPEAKER_06
30.865,31.228,primero,0.8860,0.9986,SPEAKER_06
31.369,31.489,para,0.7640,0.9826,SPEAKER_06
31.55,32.033,referirse,0.7960,0.9999,SPEAKER_06
32.073,32.355,al,0.8010,0.9398,SPEAKER_06
32.436,32.597,nivel,0.8020,0.9992,SPEAKER_06
32.637,33.06,académico,0.3450,1.0000,SPEAKER_06
33.04,33.161,en,0.3360,0.9992,SPEAKER_06
33.181,33.987,"Chile,",0.7790,0.9995,SPEAKER_06
34.127,34.571,evaluación,0.8120,0.9947,SPEAKER_06
34.591,34.631,y,0.4880,0.9998,SPEAKER_06
34.732,35.416,"perspectivas,",0.8270,0.9999,SPEAKER_06
35.436,35.457,y,0.9920,0.9996,SPEAKER_06
36.363,36.625,luego,0.9560,0.9997,SPEAKER_06
36.645,36.987,José,0.2070,0.9964,SPEAKER_06
37.007,37.45,Joaquín,0.6800,0.9999,SPEAKER_06
37.652,38.054,Bruner,0.7820,0.8730,SPEAKER_06
38.216,38.256,va,0.9670,0.9997,SPEAKER_06
38.276,38.296,a,0.1490,1.0000,SPEAKER_06
38.357,38.618,hablar,0.7090,0.9999,SPEAKER_06
38.638,38.82,sobre,0.1260,0.9998,SPEAKER_06
38.84,38.88,la,0.4880,0.9998,SPEAKER_06
38.86,39.689,participación,0.5640,0.9998,SPEAKER_06
39.73,39.77,de,0.5000,0.9997,SPEAKER_06
39.79,40.68,los,0.8710,0.9998,SPEAKER_06
40.741,41.064,centros,0.8620,0.9987,SPEAKER_06
41.084,41.671,académicos,0.7060,1.0000,SPEAKER_06
41.772,42.136,privados,0.8120,0.9998,SPEAKER_06
42.257,42.379,en,0.8700,0.9999,SPEAKER_06
42.399,42.52,Chile.,0.1660,0.9992,SPEAKER_06
44.1,44.383,Hernán,0.4710,0.9989,SPEAKER_06
44.403,44.727,Larraín,0.6440,1.0000,SPEAKER_06
44.747,44.848,es,0.8450,0.9998,SPEAKER_06
44.908,45.495,actualmente,0.9190,0.9990,SPEAKER_06
45.535,46.222,vice-rector,0.6790,0.2357,SPEAKER_06
46.242,46.808,académico,0.8120,0.9849,SPEAKER_06
46.929,47.01,de,0.9180,0.9999,SPEAKER_06
47.051,47.091,la,0.9980,0.9999,SPEAKER_06
47.132,47.516,Universidad,0.7760,1.0000,SPEAKER_06
47.596,47.9,Católica,0.3210,0.9990,SPEAKER_06
47.92,47.96,de,0.4990,0.9999,SPEAKER_06
47.94,48.465,Chile,0.7570,0.9999,SPEAKER_06
48.809,49.011,y,0.9460,0.9999,SPEAKER_06
50.284,50.445,hará,0.9490,0.9093,SPEAKER_06
50.526,50.667,uso,0.9510,0.9988,SPEAKER_06
50.688,50.748,de,0.8430,0.9998,SPEAKER_06
50.789,50.829,la,1.0000,1.0000,SPEAKER_06
50.89,51.213,palabra,0.8140,0.9999,SPEAKER_06
51.233,51.657,de,0.6860,1.0000,SPEAKER_06
51.678,51.94,inmediato.,0.3400,0.9992,SPEAKER_06
58.4,60.755,Muchas,0.1500,0.9999,SPEAKER_13
60.775,60.936,gracias.,0.0070,0.8878,SPEAKER_13
60.956,61.459,"Yo,",0.8780,0.9999,SPEAKER_13
62.586,62.727,antes,0.2650,0.9824,SPEAKER_13
62.747,62.807,que,0.1910,0.9971,SPEAKER_13
62.828,62.988,"nada,",0.7650,0.9979,SPEAKER_13
63.009,63.15,quiero,0.6900,1.0000,SPEAKER_13
63.19,63.592,agradecer,0.6990,0.9997,SPEAKER_13
63.612,63.653,la,0.4420,1.0000,SPEAKER_13
63.794,64.176,oportunidad,0.7580,0.9984,SPEAKER_13
64.196,64.377,que,0.4510,0.9999,SPEAKER_13
64.619,64.659,el,0.0580,0.9993,SPEAKER_13
64.679,64.8,Centro,0.0110,0.9982,SPEAKER_13
64.82,64.86,de,0.4960,0.9933,SPEAKER_13
64.84,65.021,Estudios,0.0810,0.9999,SPEAKER_13
65.222,65.625,Públicos,0.6480,0.9968,SPEAKER_13
65.685,65.745,me,0.8080,0.9998,SPEAKER_13
65.786,66.067,brinda,0.9090,0.9973,SPEAKER_13
66.148,66.268,para,0.9750,0.9999,SPEAKER_13
66.369,66.61,poder,0.9880,0.9985,SPEAKER_13
68.783,69.045,ofrecer,0.9180,0.9999,SPEAKER_13
69.085,69.346,algunos,0.8620,0.9878,SPEAKER_13
69.427,69.729,juicios,0.9950,0.9998,SPEAKER_13
69.769,70.594,muy,0.9190,0.9998,SPEAKER_13
70.654,71.097,personales,0.9560,0.9984,SPEAKER_13
71.338,71.499,que,0.6650,0.9998,SPEAKER_13
71.519,71.6,para,0.0010,0.9469,SPEAKER_13
71.62,71.7,nada,0.2500,0.9981,SPEAKER_13
71.68,72.465,comprometen,0.6340,1.0000,SPEAKER_13
72.485,72.505,a,0.9760,0.9999,SPEAKER_13
73.13,73.17,la,0.9960,0.9958,SPEAKER_13
73.21,73.653,institución,0.6060,0.9998,SPEAKER_13
73.673,73.713,en,0.4960,0.9938,SPEAKER_13
74.096,74.176,que,0.6370,0.9995,SPEAKER_13
74.237,74.599,trabajo,0.8870,0.9834,SPEAKER_13
75.566,75.908,respecto,0.9750,0.9997,SPEAKER_13
75.948,76.008,de,0.9080,0.5763,SPEAKER_13
76.049,76.089,la,0.9700,0.9987,SPEAKER_13
76.149,76.532,situación,0.8980,0.9999,SPEAKER_13
76.552,76.572,o,0.9940,0.9997,SPEAKER_13
76.592,76.633,de,0.5000,0.9938,SPEAKER_13
77.196,77.237,un,0.3920,0.9999,SPEAKER_13
77.357,77.78,eventual,0.3850,0.9995,SPEAKER_13
77.76,78.987,diagnóstico,0.8810,0.9999,SPEAKER_13
79.007,79.067,del,0.3340,0.9999,SPEAKER_13
79.671,80.174,estado,0.8510,0.9990,SPEAKER_13
80.576,80.958,académico,0.8810,0.9869,SPEAKER_13
80.998,81.28,actual,0.8280,0.9999,SPEAKER_13
81.32,81.38,de,0.7040,0.9991,SPEAKER_13
81.421,81.501,las,0.9540,0.9990,SPEAKER_13
81.582,82.185,universidades.,0.4570,0.9990,SPEAKER_13
83.834,83.915,Sin,0.8450,0.9999,SPEAKER_13
83.955,84.317,perjuicio,0.9300,0.9948,SPEAKER_13
84.538,84.619,de,0.6290,0.9816,SPEAKER_13
84.639,84.759,lo,0.7290,0.9555,SPEAKER_13
84.78,84.88,"cual,",0.2000,0.9997,SPEAKER_13
84.86,85.328,yo,0.3710,0.9998,SPEAKER_13
85.35,85.541,quiero...,0.1110,0.9990,SPEAKER_13
