start,end,word,alignment_score,probability,speaker
10.06,11.624,¿Qué,0.6980,0.9472,SPEAKER_07
11.765,12.527,es,0.8310,0.2734,SPEAKER_07
12.968,13.168,la,0.2180,0.8123,SPEAKER_07
18.062,24.86,justicia?,0.9100,0.9748,SPEAKER_07
30.0,30.482,¿A,0.2730,0.3415,SPEAKER_07
30.502,30.683,quién,0.7830,0.9972,SPEAKER_07
30.723,30.904,es,0.8060,0.9999,SPEAKER_07
31.025,31.105,el,0.9780,0.9652,SPEAKER_07
31.166,31.326,gran,0.9940,0.9972,SPEAKER_07
31.407,31.889,maestro,0.8850,0.9994,SPEAKER_07
32.351,32.693,común,0.8390,0.9999,SPEAKER_07
32.713,32.753,de,0.5000,0.9987,SPEAKER_07
33.376,33.557,todos,0.7900,0.9999,SPEAKER_07
33.597,33.838,estos,0.5610,0.9999,SPEAKER_07
33.899,34.461,escolásticos,0.8980,0.9916,SPEAKER_07
34.482,34.502,y,0.9990,0.8693,SPEAKER_07
34.542,34.683,en,0.5680,0.9426,SPEAKER_07
34.783,35.125,torno,0.9630,1.0000,SPEAKER_07
35.145,35.165,a,0.9980,0.9998,SPEAKER_07
36.27,36.491,las,0.8640,0.9999,SPEAKER_07
36.652,37.416,interpretaciones,0.9540,1.0000,SPEAKER_07
37.818,37.878,de,0.9040,0.9991,SPEAKER_07
37.938,38.079,su,0.8160,0.9983,SPEAKER_07
38.099,38.34,pensamiento?,0.0940,0.9999,SPEAKER_07
38.32,38.36,En,0.1440,0.9429,SPEAKER_07
38.38,38.541,realidad,0.0640,0.9985,SPEAKER_07
38.561,38.601,es,0.0320,0.9415,SPEAKER_07
38.621,38.661,el,0.0480,0.7454,SPEAKER_07
42.013,42.515,material,0.9370,0.9999,SPEAKER_07
42.575,42.696,del,0.4560,0.9998,SPEAKER_07
42.736,42.856,cual,0.7030,0.9997,SPEAKER_07
42.896,43.057,ellos,0.7620,1.0000,SPEAKER_07
43.077,43.358,están,0.7290,1.0000,SPEAKER_07
44.362,45.104,"trabajando,",0.8690,0.9998,SPEAKER_07
47.292,47.412,que,0.6810,0.9997,SPEAKER_07
47.493,47.613,es,0.8700,1.0000,SPEAKER_07
48.055,48.617,obviamente,0.8020,0.7670,SPEAKER_07
48.998,49.219,Tomás,0.8810,0.9998,SPEAKER_07
49.239,49.299,de,0.8400,0.9990,SPEAKER_07
49.319,49.56,Aquino.,0.2470,0.9990,SPEAKER_07
50.6,51.425,El,0.8130,0.9986,SPEAKER_07
51.627,51.909,profesor,0.9080,0.9992,SPEAKER_07
51.989,52.372,Gonzalo,0.9300,0.9997,SPEAKER_07
52.452,52.875,Sánchez,0.9190,0.9999,SPEAKER_07
52.895,52.935,es,0.5000,0.9982,SPEAKER_07
53.902,54.204,profesor,0.7990,0.9999,SPEAKER_07
54.224,54.284,en,0.6600,0.9999,SPEAKER_07
54.304,54.345,la,0.9970,1.0000,SPEAKER_07
54.365,54.667,Universidad,0.7530,0.9944,SPEAKER_07
54.707,54.928,Diego,0.6920,0.9680,SPEAKER_07
54.989,55.512,"Portales,",0.9420,0.9982,SPEAKER_07
55.552,55.975,en,0.8950,0.9985,SPEAKER_07
56.016,56.056,la,1.0000,1.0000,SPEAKER_07
56.096,56.519,Universidad,0.7550,1.0000,SPEAKER_07
56.539,56.579,de,0.0000,0.9999,SPEAKER_07
56.599,56.72,"Chile,",0.1670,1.0000,SPEAKER_07
56.7,57.185,y,0.9050,0.8431,SPEAKER_07
57.205,57.306,él,0.5850,0.9936,SPEAKER_07
57.326,57.367,va,0.9960,0.9999,SPEAKER_07
57.387,57.407,a,0.0110,0.9999,SPEAKER_07
57.468,57.67,tener,0.9110,1.0000,SPEAKER_07
57.831,57.872,a,0.9950,0.9998,SPEAKER_07
57.973,58.074,su,0.9870,1.0000,SPEAKER_07
58.175,58.579,cargo,0.9560,0.9999,SPEAKER_07
58.619,59.346,la,0.4560,0.9998,SPEAKER_07
59.407,59.993,exposición,0.9810,0.9993,SPEAKER_07
60.013,60.639,de,0.4580,0.9999,SPEAKER_07
60.659,60.74,hoy.,0.2500,0.9992,SPEAKER_07
61.82,62.523,Él,0.6940,0.9943,SPEAKER_07
62.583,62.664,va,0.8340,0.9998,SPEAKER_07
62.845,62.865,a,0.0840,0.9999,SPEAKER_07
62.885,63.066,hacer,0.9100,0.9986,SPEAKER_07
63.106,63.186,uso,0.8270,1.0000,SPEAKER_07
63.206,63.247,de,0.4710,0.9993,SPEAKER_07
63.307,63.347,la,1.0000,0.9999,SPEAKER_07
63.407,63.648,palabra,0.8230,0.9997,SPEAKER_07
63.689,63.93,por,0.4270,0.9997,SPEAKER_07
63.97,64.653,45,0.4580,0.9972,SPEAKER_07
64.733,65.135,minutos,0.8550,1.0000,SPEAKER_07
65.155,65.175,y,0.9980,0.8450,SPEAKER_07
66.783,67.044,luego,0.7920,0.9999,SPEAKER_07
67.104,67.345,podemos,0.8270,0.9990,SPEAKER_07
67.385,67.908,abrir,0.9650,1.0000,SPEAKER_07
67.928,68.45,debate,0.5980,0.9998,SPEAKER_07
68.712,68.872,en,0.9110,0.9998,SPEAKER_07
69.013,69.093,la,0.9560,1.0000,SPEAKER_07
69.174,69.535,forma,0.9820,0.9999,SPEAKER_07
70.038,70.118,que,0.9260,0.9999,SPEAKER_07
70.158,70.218,se,0.9070,1.0000,SPEAKER_07
70.239,70.46,hizo,0.7050,1.0000,SPEAKER_07
70.48,70.58,ayer.,0.2000,1.0000,SPEAKER_07
70.88,71.545,Tengo,0.8690,0.9997,SPEAKER_07
71.666,71.807,ya,0.9880,0.9999,SPEAKER_07
71.928,72.009,una,0.9960,1.0000,SPEAKER_07
72.069,72.594,pregunta,0.8690,1.0000,SPEAKER_07
72.614,72.836,del,0.3500,0.9961,SPEAKER_07
72.856,73.138,profesor,0.4990,0.9977,SPEAKER_07
73.178,73.461,Fernando,0.8460,0.9995,SPEAKER_07
73.541,73.965,"Quintana,",0.9450,0.9999,SPEAKER_07
73.985,74.065,que,0.7410,0.9999,SPEAKER_07
74.086,74.247,está,0.8240,0.9955,SPEAKER_07
74.287,74.489,"aquí,",0.7960,1.0000,SPEAKER_07
74.509,74.569,que,0.3340,0.9996,SPEAKER_07
74.751,74.791,me,0.8760,1.0000,SPEAKER_07
74.872,74.993,hizo,0.8590,0.9999,SPEAKER_07
75.033,75.235,ayer,0.8670,1.0000,SPEAKER_07
75.275,75.315,en,0.9140,1.0000,SPEAKER_07
75.356,75.416,la,0.2500,0.8930,SPEAKER_07
75.477,75.92,"escalera,",0.6070,0.9997,SPEAKER_07
77.38,78.285,y,0.8680,0.9989,SPEAKER_07
78.305,78.385,que,0.6930,1.0000,SPEAKER_07
78.445,78.546,se,0.9850,1.0000,SPEAKER_07
78.687,79.37,refiere,0.7960,0.9999,SPEAKER_07
79.491,79.591,al,0.9850,1.0000,SPEAKER_07
79.692,79.933,tema,0.9360,1.0000,SPEAKER_07
80.054,80.295,del,0.9340,0.9999,SPEAKER_07
80.556,80.838,"bien,",0.9940,0.9996,SPEAKER_07
81.32,81.36,la,0.9020,0.9999,SPEAKER_07
81.421,81.702,relación,0.8860,1.0000,SPEAKER_07
81.762,81.943,entre,0.5050,1.0000,SPEAKER_07
82.024,82.185,bien,0.8740,0.9987,SPEAKER_07
82.205,82.225,y,0.9960,1.0000,SPEAKER_07
82.466,82.969,"justicia,",0.9500,0.9999,SPEAKER_07
83.029,83.089,el,0.9530,0.9820,SPEAKER_07
83.15,83.552,concepto,0.9130,0.9999,SPEAKER_07
83.632,83.712,de,0.9640,0.9981,SPEAKER_07
83.813,84.054,bien,0.9960,1.0000,SPEAKER_07
84.195,84.255,en,0.9770,0.9997,SPEAKER_07
84.295,84.356,la,0.7500,0.9974,SPEAKER_07
84.376,84.718,tradición,0.6550,0.9989,SPEAKER_07
84.738,85.22,escolástica.,0.3660,0.9766,SPEAKER_07
85.2,85.481,Y,0.2880,0.7444,SPEAKER_07
85.642,85.803,otra,0.8660,0.9587,SPEAKER_07
86.788,87.27,persona,0.9720,0.9949,SPEAKER_07
87.853,87.913,me,0.9820,0.9982,SPEAKER_07
87.973,88.214,hacía,0.9670,0.9996,SPEAKER_07
88.275,88.596,también,0.8610,0.9990,SPEAKER_07
88.616,88.717,en,0.5670,0.9953,SPEAKER_07
88.777,88.837,las,0.9710,0.9989,SPEAKER_07
88.918,89.36,escaleras,0.8760,1.0000,SPEAKER_07
89.4,89.681,ayer,0.5880,0.9234,SPEAKER_07
89.721,89.942,otra,0.7470,0.9991,SPEAKER_07
90.003,90.485,pregunta,0.9330,1.0000,SPEAKER_07
90.505,91.892,sobre,0.9320,0.9943,SPEAKER_07
92.073,92.133,el,0.9830,1.0000,SPEAKER_07
92.253,92.495,tema,0.9970,1.0000,SPEAKER_07
92.876,93.459,relacionado,0.9080,1.0000,SPEAKER_07
93.479,93.54,con,0.0150,1.0000,SPEAKER_07
93.56,93.66,"esto,",0.2000,1.0000,SPEAKER_07
93.72,94.163,sobre,0.7580,0.9999,SPEAKER_07
94.223,94.384,bien,0.9420,0.9994,SPEAKER_07
94.405,94.425,y,0.9850,0.9999,SPEAKER_07
94.606,95.109,"utilidad,",0.9320,1.0000,SPEAKER_07
95.149,95.451,el,0.8200,0.9989,SPEAKER_07
95.512,95.854,concepto,0.9280,1.0000,SPEAKER_07
95.915,95.955,de,0.9900,1.0000,SPEAKER_07
95.995,96.398,utilidad,0.9530,1.0000,SPEAKER_07
96.458,96.498,en,0.5200,1.0000,SPEAKER_07
96.559,96.881,relación,0.8820,1.0000,SPEAKER_07
96.961,97.082,con,0.9840,1.0000,SPEAKER_07
97.163,97.263,los,0.9500,0.9999,SPEAKER_07
97.324,97.847,argumentos,0.8700,1.0000,SPEAKER_07
97.867,97.908,en,0.4990,0.9592,SPEAKER_07
98.391,98.693,"defensa,",0.8790,0.9999,SPEAKER_07
98.733,98.814,por,0.8490,1.0000,SPEAKER_07
98.854,99.096,"ejemplo,",0.9470,1.0000,SPEAKER_07
99.136,99.176,de,0.3790,1.0000,SPEAKER_07
