start,end,word,alignment_score,probability,speaker
9.02,9.624,Buenas,0.6920,0.7725,SPEAKER_02
9.665,9.967,tardes.,0.9260,1.0000,SPEAKER_02
11.014,11.074,Los,0.6200,0.9975,SPEAKER_02
11.155,11.336,invito,0.9800,0.9999,SPEAKER_02
11.356,11.377,a,0.2130,1.0000,SPEAKER_02
11.437,11.82,sentarse,0.8720,0.9999,SPEAKER_02
11.86,12.404,alrededor,0.4560,0.9996,SPEAKER_02
12.444,12.504,de,0.8080,1.0000,SPEAKER_02
12.545,12.585,la,0.8940,1.0000,SPEAKER_02
12.645,12.867,mesa,0.9710,0.9999,SPEAKER_02
12.968,13.089,para,0.9660,0.9994,SPEAKER_02
13.169,13.25,que,0.8500,1.0000,SPEAKER_02
13.31,13.391,no,0.9600,0.9993,SPEAKER_02
13.451,13.592,nos,0.8810,0.9999,SPEAKER_02
14.116,14.317,hagan,0.7640,0.9997,SPEAKER_02
14.357,14.599,el,0.8080,1.0000,SPEAKER_02
14.619,14.74,vacío.,0.1660,0.9999,SPEAKER_02
24.02,24.929,El,0.4800,0.9904,SPEAKER_02
24.989,25.151,único,0.7880,0.9995,SPEAKER_02
25.272,25.474,riesgo,0.9060,0.9997,SPEAKER_02
25.494,25.595,que,0.6290,0.9999,SPEAKER_02
25.656,25.837,corren,0.7940,0.9438,SPEAKER_02
25.878,25.938,los,0.1230,0.9999,SPEAKER_02
25.959,26.039,que,0.8170,0.9999,SPEAKER_02
26.06,26.12,se,0.9900,1.0000,SPEAKER_02
26.201,26.463,sienten,0.7980,0.9994,SPEAKER_02
26.484,26.766,alrededor,0.5940,0.9999,SPEAKER_02
26.787,26.847,de,0.8300,1.0000,SPEAKER_02
26.888,26.948,la,0.8920,1.0000,SPEAKER_02
26.989,27.15,mesa,0.8720,1.0000,SPEAKER_02
27.17,27.211,es,0.6050,0.9999,SPEAKER_02
27.231,27.312,que,0.8300,0.9999,SPEAKER_02
