start,end,word,alignment_score,probability,speaker
2.82,3.001,Es,0.3080,0.9745,SPEAKER_09
3.966,4.086,un,0.9680,0.9990,SPEAKER_09
6.84,7.041,gran,0.7900,0.9894,SPEAKER_09
7.061,7.303,honor,0.5580,0.9997,SPEAKER_09
7.363,8.107,introducirles,0.8910,0.9829,SPEAKER_09
8.127,8.147,a,0.9900,1.0000,SPEAKER_09
8.469,8.871,ustedes,0.9570,0.9986,SPEAKER_09
8.891,8.931,al,0.5000,0.9999,SPEAKER_09
9.675,9.856,señor,0.9530,0.9973,SPEAKER_09
10.016,10.619,Peter,0.1620,1.0000,SPEAKER_09
10.64,10.74,Daly.,0.1990,0.9395,SPEAKER_09
11.06,12.044,Peter,0.6760,0.9997,SPEAKER_09
12.064,12.366,Daly,0.6190,0.9999,SPEAKER_09
12.466,12.707,fue,0.7490,0.9999,SPEAKER_09
13.069,13.591,director,0.9020,0.9635,SPEAKER_09
13.611,13.671,del,0.3340,0.9999,SPEAKER_09
14.495,14.655,área,0.9280,0.9990,SPEAKER_09
14.716,14.776,de,0.2520,1.0000,SPEAKER_09
14.856,15.639,comunicaciones,0.8680,0.9999,SPEAKER_09
15.68,15.72,en,0.4980,0.9996,SPEAKER_09
17.286,17.387,las,0.9220,0.9998,SPEAKER_09
17.467,17.809,campañas,0.8670,1.0000,SPEAKER_09
17.869,18.612,presidenciales,0.8610,1.0000,SPEAKER_09
19.154,20.058,de,0.9420,1.0000,SPEAKER_09
20.078,20.219,Richard,0.0020,1.0000,SPEAKER_09
20.239,20.5,"Nixon,",0.4260,0.9997,SPEAKER_09
20.84,21.202,en,0.7780,1.0000,SPEAKER_09
21.625,21.706,las,0.7820,1.0000,SPEAKER_09
21.746,22.068,primarias,0.8730,0.9998,SPEAKER_09
22.129,22.189,de,0.8790,1.0000,SPEAKER_09
22.31,22.632,Ford,0.6400,0.9999,SPEAKER_09
23.578,23.719,y,0.8390,0.8860,SPEAKER_09
23.92,23.981,en,0.9480,1.0000,SPEAKER_09
24.041,24.081,la,0.9900,0.9999,SPEAKER_09
24.162,24.464,campaña,0.8660,0.9996,SPEAKER_09
24.524,24.967,presidencial,0.7660,1.0000,SPEAKER_09
24.987,25.028,de,0.5000,0.9999,SPEAKER_09
25.048,25.249,1980,0.6740,0.9994,SPEAKER_09
25.37,25.672,de,0.5610,0.9999,SPEAKER_09
25.753,26.236,Ronald,0.6240,0.9999,SPEAKER_09
26.457,26.9,Reagan.,0.4180,0.9990,SPEAKER_09
26.88,27.041,Ha,0.5600,0.2036,SPEAKER_09
28.547,28.708,sido,0.6670,0.9969,SPEAKER_09
28.728,29.17,"invitado,",0.8520,0.9995,SPEAKER_09
29.21,29.31,como,0.8630,0.9999,SPEAKER_09
29.37,29.591,ustedes,0.7880,0.9925,SPEAKER_09
29.612,29.873,"saben,",0.7810,0.9976,SPEAKER_09
29.913,29.993,por,0.9730,0.9997,SPEAKER_09
30.033,30.114,el,0.9170,0.9997,SPEAKER_09
30.234,30.415,CEP,0.8470,0.9576,SPEAKER_09
31.279,31.58,a,0.9920,0.8523,SPEAKER_09
32.644,33.247,compartir,0.9460,0.9993,SPEAKER_09
33.287,33.488,sus,0.4960,0.9998,SPEAKER_09
33.568,34.251,experiencias,0.9010,1.0000,SPEAKER_09
34.291,34.452,en,0.6680,0.9970,SPEAKER_09
34.492,34.552,el,0.9540,0.9999,SPEAKER_09
34.592,34.914,manejo,0.8900,0.9999,SPEAKER_09
34.954,34.994,de,0.8280,1.0000,SPEAKER_09
35.034,35.436,campañas,0.8490,0.9999,SPEAKER_09
35.476,35.898,políticas,0.9010,0.9996,SPEAKER_09
35.938,36.4,modernas,0.3510,0.9998,SPEAKER_09
36.38,36.665,y,0.1870,0.9510,SPEAKER_09
36.705,36.766,en,0.6240,0.9219,SPEAKER_09
36.827,37.254,particular,0.8270,0.9999,SPEAKER_09
37.295,37.803,en,0.8110,0.9990,SPEAKER_09
37.864,37.905,el,0.7900,1.0000,SPEAKER_09
37.966,38.128,área,0.7160,0.9999,SPEAKER_09
38.149,38.189,de,0.5780,1.0000,SPEAKER_09
38.271,38.86,comunicaciones.,0.6480,0.9998,SPEAKER_09
39.74,40.704,El,0.8750,0.9996,SPEAKER_09
40.724,40.864,señor,0.8440,0.9972,SPEAKER_09
40.944,41.185,Daly,0.6430,0.3956,SPEAKER_09
41.205,41.286,es,0.7900,0.9999,SPEAKER_09
41.326,41.386,un,0.7400,1.0000,SPEAKER_09
41.426,42.069,"empresario,",0.9210,0.9999,SPEAKER_09
42.109,43.815,se,0.8530,0.9995,SPEAKER_09
43.875,44.317,dedicó,0.9590,1.0000,SPEAKER_09
44.357,45.461,originalmente,0.9380,0.9998,SPEAKER_09
45.481,45.521,al,0.5000,0.9985,SPEAKER_09
46.144,46.465,área,0.9920,0.9998,SPEAKER_09
46.625,49.476,de,0.9280,0.9999,SPEAKER_09
49.496,49.536,lo,0.9920,0.9460,SPEAKER_09
49.576,49.636,que,0.9860,1.0000,SPEAKER_09
49.677,49.777,tiene,0.9970,0.9999,SPEAKER_09
49.797,49.857,que,0.9500,1.0000,SPEAKER_09
49.897,49.978,ver,0.7770,0.9997,SPEAKER_09
50.038,50.219,con,0.8900,0.9999,SPEAKER_09
50.239,50.62,"publicidad,",0.2960,0.9990,SPEAKER_09
50.76,51.948,creó,0.8020,0.9734,SPEAKER_09
51.988,52.572,la,0.8180,0.9998,SPEAKER_09
52.632,53.075,empresa,0.8910,0.9998,SPEAKER_09
53.115,53.941,Interpublic,0.6930,0.9933,SPEAKER_09
54.062,54.404,"Group,",0.8120,0.9999,SPEAKER_09
55.41,55.793,fue,0.8260,0.9973,SPEAKER_09
56.115,56.176,el,0.9370,0.9992,SPEAKER_09
56.216,56.598,principal,0.7930,0.9992,SPEAKER_09
56.639,56.88,"accionista,",0.1460,0.9942,SPEAKER_09
56.88,57.242,de,0.6080,0.4271,SPEAKER_09
57.423,57.684,esa,0.6190,0.9452,SPEAKER_09
57.745,58.227,empresa.,0.9380,0.9977,SPEAKER_09
59.393,59.494,Esa,0.7010,0.9913,SPEAKER_09
59.554,59.856,empresa,0.9340,0.9978,SPEAKER_09
59.916,59.976,es,0.8380,0.9970,SPEAKER_09
60.017,60.077,un,0.8720,0.9952,SPEAKER_09
60.218,60.66,holding,0.6810,0.9247,SPEAKER_09
60.68,60.7,y,0.9680,0.9271,SPEAKER_09
62.55,62.65,es,0.5860,0.9843,SPEAKER_09
62.67,63.153,"dueña,",0.9430,0.9986,SPEAKER_09
63.173,63.374,entre,0.7960,0.9991,SPEAKER_09
63.414,63.595,"otras,",0.9420,0.9982,SPEAKER_09
63.636,63.897,muchas,0.7910,0.8314,SPEAKER_09
63.977,64.5,"compañías,",0.8770,0.9985,SPEAKER_09
64.48,64.783,de,0.6210,0.9736,SPEAKER_09
64.824,65.006,algunas,0.6230,0.9946,SPEAKER_09
65.046,65.107,que,0.6270,0.9933,SPEAKER_09
65.127,65.289,están,0.8950,0.9955,SPEAKER_09
65.329,65.39,en,0.8100,0.9990,SPEAKER_09
65.491,65.754,"Chile,",0.8860,0.9913,SPEAKER_09
65.835,66.017,como,0.9160,0.9987,SPEAKER_09
66.866,67.048,McKenna,0.3310,0.4505,SPEAKER_09
67.068,67.553,Erickson,0.5870,0.7606,SPEAKER_09
67.573,67.715,y,0.8640,0.9906,SPEAKER_09
67.937,68.2,Lintas.,0.3310,0.7986,SPEAKER_09
69.3,70.164,"Después,",0.8430,0.9970,SPEAKER_09
70.184,70.224,él,0.4820,0.9752,SPEAKER_09
70.606,70.907,vendió,0.8090,0.9990,SPEAKER_09
70.927,71.008,su,0.8010,0.9991,SPEAKER_09
71.108,71.43,interés,0.9630,0.9998,SPEAKER_09
71.45,71.791,en,0.8930,0.9992,SPEAKER_09
71.852,72.073,ese,0.9050,0.9822,SPEAKER_09
73.499,74.021,holding,0.8040,0.9957,SPEAKER_09
74.745,75.006,y,0.9830,0.9804,SPEAKER_09
75.609,76.131,formó,0.9310,0.9981,SPEAKER_09
76.452,76.613,una,0.9170,0.9995,SPEAKER_09
76.693,76.955,empresa,0.9230,0.9996,SPEAKER_09
77.035,77.336,privada,0.7980,0.9998,SPEAKER_09
77.356,77.397,de,0.4940,0.9993,SPEAKER_09
77.537,78.16,inversiones,0.6630,0.9995,SPEAKER_09
78.14,79.436,que,0.5550,0.9507,SPEAKER_09
79.477,79.537,se,0.8240,0.9998,SPEAKER_09
79.598,79.801,llama,0.9150,0.9983,SPEAKER_09
79.963,80.57,Enniskerry,0.5100,0.6494,SPEAKER_09
80.591,81.056,Financial,0.5780,0.9918,SPEAKER_09
81.077,81.36,Ltd.,0.3940,0.7035,SPEAKER_09
83.34,84.149,Participó,0.7370,0.9904,SPEAKER_09
84.432,84.473,en,0.0000,0.9996,SPEAKER_09
84.493,84.554,las,0.0000,0.9979,SPEAKER_09
84.574,84.736,campañas,0.1250,0.9991,SPEAKER_09
85.424,85.707,públicas,0.3740,0.5133,SPEAKER_09
86.334,86.374,de,0.0000,0.1610,SPEAKER_09
86.395,86.435,la,0.5000,0.5485,SPEAKER_09
86.455,86.88,"empresa,",0.6160,0.7631,SPEAKER_09
86.88,86.92,en,0.1220,0.0252,SPEAKER_09
86.94,87.001,las,0.0810,0.3995,SPEAKER_09
87.061,87.324,políticas,0.6400,0.7263,SPEAKER_09
87.404,87.949,presidenciales,0.7910,0.9977,SPEAKER_09
88.009,88.069,de,0.9280,0.9967,SPEAKER_09
88.15,88.392,Ronald,0.6230,0.9876,SPEAKER_09
