start,end,word,alignment_score,probability,speaker
0.0,0.466,Buenas,0.7890,0.9994,SPEAKER_05
0.526,0.81,"tardes,",0.9180,1.0000,SPEAKER_05
0.891,1.356,bienvenido,0.7110,0.9931,SPEAKER_05
1.377,1.397,a,1.0000,1.0000,SPEAKER_05
1.559,1.599,la,0.9980,1.0000,SPEAKER_05
1.64,1.903,novena,0.8220,0.9998,SPEAKER_05
1.984,2.247,sesión,0.8900,0.9999,SPEAKER_05
2.267,2.328,del,0.3320,0.9999,SPEAKER_05
2.571,2.753,curso,0.8800,0.9998,SPEAKER_05
2.794,3.158,elementos,0.4880,0.6363,SPEAKER_05
3.178,3.259,para,0.0000,0.9988,SPEAKER_05
3.28,3.34,una,0.3330,0.9998,SPEAKER_05
3.32,3.885,formación,0.2520,0.9995,SPEAKER_05
3.946,4.188,política,0.8910,0.9999,SPEAKER_05
4.269,4.875,democrática.,0.8710,0.9895,SPEAKER_05
5.744,5.804,La,0.9920,0.9738,SPEAKER_05
5.865,6.067,sesión,0.8450,1.0000,SPEAKER_05
6.127,6.168,de,0.8480,0.9999,SPEAKER_05
6.188,6.309,hoy,0.4330,1.0000,SPEAKER_05
6.329,6.531,"día,",0.8830,0.9999,SPEAKER_05
6.572,6.895,el,0.3980,1.0000,SPEAKER_05
6.996,7.198,tema,0.9750,1.0000,SPEAKER_05
7.278,7.379,es,0.7080,1.0000,SPEAKER_05
7.4,7.46,los,0.3330,0.9991,SPEAKER_05
7.44,8.066,movimientos,0.4170,1.0000,SPEAKER_05
8.146,8.51,políticos,0.9130,1.0000,SPEAKER_05
8.55,8.651,del,0.7600,1.0000,SPEAKER_05
8.711,8.933,futuro,0.7420,1.0000,SPEAKER_05
8.953,9.014,de,0.7470,1.0000,SPEAKER_05
9.095,9.297,"Chile,",0.9030,0.9999,SPEAKER_05
9.357,9.66,primera,0.6910,0.9990,SPEAKER_05
9.7,10.003,"parte,",0.9920,1.0000,SPEAKER_05
11.193,11.335,y,0.9560,1.0000,SPEAKER_05
11.436,11.516,los,0.8320,1.0000,SPEAKER_05
11.597,11.96,expositores,0.1620,0.9999,SPEAKER_05
11.94,12.344,son,0.3340,1.0000,SPEAKER_05
12.384,12.445,el,0.7720,1.0000,SPEAKER_05
12.485,12.626,señor,0.8620,0.9998,SPEAKER_05
12.687,12.889,Tomás,0.8530,0.9998,SPEAKER_05
12.949,13.292,"Mulián,",0.8320,0.9467,SPEAKER_05
13.555,14.059,sociólogo,0.9610,0.9998,SPEAKER_05
14.079,14.12,de,0.5000,0.9989,SPEAKER_05
14.362,14.402,la,0.5040,1.0000,SPEAKER_05
14.463,14.806,Universidad,0.8200,0.9999,SPEAKER_05
14.867,15.331,"Católica,",0.8940,0.9999,SPEAKER_05
16.179,16.3,máster,0.0050,0.9956,SPEAKER_05
16.32,16.36,en,0.4900,0.9988,SPEAKER_05
16.34,16.563,sociología,0.0620,0.7000,SPEAKER_05
16.583,16.623,de,0.0960,0.9999,SPEAKER_05
16.745,16.805,la,0.1220,1.0000,SPEAKER_05
17.089,17.433,Universidad,0.5280,1.0000,SPEAKER_05
17.453,17.493,de,0.0480,0.9897,SPEAKER_05
17.514,17.878,Lovaina,0.8940,0.7773,SPEAKER_05
17.918,17.939,y,0.9910,0.6513,SPEAKER_05
18.627,18.991,doctorado,0.8600,0.9999,SPEAKER_05
19.011,19.052,de,0.5960,0.9804,SPEAKER_05
19.072,19.112,la,0.9940,1.0000,SPEAKER_05
19.153,19.456,Universidad,0.9130,1.0000,SPEAKER_05
19.477,19.517,de,0.6770,1.0000,SPEAKER_05
19.578,19.78,"París,",0.7730,0.9995,SPEAKER_05
19.78,20.324,además,0.8990,1.0000,SPEAKER_05
20.404,20.566,es,0.5600,0.9968,SPEAKER_05
20.626,21.069,investigador,0.7770,0.9999,SPEAKER_05
21.109,21.19,de,0.7160,0.9998,SPEAKER_05
21.23,21.593,Flaxo.,0.9230,0.8774,SPEAKER_05
