start,end,word,alignment_score,probability,speaker
3.58,4.366,Gracias,0.1380,0.6611,SPEAKER_01
4.386,4.427,a,0.6110,0.9887,SPEAKER_01
4.447,4.568,todos,0.6070,0.9992,SPEAKER_01
4.608,4.668,los,0.6830,0.9995,SPEAKER_01
4.709,5.233,asistentes.,0.8900,0.9999,SPEAKER_01
6.1,6.583,Continuando,0.9080,0.9995,SPEAKER_01
6.704,6.886,con,0.9710,1.0000,SPEAKER_01
7.349,7.43,el,0.9880,1.0000,SPEAKER_01
7.51,7.853,seminario,0.9720,0.9227,SPEAKER_01
7.873,7.914,de,0.4940,0.9316,SPEAKER_01
7.954,8.276,formación,0.8300,0.9559,SPEAKER_01
8.397,8.76,"democrática,",0.1880,0.9998,SPEAKER_01
9.5,9.984,el,0.6070,1.0000,SPEAKER_01
10.065,10.246,tema,0.9020,1.0000,SPEAKER_01
10.286,10.367,de,0.9740,1.0000,SPEAKER_01
10.427,10.569,hoy,0.8030,1.0000,SPEAKER_01
10.609,10.649,es,0.4980,1.0000,SPEAKER_01
10.992,11.254,el,0.6920,0.9996,SPEAKER_01
11.294,11.536,momento,0.8150,0.9519,SPEAKER_01
11.577,11.92,económico,0.8840,1.0000,SPEAKER_01
11.94,11.96,y,0.9190,0.5279,SPEAKER_01
11.98,12.101,sus,0.2660,0.9980,SPEAKER_01
12.121,12.625,proyecciones,0.7410,0.9037,SPEAKER_01
13.291,13.412,por,0.9260,0.9751,SPEAKER_01
13.472,13.533,el,0.9600,1.0000,SPEAKER_01
13.573,13.835,profesor,0.6970,0.9998,SPEAKER_01
13.855,14.48,universitario,0.6880,0.9999,SPEAKER_01
15.34,16.085,Juan,0.5790,0.9958,SPEAKER_01
16.105,16.327,Andrés,0.4020,0.9915,SPEAKER_01
16.347,16.77,Fontén.,0.8150,0.6790,SPEAKER_01
17.878,17.938,El,0.9860,0.9998,SPEAKER_01
17.979,18.1,señor,0.8410,0.9996,SPEAKER_01
18.18,18.583,Fontén,0.7860,0.9999,SPEAKER_01
18.925,19.107,es,0.7980,1.0000,SPEAKER_01
19.671,19.912,ingeniero,0.6540,0.9983,SPEAKER_01
19.973,20.295,comercial,0.7600,0.9999,SPEAKER_01
20.335,20.376,de,0.9330,0.9990,SPEAKER_01
20.396,20.436,la,0.5060,1.0000,SPEAKER_01
20.456,20.799,Universidad,0.3260,0.9996,SPEAKER_01
20.819,21.0,"Católica,",0.1120,0.9999,SPEAKER_01
21.98,22.283,máster,0.1320,0.9450,SPEAKER_01
22.303,22.364,en,0.2490,0.9998,SPEAKER_01
22.384,22.727,Economía,0.5940,0.8412,SPEAKER_01
22.747,22.788,en,0.6620,0.9650,SPEAKER_01
22.808,22.848,la,0.9620,1.0000,SPEAKER_01
22.888,23.151,Universidad,0.2890,0.9999,SPEAKER_01
23.171,23.212,de,0.1010,0.9995,SPEAKER_01
23.232,23.615,Chicago,0.8320,0.9975,SPEAKER_01
23.656,23.676,y,0.9960,0.7612,SPEAKER_01
24.14,24.605,actualmente,0.8930,0.9995,SPEAKER_01
24.645,25.15,director,0.9050,0.9944,SPEAKER_01
25.816,26.018,del,0.7570,1.0000,SPEAKER_01
26.038,26.28,Departamento,0.0830,0.9899,SPEAKER_01
26.26,26.3,de,0.2040,0.0897,SPEAKER_01
26.582,26.763,Estudios,0.4810,0.4459,SPEAKER_01
26.783,26.844,del,0.5250,0.8892,SPEAKER_01
26.884,27.025,Banco,0.9180,0.9993,SPEAKER_01
27.085,27.367,Central.,0.9310,0.9999,SPEAKER_01
28.273,28.434,La,0.7460,0.9990,SPEAKER_01
29.319,29.903,exposición,0.9000,0.9999,SPEAKER_01
29.943,30.486,durará,0.2670,0.9998,SPEAKER_01
30.506,30.547,45,0.9780,0.9961,SPEAKER_01
30.587,31.533,minutos,0.6450,1.0000,SPEAKER_01
31.553,31.573,y,0.9940,0.9770,SPEAKER_01
32.076,32.318,después,0.4580,0.9992,SPEAKER_01
