start,end,word,alignment_score,probability,speaker
2.28,3.164,...Ingeniero,0.4630,0.7395,SPEAKER_02
3.184,3.465,Civil,0.8580,0.8544,SPEAKER_02
3.807,3.887,de,0.6260,0.9976,SPEAKER_02
3.907,3.967,la,0.3420,0.4666,SPEAKER_02
3.988,4.53,Universidad,0.4460,0.9996,SPEAKER_02
4.791,4.952,de,0.3560,0.9595,SPEAKER_02
4.972,5.213,"Chile,",0.5180,0.9982,SPEAKER_02
5.233,7.061,"perdón,",0.9450,0.8330,SPEAKER_02
7.081,7.222,y,0.9530,0.9999,SPEAKER_02
7.423,7.885,Master,0.6250,0.9123,SPEAKER_02
7.905,7.945,of,0.0150,0.9999,SPEAKER_02
7.965,8.146,Science,0.2570,0.9990,SPEAKER_02
8.688,8.829,en,0.9830,0.9996,SPEAKER_02
9.552,9.592,la,0.9800,0.9410,SPEAKER_02
9.633,10.074,"Universidad,",0.7560,0.9880,SPEAKER_02
10.275,10.356,en,0.9420,0.9973,SPEAKER_02
10.416,10.597,el,0.8220,0.9985,SPEAKER_02
11.26,11.34,MIT.,0.2490,0.9991,SPEAKER_02
11.8,12.549,Profesor,0.7660,0.9992,SPEAKER_02
12.569,12.61,de,0.8080,1.0000,SPEAKER_02
12.65,12.691,la,0.7820,0.9998,SPEAKER_02
12.772,13.096,Facultad,0.8470,0.9998,SPEAKER_02
13.136,13.176,de,0.0590,1.0000,SPEAKER_02
13.197,13.5,Ciencias,0.4900,0.7629,SPEAKER_02
13.602,13.905,Físicas,0.7290,0.9913,SPEAKER_02
13.925,13.946,y,0.9610,1.0000,SPEAKER_02
14.067,14.512,Matemáticas,0.7450,0.9941,SPEAKER_02
14.533,14.573,de,0.4990,0.8853,SPEAKER_02
14.593,14.634,la,0.9660,1.0000,SPEAKER_02
14.674,14.958,Universidad,0.4120,1.0000,SPEAKER_02
14.978,15.019,de,0.0500,0.9992,SPEAKER_02
15.039,15.16,Chile.,0.1650,0.9999,SPEAKER_02
16.46,16.704,Él,0.6190,0.9845,SPEAKER_02
16.744,16.805,es,0.2350,1.0000,SPEAKER_02
16.825,17.069,experto,0.7100,0.9993,SPEAKER_02
17.231,17.353,en,0.8110,1.0000,SPEAKER_02
18.064,18.652,informática,0.8630,0.8625,SPEAKER_02
18.693,18.713,y,0.9860,1.0000,SPEAKER_02
18.795,19.18,computación.,0.2880,1.0000,SPEAKER_02
20.92,21.684,Nuestros,0.7950,0.9998,SPEAKER_02
21.765,22.207,invitados,0.8740,1.0000,SPEAKER_02
22.468,22.609,han,0.8230,1.0000,SPEAKER_02
23.092,23.454,presentado,0.9080,1.0000,SPEAKER_02
23.514,24.137,proposiciones,0.9060,0.9982,SPEAKER_02
24.178,24.198,a,0.9980,0.9999,SPEAKER_02
24.459,24.54,la,0.9780,1.0000,SPEAKER_02
25.445,25.807,Comisión,0.8920,0.9940,SPEAKER_02
25.847,26.591,Elaboradora,0.3220,0.7970,SPEAKER_02
26.611,26.691,de,0.6580,0.9984,SPEAKER_02
26.752,28.099,"Leyes,",0.6900,0.9516,SPEAKER_02
28.119,28.3,"Política,",0.1090,0.9264,SPEAKER_02
28.28,29.593,y,0.8690,0.8601,SPEAKER_02
29.613,29.694,en,0.7570,0.9944,SPEAKER_02
29.734,29.856,esa,0.8220,0.9988,SPEAKER_02
29.916,30.28,calidad,0.7050,0.9927,SPEAKER_02
30.3,30.361,van,0.6960,0.9935,SPEAKER_02
30.381,30.421,a,0.3360,1.0000,SPEAKER_02
30.482,30.825,presentar,0.9320,0.9997,SPEAKER_02
30.866,30.987,sus,0.5430,0.9970,SPEAKER_02
31.047,31.35,trabajos,0.8460,0.9998,SPEAKER_02
31.371,31.391,y,0.9940,0.9987,SPEAKER_02
31.411,31.472,sus,0.3150,0.9451,SPEAKER_02
31.653,32.158,exposiciones,0.7300,0.9997,SPEAKER_02
32.179,32.239,hoy,0.0010,0.9973,SPEAKER_02
