start,end,word,alignment_score,probability,speaker
10.42,12.108,En,0.6740,0.8185,SPEAKER_04
12.188,12.429,nombre,0.8140,0.9971,SPEAKER_04
12.489,12.831,del,0.8540,1.0000,SPEAKER_04
13.333,13.554,Centro,0.8530,0.9972,SPEAKER_04
13.574,13.614,de,0.9620,1.0000,SPEAKER_04
13.634,13.936,Estudios,0.7830,0.9997,SPEAKER_04
14.096,14.458,Públicos,0.8300,0.9999,SPEAKER_04
14.478,14.538,les,0.3330,0.5412,SPEAKER_04
15.603,15.724,doy,0.8080,1.0000,SPEAKER_04
15.824,16.065,la,0.9840,1.0000,SPEAKER_04
16.166,16.708,bienvenida,0.8770,1.0000,SPEAKER_04
16.748,17.17,esta,0.8330,0.9900,SPEAKER_04
17.23,17.632,"mañana,",0.8790,1.0000,SPEAKER_04
19.058,19.38,vamos,0.9580,0.9992,SPEAKER_04
19.4,19.42,a,1.0000,0.9999,SPEAKER_04
19.4,20.022,dar,0.5820,0.5940,SPEAKER_04
20.042,20.062,a,0.9260,0.9991,SPEAKER_04
20.103,20.444,conocer,0.9110,0.9994,SPEAKER_04
20.484,20.604,hoy,0.9070,0.9988,SPEAKER_04
20.665,20.906,día,0.8330,0.9980,SPEAKER_04
20.926,24.338,el,0.9560,0.7269,SPEAKER_04
24.398,24.679,tercer,0.8730,0.9910,SPEAKER_04
24.74,25.221,estudio,0.9550,0.9923,SPEAKER_04
25.241,25.282,de,0.5040,0.9997,SPEAKER_04
25.864,26.225,opinión,0.7450,0.9958,SPEAKER_04
26.265,27.028,pública,0.8590,0.9971,SPEAKER_04
28.353,29.437,"post-plebiscito,",0.8430,0.8052,SPEAKER_04
29.678,29.778,que,0.2980,0.8520,SPEAKER_04
29.798,30.3,corresponde,0.8600,0.9785,SPEAKER_04
30.28,30.501,a,0.2960,0.9977,SPEAKER_04
30.522,31.327,este,0.9340,0.9999,SPEAKER_04
31.407,31.709,segundo,0.9520,0.9998,SPEAKER_04
31.89,32.232,ciclo,0.9070,0.9999,SPEAKER_04
32.252,32.615,de,0.8180,0.9999,SPEAKER_04
32.635,32.896,estudios,0.5920,1.0000,SPEAKER_04
32.916,32.977,de,0.2830,0.9998,SPEAKER_04
32.997,33.259,opinión,0.6920,0.9999,SPEAKER_04
33.46,33.822,pública,0.8730,0.9999,SPEAKER_04
34.667,34.748,que,0.6550,0.9998,SPEAKER_04
34.768,34.828,se,0.8370,0.4752,SPEAKER_04
34.889,35.331,iniciaron,0.9440,0.9998,SPEAKER_04
35.372,35.714,en,0.4460,1.0000,SPEAKER_04
35.734,35.794,el,0.7530,0.9063,SPEAKER_04
35.835,35.975,año,0.9120,0.9978,SPEAKER_04
35.996,36.72,1987.,0.9380,0.9998,SPEAKER_04
38.26,39.906,Este,0.9840,0.9984,SPEAKER_04
40.087,40.428,tercer,0.9190,0.9993,SPEAKER_04
40.468,41.05,estudio,0.8730,0.9990,SPEAKER_04
42.134,42.335,forma,0.9770,0.9961,SPEAKER_04
42.415,42.776,parte,0.9490,0.9972,SPEAKER_04
43.459,43.519,de,0.6820,0.9997,SPEAKER_04
43.559,43.619,un,0.9900,0.9999,SPEAKER_04
43.68,44.121,programa,0.9360,0.9999,SPEAKER_04
44.141,44.202,que,0.3330,0.9980,SPEAKER_04
45.025,45.085,se,0.9220,0.9999,SPEAKER_04
45.165,45.566,inició,0.9610,0.9999,SPEAKER_04
45.587,45.607,a,0.9950,0.9988,SPEAKER_04
46.851,47.052,fines,0.9860,0.9998,SPEAKER_04
47.072,47.192,del,0.7050,0.9990,SPEAKER_04
47.233,47.353,año,0.8170,0.9972,SPEAKER_04
47.373,47.995,"1988,",0.7190,0.9994,SPEAKER_04
48.176,49.32,después,0.3410,0.9971,SPEAKER_04
49.3,49.461,del,0.2430,0.9842,SPEAKER_04
49.481,49.601,5,0.2470,0.0041,SPEAKER_04
49.621,49.661,de,0.4940,0.9698,SPEAKER_04
49.942,50.524,"octubre,",0.8240,0.9877,SPEAKER_04
51.548,51.829,cuyo,0.9510,0.9888,SPEAKER_04
51.93,52.15,primer,0.8680,0.9990,SPEAKER_04
52.211,52.632,estudio,0.9150,0.9995,SPEAKER_04
52.652,52.692,se,0.5020,0.9998,SPEAKER_04
53.575,54.017,realizó,0.9750,0.9991,SPEAKER_04
54.057,54.82,en,0.9520,0.9997,SPEAKER_04
55.543,56.085,diciembre,0.6560,0.9995,SPEAKER_04
56.105,56.145,de,0.5000,0.9995,SPEAKER_04
56.165,57.971,"1988,",0.7710,0.9986,SPEAKER_04
58.714,58.875,el,0.5800,0.9985,SPEAKER_04
60.119,60.38,segundo,0.3580,0.9997,SPEAKER_04
60.36,60.481,en,0.4710,0.9983,SPEAKER_04
61.387,61.83,"marzo,",0.9120,0.9984,SPEAKER_04
62.878,62.898,y,0.9360,0.9999,SPEAKER_04
62.958,63.079,este,0.9920,0.9997,SPEAKER_04
63.14,63.422,tercer,0.8690,0.9994,SPEAKER_04
63.462,63.724,estudio,0.7010,0.9999,SPEAKER_04
63.804,64.368,corresponde,0.8600,0.9998,SPEAKER_04
64.409,65.476,al,0.9810,0.9998,SPEAKER_04
65.516,65.617,mes,0.8510,0.9999,SPEAKER_04
65.678,65.899,de,0.9140,0.9999,SPEAKER_04
65.919,66.04,junio.,0.1660,1.0000,SPEAKER_04
68.6,69.485,Esta,0.8430,0.9997,SPEAKER_04
69.525,69.887,mañana,0.9780,0.9954,SPEAKER_04
70.269,70.471,vamos,0.8630,0.9997,SPEAKER_04
70.571,70.973,"a,",0.9240,0.9913,SPEAKER_04
70.994,71.034,en,0.9770,0.9805,SPEAKER_04
71.074,71.275,primer,0.9340,0.9998,SPEAKER_04
71.376,71.637,"término,",0.8850,0.9989,SPEAKER_04
71.657,71.778,dar,0.5000,0.9992,SPEAKER_04
71.798,71.919,a,0.6070,0.9069,SPEAKER_04
71.939,72.341,conocer,0.6370,0.9997,SPEAKER_04
72.643,72.663,a,0.5380,0.9996,SPEAKER_04
72.723,72.945,través,0.9400,0.5521,SPEAKER_04
72.985,74.232,del,0.8420,0.9996,SPEAKER_04
