start,end,word,alignment_score,probability,speaker
12.64,14.004,"Bueno,",0.1470,0.8285,SPEAKER_06
14.025,14.285,dentro,0.9360,0.9997,SPEAKER_06
14.346,17.556,del,0.8850,0.9997,SPEAKER_06
17.777,18.078,ciclo,0.8790,0.9970,SPEAKER_06
18.118,18.198,de,0.3240,1.0000,SPEAKER_06
18.439,18.74,charlas,0.6860,0.9999,SPEAKER_06
18.9,19.081,que,0.8490,0.9998,SPEAKER_06
19.462,19.924,configura,0.8780,0.7919,SPEAKER_06
19.944,19.984,el,0.4960,0.8208,SPEAKER_06
20.104,20.586,seminario,0.8940,0.9920,SPEAKER_06
23.957,24.057,que,0.7520,0.7384,SPEAKER_06
24.097,24.238,hemos,0.8290,0.9995,SPEAKER_06
24.298,24.539,venido,0.9660,0.9997,SPEAKER_06
24.559,24.96,desarrollando,0.2010,0.9998,SPEAKER_06
24.94,25.506,durante,0.2750,0.1154,SPEAKER_06
25.526,25.587,los,0.5730,0.9602,SPEAKER_06
25.668,25.849,meses,0.9500,0.9974,SPEAKER_06
25.89,25.93,de,0.3980,0.9898,SPEAKER_06
25.951,26.496,"septiembre,",0.7280,0.9872,SPEAKER_06
26.516,26.981,octubre,0.8010,0.9908,SPEAKER_06
27.022,27.042,y,0.8960,0.9641,SPEAKER_06
28.194,28.275,la,0.8000,0.9952,SPEAKER_06
28.295,28.578,mitad,0.7070,0.9999,SPEAKER_06
28.598,28.679,de,0.6750,0.9860,SPEAKER_06
28.699,28.8,"este,",0.2000,0.9924,SPEAKER_06
30.04,30.911,don,0.3120,0.7207,SPEAKER_06
30.931,31.174,Jorge,0.6610,0.9993,SPEAKER_06
31.315,31.7,"Sormó,",0.9140,0.5654,SPEAKER_06
31.72,32.449,"economista,",0.9000,0.9997,SPEAKER_06
32.611,32.773,profesor,0.0110,0.9876,SPEAKER_06
32.793,32.834,de,0.0280,0.9936,SPEAKER_06
32.854,32.895,la,0.4360,0.3585,SPEAKER_06
32.915,33.158,Universidad,0.1840,0.9435,SPEAKER_06
33.178,33.36,"Católica,",0.1120,0.9996,SPEAKER_06
34.5,35.788,nos,0.9700,0.9973,SPEAKER_06
35.808,35.848,va,0.8480,1.0000,SPEAKER_06
