start,end,word,alignment_score,probability,speaker
3.98,4.817,...máster,0.6440,0.7003,SPEAKER_09
4.837,4.898,en,0.3270,0.9929,SPEAKER_09
4.939,5.204,economía,0.7700,0.7271,SPEAKER_09
5.245,5.286,de,0.5740,0.9996,SPEAKER_09
5.307,5.368,la,0.7480,1.0000,SPEAKER_09
5.409,5.756,Universidad,0.7170,0.9997,SPEAKER_09
5.776,5.817,de,0.1910,1.0000,SPEAKER_09
5.837,6.0,"Chicago,",0.1250,0.9998,SPEAKER_09
6.88,7.67,vicedecano,0.6910,0.8313,SPEAKER_09
7.711,8.095,actualmente,0.8420,0.9996,SPEAKER_09
8.136,8.177,de,0.4820,0.9388,SPEAKER_09
8.197,8.258,la,0.0210,1.0000,SPEAKER_09
8.339,8.622,Facultad,0.8800,0.9958,SPEAKER_09
8.642,8.683,de,0.8510,1.0000,SPEAKER_09
8.703,9.149,Economía,0.8040,0.9999,SPEAKER_09
9.21,9.25,de,0.8740,0.9999,SPEAKER_09
9.311,9.351,la,1.0000,1.0000,SPEAKER_09
9.372,9.838,Universidad,0.6390,1.0000,SPEAKER_09
9.858,9.898,de,0.0000,1.0000,SPEAKER_09
9.919,10.04,Chile.,0.1670,1.0000,SPEAKER_09
10.72,11.509,Y,0.8370,0.9970,SPEAKER_09
11.55,11.59,él,0.8230,0.9804,SPEAKER_09
11.611,11.934,presentará,0.6350,0.9996,SPEAKER_09
11.955,11.995,en,0.4840,0.9988,SPEAKER_09
12.036,12.137,esta,0.8860,1.0000,SPEAKER_09
12.157,12.602,oportunidad,0.7070,1.0000,SPEAKER_09
12.643,12.683,el,0.4960,1.0000,SPEAKER_09
12.724,13.453,trabajo,0.9220,1.0000,SPEAKER_09
13.938,14.1,titulado,0.1360,1.0000,SPEAKER_09
14.08,15.33,Evaluación,0.8390,0.9984,SPEAKER_09
15.41,15.813,Social,0.8760,0.9456,SPEAKER_09
15.833,15.874,de,0.5000,1.0000,SPEAKER_09
15.894,16.539,la,0.8880,1.0000,SPEAKER_09
16.619,17.123,Política,0.9600,0.9995,SPEAKER_09
17.143,17.184,de,0.4980,0.9999,SPEAKER_09
17.829,18.05,Banda,0.9660,0.9990,SPEAKER_09
18.111,18.192,de,0.8580,1.0000,SPEAKER_09
18.292,18.635,Precios,0.8560,1.0000,SPEAKER_09
18.655,18.695,en,0.5000,1.0000,SPEAKER_09
18.937,19.179,el,0.6810,1.0000,SPEAKER_09
19.199,19.32,Trigo.,0.1670,0.9887,SPEAKER_09
21.46,22.185,Comentarán,0.8120,0.9670,SPEAKER_09
22.205,22.246,en,0.5010,0.7001,SPEAKER_09
22.266,22.387,esta,0.8630,1.0000,SPEAKER_09
22.427,22.931,exposición,0.8480,1.0000,SPEAKER_09
22.971,23.031,los,0.3330,0.9974,SPEAKER_09
25.469,25.973,profesores,0.8740,1.0000,SPEAKER_09
26.013,26.899,Maximiliano,0.7450,0.9994,SPEAKER_09
26.92,27.0,"Cox,",0.2500,0.9984,SPEAKER_09
27.8,28.615,ingeniero,0.6610,0.5072,SPEAKER_09
28.635,29.124,agrónomo,0.7820,0.9960,SPEAKER_09
29.185,29.246,de,0.8380,0.9908,SPEAKER_09
29.266,29.307,la,0.9900,0.9995,SPEAKER_09
29.348,29.653,Universidad,0.4800,0.9147,SPEAKER_09
29.694,30.06,"Católica,",0.5360,0.9989,SPEAKER_09
31.08,31.464,máster,0.4560,0.9799,SPEAKER_09
31.484,31.545,en,0.7420,0.9993,SPEAKER_09
31.606,31.97,economía,0.9190,0.6470,SPEAKER_09
31.99,32.415,"agraria,",0.8990,0.9996,SPEAKER_09
32.455,33.041,Universidad,0.8330,0.9866,SPEAKER_09
33.082,33.122,de,0.8240,0.9988,SPEAKER_09
33.203,33.81,"California,",0.9640,0.9977,SPEAKER_09
34.578,34.76,"Berkeley,",0.1100,0.6983,SPEAKER_09
36.26,37.07,candidato,0.8950,0.9979,SPEAKER_09
37.13,37.151,a,0.0080,0.9125,SPEAKER_09
37.171,37.637,PhD,0.7010,0.6960,SPEAKER_09
37.657,38.386,en,0.7330,0.9899,SPEAKER_09
38.446,38.507,la,0.4300,0.9995,SPEAKER_09
38.568,38.851,London,0.7670,0.9986,SPEAKER_09
38.932,39.175,School,0.4620,0.9992,SPEAKER_09
39.216,39.297,of,0.5060,0.9996,SPEAKER_09
39.317,39.6,"Economics,",0.3260,0.9992,SPEAKER_09
40.34,41.108,encargado,0.8510,0.9990,SPEAKER_09
41.128,41.189,de,0.6720,0.9998,SPEAKER_09
41.209,41.532,estudios,0.7040,0.7629,SPEAKER_09
41.573,41.714,de,0.4080,0.9948,SPEAKER_09
41.795,42.381,desarrollo,0.8370,0.9984,SPEAKER_09
42.421,44.24,campesino,0.4860,0.8735,SPEAKER_09
44.22,44.26,y,0.0940,0.9954,SPEAKER_09
44.503,44.929,coordinador,0.7920,0.9982,SPEAKER_09
44.949,45.09,del,0.2630,0.9991,SPEAKER_09
45.131,45.414,proyecto,0.7240,0.9912,SPEAKER_09
45.495,45.961,agrícola,0.9130,0.9623,SPEAKER_09
46.224,46.346,del,0.8250,0.9968,SPEAKER_09
46.447,46.649,Centro,0.9550,0.9435,SPEAKER_09
46.67,46.73,de,0.5420,0.9995,SPEAKER_09
46.75,47.054,Estudios,0.5760,0.9958,SPEAKER_09
47.135,47.257,del,0.6770,0.9894,SPEAKER_09
47.338,47.56,Desarrollo.,0.1090,0.9999,SPEAKER_09
50.64,51.529,También,0.8440,0.9961,SPEAKER_09
51.549,52.175,comentará,0.7780,0.9918,SPEAKER_09
52.215,52.276,el,0.3670,0.9992,SPEAKER_09
52.337,52.801,trabajo,0.9820,0.9997,SPEAKER_09
52.821,52.862,el,0.4900,0.9939,SPEAKER_09
53.892,54.154,profesor,0.8510,0.9953,SPEAKER_09
54.215,54.477,Víctor,0.8140,0.9989,SPEAKER_09
54.498,54.76,"García,",0.2410,0.9997,SPEAKER_09
57.66,58.249,máster,0.4430,0.9833,SPEAKER_09
58.29,58.33,en,0.0610,0.9949,SPEAKER_09
58.35,58.919,administración,0.7180,0.9960,SPEAKER_09
58.98,59.021,de,0.6460,0.9995,SPEAKER_09
59.061,59.508,empresas,0.7510,0.9641,SPEAKER_09
59.528,59.569,de,0.4780,0.8767,SPEAKER_09
59.691,59.792,la,0.1260,0.0142,SPEAKER_09
59.813,60.036,Universidad,0.1520,0.7831,SPEAKER_09
60.056,60.138,de,0.5380,0.7629,SPEAKER_09
60.158,60.32,"Chicago,",0.1220,0.8806,SPEAKER_09
61.84,62.469,profesor,0.5720,0.9126,SPEAKER_09
62.489,62.55,del,0.8680,0.9649,SPEAKER_09
62.57,62.976,Departamento,0.8170,0.9899,SPEAKER_09
62.996,63.037,de,0.9200,0.8998,SPEAKER_09
63.057,63.585,Administración,0.6500,0.9685,SPEAKER_09
63.605,63.646,de,0.4990,0.9994,SPEAKER_09
63.666,63.95,la,0.7000,0.9823,SPEAKER_09
64.031,64.498,Universidad,0.8030,0.9997,SPEAKER_09
64.518,64.559,de,0.0000,0.9987,SPEAKER_09
64.579,64.68,Chile,0.2000,0.9975,SPEAKER_09
64.66,65.044,y,0.6540,0.9999,SPEAKER_09
65.104,65.529,actualmente,0.8140,0.9995,SPEAKER_09
65.549,65.973,director,0.6190,0.9999,SPEAKER_09
66.034,66.599,académico,0.9090,0.9846,SPEAKER_09
