start,end,word,alignment_score,probability,speaker
0.76,1.807,...del,0.7120,0.8543,SPEAKER_01
1.848,2.029,nuevo,0.6700,0.9999,SPEAKER_01
2.13,2.391,sistema,0.8720,0.9970,SPEAKER_01
2.432,2.532,de,0.5900,1.0000,SPEAKER_01
2.633,2.955,pensiones,0.8680,0.9988,SPEAKER_01
2.996,3.036,de,0.7940,1.0000,SPEAKER_01
3.116,3.68,"vejez,",0.7130,0.9997,SPEAKER_01
3.7,4.244,infalidez,0.8210,0.9192,SPEAKER_01
4.486,4.526,y,0.8280,0.9999,SPEAKER_01
4.607,5.271,sobrevivencia,0.8350,0.9999,SPEAKER_01
5.372,5.433,que,0.9320,0.9965,SPEAKER_01
5.493,5.694,opera,0.7270,0.9976,SPEAKER_01
5.715,5.775,en,0.7660,1.0000,SPEAKER_01
5.856,6.057,Chile,0.8100,0.9999,SPEAKER_01
6.077,6.399,desde,0.9170,0.9998,SPEAKER_01
6.419,6.52,1981.,0.2010,0.9992,SPEAKER_01
8.38,9.085,Esta,0.9610,0.9999,SPEAKER_01
9.185,9.306,obra,0.9320,1.0000,SPEAKER_01
9.366,9.427,se,0.9960,1.0000,SPEAKER_01
9.467,9.769,agotó,0.8080,1.0000,SPEAKER_01
9.809,9.829,y,0.9990,0.9997,SPEAKER_01
10.534,10.957,continúa,0.9690,0.9999,SPEAKER_01
11.037,11.319,siendo,0.9460,1.0000,SPEAKER_01
11.4,11.903,demandada,0.9100,1.0000,SPEAKER_01
12.024,12.285,tanto,0.9750,0.9991,SPEAKER_01
12.366,12.648,dentro,0.9030,1.0000,SPEAKER_01
12.668,12.789,del,0.4780,1.0000,SPEAKER_01
12.889,13.111,país,0.8070,1.0000,SPEAKER_01
13.151,13.815,como,0.9670,0.9999,SPEAKER_01
13.896,14.057,desde,0.9110,1.0000,SPEAKER_01
14.077,14.137,el,0.5530,1.0000,SPEAKER_01
14.178,14.56,extranjero.,0.2920,1.0000,SPEAKER_01
15.64,15.842,Es,0.7290,1.0000,SPEAKER_01
15.883,16.025,así,0.9280,1.0000,SPEAKER_01
16.085,16.207,como,0.7850,0.9999,SPEAKER_01
16.247,16.328,se,0.6020,1.0000,SPEAKER_01
16.369,16.43,ha,0.6960,1.0000,SPEAKER_01
16.511,16.673,visto,0.8910,1.0000,SPEAKER_01
16.693,16.733,la,0.5180,0.9985,SPEAKER_01
16.875,17.381,conveniencia,0.9190,0.9998,SPEAKER_01
