start,end,word,alignment_score,probability,speaker
0.0,0.808,La,0.4100,0.9438,SPEAKER_00
0.828,1.514,última,0.2920,0.9947,SPEAKER_00
1.535,1.979,oportunidad,0.2830,0.9996,SPEAKER_00
2.666,2.706,en,0.1010,0.6247,SPEAKER_00
2.726,3.15,que,0.4800,0.8110,SPEAKER_00
3.17,3.211,me,0.0170,0.9701,SPEAKER_00
3.231,3.534,pueda,0.4130,0.9994,SPEAKER_00
3.594,3.877,dirigir,0.4440,0.9999,SPEAKER_00
3.897,3.917,a,0.0000,0.9999,SPEAKER_00
3.938,4.2,ustedes.,0.3510,0.9870,SPEAKER_00
6.02,7.306,La,0.7070,0.9975,SPEAKER_00
7.387,8.07,Fuerza,0.4300,0.9986,SPEAKER_00
8.09,8.191,Aérea,0.0200,0.9996,SPEAKER_00
8.211,8.251,ha,0.1280,0.9719,SPEAKER_00
8.271,8.854,bombardeado,0.5120,0.9477,SPEAKER_00
10.201,10.261,las,0.0000,0.9997,SPEAKER_00
10.281,10.583,torres,0.4840,0.9998,SPEAKER_00
11.809,11.909,de,0.5680,0.9996,SPEAKER_00
11.929,13.175,radioportales,0.5980,0.7906,SPEAKER_00
13.256,13.276,y,0.6580,0.9999,SPEAKER_00
13.316,14.14,radiocorporaciones.,0.5560,0.9677,SPEAKER_00
16.64,16.902,Mis,0.5010,0.9944,SPEAKER_00
16.942,17.366,palabras,0.8680,1.0000,SPEAKER_00
19.804,19.885,no,0.9500,0.9986,SPEAKER_00
20.006,20.328,tienen,0.5830,1.0000,SPEAKER_00
20.348,20.933,amargura,0.5690,0.9980,SPEAKER_00
21.094,21.356,sino,0.5880,0.7577,SPEAKER_00
21.376,21.88,decepción.,0.3360,0.9913,SPEAKER_00
21.86,22.282,Y,0.7020,0.2847,SPEAKER_00
22.302,24.27,serán,0.4680,0.9604,SPEAKER_00
24.29,24.592,ellas,0.7370,0.9978,SPEAKER_00
24.632,25.515,el,0.8850,0.9811,SPEAKER_00
25.576,26.038,castigo,0.8320,0.9993,SPEAKER_00
26.118,26.439,moral,0.8810,0.9996,SPEAKER_00
27.584,27.825,para,0.6260,0.9777,SPEAKER_00
27.845,27.926,los,0.7240,0.9997,SPEAKER_00
27.986,28.066,que,0.6020,0.9998,SPEAKER_00
28.106,28.227,han,0.8410,0.9993,SPEAKER_00
28.428,29.01,traicionado,0.5760,0.9996,SPEAKER_00
29.05,29.753,el,0.4060,0.9691,SPEAKER_00
29.773,30.979,juzgamento,0.2450,0.9015,SPEAKER_00
30.999,31.199,de,0.5250,0.3990,SPEAKER_00
31.22,31.34,Chile.,0.1530,0.8195,SPEAKER_00
32.38,33.508,Soldados,0.3420,0.9970,SPEAKER_00
33.528,33.689,de,0.7840,0.9997,SPEAKER_00
33.709,34.031,"Chile,",0.7310,0.9996,SPEAKER_00
35.28,36.992,comandantes,0.5590,0.9897,SPEAKER_00
37.073,37.375,en,0.3200,0.4825,SPEAKER_00
37.395,37.939,jefes,0.1670,0.8908,SPEAKER_00
37.959,38.16,"titulares,",0.1020,0.8560,SPEAKER_00
39.02,40.353,el,0.6800,0.6923,SPEAKER_00
40.696,41.928,almirante,0.3690,0.9883,SPEAKER_00
41.948,42.19,Medino,0.8370,0.7923,SPEAKER_00
42.211,42.271,que,0.3180,0.8560,SPEAKER_00
42.311,42.352,se,0.8560,0.4871,SPEAKER_00
42.392,42.534,ha,0.5290,0.9715,SPEAKER_00
42.554,43.22,"autodefinado,",0.2740,0.6906,SPEAKER_00
44.18,45.347,más,0.3160,0.9792,SPEAKER_00
45.368,45.408,el,0.0200,0.9994,SPEAKER_00
45.428,45.69,señor,0.8020,0.9995,SPEAKER_00
45.71,46.394,"Mendoza,",0.6140,0.9998,SPEAKER_00
49.393,49.856,general,0.1580,0.9513,SPEAKER_00
49.877,50.44,"rastrero,",0.2820,0.9222,SPEAKER_00
51.86,52.445,que,0.7480,0.3446,SPEAKER_00
52.465,52.607,solo,0.3900,0.4440,SPEAKER_00
52.627,53.051,ayer,0.8020,0.9999,SPEAKER_00
54.302,54.907,manifestara,0.7820,0.9212,SPEAKER_00
54.988,55.21,su,0.7060,0.9932,SPEAKER_00
55.23,55.614,fidelidad,0.6360,0.9817,SPEAKER_00
55.674,55.694,y,0.6140,0.9959,SPEAKER_00
55.735,56.057,lealtad,0.4800,0.9998,SPEAKER_00
56.078,56.158,al,0.3370,0.9989,SPEAKER_00
56.179,56.36,"gobierno,",0.1120,0.7778,SPEAKER_00
57.24,57.85,también,0.2670,0.9945,SPEAKER_00
57.871,57.952,será,0.1520,0.6115,SPEAKER_00
58.034,58.339,nominado,0.7700,0.8015,SPEAKER_00
58.359,58.786,director,0.5530,0.2337,SPEAKER_00
58.807,59.112,general,0.5100,0.9987,SPEAKER_00
59.153,59.275,del,0.3840,0.9805,SPEAKER_00
59.295,59.6,Cabinero.,0.3420,0.8749,SPEAKER_00
61.36,62.388,Ante,0.4890,0.9962,SPEAKER_00
62.409,62.509,estos,0.0240,0.9977,SPEAKER_00
62.53,64.566,"hechos,",0.5090,0.9977,SPEAKER_00
64.587,64.748,solo,0.4890,0.9942,SPEAKER_00
64.788,64.869,me,0.8490,0.9998,SPEAKER_00
64.929,65.111,cabe,0.7620,0.6822,SPEAKER_00
65.131,65.575,decirle,0.5760,0.9781,SPEAKER_00
65.595,65.615,a,0.6990,0.9998,SPEAKER_00
65.635,65.716,los,0.6580,0.9999,SPEAKER_00
