start,end,word,alignment_score,probability,speaker
8.76,9.835,El,0.7800,0.6619,SPEAKER_12
10.586,10.748,Centro,0.7860,0.9849,SPEAKER_12
10.789,10.829,de,0.8670,0.9997,SPEAKER_12
10.849,11.154,Estudios,0.7460,0.9995,SPEAKER_12
11.458,11.62,Públicos,0.1210,0.9999,SPEAKER_12
57.16,57.708,La,0.6360,0.0015,SPEAKER_12
57.728,57.829,nueva,0.2070,0.0744,SPEAKER_12
57.87,58.235,ley,0.4600,0.9659,SPEAKER_12
58.337,60.0,minera,0.3320,0.8411,SPEAKER_12
60.0,60.144,Entre,0.0920,0.6131,SPEAKER_12
60.164,60.247,los,0.5810,0.9763,SPEAKER_12
60.267,60.432,años,0.3520,0.9919,SPEAKER_12
60.452,60.863,70,0.7360,0.7234,SPEAKER_12
60.884,60.904,y,0.9950,0.9995,SPEAKER_12
60.925,61.501,74,0.8280,0.9958,SPEAKER_12
61.48,63.15,Entre,0.4200,0.0601,SPEAKER_12
63.411,63.492,los,0.9780,0.9974,SPEAKER_12
63.532,63.653,años,0.7220,0.9999,SPEAKER_12
63.673,63.713,74,0.9920,0.9969,SPEAKER_12
64.035,64.055,y,0.9850,0.9962,SPEAKER_12
64.075,64.337,76,0.6240,0.9942,SPEAKER_12
64.377,66.027,ocupó,0.7550,0.8378,SPEAKER_12
66.107,66.147,la,0.9620,0.9998,SPEAKER_12
66.208,66.57,dirección,0.8100,0.9047,SPEAKER_12
66.59,66.63,de,0.4980,0.9987,SPEAKER_12
66.731,67.274,investigación,0.8090,0.9931,SPEAKER_12
67.294,67.314,y,0.9970,0.9970,SPEAKER_12
67.354,67.857,desarrollo,0.8240,0.9992,SPEAKER_12
67.918,67.978,de,0.8440,0.9960,SPEAKER_12
68.199,68.34,Codelco,0.1400,0.8404,SPEAKER_12
68.32,68.882,Entre,0.4020,0.3060,SPEAKER_12
68.902,69.023,1976,0.8580,0.9986,SPEAKER_12
69.063,69.083,y,0.7990,0.9997,SPEAKER_12
69.103,69.947,1980,0.7300,0.9974,SPEAKER_12
