start,end,word,alignment_score,probability,speaker
0.0,1.127,Dentro,0.7750,0.9910,SPEAKER_16
1.187,1.328,del,0.4800,0.9998,SPEAKER_16
1.469,1.832,ciclo,0.9620,0.9998,SPEAKER_16
1.892,2.033,de,0.9900,1.0000,SPEAKER_16
2.576,3.019,charlas,0.7850,0.9995,SPEAKER_16
3.985,4.086,que,0.9540,0.9990,SPEAKER_16
4.166,4.448,forman,0.8140,0.9985,SPEAKER_16
4.609,4.931,parte,0.9250,0.9999,SPEAKER_16
4.971,5.112,del,0.6460,0.9998,SPEAKER_16
5.173,5.595,Seminario,0.8010,0.9413,SPEAKER_16
5.615,5.656,de,0.1960,0.9819,SPEAKER_16
5.676,5.958,Información,0.3890,0.7153,SPEAKER_16
5.998,6.36,"Democrática,",0.2030,0.9998,SPEAKER_16
7.7,8.022,el,0.8890,0.9999,SPEAKER_16
8.102,8.323,Centro,0.8340,0.9999,SPEAKER_16
8.343,8.404,de,0.2410,0.9997,SPEAKER_16
8.424,8.705,Estudios,0.6340,0.9997,SPEAKER_16
8.826,9.329,Públicos,0.8500,0.9997,SPEAKER_16
9.952,10.133,tiene,0.8960,0.9998,SPEAKER_16
10.193,10.374,mucho,0.7370,0.9065,SPEAKER_16
10.454,10.877,agrado,0.9370,0.9871,SPEAKER_16
11.882,12.083,esta,0.9840,0.7032,SPEAKER_16
12.163,12.344,vez,0.9740,1.0000,SPEAKER_16
13.269,13.35,de,0.8680,0.9995,SPEAKER_16
13.41,13.591,poder,0.9520,1.0000,SPEAKER_16
13.651,14.073,ofrecer,0.9560,1.0000,SPEAKER_16
15.139,15.199,a,0.6360,1.0000,SPEAKER_16
15.219,15.38,"ustedes,",0.1260,0.9999,SPEAKER_16
16.68,17.709,particularmente,0.9410,0.9999,SPEAKER_16
17.729,17.77,al,0.4980,1.0000,SPEAKER_16
18.375,18.92,público,0.9270,1.0000,SPEAKER_16
18.96,19.949,conformado,0.9520,0.9997,SPEAKER_16
20.01,20.07,por,0.9660,0.9999,SPEAKER_16
20.111,20.514,estudiantes,0.5850,0.9999,SPEAKER_16
20.575,21.16,"universitarios,",0.6510,0.9992,SPEAKER_16
22.2,23.024,la,0.5780,0.6498,SPEAKER_16
23.145,23.889,posibilidad,0.8940,0.9996,SPEAKER_16
23.909,23.949,de,0.4980,0.9992,SPEAKER_16
23.989,25.235,acceder,0.9310,0.9999,SPEAKER_16
25.255,25.275,a,0.9970,0.9997,SPEAKER_16
26.703,26.783,un,0.9780,0.9998,SPEAKER_16
26.884,27.245,foro,0.9890,0.9998,SPEAKER_16
28.713,28.793,en,0.8430,0.9967,SPEAKER_16
28.914,29.135,torno,0.9820,0.9999,SPEAKER_16
29.175,29.195,a,0.0740,1.0000,SPEAKER_16
29.256,29.296,la,0.9660,0.9997,SPEAKER_16
29.356,29.718,política,0.9040,0.9933,SPEAKER_16
29.798,30.019,del,0.8340,0.9988,SPEAKER_16
