start,end,word,alignment_score,probability,speaker
0.0,0.765,29,0.4640,0.9888,SPEAKER_00
0.825,0.886,de,0.2660,0.9996,SPEAKER_00
0.986,1.187,junio,0.8630,0.9979,SPEAKER_00
1.268,1.328,de,0.6820,0.9999,SPEAKER_00
1.348,2.093,"1973,",0.8480,0.9996,SPEAKER_00
2.476,4.126,alzamiento,0.7980,0.9995,SPEAKER_00
4.186,4.287,del,0.9540,0.9999,SPEAKER_00
4.428,4.871,regimiento,0.8780,0.7259,SPEAKER_00
4.951,5.394,blindados,0.8810,0.9843,SPEAKER_00
5.434,5.857,número,0.8850,0.9943,SPEAKER_00
5.917,6.038,2,0.6150,0.9909,SPEAKER_00
6.078,6.199,de,0.8500,0.9999,SPEAKER_00
6.219,6.4,"Santiago,",0.1110,0.9991,SPEAKER_00
6.66,7.285,al,0.7780,0.9999,SPEAKER_00
7.345,7.607,mando,0.9730,0.9999,SPEAKER_00
7.647,7.748,del,0.6920,1.0000,SPEAKER_00
7.808,8.151,coronel,0.9180,0.9951,SPEAKER_00
8.292,8.675,Roberto,0.9530,0.9998,SPEAKER_00
8.755,9.078,"Super,",0.9160,0.6424,SPEAKER_00
9.521,9.622,en,0.7080,0.9999,SPEAKER_00
9.682,10.206,complicidad,0.9100,0.9990,SPEAKER_00
10.347,10.448,con,0.9160,1.0000,SPEAKER_00
10.548,10.589,el,0.5170,1.0000,SPEAKER_00
10.629,11.112,movimiento,0.9590,0.9856,SPEAKER_00
11.133,11.636,Patria,0.9050,0.9970,SPEAKER_00
11.656,11.677,y,0.9700,1.0000,SPEAKER_00
11.737,12.16,Libertad.,0.7760,0.9998,SPEAKER_00
12.86,12.981,En,0.4540,1.0000,SPEAKER_00
13.021,13.183,horas,0.9290,1.0000,SPEAKER_00
13.223,13.263,de,0.8420,1.0000,SPEAKER_00
13.304,13.364,la,0.9380,1.0000,SPEAKER_00
13.405,13.727,"mañana,",0.9390,1.0000,SPEAKER_00
14.171,14.454,tropas,0.9260,0.9999,SPEAKER_00
14.494,14.897,atacan,0.8270,0.9995,SPEAKER_00
14.958,15.018,el,0.7170,1.0000,SPEAKER_00
15.079,15.381,Palacio,0.8700,0.9992,SPEAKER_00
15.442,15.482,de,0.9600,1.0000,SPEAKER_00
15.523,15.603,la,0.5860,0.9956,SPEAKER_00
15.624,15.946,Moneda,0.9170,0.9997,SPEAKER_00
15.966,15.987,y,0.9750,0.9991,SPEAKER_00
16.37,16.551,el,0.8040,1.0000,SPEAKER_00
16.592,17.096,Ministerio,0.7140,1.0000,SPEAKER_00
17.157,17.197,de,0.6680,1.0000,SPEAKER_00
17.419,17.58,Defensa.,0.1330,0.9998,SPEAKER_00
23.64,24.365,Llamé,0.5840,0.9810,SPEAKER_02
24.406,24.466,al,0.8670,0.9985,SPEAKER_02
24.526,24.849,pueblo,0.9390,1.0000,SPEAKER_02
25.493,25.554,a,0.6590,0.9978,SPEAKER_02
25.574,25.654,que,0.8580,1.0000,SPEAKER_02
25.715,25.997,estuvieran,0.7150,0.9663,SPEAKER_02
26.037,26.098,las,0.6600,0.9982,SPEAKER_02
26.198,26.561,empresas,0.6300,0.9975,SPEAKER_02
26.581,26.621,de,0.9580,0.8771,SPEAKER_02
26.803,27.024,duchas,0.4400,0.8944,SPEAKER_02
27.085,27.125,en,0.4550,0.9746,SPEAKER_02
27.165,27.226,la,0.8780,0.9479,SPEAKER_02
27.286,27.649,fábrica,0.9440,1.0000,SPEAKER_02
27.669,27.689,y,0.9670,0.9813,SPEAKER_02
28.495,28.576,que,0.8200,0.9997,SPEAKER_02
28.636,28.878,saliera,0.5760,0.7703,SPEAKER_02
28.898,28.918,a,0.7590,0.9897,SPEAKER_02
28.958,29.079,la,0.3340,0.9994,SPEAKER_02
29.099,29.22,calle.,0.1660,0.9999,SPEAKER_02
30.0,30.651,Pero,0.8590,0.3120,SPEAKER_02
30.732,30.773,no,0.9080,0.9969,SPEAKER_02
30.813,30.976,para,0.3480,0.9991,SPEAKER_02
31.098,31.179,ser,0.9590,0.9976,SPEAKER_02
31.24,31.606,ultimado,0.8640,0.9454,SPEAKER_02
31.687,31.728,ni,0.4140,0.9654,SPEAKER_02
31.769,31.911,para,0.2780,0.9995,SPEAKER_02
31.931,32.013,ser,0.9260,0.9999,SPEAKER_02
32.094,32.48,victimado.,0.6070,0.9989,SPEAKER_02
33.16,33.83,Lo,0.7530,0.5526,SPEAKER_02
33.87,34.073,llamo,0.7860,0.9990,SPEAKER_02
34.093,34.317,ahora,0.7580,0.9989,SPEAKER_02
35.007,35.149,para,0.6500,0.9797,SPEAKER_02
35.169,35.25,que,0.5550,0.9997,SPEAKER_02
35.27,35.595,mantenga,0.2570,0.9568,SPEAKER_02
35.615,35.757,la,0.3690,0.4540,SPEAKER_02
35.778,35.96,realidad.,0.1260,0.4138,SPEAKER_02
36.26,36.703,He,0.3290,0.8645,SPEAKER_02
36.723,36.925,sido,0.3900,0.9967,SPEAKER_02
37.005,37.469,informado,0.7210,1.0000,SPEAKER_02
38.355,38.436,que,0.7990,0.9966,SPEAKER_02
38.496,38.597,van,0.9200,0.9998,SPEAKER_02
38.617,38.637,a,0.0800,0.9999,SPEAKER_02
38.657,39.02,actuar,0.7180,0.9999,SPEAKER_02
39.04,39.806,las,0.6390,0.9996,SPEAKER_02
39.846,40.068,fuerzas,0.6560,0.9974,SPEAKER_02
40.188,40.511,leales,0.6960,0.9997,SPEAKER_02
41.538,41.599,del,0.0790,0.9969,SPEAKER_02
41.619,41.8,gobierno.,0.1200,0.9432,SPEAKER_02
42.2,42.905,Por,0.8860,0.9994,SPEAKER_02
42.946,43.006,lo,0.6940,1.0000,SPEAKER_02
43.087,43.429,"tanto,",0.9960,1.0000,SPEAKER_02
44.135,44.216,es,0.8970,0.9996,SPEAKER_02
44.296,44.901,peligroso,0.8750,0.9999,SPEAKER_02
45.788,45.868,que,0.7680,0.9998,SPEAKER_02
45.888,45.969,el,0.4510,0.9998,SPEAKER_02
46.05,46.271,pueblo,0.3290,0.9998,SPEAKER_02
46.392,46.594,esté,0.6100,0.9996,SPEAKER_02
46.634,47.017,cercano,0.7590,0.9999,SPEAKER_02
47.078,47.098,a,0.8120,0.9999,SPEAKER_02
47.138,47.259,la,0.7700,0.9610,SPEAKER_02
47.279,47.42,moneda.,0.1410,0.9966,SPEAKER_02
47.84,48.507,Hay,0.5690,0.9934,SPEAKER_02
48.547,48.608,que,0.9660,1.0000,SPEAKER_02
48.668,48.87,dejar,0.8720,0.9999,SPEAKER_02
48.91,48.991,que,0.7590,0.9999,SPEAKER_02
49.052,49.335,actúen,0.6790,0.9982,SPEAKER_02
49.395,49.456,las,0.7150,0.9999,SPEAKER_02
49.496,49.718,fuerzas,0.5210,1.0000,SPEAKER_02
49.779,50.062,leales,0.6200,1.0000,SPEAKER_02
50.102,50.244,del,0.6450,0.9999,SPEAKER_02
50.304,50.627,gobierno,0.7990,1.0000,SPEAKER_02
50.668,50.87,para,0.8630,0.9995,SPEAKER_02
50.971,51.253,reducir,0.9690,0.9988,SPEAKER_02
51.294,51.334,a,0.8440,0.9310,SPEAKER_02
51.375,51.435,los,0.8290,0.9993,SPEAKER_02
51.496,51.94,sediciosos.,0.6380,0.9595,SPEAKER_02
52.24,52.95,Mientras,0.4780,0.9857,SPEAKER_02
52.97,53.173,"tanto,",0.9060,0.9998,SPEAKER_02
53.254,53.335,las,0.1980,0.8295,SPEAKER_02
53.355,53.599,guardias,0.4220,0.9382,SPEAKER_02
53.619,53.659,de,0.5000,0.9985,SPEAKER_02
53.761,53.842,la,0.6800,0.9892,SPEAKER_02
53.862,54.106,moneda,0.7720,0.9999,SPEAKER_02
54.369,54.41,se,0.0120,0.9797,SPEAKER_02
54.43,54.714,defienden,0.4380,0.9967,SPEAKER_02
54.754,54.876,hoy,0.2450,0.7979,SPEAKER_02
54.896,55.18,caminando.,0.2630,0.5250,SPEAKER_02
55.66,56.37,Y,0.8860,0.9976,SPEAKER_02
56.39,56.471,ya,0.6760,0.9896,SPEAKER_02
56.492,56.654,van,0.8430,0.9989,SPEAKER_02
56.695,56.958,fuerzas,0.6720,0.9988,SPEAKER_02
56.979,57.121,de,0.7100,0.9999,SPEAKER_02
57.181,57.506,refuerzo,0.7000,0.9983,SPEAKER_02
57.526,57.567,de,0.4990,0.9986,SPEAKER_02
58.013,58.52,carabineros.,0.6560,0.9948,SPEAKER_02
58.7,59.381,Por,0.8870,0.9349,SPEAKER_02
59.402,59.464,lo,0.9360,0.9979,SPEAKER_02
59.526,59.732,"tanto,",0.3800,0.9997,SPEAKER_02
59.753,59.794,el,0.0000,0.9556,SPEAKER_02
59.815,60.001,pueblo...,0.1110,0.9048,SPEAKER_02
59.98,60.065,El,0.1280,0.3750,SPEAKER_02
60.086,60.213,pueblo,0.0830,0.8519,SPEAKER_02
60.319,60.552,no,0.3020,0.9939,SPEAKER_02
60.573,60.721,debe...,0.1580,0.5312,SPEAKER_02
61.4,62.156,No,0.9190,0.1271,SPEAKER_02
62.217,62.422,debe,0.4130,0.9875,SPEAKER_02
62.483,63.3,obstaculizar...,0.3590,0.7406,SPEAKER_02
63.28,64.165,...el,0.3500,0.6454,SPEAKER_02
64.185,64.267,amor,0.0670,0.4756,SPEAKER_02
64.288,64.329,de,0.1800,0.9966,SPEAKER_02
64.35,64.391,la,0.0210,0.9740,SPEAKER_02
64.411,64.741,fuerza...,0.2650,0.7541,SPEAKER_02
64.72,66.053,...el,0.5070,0.7458,SPEAKER_02
66.073,66.361,ejército...,0.1480,0.9862,SPEAKER_02
67.1,67.658,...y,0.7060,0.9979,SPEAKER_02
67.699,67.741,de,0.9740,0.8465,SPEAKER_02
67.803,68.361,carabineros.,0.6280,0.9484,SPEAKER_02
68.52,69.229,La,0.7180,0.9984,SPEAKER_02
69.249,69.574,aviación,0.7790,0.9964,SPEAKER_02
