start,end,word,alignment_score,probability,speaker
0.0,0.884,Teniendo,0.5930,0.9962,SPEAKER_02
0.904,1.668,"presente,",0.9230,0.9999,SPEAKER_02
2.452,2.994,"primero,",0.9860,1.0000,SPEAKER_02
3.838,4.059,que,0.7740,1.0000,SPEAKER_02
4.32,4.36,el,0.0380,1.0000,SPEAKER_02
4.381,4.863,gobierno,0.4490,0.9069,SPEAKER_02
4.883,4.983,de,0.4340,0.9999,SPEAKER_02
5.003,5.647,Allende,0.8120,0.9992,SPEAKER_02
6.008,6.249,ha,0.7520,0.9992,SPEAKER_02
6.269,6.772,incurrido,0.6750,0.9998,SPEAKER_02
6.832,7.093,en,0.6740,1.0000,SPEAKER_02
7.174,7.596,grave,0.8950,0.9996,SPEAKER_02
7.857,8.54,ilegitimidad,0.3380,0.9109,SPEAKER_02
8.52,10.291,demostrada,0.7300,0.8459,SPEAKER_02
10.391,10.472,al,0.8760,0.9998,SPEAKER_02
10.552,11.357,quebrantar,0.8530,0.9994,SPEAKER_02
11.397,11.8,los,0.8760,0.9999,SPEAKER_02
11.88,12.202,derechos,0.6820,0.9998,SPEAKER_02
12.303,13.168,fundamentales,0.8240,1.0000,SPEAKER_02
13.188,13.228,de,0.4950,0.9999,SPEAKER_02
13.953,14.476,libertad,0.6700,0.9999,SPEAKER_02
14.516,14.576,de,0.8980,1.0000,SPEAKER_02
14.657,15.2,"expresión,",0.6680,1.0000,SPEAKER_02
16.2,16.944,libertad,0.5660,0.9999,SPEAKER_02
17.145,17.185,de,0.0580,1.0000,SPEAKER_02
17.205,17.929,"enseñanza,",0.7060,0.9999,SPEAKER_02
18.753,19.155,derecho,0.8520,0.9927,SPEAKER_02
19.196,19.256,de,0.7540,1.0000,SPEAKER_02
19.356,19.859,"reunión,",0.8920,1.0000,SPEAKER_02
19.879,21.307,derecho,0.3590,0.9998,SPEAKER_02
21.347,21.407,de,0.8540,1.0000,SPEAKER_02
21.548,22.03,"huelga,",0.7700,0.9999,SPEAKER_02
22.814,23.176,derecho,0.8170,0.9993,SPEAKER_02
23.237,23.317,de,0.7900,1.0000,SPEAKER_02
23.397,23.92,"petición,",0.4220,0.9999,SPEAKER_02
23.9,25.367,derecho,0.8860,0.8849,SPEAKER_02
25.427,25.488,de,0.9120,0.9989,SPEAKER_02
25.608,26.171,propiedad,0.8760,0.9998,SPEAKER_02
26.191,26.211,y,0.9740,0.9755,SPEAKER_02
27.176,27.638,derecho,0.7130,0.9992,SPEAKER_02
27.678,27.919,en,0.4960,0.9919,SPEAKER_02
27.94,28.402,general,0.9870,1.0000,SPEAKER_02
28.422,28.442,a,0.9790,0.9890,SPEAKER_02
28.482,29.487,una,0.5310,0.9998,SPEAKER_02
29.708,30.07,digna,0.6870,0.9999,SPEAKER_02
30.09,30.11,y,0.9770,0.9997,SPEAKER_02
30.13,30.974,segura,0.7080,0.9999,SPEAKER_02
30.994,32.2,subsistencia.,0.4530,0.9707,SPEAKER_02
32.32,32.904,Y,0.6320,0.8011,SPEAKER_02
32.984,33.065,por,0.2610,0.9986,SPEAKER_02
33.085,33.488,todas,0.4110,0.9920,SPEAKER_02
33.508,33.649,las,0.6060,0.9967,SPEAKER_02
33.669,33.93,razones,0.4980,0.9999,SPEAKER_02
34.011,34.575,soberanamente,0.6020,0.6399,SPEAKER_02
34.655,35.36,"expuestas,",0.5310,0.9561,SPEAKER_02
35.38,36.125,los,0.2820,0.7902,SPEAKER_02
36.145,36.265,jueces,0.2140,0.7225,SPEAKER_02
36.326,37.051,armados,0.4810,0.7538,SPEAKER_02
37.071,37.332,han,0.2980,0.9995,SPEAKER_02
37.352,37.856,asumido,0.6460,0.9999,SPEAKER_02
37.916,38.077,el,0.1850,0.9978,SPEAKER_02
38.097,38.379,deber,0.6620,0.9840,SPEAKER_02
38.399,38.54,moral,0.4570,0.9997,SPEAKER_02
