start,end,word,alignment_score,probability,speaker
7.78,8.685,Y,0.8700,0.6708,SPEAKER_05
8.705,9.187,quisiera,0.7320,0.9884,SPEAKER_05
10.956,11.419,presentar,0.9840,0.9999,SPEAKER_05
11.439,11.479,al,0.4980,0.9999,SPEAKER_05
11.64,11.861,doctor,0.9430,0.7617,SPEAKER_05
11.961,12.102,Juan,0.5020,1.0000,SPEAKER_05
12.122,12.323,Pablo,0.2780,0.9687,SPEAKER_05
12.343,12.705,"Illanes,",0.8390,0.7892,SPEAKER_05
12.725,12.745,a,0.9970,0.9992,SPEAKER_05
12.926,13.067,cuyo,0.8790,0.9999,SPEAKER_05
13.127,13.348,cargo,0.9170,0.9999,SPEAKER_05
13.409,13.73,está,0.6170,0.9988,SPEAKER_05
14.353,14.394,la,0.9400,1.0000,SPEAKER_05
14.454,14.916,exposición,0.8690,0.9999,SPEAKER_05
14.957,15.66,principal.,0.1660,0.9997,SPEAKER_05
18.3,18.743,El,0.7240,0.9785,SPEAKER_05
19.468,19.71,doctor,0.8060,0.9989,SPEAKER_05
19.73,20.073,Illanes,0.7540,0.9991,SPEAKER_05
20.093,20.133,es,0.0170,0.9986,SPEAKER_05
20.153,20.395,médico,0.8430,0.9999,SPEAKER_05
20.455,20.858,cirujano,0.8670,0.9974,SPEAKER_05
20.898,20.939,de,0.9380,1.0000,SPEAKER_05
20.959,21.019,la,0.6350,1.0000,SPEAKER_05
21.039,21.362,Universidad,0.5800,0.9999,SPEAKER_05
21.402,21.906,"Católica,",0.9430,0.9999,SPEAKER_05
22.168,22.591,máster,0.8800,0.9886,SPEAKER_05
22.631,22.732,en,0.8710,0.9999,SPEAKER_05
23.457,23.779,salud,0.8990,0.6676,SPEAKER_05
23.799,23.94,pública,0.1420,1.0000,SPEAKER_05
23.92,23.96,en,0.0940,0.9975,SPEAKER_05
24.263,24.323,la,0.2030,1.0000,SPEAKER_05
24.344,24.626,Universidad,0.2640,0.9999,SPEAKER_05
24.646,24.687,de,0.6740,0.9948,SPEAKER_05
24.767,25.09,"Harvard,",0.7800,0.9998,SPEAKER_05
25.11,25.13,y,0.9970,0.9416,SPEAKER_05
26.018,26.119,es,0.5540,0.9999,SPEAKER_05
26.159,26.563,actualmente,0.8290,1.0000,SPEAKER_05
26.583,27.027,profesor,0.6060,0.9999,SPEAKER_05
27.067,27.168,del,0.8060,0.9999,SPEAKER_05
27.229,27.713,Departamento,0.9150,0.9820,SPEAKER_05
27.753,27.814,de,0.7250,1.0000,SPEAKER_05
27.874,28.52,Obstetricia,0.8660,0.9698,SPEAKER_05
28.54,28.56,y,1.0000,0.9997,SPEAKER_05
28.54,29.188,Ginecología,0.6260,0.7682,SPEAKER_05
29.208,29.249,de,0.4920,0.5791,SPEAKER_05
29.269,29.33,la,0.7300,0.9995,SPEAKER_05
29.37,29.654,Facultad,0.8440,0.9967,SPEAKER_05
29.695,29.735,de,0.5630,0.9998,SPEAKER_05
29.776,30.201,Medicina,0.8820,0.9991,SPEAKER_05
30.221,30.262,de,0.4990,0.9965,SPEAKER_05
31.031,31.072,la,0.9800,0.9990,SPEAKER_05
31.112,31.538,Universidad,0.6270,0.9993,SPEAKER_05
31.558,31.598,de,0.0000,0.9992,SPEAKER_05
31.619,31.74,Chile.,0.1670,0.9998,SPEAKER_05
34.38,35.026,El,0.8320,0.9972,SPEAKER_05
35.288,35.57,profesor,0.8490,0.9692,SPEAKER_05
35.631,35.974,Illanes,0.6110,0.7760,SPEAKER_05
36.156,36.539,disertará,0.7180,0.9848,SPEAKER_05
36.579,36.7,sobre,0.8220,0.9998,SPEAKER_05
36.741,36.781,el,0.9420,0.9997,SPEAKER_05
36.822,36.922,tema,0.4920,0.9979,SPEAKER_05
36.943,36.983,de,0.3390,0.5926,SPEAKER_05
37.003,37.427,desarrollo,0.8590,0.9770,SPEAKER_05
37.528,37.871,social,0.8340,0.9999,SPEAKER_05
37.891,37.911,e,0.9810,0.9991,SPEAKER_05
37.951,38.617,indicadores,0.6220,0.9998,SPEAKER_05
38.658,38.799,de,0.7840,0.9999,SPEAKER_05
38.819,38.94,"salud,",0.1640,0.9994,SPEAKER_05
39.5,40.204,y,0.8880,0.9989,SPEAKER_05
40.224,40.285,la,0.9970,0.9891,SPEAKER_05
40.365,40.647,"idea,",0.9560,0.9998,SPEAKER_05
41.25,41.351,les,0.9350,0.9993,SPEAKER_05
41.391,41.814,propongo,0.7840,1.0000,SPEAKER_05
41.874,41.975,que,0.7590,0.9750,SPEAKER_05
42.015,42.035,a,0.7110,0.9577,SPEAKER_05
42.095,42.437,diferencia,0.8590,0.9990,SPEAKER_05
42.478,42.518,de,0.0950,0.9999,SPEAKER_05
42.558,42.618,la,0.7940,0.9999,SPEAKER_05
42.639,42.739,vez,0.2760,0.9991,SPEAKER_05
42.759,43.202,"pasada,",0.7820,0.9997,SPEAKER_05
43.826,44.127,hagamos,0.9110,0.9995,SPEAKER_05
44.228,44.288,un,0.9500,0.9998,SPEAKER_05
44.349,45.697,pequeño,0.9000,0.9997,SPEAKER_05
45.777,46.3,intermedio,0.8090,0.9934,SPEAKER_05
46.28,47.207,entre,0.8990,0.9982,SPEAKER_05
47.287,47.348,la,0.9490,0.9999,SPEAKER_05
47.388,47.892,exposición,0.8690,0.9972,SPEAKER_05
47.912,47.972,del,0.3340,0.9999,SPEAKER_05
48.456,48.758,profesor,0.7140,0.9995,SPEAKER_05
48.798,49.121,Illanes,0.5760,0.9982,SPEAKER_05
49.141,49.161,y,0.7210,0.9992,SPEAKER_05
49.181,49.302,el,0.5740,0.9996,SPEAKER_05
49.362,49.866,comentario,0.9530,0.9989,SPEAKER_05
49.886,49.947,del,0.3390,0.9994,SPEAKER_05
50.269,50.47,doctor,0.4810,0.9632,SPEAKER_05
50.491,50.873,"Medina,",0.7100,0.9995,SPEAKER_05
51.599,51.639,en,0.0020,0.8786,SPEAKER_05
51.659,51.699,la,0.0260,0.9997,SPEAKER_05
51.72,51.8,idea,0.2010,0.9975,SPEAKER_05
51.78,51.841,de,0.1380,0.9999,SPEAKER_05
52.106,52.27,poder,0.6940,0.9963,SPEAKER_05
52.351,52.698,tomarnos,0.7100,0.9950,SPEAKER_05
52.841,53.698,un,0.9340,0.9998,SPEAKER_05
53.718,53.82,café.,0.2000,0.9989,SPEAKER_05
54.14,54.705,Yo,0.5820,0.9958,SPEAKER_05
54.725,54.887,quedé,0.5400,0.7354,SPEAKER_05
54.907,54.968,un,0.7440,0.9996,SPEAKER_05
55.008,55.25,poco,0.9630,0.9975,SPEAKER_05
57.189,57.895,traumatizado,0.8710,0.9945,SPEAKER_05
57.936,57.996,por,0.0000,0.9989,SPEAKER_05
58.016,58.097,los,0.4440,0.9984,SPEAKER_05
58.158,58.42,comentarios.,0.1810,0.9332,SPEAKER_05
58.54,58.681,Algunos,0.0560,0.4549,SPEAKER_05
58.722,58.762,en,0.1120,0.6044,SPEAKER_05
59.086,59.227,cuanto,0.7240,0.9970,SPEAKER_05
59.267,59.348,al,0.6790,0.9982,SPEAKER_05
59.429,59.631,frío,0.8580,0.9982,SPEAKER_05
