start,end,word,alignment_score,probability,speaker
3.14,3.888,Antes,0.7560,0.4582,SPEAKER_10
3.928,4.009,que,0.8320,0.9952,SPEAKER_10
4.029,4.17,nada,0.9820,1.0000,SPEAKER_10
4.211,4.373,quiero,0.8740,0.7417,SPEAKER_10
4.393,4.777,agradecer,0.5570,1.0000,SPEAKER_10
4.797,4.918,la,0.1040,0.9980,SPEAKER_10
4.958,5.241,presencia,0.7580,0.9998,SPEAKER_10
5.262,5.302,de,0.4280,0.9937,SPEAKER_10
5.342,5.484,todos,0.6910,0.9994,SPEAKER_10
5.544,5.767,ustedes,0.6910,0.9998,SPEAKER_10
5.787,5.807,y,0.9990,0.9975,SPEAKER_10
6.191,6.393,también,0.9320,0.9997,SPEAKER_10
6.413,6.454,la,0.4760,1.0000,SPEAKER_10
6.474,7.04,presencia,0.4810,1.0000,SPEAKER_10
7.06,7.1,de,0.4990,1.0000,SPEAKER_10
7.08,7.864,nuestros,0.7550,0.9998,SPEAKER_10
7.885,8.267,distinguidos,0.8130,0.9999,SPEAKER_10
8.387,8.83,panelistas,0.9020,1.0000,SPEAKER_10
8.85,8.87,y,0.9990,0.9999,SPEAKER_10
9.614,10.137,expositores.,0.8950,0.9999,SPEAKER_10
11.505,11.546,La,0.9380,0.9999,SPEAKER_10
11.606,11.787,idea,0.9660,1.0000,SPEAKER_10
11.827,11.867,de,0.9740,0.9999,SPEAKER_10
11.908,12.028,hoy,0.5080,0.9999,SPEAKER_10
12.048,12.209,día,0.9660,0.9996,SPEAKER_10
12.27,12.39,es,0.7040,1.0000,SPEAKER_10
12.531,13.034,básicamente,0.9820,0.9979,SPEAKER_10
13.074,14.1,realizar,0.2010,0.9999,SPEAKER_10
14.98,15.946,comentarios,0.8910,0.5429,SPEAKER_10
15.966,15.986,a,0.9880,1.0000,SPEAKER_10
16.549,16.71,las,0.8780,1.0000,SPEAKER_10
17.073,17.556,exposiciones,0.8630,0.9997,SPEAKER_10
17.576,17.596,y,0.9960,1.0000,SPEAKER_10
18.36,18.843,preguntas,0.8950,0.9998,SPEAKER_10
18.863,18.884,y,0.7480,0.9962,SPEAKER_10
20.171,20.513,comentarios,0.8740,0.9998,SPEAKER_10
20.574,20.715,también,0.9980,0.9730,SPEAKER_10
20.755,20.815,que,0.6680,1.0000,SPEAKER_10
20.856,20.916,se,0.4880,0.9996,SPEAKER_10
20.936,21.177,hicieron,0.5820,1.0000,SPEAKER_10
21.52,21.62,ayer.,0.1990,1.0000,SPEAKER_10
22.32,23.024,El,0.7660,0.9989,SPEAKER_10
23.085,23.266,orden,0.9610,0.9999,SPEAKER_10
23.286,23.326,en,0.4820,0.9682,SPEAKER_10
23.366,23.487,que,0.8920,0.8741,SPEAKER_10
23.688,23.99,empezamos,0.6930,0.9975,SPEAKER_10
24.01,24.03,a,0.1420,0.9991,SPEAKER_10
24.05,24.272,partir,0.8490,0.9993,SPEAKER_10
24.292,24.332,es,0.1830,0.9998,SPEAKER_10
24.352,24.412,el,0.7760,0.9998,SPEAKER_10
24.453,24.976,siguiente.,0.8710,0.9996,SPEAKER_10
25.881,25.962,Van,0.8450,0.9950,SPEAKER_10
25.982,26.002,a,0.2690,1.0000,SPEAKER_10
26.062,26.404,partir,0.8010,0.9961,SPEAKER_10
26.505,26.726,nuestros,0.8940,0.9974,SPEAKER_10
26.847,27.109,cuatro,0.6950,0.9981,SPEAKER_10
27.833,28.316,"panelistas,",0.8140,0.9998,SPEAKER_10
28.799,29.06,empezando,0.1810,0.9999,SPEAKER_10
29.04,29.121,por,0.1850,0.2947,SPEAKER_10
29.564,29.624,don,0.4070,0.8990,SPEAKER_10
29.665,29.826,Pedro,0.6660,0.9994,SPEAKER_10
29.866,30.208,Lizana.,0.9600,0.9519,SPEAKER_10
31.417,31.498,Él,0.6170,0.9836,SPEAKER_10
31.518,31.599,es,0.9030,1.0000,SPEAKER_10
32.485,32.848,consejero,0.8870,0.9966,SPEAKER_10
32.868,32.948,del,0.6430,0.9997,SPEAKER_10
32.989,33.21,Colegio,0.9770,0.9703,SPEAKER_10
33.23,33.271,de,0.5260,0.9987,SPEAKER_10
33.291,33.674,Ingenieros,0.7980,0.9998,SPEAKER_10
33.694,33.714,y,0.9940,0.9990,SPEAKER_10
33.936,34.258,consejero,0.6990,0.9980,SPEAKER_10
34.298,34.318,y,0.0640,0.8809,SPEAKER_10
