start,end,word,alignment_score,probability,speaker
3.26,4.125,...comunas,0.6930,0.7630,SPEAKER_05
4.165,4.608,rurales.,0.8290,0.9999,SPEAKER_05
6.438,6.518,El,0.7370,0.9997,SPEAKER_05
6.579,6.76,Centro,0.7410,0.9956,SPEAKER_05
6.78,6.82,de,0.9860,0.9999,SPEAKER_05
6.84,7.101,Estudios,0.5520,0.9997,SPEAKER_05
7.242,7.544,Públicos,0.8800,0.9999,SPEAKER_05
7.624,7.685,en,0.9300,0.9428,SPEAKER_05
7.725,7.846,esta,0.8030,1.0000,SPEAKER_05
7.886,8.429,oportunidad,0.8560,1.0000,SPEAKER_05
8.449,8.489,ha,0.4980,0.9990,SPEAKER_05
9.314,9.535,hecho,0.6740,1.0000,SPEAKER_05
9.555,9.595,un,0.5110,1.0000,SPEAKER_05
9.656,9.957,esfuerzo,0.8950,1.0000,SPEAKER_05
10.038,10.159,muy,0.7340,1.0000,SPEAKER_05
10.199,10.44,especial,0.3260,1.0000,SPEAKER_05
12.84,13.744,tratando,0.8720,0.9943,SPEAKER_05
13.804,13.884,de,0.8870,1.0000,SPEAKER_05
14.085,14.487,ampliar,0.8430,1.0000,SPEAKER_05
14.527,15.17,las,0.1780,0.8245,SPEAKER_05
15.25,15.632,muestras,0.8250,1.0000,SPEAKER_05
15.652,15.692,de,0.4960,0.9636,SPEAKER_05
16.114,16.897,entrevistados,0.8490,0.9999,SPEAKER_05
16.917,17.901,para,0.6880,0.9983,SPEAKER_05
17.962,18.142,poder,0.8160,1.0000,SPEAKER_05
18.243,18.484,también,0.8870,0.9995,SPEAKER_05
18.604,18.845,tener,0.9900,1.0000,SPEAKER_05
19.89,20.01,una,0.9290,0.9999,SPEAKER_05
20.071,20.452,visión,0.9790,1.0000,SPEAKER_05
20.472,20.512,en,0.4990,0.9778,SPEAKER_05
21.215,21.617,algunas,0.7570,0.9990,SPEAKER_05
21.697,22.32,"circunscripciones,",0.2720,0.9115,SPEAKER_05
22.3,22.742,en,0.9020,0.2420,SPEAKER_05
22.782,23.023,aquellas,0.8160,0.9694,SPEAKER_05
23.063,23.786,circunscripciones,0.7690,0.9537,SPEAKER_05
23.806,23.866,que,0.3340,0.9778,SPEAKER_05
24.007,25.834,existían,0.9770,0.9981,SPEAKER_05
25.915,26.176,muestras,0.8000,0.9996,SPEAKER_05
26.236,26.919,"suficientes,",0.9580,0.9999,SPEAKER_05
26.939,26.979,de,0.4980,0.9526,SPEAKER_05
27.903,28.063,poder,0.5940,0.9994,SPEAKER_05
28.104,28.224,tener,0.8340,0.9987,SPEAKER_05
28.264,28.345,una,0.8530,0.9992,SPEAKER_05
28.405,28.726,visión,0.9380,0.9999,SPEAKER_05
28.766,30.493,también,0.7520,0.3062,SPEAKER_05
30.513,30.553,de,0.4780,0.9871,SPEAKER_05
30.594,30.674,las,0.8240,0.9988,SPEAKER_05
30.714,31.176,candidaturas,0.8690,0.9999,SPEAKER_05
31.477,32.18,senatoriales.,0.9740,0.9979,SPEAKER_05
33.66,34.844,Yo,0.9340,0.9971,SPEAKER_05
34.884,35.486,quisiera,0.7840,0.9999,SPEAKER_05
35.907,36.449,agradecer,0.9290,0.9999,SPEAKER_05
36.469,36.489,a,0.9460,0.9931,SPEAKER_05
37.332,37.473,los,0.7320,1.0000,SPEAKER_05
38.576,38.857,miembros,0.8430,0.9998,SPEAKER_05
38.897,39.118,del,0.6690,0.9999,SPEAKER_05
39.519,39.76,Comité,0.8270,0.7751,SPEAKER_05
39.8,40.242,Editorial,0.9280,0.9994,SPEAKER_05
40.262,40.322,del,0.3270,0.9313,SPEAKER_05
40.362,40.864,Centro,0.8560,0.9989,SPEAKER_05
40.884,40.924,de,0.4820,0.9999,SPEAKER_05
40.964,41.245,Estudios,0.8270,0.9997,SPEAKER_05
41.385,41.727,Públicos,0.9280,0.9998,SPEAKER_05
41.747,41.767,y,0.9970,0.8286,SPEAKER_05
44.215,44.255,a,0.9710,0.9999,SPEAKER_05
44.295,44.395,los,0.9580,0.9999,SPEAKER_05
44.456,45.017,académicos,0.9440,1.0000,SPEAKER_05
45.499,45.72,del,0.8800,0.9997,SPEAKER_05
45.74,45.8,CEP,0.3330,0.9706,SPEAKER_05
45.78,46.405,que,0.6210,0.9588,SPEAKER_05
46.445,46.526,han,0.6860,1.0000,SPEAKER_05
46.586,47.111,participado,0.8900,1.0000,SPEAKER_05
47.151,47.977,activamente,0.8440,0.9999,SPEAKER_05
47.998,48.038,en,0.5000,0.9999,SPEAKER_05
48.985,49.026,la,0.9980,1.0000,SPEAKER_05
49.086,49.61,confección,0.7750,0.9996,SPEAKER_05
49.63,50.336,del,0.6400,0.9999,SPEAKER_05
50.396,50.86,cuestionario.,0.3530,0.9989,SPEAKER_05
51.82,52.061,Y,0.8980,0.9724,SPEAKER_05
52.083,52.302,también...,0.1030,0.4826,SPEAKER_05
52.3,52.621,También,0.6900,0.6347,SPEAKER_05
53.345,53.827,agradecer,0.7240,0.9995,SPEAKER_05
53.887,54.45,especialmente,0.8860,0.9985,SPEAKER_05
54.47,54.49,a,0.9850,0.9982,SPEAKER_05
54.51,54.55,la,0.5760,0.9996,SPEAKER_05
54.711,55.032,firma,0.9790,0.9996,SPEAKER_05
55.053,55.896,"Adimarc,",0.9590,0.8918,SPEAKER_05
56.861,56.961,que,0.8680,0.9999,SPEAKER_05
57.001,57.102,ya,0.9780,1.0000,SPEAKER_05
57.202,57.423,tiene,0.8790,1.0000,SPEAKER_05
57.463,57.684,una,0.9190,1.0000,SPEAKER_05
57.745,58.187,relación,0.8850,1.0000,SPEAKER_05
58.207,58.247,de,0.4990,1.0000,SPEAKER_05
58.287,59.151,varios,0.8020,1.0000,SPEAKER_05
59.292,59.493,años,0.7030,1.0000,SPEAKER_05
59.513,59.573,con,0.3320,0.9998,SPEAKER_05
59.955,59.995,el,0.8580,1.0000,SPEAKER_05
60.055,60.276,Centro,0.8140,0.9807,SPEAKER_05
60.296,60.337,de,0.9700,1.0000,SPEAKER_05
60.357,60.638,Estudios,0.7900,0.9997,SPEAKER_05
60.799,61.12,"Públicos,",0.8160,0.9998,SPEAKER_05
61.88,62.246,quienes,0.5500,1.0000,SPEAKER_05
62.307,62.45,han,0.7890,1.0000,SPEAKER_05
62.755,63.386,efectuado,0.9340,0.9999,SPEAKER_05
63.711,63.772,el,0.6840,0.9999,SPEAKER_05
63.833,64.24,muestreo.,0.8020,0.9997,SPEAKER_05
64.32,65.342,En,0.8720,0.9897,SPEAKER_05
65.362,65.523,esta,0.8820,0.9999,SPEAKER_05
65.563,68.87,"mañana,",0.9610,0.9998,SPEAKER_05
68.89,69.011,don,0.9490,0.8879,SPEAKER_05
69.051,69.432,Roberto,0.8630,0.9994,SPEAKER_05
69.452,69.833,Méndez,0.8430,0.9993,SPEAKER_05
70.514,70.675,dará,0.7380,0.9944,SPEAKER_05
70.695,70.715,a,0.9120,0.9995,SPEAKER_05
70.795,71.196,conocer,0.9050,1.0000,SPEAKER_05
71.236,72.218,los,0.9810,0.9999,SPEAKER_05
72.278,72.88,resultados,0.8630,1.0000,SPEAKER_05
72.92,72.94,y,0.9750,0.9662,SPEAKER_05
72.98,76.007,comentarán,0.9570,0.9998,SPEAKER_05
77.29,77.671,don,0.9350,0.9743,SPEAKER_05
78.011,78.272,Jorge,0.8550,0.9994,SPEAKER_05
78.352,78.653,Claro,0.9620,0.9956,SPEAKER_05
78.673,78.693,y,0.9910,0.9988,SPEAKER_05
80.297,80.517,don,0.8880,0.9990,SPEAKER_05
80.918,81.359,Enrique,0.7860,0.9984,SPEAKER_05
81.499,81.78,Barros.,0.6380,0.9989,SPEAKER_05
83.44,84.364,Don,0.9140,0.8008,SPEAKER_05
84.404,84.766,Roberto,0.8640,0.9842,SPEAKER_05
84.786,85.127,Méndez,0.8330,0.9971,SPEAKER_05
85.81,85.87,es,0.8120,0.6990,SPEAKER_05
85.931,86.192,ingeniero,0.7850,0.9513,SPEAKER_05
86.272,86.774,comercial,0.9270,0.9987,SPEAKER_05
86.794,86.835,de,0.4960,0.9924,SPEAKER_05
87.437,87.477,la,0.9940,0.9998,SPEAKER_05
87.497,87.839,Universidad,0.5960,0.9859,SPEAKER_05
87.879,88.341,"Católica,",0.9510,0.9997,SPEAKER_05
88.381,89.606,profesor,0.9830,0.9991,SPEAKER_05
89.647,89.707,de,0.5400,0.9997,SPEAKER_05
89.727,89.787,la,0.7490,0.9999,SPEAKER_05
89.827,90.068,Escuela,0.8640,0.9260,SPEAKER_05
90.109,90.149,de,0.9360,0.9999,SPEAKER_05
90.169,90.832,Administración,0.6940,0.9997,SPEAKER_05
90.852,90.892,de,0.4980,0.9988,SPEAKER_05
90.912,91.716,la,0.9180,0.9998,SPEAKER_05
91.776,92.057,misma,0.8960,0.9997,SPEAKER_05
92.378,92.78,"universidad,",0.5350,0.9717,SPEAKER_05
93.68,94.253,director,0.7400,0.9942,SPEAKER_05
94.806,94.929,de,0.9760,0.9995,SPEAKER_05
95.134,95.42,Adimarc.,0.5000,0.7224,SPEAKER_05
96.3,97.187,Don,0.7750,0.9990,SPEAKER_05
97.227,97.489,Jorge,0.7120,0.9998,SPEAKER_05
97.57,97.852,Claro,0.9000,0.9969,SPEAKER_05
98.719,98.8,es,0.7380,0.9979,SPEAKER_05
98.84,99.163,ingeniero,0.7400,0.9999,SPEAKER_05
99.264,99.526,"civil,",0.9800,0.9992,SPEAKER_05
99.566,99.848,ingeniero,0.6720,0.9998,SPEAKER_05
99.929,100.413,comercial,0.8520,0.9999,SPEAKER_05
100.453,100.493,de,0.4980,0.9993,SPEAKER_05
100.655,100.695,la,0.3840,1.0000,SPEAKER_05
100.755,101.159,Universidad,0.3590,0.9995,SPEAKER_05
101.179,101.36,"Católica,",0.1110,0.9999,SPEAKER_05
101.5,102.204,profesor,0.9470,0.9997,SPEAKER_05
102.244,102.284,de,0.9440,1.0000,SPEAKER_05
102.304,102.928,Estadística,0.8060,0.8092,SPEAKER_05
102.948,102.968,y,0.9940,0.9987,SPEAKER_05
103.008,103.551,Análisis,0.8390,0.9962,SPEAKER_05
103.632,103.692,de,0.8870,0.9998,SPEAKER_05
103.772,104.034,Datos,0.9420,0.9991,SPEAKER_05
104.054,104.094,de,0.4990,0.9990,SPEAKER_05
104.597,104.637,la,0.9970,0.9999,SPEAKER_05
104.677,104.858,misma,0.9470,0.9993,SPEAKER_05
104.879,105.401,"universidad,",0.8970,0.9984,SPEAKER_05
105.442,106.548,consultor,0.9400,0.9927,SPEAKER_05
106.588,106.648,de,0.7080,0.9999,SPEAKER_05
106.668,107.171,empresas,0.8140,0.5228,SPEAKER_05
107.211,107.412,de,0.7740,0.9661,SPEAKER_05
107.433,107.493,la,0.9230,0.8560,SPEAKER_05
107.573,107.815,firma,0.9790,0.9991,SPEAKER_05
108.016,108.217,Claro,0.8790,0.9920,SPEAKER_05
108.257,108.297,y,0.7770,0.9950,SPEAKER_05
108.337,108.82,Asociados.,0.5250,0.9982,SPEAKER_05
109.3,110.091,Y,0.9080,0.7202,SPEAKER_05
110.111,110.212,don,0.8250,0.4686,SPEAKER_05
110.253,110.597,Enrique,0.7500,0.9997,SPEAKER_05
110.618,111.003,Barros,0.9080,0.9983,SPEAKER_05
112.037,112.077,es,0.0000,0.9824,SPEAKER_05
112.098,112.3,abogado...,0.1000,0.7583,SPEAKER_05
112.3,112.703,"Abogado,",0.5480,0.6949,SPEAKER_05
112.944,113.246,doctor,0.8390,0.9597,SPEAKER_05
113.267,113.327,en,0.9400,0.9987,SPEAKER_05
113.428,113.79,Derecho,0.8840,0.9925,SPEAKER_05
113.851,113.891,de,0.9820,0.9982,SPEAKER_05
113.911,113.951,la,0.9430,0.9999,SPEAKER_05
114.012,114.253,Universidad,0.2870,0.9986,SPEAKER_05
114.294,114.414,de,0.4490,0.9997,SPEAKER_05
114.435,114.858,Mingen,0.7930,0.7379,SPEAKER_05
115.139,115.16,y,0.5580,0.6529,SPEAKER_05
115.24,115.522,miembro,0.8270,0.9999,SPEAKER_05
115.562,115.683,del,0.8750,1.0000,SPEAKER_05
115.744,116.026,Consejo,0.8870,0.9912,SPEAKER_05
116.066,116.61,Directivo,0.6620,0.9994,SPEAKER_05
116.63,116.69,del,0.3330,0.9997,SPEAKER_05
117.133,117.314,Centro,0.8350,0.9996,SPEAKER_05
117.355,117.395,de,0.3740,0.9999,SPEAKER_05
117.435,117.737,Estudios,0.5910,0.9997,SPEAKER_05
117.898,118.16,Públicos,0.1710,0.9998,SPEAKER_05
118.14,118.201,y,0.1620,0.9989,SPEAKER_05
118.302,118.868,profesor,0.6690,0.9866,SPEAKER_05
118.889,118.929,de,0.5000,0.9998,SPEAKER_05
119.577,120.103,Derecho,0.8390,0.9998,SPEAKER_05
120.406,120.487,de,0.9160,0.9998,SPEAKER_05
120.528,120.629,la,0.9730,1.0000,SPEAKER_05
120.811,121.276,Universidad,0.7640,0.9998,SPEAKER_05
121.296,121.479,de,0.7820,0.9999,SPEAKER_05
121.499,121.62,Chile.,0.1660,0.9998,SPEAKER_05
122.46,123.244,Le,0.8510,0.9688,SPEAKER_05
123.284,123.485,ofrezco,0.7920,0.9995,SPEAKER_05
123.566,123.606,la,1.0000,0.9999,SPEAKER_05
123.646,123.867,palabra,0.8240,1.0000,SPEAKER_05
123.927,123.988,en,0.9030,0.9651,SPEAKER_05
124.37,124.571,primer,0.9410,0.9999,SPEAKER_05
124.731,125.053,término,0.9210,1.0000,SPEAKER_05
125.073,125.093,a,0.9880,0.9996,SPEAKER_05
125.616,125.716,don,0.7450,0.9407,SPEAKER_05
125.757,126.138,Roberto,0.8560,0.9997,SPEAKER_05
126.159,126.5,"Méndez,",0.7980,0.9981,SPEAKER_05
126.541,126.822,quien,0.6880,0.9965,SPEAKER_05
126.862,126.922,se,0.8640,1.0000,SPEAKER_05
127.023,127.425,referirá,0.9240,1.0000,SPEAKER_05
127.445,127.465,a,0.9990,1.0000,SPEAKER_05
128.591,128.711,los,0.8200,0.9999,SPEAKER_05
129.033,129.636,resultados,0.8160,0.9999,SPEAKER_05
129.656,129.696,de,0.4980,0.9870,SPEAKER_05
129.716,129.757,la,0.5000,0.9991,SPEAKER_05
130.038,130.44,encuesta.,0.2920,0.9998,SPEAKER_05
137.66,138.754,"Bueno,",0.7410,0.6738,SPEAKER_03
139.017,139.301,los,0.8060,0.9980,SPEAKER_03
140.476,140.82,resultados...,0.1950,0.5114,SPEAKER_03
140.8,141.296,Voy,0.4230,0.6787,SPEAKER_03
141.317,141.358,a,0.4420,0.9999,SPEAKER_03
141.441,141.565,ver,0.9320,0.9983,SPEAKER_03
141.586,142.041,algunos...,0.3400,0.6474,SPEAKER_03
142.3,142.401,...en,0.1920,0.3868,SPEAKER_03
142.501,142.702,algún,0.4500,0.9929,SPEAKER_03
142.722,143.024,detalle,0.8050,0.9998,SPEAKER_03
143.044,143.064,y,0.9520,0.4561,SPEAKER_03
143.105,143.386,otros,0.3970,0.5918,SPEAKER_03
143.97,144.111,más,0.9370,0.9950,SPEAKER_03
144.493,145.277,"superficialmente,",0.9600,0.9995,SPEAKER_03
