start,end,word,alignment_score,probability,speaker
0.0,0.363,La,0.6850,0.9903,UNKNOWN
0.484,0.868,Junta,0.6660,0.9845,UNKNOWN
0.908,0.989,de,0.8510,0.9970,UNKNOWN
1.029,1.716,Gobierno,0.6700,0.9954,UNKNOWN
1.736,2.725,advierte,0.5110,0.9954,UNKNOWN
2.745,2.765,a,0.0190,0.9988,UNKNOWN
2.786,2.886,la,0.6270,0.9999,UNKNOWN
2.907,3.553,población,0.4170,0.9991,UNKNOWN
3.573,3.674,los,0.6520,0.9976,UNKNOWN
3.754,4.219,siguientes,0.5300,0.9996,UNKNOWN
4.239,4.38,puntos.,0.1410,0.9993,UNKNOWN
4.78,5.626,"Primero,",0.8390,0.9993,SPEAKER_00
6.451,6.532,la,0.5950,0.9998,SPEAKER_00
6.592,7.337,residencia,0.6130,0.9963,SPEAKER_00
7.397,9.391,presidencial,0.4210,1.0000,SPEAKER_00
9.411,10.075,ubicada,0.3720,0.9914,SPEAKER_00
10.095,10.136,en,0.0000,1.0000,SPEAKER_00
10.156,10.579,Tomás,0.6270,0.9992,SPEAKER_00
10.599,10.8,Moro,0.5930,0.9969,SPEAKER_00
10.78,12.169,tuvo,0.5570,0.9808,SPEAKER_00
12.229,12.37,que,0.5040,1.0000,SPEAKER_00
12.39,12.632,ser,0.8570,1.0000,SPEAKER_00
12.712,13.9,bombardeada,0.5420,0.9987,SPEAKER_00
13.92,14.061,desde,0.3420,0.9996,SPEAKER_00
14.081,14.161,el,0.4880,0.9999,SPEAKER_00
14.181,14.564,aire,0.8330,1.0000,SPEAKER_00
15.59,15.751,por,0.9370,0.9998,SPEAKER_00
15.973,16.295,ofrecer,0.4960,1.0000,SPEAKER_00
16.395,17.16,resistencia,0.5540,0.9960,SPEAKER_00
17.14,18.49,con,0.3110,0.9979,SPEAKER_00
18.51,18.832,personal,0.5090,0.9999,SPEAKER_00
19.094,19.316,civil,0.4930,0.9999,SPEAKER_00
19.477,19.598,del,0.8980,0.9998,SPEAKER_00
19.719,20.041,GAP,0.8910,0.9944,SPEAKER_00
20.726,20.766,a,0.7650,0.9989,SPEAKER_00
20.827,20.907,las,0.8270,0.9999,SPEAKER_00
21.048,21.351,Fuerzas,0.6580,0.9905,SPEAKER_00
21.471,21.975,Armadas,0.9020,0.9998,SPEAKER_00
21.995,22.015,y,0.9790,0.9999,SPEAKER_00
22.197,22.68,Carabineros.,0.3470,0.9974,SPEAKER_00
22.66,23.808,"Segundo,",0.2560,0.9688,SPEAKER_00
26.386,26.427,se,0.0040,0.9996,SPEAKER_00
26.447,26.608,advierte,0.0020,0.9994,SPEAKER_00
26.628,26.688,que,0.0030,0.9995,SPEAKER_00
26.709,26.749,a,0.7130,0.9985,SPEAKER_00
26.809,27.514,partir,0.4200,1.0000,SPEAKER_00
27.534,27.655,de,0.4420,1.0000,SPEAKER_00
27.837,27.978,este,0.3010,0.9998,SPEAKER_00
27.998,28.34,instante,0.3880,0.9999,SPEAKER_00
28.32,30.032,está,0.7490,0.9892,SPEAKER_00
30.777,31.965,absolutamente,0.2780,1.0000,SPEAKER_00
31.985,32.227,prohibido,0.1230,0.9930,SPEAKER_00
32.408,32.469,la,0.7100,0.9990,SPEAKER_00
32.509,33.173,presencia,0.4510,0.9999,SPEAKER_00
33.214,33.375,de,0.6550,0.9995,SPEAKER_00
33.395,33.677,grupos,0.3680,0.9992,SPEAKER_00
33.697,33.798,de,0.6780,1.0000,SPEAKER_00
33.838,34.14,personas,0.3690,1.0000,SPEAKER_00
34.12,35.959,reunidas,0.7490,0.9998,SPEAKER_00
35.979,36.0,o,0.9670,0.9999,SPEAKER_00
36.464,37.677,transitando,0.6790,0.9999,SPEAKER_00
37.697,37.738,en,0.0120,0.9997,SPEAKER_00
37.758,37.819,las,0.0040,0.9999,SPEAKER_00
37.839,37.98,calles.,0.1440,1.0000,SPEAKER_00
38.08,38.723,Se,0.4680,0.9576,SPEAKER_00
38.743,39.367,advierte,0.6810,0.9999,SPEAKER_00
39.849,39.91,a,0.7450,0.9999,SPEAKER_00
39.97,40.07,los,0.9300,1.0000,SPEAKER_00
40.131,40.935,"profesionales,",0.8690,1.0000,SPEAKER_00
41.679,42.443,empleados,0.7510,1.0000,SPEAKER_00
42.483,42.503,y,0.9230,0.9997,SPEAKER_00
43.408,44.091,obreros,0.3740,0.9996,SPEAKER_00
44.232,44.313,de,0.8740,1.0000,SPEAKER_00
44.353,44.433,las,0.8260,1.0000,SPEAKER_00
44.574,45.157,empresas,0.7790,0.9999,SPEAKER_00
45.418,45.74,ocupadas,0.3820,0.9999,SPEAKER_00
45.72,47.094,que,0.5950,0.9896,SPEAKER_00
47.114,47.438,deben,0.7150,0.9990,SPEAKER_00
47.579,48.084,mantener,0.9400,0.9985,SPEAKER_00
48.125,49.176,absoluta,0.5140,0.9997,SPEAKER_00
49.236,49.62,calma,0.4830,0.9999,SPEAKER_00
49.6,52.093,y,0.8510,0.9306,SPEAKER_00
52.113,52.316,abstenerse,0.0020,0.9906,SPEAKER_00
52.336,52.377,de,0.0070,0.9651,SPEAKER_00
52.397,52.437,la,0.0100,0.0194,SPEAKER_00
52.458,52.66,violencia.,0.1100,0.6498,SPEAKER_00
52.66,53.708,Se,0.4610,0.0003,SPEAKER_00
53.728,53.93,advierte,0.1170,0.3855,SPEAKER_00
53.95,54.01,que,0.0880,0.3862,SPEAKER_00
54.031,54.071,se,0.0020,0.1084,SPEAKER_00
54.091,54.192,deben,0.0920,0.0815,SPEAKER_00
54.212,54.373,efectuar,0.0910,0.8223,SPEAKER_00
54.393,54.655,provocaciones,0.0880,0.9840,SPEAKER_00
55.381,55.482,al,0.5580,0.9908,SPEAKER_00
55.623,56.167,personal,0.9030,0.9984,SPEAKER_00
56.187,56.268,de,0.8330,0.9987,SPEAKER_00
56.308,56.389,las,0.7140,0.9968,SPEAKER_00
56.449,56.671,Fuerzas,0.4180,0.9685,SPEAKER_00
56.752,57.336,Armadas,0.7970,0.9995,SPEAKER_00
57.356,57.377,y,0.9250,0.9975,SPEAKER_00
57.457,57.538,de,0.6060,0.9973,SPEAKER_00
57.719,57.84,orden.,0.1630,0.7128,SPEAKER_00
58.7,60.251,Cualquier,0.3200,0.8619,SPEAKER_00
60.271,60.472,acción,0.2510,0.9997,SPEAKER_00
60.935,61.137,en,0.3720,0.9885,SPEAKER_00
61.157,61.439,tal,0.5120,0.9992,SPEAKER_00
61.459,63.372,"sentido,",0.6100,0.9995,SPEAKER_00
63.392,63.493,así,0.1760,0.9979,SPEAKER_00
63.513,63.594,como,0.0150,0.9998,SPEAKER_00
63.614,63.956,acciones,0.3900,0.9993,SPEAKER_00
63.976,64.137,de,0.4190,0.9998,SPEAKER_00
64.157,64.56,"sabotaje,",0.6230,0.9987,SPEAKER_00
65.66,66.649,violencia,0.3690,0.9979,SPEAKER_00
66.77,67.012,física,0.2450,0.9992,SPEAKER_00
67.032,67.436,contra,0.5310,0.9962,SPEAKER_00
67.456,67.9,civiles,0.6870,0.9982,SPEAKER_00
68.647,68.707,o,0.8570,0.9796,SPEAKER_00
68.949,69.313,intentos,0.6280,0.9981,SPEAKER_00
69.353,69.434,de,0.6200,0.9999,SPEAKER_00
69.474,70.16,resistencia,0.4600,0.9989,SPEAKER_00
70.14,71.468,serán,0.6190,0.6183,SPEAKER_00
71.589,72.937,reprimidos,0.8130,0.9959,SPEAKER_00
73.219,73.279,sin,0.0080,0.9942,SPEAKER_00
73.3,73.863,contemplaciones,0.4240,0.9892,SPEAKER_00
73.964,74.004,en,0.6050,0.9982,SPEAKER_00
74.064,74.487,acciones,0.7410,0.9986,SPEAKER_00
74.567,75.01,militares,0.9510,0.9996,SPEAKER_00
75.05,75.091,de,0.4980,0.9908,SPEAKER_00
76.359,76.479,tierra,0.0100,0.9960,SPEAKER_00
76.499,76.52,y,0.0010,0.9995,SPEAKER_00
76.54,76.62,aire,0.2340,0.9993,SPEAKER_00
77.44,78.31,similares,0.5920,0.7036,SPEAKER_00
78.33,78.35,a,0.9800,0.9977,SPEAKER_00
78.937,79.018,las,0.6060,0.9973,SPEAKER_00
79.119,79.746,efectuadas,0.7900,0.9985,SPEAKER_00
79.888,80.03,en,0.5720,0.9950,SPEAKER_00
80.05,80.414,contra,0.6270,0.9905,SPEAKER_00
80.434,80.495,de,0.6100,0.9970,SPEAKER_00
80.778,80.819,la,0.0000,0.9887,SPEAKER_00
80.839,80.96,moneda,0.1650,0.9814,SPEAKER_00
80.94,81.206,y,0.3480,0.9500,SPEAKER_00
81.227,81.329,de,0.4780,0.9644,SPEAKER_00
81.882,82.415,la,0.6760,0.9303,SPEAKER_00
82.435,82.66,residencia.,0.0950,0.7912,SPEAKER_00
82.66,83.603,Presidencial,0.1520,0.6830,SPEAKER_00
83.624,83.685,de,0.5420,0.9894,SPEAKER_00
83.747,84.177,Tomás,0.2650,0.9508,SPEAKER_00
84.198,84.301,Moro.,0.2640,0.9906,SPEAKER_00
