start,end,word,alignment_score,probability,speaker
1.96,3.03,Fueron,0.9020,0.9986,SPEAKER_00
3.11,3.292,días,0.9160,1.0000,SPEAKER_00
3.332,3.393,de,0.7420,1.0000,SPEAKER_00
3.433,3.978,"confusión,",0.8120,1.0000,SPEAKER_00
3.998,4.039,de,0.4980,1.0000,SPEAKER_00
4.745,5.128,"rumores,",0.9640,0.9998,SPEAKER_00
5.512,5.572,de,0.8730,1.0000,SPEAKER_00
5.653,5.835,gran,0.7800,1.0000,SPEAKER_00
5.875,6.46,efervescencia.,0.5620,0.9993,SPEAKER_00
7.18,7.363,Con,0.8870,1.0000,SPEAKER_00
7.423,7.484,un,0.9140,1.0000,SPEAKER_00
7.545,7.748,nuevo,0.9250,1.0000,SPEAKER_00
7.829,8.295,gabinete,0.9360,0.9995,SPEAKER_00
8.316,8.802,se,0.9120,0.8448,SPEAKER_00
8.843,9.33,intentó,0.8820,1.0000,SPEAKER_00
9.39,9.877,sortear,0.9510,0.9998,SPEAKER_00
9.897,9.958,la,0.6770,1.0000,SPEAKER_00
9.979,10.1,crisis,0.1660,1.0000,SPEAKER_00
10.08,10.785,y,0.6030,0.9938,SPEAKER_00
10.846,10.926,el,0.9770,1.0000,SPEAKER_00
10.987,11.43,presidente,0.8990,0.9988,SPEAKER_00
11.491,11.874,Allende,0.7760,0.9988,SPEAKER_00
11.934,12.277,decidió,0.8800,1.0000,SPEAKER_00
12.317,12.78,derogar,0.7130,0.9997,SPEAKER_00
12.801,12.841,el,0.4960,1.0000,SPEAKER_00
12.861,13.687,recién,0.7670,1.0000,SPEAKER_00
13.728,14.111,dictado,0.9230,1.0000,SPEAKER_00
14.151,14.675,estado,0.8980,0.9583,SPEAKER_00
14.715,14.836,de,0.9630,1.0000,SPEAKER_00
14.937,15.38,emergencia.,0.6780,1.0000,SPEAKER_00
15.5,16.379,Así,0.9550,1.0000,SPEAKER_00
16.42,16.726,lo,0.9160,0.9999,SPEAKER_00
16.787,17.176,explicó,0.6940,1.0000,SPEAKER_00
17.196,17.278,al,0.4600,0.9955,SPEAKER_00
17.298,17.4,país.,0.2010,1.0000,SPEAKER_00
18.06,18.664,Estimé,0.8200,0.9571,SPEAKER_01
19.972,20.234,que,0.8640,1.0000,SPEAKER_01
20.717,21.139,podíamos,0.9620,0.9994,SPEAKER_01
22.327,22.79,levantar,0.9480,0.9998,SPEAKER_01
22.971,23.011,la,0.8670,0.7208,SPEAKER_01
23.051,23.373,zona,0.8620,0.9995,SPEAKER_01
23.897,23.957,de,0.9180,1.0000,SPEAKER_01
23.997,24.46,emergencia,0.6360,1.0000,SPEAKER_01
24.44,26.153,porque,0.7800,0.9840,SPEAKER_01
26.375,26.435,se,0.9860,0.9999,SPEAKER_01
26.455,26.737,estaba,0.7750,0.9996,SPEAKER_01
26.838,27.362,ejercitando,0.9060,0.9993,SPEAKER_01
27.483,28.39,fundamentalmente,0.9380,0.9999,SPEAKER_01
29.156,29.196,en,0.9420,0.9968,SPEAKER_01
29.236,29.277,la,0.7960,0.9999,SPEAKER_01
